Date,Open,High,Low,Close,Volume,ticker
2023-07-24,10.23,10.23,10.22,10.23,1500,ALCY
2023-07-26,10.17,10.24,10.17,10.24,10844,ALCY
2023-07-27,10.24,10.24,10.2066,10.21,2466,ALCY
2023-07-28,10.2,10.21,10.2,10.21,1385,ALCY
2023-07-31,10.2,10.21,10.2,10.2,1563,ALCY
2023-08-01,10.2,10.2001,10.2,10.2,948,ALCY
2023-08-02,10.25,10.25,10.25,10.25,28803,ALCY
2023-08-03,10.26,10.26,10.26,10.26,516,ALCY
2023-08-04,10.27,10.27,10.24,10.24,830,ALCY
2023-08-16,10.26,10.26,10.26,10.26,3020,ALCY
2023-08-17,10.24,10.24,10.24,10.24,6781,ALCY
2023-08-18,10.24,10.27,10.24,10.27,12100,ALCY
2023-08-21,10.27,10.27,10.27,10.27,303,ALCY
2023-08-22,10.27,10.27,10.27,10.27,465055,ALCY
2023-08-23,10.27,10.7,10.27,10.27,82646,ALCY
2023-08-24,11.015,11.1831,10.27,10.2873,16916,ALCY
2023-08-25,10.79,10.79,10.27,10.3,9902,ALCY
2023-08-28,10.28,10.28,10.28,10.28,3249,ALCY
2023-08-30,10.28,10.28,10.28,10.28,438,ALCY
2023-08-31,10.28,10.28,10.28,10.28,200,ALCY
2023-09-01,10.3926,11.28,10.28,10.31,13033,ALCY
2023-09-05,10.35,10.35,10.31,10.31,304,ALCY
2023-09-07,10.32,10.32,10.31,10.31,2020,ALCY
2023-09-08,10.32,10.32,10.32,10.32,50000,ALCY
2023-09-11,10.32,10.32,10.31,10.31,87630,ALCY
2023-09-13,10.32,10.32,10.32,10.32,576,ALCY
2023-09-14,10.32,10.32,10.32,10.32,20406,ALCY
2023-09-15,10.31,10.315,10.31,10.31,12815,ALCY
2023-09-18,10.35,10.35,10.31,10.31,2911,ALCY
2023-09-20,10.31,10.31,10.31,10.31,84318,ALCY
2023-09-21,10.32,10.32,10.31,10.31,5200,ALCY
2023-09-22,10.32,10.32,10.31,10.31,21101,ALCY
2023-09-25,10.32,10.32,10.32,10.32,1942,ALCY
2023-09-26,10.33,10.33,10.32,10.3233,2600,ALCY
2023-09-27,10.33,10.34,10.32,10.32,253380,ALCY
2023-09-28,10.34,10.34,10.33,10.33,37888,ALCY
2023-10-02,10.585,10.585,10.32,10.3399,4064,ALCY
2023-10-03,10.33,10.33,10.33,10.33,2699,ALCY
2023-10-09,10.3302,10.39,10.33,10.33,120901,ALCY
2023-10-10,10.33,10.33,10.33,10.33,8303,ALCY
2023-10-11,10.33,10.33,10.33,10.33,319,ALCY
2023-10-12,10.33,10.35,10.33,10.33,5718,ALCY
2023-10-13,10.34,10.34,10.34,10.34,1007,ALCY
2023-10-16,10.34,10.34,10.34,10.34,44895,ALCY
2023-10-17,10.35,10.35,10.34,10.34,204729,ALCY
2023-10-18,10.55,10.55,10.34,10.35,11338,ALCY
2023-10-19,10.35,10.35,10.35,10.35,1281,ALCY
2023-10-20,10.34,10.34,10.34,10.34,202,ALCY
2023-10-23,10.34,10.35,10.34,10.34,23357,ALCY
2023-10-24,10.34,10.35,10.34,10.35,101872,ALCY
2023-10-27,10.35,10.36,10.35,10.35,153202,ALCY
2023-10-30,10.5,10.5,10.35,10.355,10035,ALCY
2023-10-31,10.355,10.355,10.35,10.355,813,ALCY
2023-11-01,10.355,10.355,10.355,10.355,628,ALCY
2023-11-02,10.36,10.36,10.35,10.36,153177,ALCY
2023-11-07,10.37,10.3801,10.37,10.38,36358,ALCY
2023-11-08,10.38,10.38,10.38,10.38,10221,ALCY
2023-11-09,10.38,10.38,10.38,10.38,859,ALCY
2023-11-13,10.38,10.38,10.38,10.38,16918,ALCY
2023-11-14,10.4,10.4,10.38,10.38,17822,ALCY
