Date,Open,High,Low,Close,Volume,ticker
2024-10-22,9.99,10.01,9.98,9.99,9835510,ALDFU
2024-10-23,9.99,10.0,9.99,9.99,587429,ALDFU
2024-10-24,10.0,10.0,9.98,9.98,314537,ALDFU
2024-10-25,9.9814,10.0,9.98,9.99,82930,ALDFU
2024-10-28,10.01,10.01,9.98,9.98,15124,ALDFU
2024-10-29,10.0,10.0,9.98,10.0,333227,ALDFU
2024-10-30,9.98,10.0,9.98,9.99,34561,ALDFU
2024-10-31,9.99,9.9904,9.99,9.99,1876,ALDFU
2024-11-01,10.0,10.0,9.98,9.99,59535,ALDFU
2024-11-04,9.99,10.0,9.99,9.99,44330,ALDFU
2024-11-05,10.0,10.0,9.98,9.98,12043,ALDFU
2024-11-06,10.0,10.0,9.98,9.98,401,ALDFU
2024-11-07,9.9906,9.9906,9.99,9.99,680,ALDFU
2024-11-11,9.9891,9.995,9.98,9.99,155328,ALDFU
2024-11-12,9.98,9.995,9.98,9.99,2418,ALDFU
2024-11-13,9.99,9.99,9.99,9.99,532,ALDFU
2024-11-14,10.0,10.0,9.98,10.0,5097,ALDFU
2024-11-15,9.985,10.0,9.98,10.0,50391,ALDFU
2024-11-18,10.0,10.0,9.98,9.98,895,ALDFU
2024-11-19,9.98,9.99,9.9749,9.98,18751,ALDFU
2024-11-20,9.99,10.01,9.98,10.01,206206,ALDFU
2024-11-21,10.01,10.01,10.0,10.0,304277,ALDFU
2024-11-22,10.0,10.0186,10.0,10.0186,9637,ALDFU
2024-11-25,10.01,10.01,10.01,10.01,211,ALDFU
2024-11-26,10.0028,10.0028,10.0028,10.0028,365,ALDFU
2024-11-27,10.0,10.01,9.99,9.99,159967,ALDFU
2024-11-29,10.0,10.005,9.99,9.99,109349,ALDFU
2024-12-02,9.99,10.0,9.99,10.0,585539,ALDFU
2024-12-03,10.0,10.0,9.99,10.0,362279,ALDFU
2024-12-04,9.99,10.0,9.99,10.0,234418,ALDFU
2024-12-05,10.0,10.0,9.99,10.0,793734,ALDFU
2024-12-06,10.0,10.005,9.99,10.0,457894,ALDFU
2024-12-09,9.99,10.0,9.99,9.99,1560,ALDFU
2024-12-10,9.995,9.995,9.98,9.99,61473,ALDFU
2024-12-11,9.99,10.01,9.99,10.01,47156,ALDFU
2024-12-12,9.9994,10.007,9.99,10.007,55960,ALDFU
2024-12-13,10.02,10.0301,10.01,10.03,28800,ALDFU
2024-12-16,10.03,10.08,10.0217,10.03,17002,ALDFU
2024-12-17,10.05,10.05,10.02,10.02,7587,ALDFU
2024-12-18,10.035,10.05,10.035,10.05,202,ALDFU
2024-12-19,10.03,10.05,10.03,10.04,2878,ALDFU
2024-12-20,10.0228,10.05,10.0228,10.03,103666,ALDFU
2024-12-23,10.04,10.04,10.03,10.04,352,ALDFU
2024-12-24,10.05,10.055,10.05,10.05,17966,ALDFU
2024-12-26,10.04,10.0415,10.04,10.0415,218,ALDFU
2024-12-27,10.06,10.21,10.04,10.06,38967,ALDFU
2024-12-30,10.1,11.46,10.09,10.1,10870,ALDFU
2024-12-31,10.08,10.08,10.06,10.06,3357,ALDFU
2025-01-02,10.06,10.06,10.04,10.04,1003,ALDFU
2025-01-03,10.04,10.04,10.04,10.04,200,ALDFU
2025-01-06,10.08,10.08,10.08,10.08,221,ALDFU
2025-01-07,10.08,10.08,10.0455,10.0455,1445,ALDFU
2025-01-08,10.07,10.07,10.07,10.07,105,ALDFU
2025-01-10,10.0522,10.07,10.0522,10.07,346,ALDFU
2025-01-13,10.061,10.061,10.061,10.061,742,ALDFU
2025-01-14,10.0598,10.07,10.0598,10.07,554,ALDFU
2025-01-15,10.07,10.07,10.07,10.07,903,ALDFU
2025-01-16,10.08,10.09,10.08,10.09,902,ALDFU
2025-01-17,10.09,10.12,10.09,10.12,3021,ALDFU
2025-01-21,10.1,10.1,10.1,10.1,1262,ALDFU
2025-01-22,10.15,10.15,10.15,10.15,252,ALDFU
2025-01-27,10.1499,10.1499,10.1499,10.1499,900,ALDFU
2025-01-29,10.09,10.12,10.09,10.12,450,ALDFU
2025-01-30,10.09,10.11,10.09,10.11,6657,ALDFU
2025-02-03,10.14,10.14,10.14,10.14,130,ALDFU
2025-02-04,10.0901,10.12,10.09,10.12,18547,ALDFU
2025-02-05,10.1,10.1152,10.1,10.1152,1774,ALDFU
