Date,Open,High,Low,Close,Volume,ticker
2024-12-20,0.25,0.25,0.25,0.25,150000,ALDFW
2024-12-23,0.26,0.26,0.25,0.25,2647,ALDFW
2024-12-24,0.25,0.265,0.25,0.25,25000,ALDFW
2024-12-27,0.26,0.266,0.25,0.2659,45890,ALDFW
2024-12-30,0.266,0.31,0.2659,0.31,1066,ALDFW
2024-12-31,0.3,0.3,0.3,0.3,660,ALDFW
2025-01-03,0.3,0.3,0.2999,0.2999,1334,ALDFW
2025-01-06,0.3,0.3,0.3,0.3,100039,ALDFW
2025-01-07,0.295,0.295,0.295,0.295,836,ALDFW
2025-01-13,0.263,0.27,0.25,0.25,3725,ALDFW
2025-01-15,0.25,0.254,0.25,0.25,70258,ALDFW
2025-01-16,0.23,0.254,0.23,0.2501,243617,ALDFW
2025-01-17,0.27,0.3251,0.25,0.3251,53498,ALDFW
2025-01-21,0.260101,0.36,0.260101,0.342,4963,ALDFW
2025-01-22,0.2903,0.3145,0.2903,0.3144,1470,ALDFW
2025-01-23,0.2835,0.2835,0.2835,0.2835,398,ALDFW
2025-01-24,0.313751,0.33,0.313751,0.33,1433,ALDFW
2025-01-27,0.252,0.26,0.252,0.26,478,ALDFW
2025-01-28,0.23,0.25,0.23,0.25,1772,ALDFW
2025-01-29,0.2301,0.2301,0.2301,0.2301,1174,ALDFW
2025-01-30,0.244,0.2558,0.244,0.2548,458,ALDFW
2025-01-31,0.236,0.236,0.23,0.23,310,ALDFW
2025-02-03,0.228,0.3,0.2201,0.25,2033,ALDFW
2025-02-04,0.25,0.2501,0.25,0.25,1435,ALDFW
2025-02-05,0.25,0.2501,0.25,0.2501,2285,ALDFW
