Date,Open,High,Low,Close,Volume,ticker
2014-05-02,7.5,7.69,6.01,7.2,579460,ALDX
2014-05-05,6.8,7.0,6.3,6.7,41045,ALDX
2014-05-06,6.65,6.8499,6.1,6.1,24840,ALDX
2014-05-07,6.24,6.24,6.05,6.05,12670,ALDX
2014-05-08,6.5,6.99,6.49,6.99,24183,ALDX
2014-05-09,6.9799,6.9799,6.55,6.55,1260,ALDX
2014-05-12,6.98,6.98,6.7,6.93,3060,ALDX
2014-05-13,6.5,6.98,6.5,6.9796,1428,ALDX
2014-05-14,6.954,6.954,6.52,6.52,225,ALDX
2014-05-15,6.95,7.44,6.851,7.44,4266,ALDX
2014-05-16,6.92,7.4399,6.92,7.22,1398,ALDX
2014-05-19,7.44,7.44,7.05,7.41,5978,ALDX
2014-05-20,7.34,7.34,7.34,7.34,600,ALDX
2014-05-21,7.1838,7.78,6.72,6.7301,29866,ALDX
2014-05-22,7.11,7.11,6.5501,6.7,3400,ALDX
2014-05-23,6.75,7.08,6.6,6.74,7786,ALDX
2014-05-27,6.72,6.72,6.11,6.36,12550,ALDX
2014-05-28,6.26,6.29,6.16,6.16,1931,ALDX
2014-05-29,6.0201,6.3,6.0201,6.25,2151,ALDX
2014-05-30,6.06,6.2599,6.01,6.1028,3091,ALDX
2014-06-02,6.09,6.0901,6.0801,6.0901,1751,ALDX
2014-06-03,6.09,6.28,6.09,6.2799,4500,ALDX
2014-06-04,6.14,6.149,6.01,6.09,5794,ALDX
2014-06-05,6.0,6.55,6.0,6.55,10930,ALDX
2014-06-06,6.01,6.6399,6.0,6.58,5550,ALDX
2014-06-09,6.0,6.65,6.0,6.57,5334,ALDX
2014-06-10,6.03,6.99,6.03,6.99,12000,ALDX
2014-06-11,6.99,6.99,6.42,6.51,5925,ALDX
2014-06-12,6.54,6.98,6.13,6.67,11117,ALDX
2014-06-13,6.8,6.8,6.52,6.79,3063,ALDX
2014-06-16,6.51,7.0,6.51,6.92,6784,ALDX
2014-06-17,6.51,7.2,6.51,7.2,7299,ALDX
2014-06-18,7.0,7.0,6.5,6.69,26246,ALDX
2014-06-19,7.5,8.2223,7.3201,7.51,134905,ALDX
2014-06-20,7.87,7.87,6.95,6.95,50598,ALDX
2014-06-23,7.02,7.25,6.79,7.2,15764,ALDX
2014-06-24,7.05,7.191,6.59,6.65,28976,ALDX
2014-06-25,6.75,6.9699,6.7,6.7,2102,ALDX
2014-06-26,6.72,6.72,6.57,6.65,6618,ALDX
2014-06-27,6.7,6.95,6.69,6.72,16273,ALDX
2014-06-30,6.75,7.0,6.5,6.56,9185,ALDX
2014-07-01,6.76,6.76,6.58,6.66,975,ALDX
2014-07-02,6.62,7.01,6.55,6.59,4700,ALDX
2014-07-07,6.51,6.7,6.51,6.594,4663,ALDX
2014-07-08,6.6,6.75,6.5,6.5,18507,ALDX
2014-07-09,6.5001,7.0,6.5001,6.7,1716,ALDX
2014-07-10,6.6,6.6,6.31,6.31,6155,ALDX
2014-07-11,6.54,6.9001,6.54,6.54,1000,ALDX
2014-07-14,6.5001,6.5001,6.098,6.1,35351,ALDX
2014-07-15,6.4,6.4,6.0,6.0,7690,ALDX
2014-07-16,5.58,5.75,4.7501,5.3497,35399,ALDX
2014-07-17,5.349,5.35,4.71,4.8399,16468,ALDX
2014-07-18,4.6001,5.0,4.6001,4.83,12640,ALDX
2014-07-21,4.8561,5.1799,4.75,4.99,14575,ALDX
2014-07-22,4.94,4.952,4.71,4.75,5710,ALDX
2014-07-23,4.64,4.7395,4.45,4.5,17026,ALDX
2014-07-24,4.67,4.67,4.25,4.29,13925,ALDX
2014-07-25,4.25,4.37,4.25,4.27,9504,ALDX
2014-07-28,4.26,4.262,3.54,3.63,55586,ALDX
2014-07-29,3.64,4.1,3.64,3.845,42160,ALDX
2014-07-30,3.9,3.945,3.65,3.7,7114,ALDX
2014-07-31,3.65,3.65,3.28,3.57,19538,ALDX
2014-08-01,3.58,3.58,3.11,3.5,6354,ALDX
2014-08-04,3.5,3.5,3.0,3.34,20521,ALDX
2014-08-05,3.45,3.5,3.25,3.28,12019,ALDX
2014-08-06,3.64,3.88,3.28,3.6101,13633,ALDX
2014-08-07,4.74,4.74,3.82,3.84,14209,ALDX
2014-08-08,3.96,4.1499,3.85,4.1499,5084,ALDX
2014-08-11,4.4,4.47,4.22,4.32,11083,ALDX
2014-08-12,4.41,4.41,3.9001,3.97,5226,ALDX
2014-08-13,3.82,4.58,3.7721,4.04,8462,ALDX
2014-08-14,4.15,4.43,4.0,4.2001,9253,ALDX
2014-08-15,4.15,4.15,4.02,4.02,1603,ALDX
2014-08-18,4.0518,4.2148,4.0,4.12,16749,ALDX
2014-08-19,4.26,4.2739,3.76,4.14,6943,ALDX
2014-08-20,3.84,4.17,3.84,4.01,7965,ALDX
2014-08-21,3.86,4.0,3.8,3.89,4087,ALDX
2014-08-22,3.855,3.907,3.82,3.82,6563,ALDX
2014-08-25,3.87,3.9,3.82,3.86,6566,ALDX
2014-08-26,3.77,3.97,3.59,3.6,24444,ALDX
2014-08-27,3.59,3.66,3.4,3.4,10887,ALDX
2014-08-28,3.43,3.55,3.31,3.35,1825,ALDX
2014-08-29,3.47,3.47,3.45,3.46,607,ALDX
2014-09-02,4.05,4.18,3.6,3.63,3065,ALDX
2014-09-03,3.73,3.73,3.58,3.6,3545,ALDX
2014-09-04,3.9,4.18,3.6,3.89,19726,ALDX
2014-09-05,4.3,4.49,3.82,4.21,12401,ALDX
2014-09-08,4.38,4.38,4.05,4.05,1135,ALDX
2014-09-09,4.25,4.25,4.01,4.17,4365,ALDX
2014-09-10,4.24,4.25,4.08,4.08,2945,ALDX
2014-09-11,4.1,4.15,4.1,4.15,1046,ALDX
2014-09-12,4.051,5.04,4.051,5.03,20139,ALDX
2014-09-15,5.32,7.4,5.27,6.565,174070,ALDX
2014-09-16,6.4,7.25,5.4501,6.88,65696,ALDX
2014-09-17,6.63,7.27,5.8,6.9501,17887,ALDX
2014-09-18,7.05,7.1,6.5101,6.9,10950,ALDX
2014-09-19,7.22,7.4,6.92,7.4,74113,ALDX
2014-09-22,7.49,7.63,6.8601,7.2999,20273,ALDX
2014-09-23,7.15,7.15,6.83,6.84,8404,ALDX
2014-09-24,6.72,6.72,5.81,6.54,21798,ALDX
2014-09-25,6.5,6.5,5.66,6.14,14911,ALDX
2014-09-26,5.89,6.11,5.77,6.1,4407,ALDX
2014-09-29,5.99,6.15,5.77,5.77,7036,ALDX
2014-09-30,5.85,6.12,5.85,5.9201,4543,ALDX
2014-10-01,5.98,6.0,5.47,5.99,8406,ALDX
2014-10-02,5.97,6.0,5.5,6.0,4241,ALDX
2014-10-03,6.01,6.05,5.72,6.0,6704,ALDX
2014-10-06,5.5401,6.0,5.5401,5.96,1843,ALDX
2014-10-07,5.72,5.87,5.39,5.74,5539,ALDX
2014-10-08,5.85,6.04,5.58,5.86,12387,ALDX
2014-10-09,5.83,5.9,5.55,5.9,9297,ALDX
2014-10-10,5.55,6.01,5.55,5.88,7439,ALDX
2014-10-13,5.78,5.99,5.72,5.77,7291,ALDX
2014-10-14,5.87,5.99,5.47,5.99,13760,ALDX
2014-10-15,5.78,5.98,5.78,5.98,4363,ALDX
2014-10-16,6.0,6.0,5.56,5.792,16355,ALDX
2014-10-17,5.54,5.88,5.52,5.75,15876,ALDX
2014-10-20,5.86,5.89,5.7,5.89,5753,ALDX
2014-10-21,5.97,7.99,5.71,7.9499,29968,ALDX
2014-10-22,7.8,7.95,7.011,7.191,20378,ALDX
2014-10-23,7.13,8.2,6.54,7.85,18454,ALDX
2014-10-24,7.63,8.1,7.62,7.81,12719,ALDX
2014-10-27,7.96,8.245,7.5101,8.245,5271,ALDX
2014-10-28,8.37,9.6,7.81,8.99,11463,ALDX
2014-10-29,8.95,11.99,8.95,9.76,46375,ALDX
2014-10-30,9.0,9.0,7.5,7.5,123503,ALDX
2014-10-31,7.9,7.91,6.84,6.9,31095,ALDX
2014-11-03,6.65,6.9,6.1,6.71,33342,ALDX
2014-11-04,7.2,7.99,6.75,7.89,25983,ALDX
2014-11-05,7.9,7.9299,7.3,7.38,16771,ALDX
2014-11-06,7.15,7.77,6.81,7.72,8860,ALDX
2014-11-07,7.73,7.73,6.85,7.12,45115,ALDX
2014-11-10,7.04,7.92,7.018,7.91,35265,ALDX
2014-11-11,7.7,7.95,7.34,7.51,56593,ALDX
2014-11-12,7.65,7.91,7.3,7.52,11796,ALDX
2014-11-13,7.86,7.91,7.86,7.9099,351,ALDX
2014-11-14,7.76,7.79,7.14,7.47,4450,ALDX
2014-11-17,7.51,7.77,7.474,7.65,6848,ALDX
2014-11-18,7.46,7.71,7.08,7.22,6919,ALDX
2014-11-19,7.26,7.44,7.14,7.33,2178,ALDX
2014-11-20,7.55,7.67,7.03,7.25,6961,ALDX
2014-11-21,7.12,7.54,7.114,7.53,3385,ALDX
2014-11-24,7.43,7.5699,7.0401,7.51,1610,ALDX
2014-11-25,7.2,7.36,7.2,7.3503,2705,ALDX
2014-11-28,7.13,7.35,7.05,7.22,1995,ALDX
2014-12-01,7.08,7.45,7.03,7.34,12260,ALDX
2014-12-02,7.15,7.26,7.15,7.26,3000,ALDX
2014-12-03,7.64,7.64,7.32,7.55,4415,ALDX
2014-12-04,7.34,7.59,7.33,7.39,3606,ALDX
2014-12-05,7.5,7.51,7.18,7.19,3350,ALDX
2014-12-08,7.34,7.9,7.25,7.8,46337,ALDX
2014-12-09,7.8,7.9,7.71,7.71,4187,ALDX
2014-12-10,7.85,7.95,7.8,7.85,7707,ALDX
2014-12-11,7.9,7.9,7.75,7.9,6531,ALDX
2014-12-12,8.0,8.93,7.695,7.8,70812,ALDX
2014-12-15,7.7,7.7,7.501,7.6,2860,ALDX
2014-12-16,7.59,7.59,7.02,7.05,9380,ALDX
2014-12-17,7.27,7.73,6.72,6.74,8020,ALDX
2014-12-18,7.39,7.9,6.9,7.46,12728,ALDX
2014-12-19,7.41,7.9,7.29,7.44,3723,ALDX
2014-12-22,7.86,7.9,7.29,7.83,5629,ALDX
2014-12-23,7.9,7.9,7.24,7.32,18157,ALDX
2014-12-24,7.39,7.64,7.29,7.52,16182,ALDX
2014-12-26,7.89,7.9,6.53,6.65,37307,ALDX
2014-12-29,7.09,7.34,6.97,7.1,11839,ALDX
2014-12-30,6.9,7.49,6.79,7.01,9908,ALDX
2014-12-31,7.08,7.49,7.0,7.22,23633,ALDX
2015-01-02,7.65,7.65,6.9,7.3,23048,ALDX
2015-01-05,7.4,7.86,7.33,7.61,10972,ALDX
2015-01-06,7.56,7.87,7.35,7.83,11419,ALDX
2015-01-07,7.76,7.8299,7.47,7.48,4417,ALDX
2015-01-08,7.4315,7.79,7.4315,7.64,7963,ALDX
2015-01-09,7.34,7.61,7.0,7.48,28868,ALDX
2015-01-12,7.48,7.88,7.4,7.82,5555,ALDX
2015-01-13,7.75,7.9,7.3101,7.87,14592,ALDX
2015-01-14,7.85,8.08,7.61,7.86,221387,ALDX
2015-01-15,7.9,7.95,7.88,7.897,32545,ALDX
2015-01-16,7.52,10.7,7.52,10.17,86872,ALDX
2015-01-20,10.0,11.92,10.0,10.65,91945,ALDX
2015-01-21,10.68,10.68,9.4,9.43,39143,ALDX
2015-01-22,9.4,9.75,8.55,9.6,54453,ALDX
2015-01-23,8.82,9.3,8.8,8.86,5340,ALDX
2015-01-26,9.44,11.0,9.1,9.86,42526,ALDX
2015-01-27,9.81,11.9,9.81,10.97,78961,ALDX
2015-01-28,11.62,13.5,10.79,11.59,129248,ALDX
2015-01-29,12.0,12.19,11.53,11.84,38099,ALDX
2015-01-30,12.3,12.3,11.8,12.1,25055,ALDX
2015-02-02,12.3,12.3,11.5,11.5,15112,ALDX
2015-02-03,11.5,11.97,10.66,10.68,28364,ALDX
2015-02-04,10.66,11.24,10.618,11.09,10695,ALDX
2015-02-05,11.12,11.49,11.12,11.35,9639,ALDX
2015-02-06,11.5,12.1,11.45,11.63,23795,ALDX
2015-02-09,10.96,11.99,10.91,11.15,12813,ALDX
2015-02-10,11.15,12.26,11.15,11.25,14917,ALDX
2015-02-11,11.151,12.07,10.951,10.99,8247,ALDX
2015-02-12,10.98,11.84,10.98,11.26,9544,ALDX
2015-02-13,11.5,11.5,10.89,11.01,2502,ALDX
2015-02-17,11.19,11.19,10.94,11.14,7788,ALDX
2015-02-18,11.19,11.3,10.701,11.05,6092,ALDX
