Date,Open,High,Low,Close,Volume,ticker
2024-08-05,0.101,0.101,0.08,0.09,389000,ALFUW
2024-08-07,0.099,0.099,0.0901,0.0901,37671,ALFUW
2024-08-09,0.0901,0.0901,0.0901,0.0901,60002,ALFUW
2024-08-12,0.099,0.1,0.0951,0.1,104944,ALFUW
2024-08-13,0.1,0.12,0.1,0.12,51634,ALFUW
2024-08-15,0.12,0.12,0.11,0.11,105000,ALFUW
2024-08-16,0.115,0.115,0.115,0.115,300000,ALFUW
2024-08-19,0.115,0.115,0.115,0.115,121701,ALFUW
2024-08-20,0.11,0.11,0.11,0.11,1000,ALFUW
2024-08-21,0.115,0.12,0.115,0.1199,701,ALFUW
2024-08-22,0.11,0.1101,0.11,0.1101,19648,ALFUW
2024-08-23,0.11,0.11,0.11,0.11,1250,ALFUW
2024-08-26,0.1,0.1001,0.1,0.1,616131,ALFUW
2024-08-27,0.1,0.1,0.0802,0.1,237519,ALFUW
2024-08-28,0.080201,0.1001,0.0802,0.09,51700,ALFUW
2024-08-29,0.0806,0.0806,0.0802,0.0802,50281,ALFUW
2024-08-30,0.10005,0.10005,0.0801,0.0802,50126,ALFUW
2024-09-03,0.0802,0.0802,0.0801,0.0802,101665,ALFUW
2024-09-04,0.085,0.085,0.0802,0.0802,50000,ALFUW
2024-09-05,0.0802,0.12,0.0802,0.12,51860,ALFUW
2024-09-06,0.081,0.12,0.0801,0.12,64667,ALFUW
2024-09-09,0.0851,0.0851,0.0851,0.0851,502,ALFUW
2024-09-10,0.085,0.085,0.085,0.085,306,ALFUW
2024-09-12,0.090001,0.095,0.090001,0.095,10284,ALFUW
2024-09-13,0.09,0.09,0.09,0.09,284,ALFUW
2024-09-16,0.1025,0.1025,0.0851,0.096726,1532,ALFUW
2024-09-17,0.092003,0.092003,0.0851,0.0851,331,ALFUW
2024-09-18,0.085101,0.106876,0.0851,0.095,11301,ALFUW
2024-09-19,0.12,0.12,0.12,0.12,104,ALFUW
2024-09-20,0.09,0.12,0.09,0.12,251300,ALFUW
2024-09-23,0.1192,0.1192,0.1192,0.1192,101,ALFUW
2024-09-24,0.0851,0.096726,0.0851,0.096726,3988,ALFUW
2024-09-25,0.0901,0.0901,0.0901,0.0901,647,ALFUW
2024-09-26,0.0901,0.090101,0.0901,0.090101,607,ALFUW
2024-09-30,0.10505,0.10505,0.090201,0.090201,739,ALFUW
2024-10-10,0.10505,0.10505,0.0901,0.0989,7420,ALFUW
2024-10-14,0.1025,0.1025,0.1025,0.1025,334,ALFUW
2024-10-15,0.1075,0.1133,0.100101,0.1075,2124,ALFUW
2024-10-18,0.1075,0.1075,0.1,0.1075,3630,ALFUW
2024-10-21,0.1025,0.1025,0.1025,0.1025,2803,ALFUW
2024-10-23,0.11,0.115,0.11,0.11,1428,ALFUW
2024-10-24,0.1025,0.1025,0.1025,0.1025,967,ALFUW
2024-10-30,0.1,0.11,0.1,0.11,1998,ALFUW
2024-10-31,0.1,0.1,0.1,0.1,501,ALFUW
2024-11-01,0.105,0.105,0.105,0.105,526,ALFUW
2024-11-04,0.11,0.11,0.11,0.11,1250,ALFUW
2024-11-05,0.09,0.1,0.09,0.1,2512,ALFUW
2024-11-06,0.1,0.1,0.1,0.1,2305,ALFUW
2024-11-07,0.102,0.102,0.1019,0.102,502,ALFUW
2024-11-13,0.11,0.11,0.11,0.11,2734,ALFUW
