Date,Open,High,Low,Close,Volume,ticker
2021-03-26,19.05,19.7,16.32,17.31,5326900,ALHC
2021-03-29,17.0,19.24,17.0,19.0,1483188,ALHC
2021-03-30,18.75,20.86,18.25,19.94,1447088,ALHC
2021-03-31,20.32,22.15,20.0,21.93,1197380,ALHC
2021-04-01,21.5,24.0,20.58,23.2,3178809,ALHC
2021-04-05,23.85,23.99,22.59,23.52,446267,ALHC
2021-04-06,23.73,24.8,23.52,23.59,721330,ALHC
2021-04-07,23.84,24.14,21.5647,21.77,209591,ALHC
2021-04-08,21.77,23.15,21.5001,22.77,269418,ALHC
2021-04-09,22.51,24.0,21.8328,23.83,248811,ALHC
2021-04-12,23.77,24.34,23.2015,23.52,547940,ALHC
2021-04-13,23.63,24.03,23.08,23.8,561699,ALHC
2021-04-14,24.0,25.0,23.8349,24.66,543370,ALHC
2021-04-15,24.66,26.0,24.3988,25.58,178578,ALHC
2021-04-16,25.81,26.17,25.32,26.06,256036,ALHC
2021-04-19,26.08,26.08,24.44,25.13,268342,ALHC
2021-04-20,24.51,25.69,22.3,23.02,601756,ALHC
2021-04-21,22.82,24.33,22.68,23.5,196543,ALHC
2021-04-22,23.46,23.6299,22.55,23.0,259848,ALHC
2021-04-23,23.21,24.7762,22.75,24.71,183808,ALHC
2021-04-26,24.64,28.02,24.4345,26.76,467951,ALHC
2021-04-27,27.0,27.36,26.0,26.01,279806,ALHC
2021-04-28,26.08,27.16,25.65,26.77,152998,ALHC
2021-04-29,26.77,27.6599,26.43,26.73,393565,ALHC
2021-04-30,26.74,26.93,26.05,26.54,276726,ALHC
2021-05-03,26.84,28.46,25.5,26.34,205433,ALHC
2021-05-04,26.02,27.3,25.2601,27.13,251513,ALHC
2021-05-05,27.09,28.5921,26.51,26.89,186335,ALHC
2021-05-06,26.67,27.57,24.76,25.14,476895,ALHC
2021-05-07,25.11,26.095,23.41,23.62,548579,ALHC
2021-05-10,24.07,24.07,21.42,21.51,270815,ALHC
2021-05-11,20.71,22.56,20.24,22.11,177310,ALHC
2021-05-12,22.25,22.45,20.88,21.32,248237,ALHC
2021-05-13,21.21,23.05,20.26,20.57,214098,ALHC
2021-05-14,20.55,20.97,19.83,20.96,205102,ALHC
2021-05-17,21.3,23.23,21.3,22.58,224063,ALHC
2021-05-18,23.03,24.015,21.38,22.39,365602,ALHC
2021-05-19,22.35,24.05,21.5718,22.74,279857,ALHC
2021-05-20,22.69,23.42,22.64,23.22,297382,ALHC
2021-05-21,23.29,24.017,22.79,23.75,372714,ALHC
2021-05-24,23.74,24.599,22.81,23.0,336133,ALHC
2021-05-25,23.16,24.55,22.64,24.01,371812,ALHC
2021-05-26,24.1,24.91,23.54,24.07,423979,ALHC
2021-05-27,23.98,25.26,23.6,25.02,221886,ALHC
2021-05-28,25.12,26.1709,24.63,25.23,292493,ALHC
2021-06-01,25.11,25.36,23.7,25.0,227000,ALHC
2021-06-02,24.99,25.72,24.75,25.07,236583,ALHC
2021-06-03,24.85,25.08,23.33,23.44,309213,ALHC
2021-06-04,23.44,23.8384,22.865,23.37,160525,ALHC
2021-06-07,23.35,23.717,22.81,23.21,211719,ALHC
2021-06-08,23.16,24.41,23.16,24.07,299482,ALHC
2021-06-09,24.11,25.18,23.71,23.84,254030,ALHC
2021-06-10,23.6,23.86,22.83,23.66,199293,ALHC
2021-06-11,23.73,23.73,22.93,23.6,184328,ALHC
2021-06-14,23.72,25.25,23.22,24.51,322527,ALHC
2021-06-15,24.72,25.73,24.59,25.51,271098,ALHC
2021-06-16,25.44,27.16,24.35,26.75,369298,ALHC
2021-06-17,26.38,27.92,26.23,26.35,480277,ALHC
2021-06-18,26.56,27.44,25.99,26.8,1802706,ALHC
2021-06-21,26.84,27.74,26.3,27.27,268628,ALHC
2021-06-22,26.81,27.4,26.295,26.48,150745,ALHC
2021-06-23,26.48,26.96,26.08,26.41,269627,ALHC
2021-06-24,26.37,26.53,25.5,25.64,193533,ALHC
2021-06-25,25.42,25.69,24.63,24.82,3395818,ALHC
2021-06-28,25.06,25.2,23.76,24.25,442079,ALHC
2021-06-29,24.25,24.52,23.255,23.29,175026,ALHC
2021-06-30,23.13,23.58,22.885,23.37,350613,ALHC
2021-07-01,23.35,23.4,22.7201,22.79,148839,ALHC
2021-07-02,22.9,23.0,22.245,22.92,184961,ALHC
2021-07-06,23.07,23.17,22.58,22.98,154995,ALHC
2021-07-07,23.03,23.5,22.521,23.47,216367,ALHC
2021-07-08,23.11,23.11,22.15,22.46,192980,ALHC
2021-07-09,22.6,22.75,21.47,21.49,191836,ALHC
2021-07-12,21.72,21.84,21.08,21.65,276772,ALHC
2021-07-13,21.58,21.92,21.09,21.21,140385,ALHC
2021-07-14,21.34,21.34,19.92,20.59,333752,ALHC
2021-07-15,20.65,20.8299,20.02,20.74,174477,ALHC
2021-07-16,20.9,21.2699,20.16,20.27,242626,ALHC
2021-07-19,20.03,20.45,19.77,20.1,183856,ALHC
2021-07-20,20.31,20.44,19.81,19.97,250359,ALHC
2021-07-21,20.05,20.58,19.78,20.18,170442,ALHC
2021-07-22,20.25,20.46,19.9445,20.24,153307,ALHC
2021-07-23,20.25,21.18,20.01,20.3,133080,ALHC
2021-07-26,20.38,20.4,19.49,19.66,64679,ALHC
2021-07-27,19.71,19.98,18.91,19.81,176660,ALHC
2021-07-28,19.75,21.07,19.71,20.97,317542,ALHC
2021-07-29,21.1,21.51,20.76,21.29,79055,ALHC
2021-07-30,21.38,21.81,20.58,20.83,117970,ALHC
2021-08-02,20.88,21.12,20.32,20.85,209753,ALHC
2021-08-03,20.91,21.86,20.67,20.9,131680,ALHC
2021-08-04,20.74,20.985,19.99,20.51,92002,ALHC
2021-08-05,20.38,21.0,20.01,20.96,282608,ALHC
2021-08-06,21.0,21.05,19.6,20.24,304148,ALHC
2021-08-09,20.17,20.55,19.72,20.21,428225,ALHC
2021-08-10,20.34,20.6,18.28,18.51,337432,ALHC
2021-08-11,18.43,18.52,17.37,17.65,193562,ALHC
2021-08-12,17.89,18.18,17.1487,17.99,254385,ALHC
2021-08-13,17.9,19.34,17.83,19.26,200065,ALHC
2021-08-16,19.38,19.7912,19.18,19.61,346205,ALHC
2021-08-17,19.36,19.67,18.36,18.62,162146,ALHC
2021-08-18,18.58,18.69,18.24,18.39,103688,ALHC
2021-08-19,18.16,18.69,17.86,18.44,345430,ALHC
2021-08-20,18.25,18.58,17.9,18.54,162292,ALHC
2021-08-23,18.6,18.7,17.76,17.88,206152,ALHC
2021-08-24,17.88,18.4725,17.67,17.86,92566,ALHC
2021-08-25,17.85,18.04,17.67,17.77,75311,ALHC
2021-08-26,17.79,17.965,17.5,17.64,113389,ALHC
2021-08-27,17.71,18.67,17.6,18.28,153019,ALHC
2021-08-30,18.22,18.38,17.89,18.2,243587,ALHC
2021-08-31,18.16,18.185,17.42,17.67,151672,ALHC
2021-09-01,17.74,18.25,17.14,18.18,253123,ALHC
2021-09-02,18.375,19.63,18.23,19.58,352604,ALHC
2021-09-03,19.38,20.55,19.38,20.4,292044,ALHC
2021-09-07,20.36,20.36,19.62,19.68,164859,ALHC
2021-09-08,19.36,19.61,17.84,17.98,260425,ALHC
2021-09-09,17.97,19.02,17.9,18.31,101441,ALHC
2021-09-10,18.73,19.15,18.2,18.76,164757,ALHC
2021-09-13,18.76,18.95,18.39,18.52,131391,ALHC
2021-09-14,18.55,18.88,17.66,17.83,196747,ALHC
2021-09-15,17.67,18.18,17.1,17.22,233304,ALHC
2021-09-16,17.15,18.13,17.14,17.47,312601,ALHC
2021-09-17,17.66,18.73,17.38,18.71,634155,ALHC
2021-09-20,18.31,18.66,17.53,18.06,145273,ALHC
2021-09-21,18.07,18.55,17.85,17.88,201973,ALHC
2021-09-22,17.97,18.46,17.45,17.75,377718,ALHC
2021-09-23,17.7,17.96,17.12,17.22,393221,ALHC
2021-09-24,17.21,17.44,16.52,16.84,422161,ALHC
2021-09-27,16.81,16.98,16.41,16.69,709815,ALHC
2021-09-28,16.5,16.835,15.835,16.68,281844,ALHC
2021-09-29,16.67,17.47,16.36,16.58,266640,ALHC
2021-09-30,16.79,16.79,15.0,15.98,836235,ALHC
2021-10-01,16.32,17.05,15.96,16.82,234121,ALHC
2021-10-04,16.84,17.33,16.38,16.67,241616,ALHC
2021-10-05,16.74,17.31,16.2,16.24,343247,ALHC
2021-10-06,16.25,17.04,15.88,16.91,270020,ALHC
2021-10-07,17.03,17.36,16.545,17.06,261445,ALHC
