Date,Open,High,Low,Close,Volume,ticker
2011-10-21,16.831,17.285,16.477,17.203,1533516,ALL_B
2011-10-24,17.195,17.458,16.614,17.295,475841,ALL_B
2011-10-25,17.458,17.458,17.14,17.249,161332,ALL_B
2011-10-26,17.34,17.621,17.203,17.403,383504,ALL_B
2011-10-27,17.884,18.52,17.884,18.447,747218,ALL_B
2011-10-28,18.066,18.293,17.884,18.003,286267,ALL_B
2011-10-31,17.993,17.993,17.513,17.54,312190,ALL_B
2011-11-01,17.249,17.249,16.46,16.542,378729,ALL_B
2011-11-02,16.567,16.868,16.542,16.695,307354,ALL_B
2011-11-03,16.886,17.095,16.614,16.841,376710,ALL_B
2011-11-04,16.877,17.34,16.795,17.195,352956,ALL_B
2011-11-07,17.167,17.393,17.023,17.14,542878,ALL_B
2011-11-08,17.249,17.295,16.567,16.658,469367,ALL_B
2011-11-09,15.887,16.106,15.433,15.615,348289,ALL_B
2011-11-10,15.66,16.114,15.66,16.069,67933,ALL_B
2011-11-11,16.114,16.26,16.033,16.133,120402,ALL_B
2011-11-14,16.159,16.269,15.797,16.141,1770698,ALL_B
2011-11-15,16.341,16.341,15.96,16.25,153858,ALL_B
2011-11-16,16.133,16.395,15.951,16.196,257297,ALL_B
2011-11-17,16.159,16.297,15.933,16.033,63677,ALL_B
2011-11-18,16.106,16.369,16.077,16.278,43570,ALL_B
2011-11-21,16.114,16.25,15.869,16.015,597808,ALL_B
2011-11-22,15.433,16.114,15.433,15.96,655422,ALL_B
2011-11-23,16.052,16.052,15.615,15.824,47006,ALL_B
2011-11-25,15.706,15.987,15.706,15.814,31386,ALL_B
2011-11-28,15.987,16.468,15.569,15.606,438989,ALL_B
2011-11-29,15.706,15.723,15.506,15.525,224316,ALL_B
2011-11-30,15.797,15.933,15.669,15.751,136681,ALL_B
2011-12-01,15.66,16.096,15.66,15.797,52130,ALL_B
2011-12-02,15.797,16.24,15.797,15.942,292222,ALL_B
2011-12-05,16.159,16.387,15.887,15.977,36867,ALL_B
2011-12-06,16.077,16.114,15.887,15.887,138765,ALL_B
2011-12-07,16.015,16.114,15.688,15.987,69615,ALL_B
2011-12-08,15.987,16.485,15.832,16.024,193345,ALL_B
2011-12-09,15.933,16.159,15.933,16.096,93053,ALL_B
2011-12-12,15.995,15.995,15.788,15.995,124523,ALL_B
2011-12-13,16.077,16.341,15.797,16.114,496620,ALL_B
2011-12-14,16.159,16.205,15.977,16.196,781927,ALL_B
2011-12-15,16.196,16.423,16.159,16.26,322298,ALL_B
2011-12-16,16.141,16.232,16.024,16.114,245438,ALL_B
2011-12-19,16.205,16.322,15.824,16.087,96291,ALL_B
2011-12-20,16.024,16.332,16.024,16.159,352759,ALL_B
2011-12-21,16.15,16.159,16.069,16.15,51074,ALL_B
2011-12-22,16.205,16.567,16.069,16.387,110491,ALL_B
2011-12-23,16.387,16.423,16.25,16.341,39929,ALL_B
2011-12-27,16.341,16.932,16.278,16.524,149139,ALL_B
2011-12-28,16.477,16.586,16.341,16.369,33413,ALL_B
2011-12-29,16.341,16.822,16.133,16.477,114877,ALL_B
2011-12-30,16.387,16.695,16.159,16.695,135531,ALL_B
2012-01-03,16.614,17.023,16.614,17.004,106329,ALL_B
2012-01-04,17.023,17.222,16.894,17.158,69499,ALL_B
2012-01-05,17.14,17.576,17.013,17.431,212954,ALL_B
2012-01-06,17.431,17.811,17.431,17.558,51385,ALL_B
2012-01-09,17.703,17.794,17.549,17.694,169099,ALL_B
2012-01-10,17.811,18.111,17.694,17.975,451403,ALL_B
2012-01-11,18.022,18.066,17.821,17.984,319780,ALL_B
2012-01-12,18.066,18.066,17.931,18.03,153524,ALL_B
2012-01-13,18.022,18.022,17.849,18.022,85623,ALL_B
2012-01-17,18.157,18.421,18.157,18.267,491917,ALL_B
2012-01-18,18.293,18.52,18.211,18.52,3232825,ALL_B
2012-01-19,18.537,19.191,18.537,19.092,332164,ALL_B
2012-01-20,19.102,19.191,18.883,18.974,293234,ALL_B
2012-01-23,19.027,19.247,18.774,19.102,634942,ALL_B
2012-01-24,19.056,19.138,18.929,19.047,256190,ALL_B
2012-01-25,19.109,19.445,19.047,19.282,256779,ALL_B
2012-01-26,19.337,19.564,19.337,19.437,189983,ALL_B
2012-01-27,19.482,19.556,19.383,19.41,131009,ALL_B
2012-01-30,19.02,19.219,18.911,19.119,103462,ALL_B
2012-01-31,19.092,19.2,18.929,18.974,3957542,ALL_B
2012-02-01,19.146,19.401,19.037,19.21,346804,ALL_B
2012-02-02,19.291,19.337,19.109,19.2,106528,ALL_B
2012-02-03,19.156,19.655,19.065,19.41,1113586,ALL_B
2012-02-06,19.419,19.556,19.383,19.437,56149,ALL_B
2012-02-07,19.464,19.628,19.383,19.428,252171,ALL_B
