Date,Open,High,Low,Close,Volume,ticker
2022-01-21,9.82,9.82,9.81,9.81,19485,ALSAF
2022-01-24,9.81,9.81,9.7736,9.81,75300,ALSAF
2022-01-25,9.81,9.81,9.7783,9.7783,6586,ALSAF
2022-01-26,9.8,9.81,9.8,9.8,17740,ALSAF
2022-01-27,9.8,9.82,9.7959,9.805,524633,ALSAF
2022-01-28,9.82,9.825,9.81,9.81,56658,ALSAF
2022-01-31,9.82,9.82,9.81,9.82,168502,ALSAF
2022-02-01,9.82,9.82,9.82,9.82,103,ALSAF
2022-02-02,9.8,9.82,9.8,9.82,42455,ALSAF
2022-02-03,9.81,9.82,9.8,9.8,296896,ALSAF
2022-02-04,9.82,9.85,9.82,9.84,420908,ALSAF
2022-02-07,9.85,9.85,9.85,9.85,180494,ALSAF
2022-02-08,9.83,9.85,9.83,9.83,161421,ALSAF
2022-02-09,9.84,9.85,9.83,9.83,11125,ALSAF
2022-02-10,9.84,9.84,9.82,9.82,123528,ALSAF
2022-02-11,9.83,9.84,9.81,9.81,349800,ALSAF
2022-02-14,9.81,9.84,9.81,9.83,143308,ALSAF
2022-02-15,9.84,9.84,9.82,9.82,86329,ALSAF
2022-02-16,9.83,9.83,9.83,9.83,64418,ALSAF
2022-02-17,9.83,9.84,9.83,9.83,3837,ALSAF
2022-02-18,9.84,9.84,9.83,9.83,2786,ALSAF
2022-02-22,9.84,9.84,9.84,9.84,3171,ALSAF
2022-02-23,9.85,9.85,9.83,9.84,19147,ALSAF
2022-02-25,9.85,9.85,9.85,9.85,2198,ALSAF
2022-02-28,9.85,9.85,9.8402,9.85,6468,ALSAF
2022-03-01,9.845,9.85,9.841,9.85,7113,ALSAF
2022-03-02,9.85,9.85,9.85,9.85,8031,ALSAF
2022-03-04,9.86,9.86,9.86,9.86,1020,ALSAF
2022-03-07,9.87,9.87,9.86,9.86,1716,ALSAF
2022-03-08,9.86,9.86,9.86,9.86,1123,ALSAF
2022-03-09,9.86,9.86,9.86,9.86,2007,ALSAF
2022-03-10,9.85,9.86,9.85,9.86,502,ALSAF
2022-03-11,9.8647,9.87,9.8647,9.87,19827,ALSAF
2022-03-14,9.87,9.87,9.87,9.87,1002,ALSAF
2022-03-15,9.87,9.87,9.865,9.87,3143,ALSAF
2022-03-16,9.87,9.87,9.87,9.87,45181,ALSAF
2022-03-21,9.865,9.87,9.86,9.86,4808,ALSAF
2022-03-22,9.87,9.87,9.87,9.87,1031,ALSAF
2022-03-24,9.88,9.88,9.88,9.88,505,ALSAF
2022-03-25,9.87,9.89,9.87,9.89,152463,ALSAF
2022-03-28,9.87,9.88,9.87,9.88,1576,ALSAF
2022-03-29,9.88,9.89,9.88,9.89,502795,ALSAF
2022-03-30,9.89,9.89,9.8875,9.8875,2470,ALSAF
2022-03-31,9.9,9.9,9.88,9.89,9606,ALSAF
2022-04-04,9.8908,9.8908,9.8908,9.8908,1002,ALSAF
2022-04-06,9.9,9.9,9.896,9.896,1549,ALSAF
2022-04-07,9.89,9.91,9.89,9.91,104153,ALSAF
2022-04-08,9.9,9.905,9.9,9.9,4048,ALSAF
2022-04-11,9.9,9.905,9.9,9.905,402,ALSAF
2022-04-12,9.91,9.91,9.91,9.91,1100,ALSAF
2022-04-13,9.9,9.92,9.9,9.92,11426,ALSAF
2022-04-14,9.9107,9.914,9.9107,9.9131,12700,ALSAF
2022-04-18,9.91,9.91,9.91,9.91,12872,ALSAF
2022-04-19,9.91,9.91,9.91,9.91,1973,ALSAF
2022-04-20,9.92,9.92,9.92,9.92,16314,ALSAF
2022-04-21,9.93,9.93,9.91,9.9103,2036,ALSAF
2022-04-25,9.92,9.93,9.92,9.925,6086,ALSAF
2022-04-26,9.925,9.925,9.925,9.925,2893,ALSAF
2022-04-27,9.92,9.92,9.92,9.92,12232,ALSAF
2022-04-28,9.93,9.93,9.92,9.93,16491,ALSAF
2022-04-29,9.93,9.93,9.92,9.93,12584,ALSAF
2022-05-02,9.93,9.93,9.9299,9.93,9800,ALSAF
2022-05-03,9.93,9.9307,9.93,9.9307,20087,ALSAF
2022-05-09,9.94,9.94,9.92,9.92,19351,ALSAF
2022-05-10,9.92,9.93,9.915,9.915,12365,ALSAF
2022-05-11,9.92,9.92,9.91,9.91,13000,ALSAF
2022-05-12,9.9,9.9067,9.9,9.9067,9204,ALSAF
2022-05-13,9.9,9.9,9.9,9.9,411,ALSAF
2022-05-16,9.9,9.9,9.9,9.9,4664,ALSAF
2022-05-17,9.91,9.91,9.9,9.9,1106,ALSAF
2022-05-18,9.9,9.9001,9.9,9.9,7241,ALSAF
2022-05-19,9.89,9.9,9.89,9.895,14402,ALSAF
2022-05-24,9.9001,9.9001,9.9,9.9,5475,ALSAF
2022-05-25,9.94,9.94,9.9399,9.9399,250,ALSAF
2022-05-26,9.9,9.9094,9.9,9.9094,9400,ALSAF
2022-05-27,9.92,9.92,9.9,9.909,6517,ALSAF
2022-05-31,9.92,9.9201,9.91,9.92,3567,ALSAF
2022-06-01,9.92,9.9201,9.91,9.92,7268,ALSAF
2022-06-06,9.94,9.94,9.94,9.94,165,ALSAF
2022-06-07,9.91,9.91,9.91,9.91,321,ALSAF
2022-06-08,9.92,9.92,9.92,9.92,601,ALSAF
2022-06-09,9.94,9.94,9.94,9.94,2080,ALSAF
2022-06-13,9.92,9.92,9.92,9.92,230,ALSAF
2022-06-14,9.92,9.92,9.92,9.92,1841,ALSAF
2022-06-15,9.93,9.93,9.91,9.91,385703,ALSAF
2022-06-16,9.92,9.92,9.92,9.92,3049,ALSAF
2022-06-22,9.92,9.92,9.92,9.92,11060,ALSAF
2022-06-23,9.93,9.93,9.92,9.92,10628,ALSAF
2022-06-24,9.93,9.93,9.93,9.93,5377,ALSAF
2022-06-27,9.94,9.94,9.935,9.94,41260,ALSAF
2022-06-30,9.93,9.931,9.93,9.93,8196,ALSAF
2022-07-05,9.93,9.94,9.93,9.94,5438,ALSAF
2022-07-06,9.93,9.93,9.93,9.93,1659,ALSAF
2022-07-07,9.93,9.93,9.93,9.93,261,ALSAF
2022-07-08,9.95,9.95,9.95,9.95,19174,ALSAF
2022-07-11,9.94,9.9502,9.94,9.95,769,ALSAF
2022-07-15,9.96,9.96,9.96,9.96,11068,ALSAF
2022-07-18,10.0,10.0,10.0,10.0,167,ALSAF
2022-07-19,10.0,10.0,9.97,9.97,584,ALSAF
2022-07-20,9.99,9.99,9.99,9.99,1115,ALSAF
2022-07-21,9.96,9.97,9.96,9.96,291,ALSAF
2022-07-22,9.98,9.99,9.98,9.99,1130,ALSAF
2022-07-25,9.97,9.97,9.96,9.96,276,ALSAF
2022-07-27,9.98,9.98,9.96,9.96,2971,ALSAF
2022-07-29,9.96,9.98,9.96,9.98,1300,ALSAF
2022-08-01,9.97,9.97,9.97,9.97,373,ALSAF
2022-08-03,10.01,10.01,9.97,9.99,542,ALSAF
2022-08-05,9.98,9.99,9.98,9.99,787,ALSAF
2022-08-10,9.98,9.98,9.98,9.98,559,ALSAF
2022-08-11,9.99,9.99,9.99,9.99,112,ALSAF
2022-08-12,9.9893,10.0,9.9893,10.0,1448,ALSAF
2022-08-15,9.99,9.9901,9.99,9.99,5050,ALSAF
2022-08-16,10.0,10.0,10.0,10.0,116,ALSAF
2022-08-17,10.0,10.0,9.99,10.0,6000,ALSAF
2022-08-18,10.0,10.0,10.0,10.0,5000,ALSAF
2022-08-19,10.0093,10.01,10.0093,10.01,1300,ALSAF
2022-08-22,10.01,10.01,10.01,10.01,2830,ALSAF
2022-08-24,10.01,10.01,10.0093,10.01,85205,ALSAF
2022-08-25,10.01,10.01,10.0,10.01,21066,ALSAF
2022-08-26,10.02,10.02,10.02,10.02,1000,ALSAF
2022-08-29,10.02,10.02,10.02,10.02,50109,ALSAF
2022-08-30,10.02,10.02,10.02,10.02,3912,ALSAF
2022-09-02,10.0293,10.0302,10.02,10.02,21431,ALSAF
2022-09-06,10.0293,10.03,10.0293,10.03,12800,ALSAF
2022-09-08,10.03,10.03,10.03,10.03,1032,ALSAF
2022-09-09,10.08,10.08,10.08,10.08,110,ALSAF
2022-09-12,10.035,10.035,10.03,10.03,50122,ALSAF
2022-09-14,10.07,10.07,10.04,10.04,43395,ALSAF
2022-09-15,10.04,10.0422,10.04,10.04,16299,ALSAF
2022-09-19,10.04,10.05,10.04,10.05,17380,ALSAF
2022-09-20,10.06,10.06,10.06,10.06,292,ALSAF
2022-09-21,10.05,10.06,10.05,10.06,3151,ALSAF
2022-09-22,10.06,10.06,10.06,10.06,11298,ALSAF
2022-09-23,10.07,10.07,10.07,10.07,10000,ALSAF
2022-09-26,10.0693,10.07,10.069,10.07,19002,ALSAF
2022-09-27,10.07,10.07,10.07,10.07,189802,ALSAF
2022-09-28,10.08,10.08,10.07,10.07,5237,ALSAF
2022-09-29,10.07,10.07,10.07,10.07,1540,ALSAF
2022-09-30,10.0793,10.08,10.0793,10.08,5600,ALSAF
2022-10-04,10.09,10.09,10.085,10.09,2755,ALSAF
2022-10-05,10.08,10.08,10.08,10.08,250,ALSAF
2022-10-06,10.09,10.09,10.09,10.09,500,ALSAF
2022-10-07,10.09,10.09,10.09,10.09,13084,ALSAF
2022-10-10,10.1,10.1,10.1,10.1,2500,ALSAF
2022-10-11,10.1,10.1,10.09,10.09,29817,ALSAF
2022-10-12,10.1,10.1,10.09,10.09,69950,ALSAF
2022-10-13,10.09,10.09,10.09,10.09,460,ALSAF
2022-10-14,10.1,10.1,10.1,10.1,3426,ALSAF
