Date,Open,High,Low,Close,Volume,ticker
2022-01-21,0.28,0.29,0.26,0.27,727055,ALSTF
2022-01-24,0.32,0.32,0.31,0.3199,1719657,ALSTF
2022-01-25,0.29,0.29,0.285,0.28505,25336,ALSTF
2022-01-26,0.3,0.301401,0.3,0.3,11400,ALSTF
2022-01-27,0.3,0.3,0.3,0.3,517,ALSTF
2022-01-28,0.3,0.3,0.29,0.29,101704,ALSTF
2022-01-31,0.29,0.29,0.2601,0.2601,33001,ALSTF
2022-02-02,0.26,0.26,0.26,0.26,12700,ALSTF
2022-02-04,0.2552,0.2552,0.24,0.24,172100,ALSTF
2022-02-07,0.2451,0.2594,0.2351,0.2352,180700,ALSTF
2022-02-08,0.2494,0.2494,0.24,0.24,77750,ALSTF
2022-02-10,0.24,0.24,0.24,0.24,27250,ALSTF
2022-02-11,0.2354,0.2694,0.2354,0.2694,29310,ALSTF
2022-02-14,0.25,0.25,0.2484,0.25,10020,ALSTF
2022-02-15,0.2451,0.2451,0.2451,0.2451,900,ALSTF
2022-02-16,0.2421,0.2421,0.24,0.24,40000,ALSTF
2022-02-17,0.24,0.247351,0.24,0.247351,25210,ALSTF
2022-02-18,0.24,0.2494,0.2353,0.2353,82620,ALSTF
2022-02-22,0.2351,0.238545,0.235,0.235,37132,ALSTF
2022-02-23,0.24,0.24,0.235,0.235,52600,ALSTF
2022-02-24,0.2307,0.2307,0.22,0.22,541405,ALSTF
2022-02-25,0.22,0.22,0.22,0.22,25000,ALSTF
2022-02-28,0.2294,0.24,0.2294,0.24,25000,ALSTF
2022-03-01,0.2106,0.2106,0.2,0.2,36500,ALSTF
2022-03-02,0.19,0.19,0.19,0.19,30000,ALSTF
2022-03-07,0.2,0.2,0.2,0.2,102500,ALSTF
2022-03-08,0.2,0.2,0.180101,0.180101,25120,ALSTF
2022-03-09,0.2,0.2013,0.2,0.2,153000,ALSTF
2022-03-10,0.198399,0.2,0.198399,0.2,4102,ALSTF
2022-03-11,0.2,0.2,0.2,0.2,12500,ALSTF
2022-03-14,0.2,0.2,0.1994,0.2,14600,ALSTF
2022-03-15,0.19,0.19,0.19,0.19,25000,ALSTF
2022-03-17,0.19,0.19,0.19,0.19,29200,ALSTF
2022-03-21,0.2,0.2,0.2,0.2,25000,ALSTF
