Date,Open,High,Low,Close,Volume,ticker
2021-04-28,9.7,9.95,9.7,9.742,3966,ALTI
2021-04-29,9.92,9.95,9.72,9.72,2550,ALTI
2021-04-30,9.73,9.73,9.73,9.73,601,ALTI
2021-05-03,9.72,9.72,9.72,9.72,302,ALTI
2021-05-04,9.72,9.72,9.68,9.72,19266,ALTI
2021-05-05,9.7,9.72,9.7,9.7,103525,ALTI
2021-05-07,9.7203,9.7203,9.67,9.695,415,ALTI
2021-05-10,9.73,9.73,9.73,9.73,449,ALTI
2021-05-11,9.73,9.73,9.73,9.73,657,ALTI
2021-05-12,9.73,9.73,9.73,9.73,4391,ALTI
2021-05-13,9.74,9.75,9.7365,9.75,917,ALTI
2021-05-14,9.75,10.0,9.75,9.93,5689,ALTI
2021-05-18,9.72,9.72,9.7,9.7,433,ALTI
2021-05-19,9.65,9.65,9.65,9.65,229,ALTI
2021-05-24,9.74,9.74,9.74,9.74,208,ALTI
2021-05-26,9.929,9.95,9.835,9.9,10753,ALTI
2021-06-01,9.74,9.74,9.66,9.73,926,ALTI
2021-06-04,9.73,9.73,9.72,9.72,770,ALTI
2021-06-07,9.72,9.72,9.7001,9.7001,2925,ALTI
2021-06-10,9.76,9.9208,9.72,9.72,1297,ALTI
2021-06-11,9.74,9.75,9.73,9.74,23684,ALTI
2021-06-14,9.7,9.7,9.66,9.66,3615,ALTI
2021-06-17,9.72,9.72,9.71,9.71,500,ALTI
2021-06-23,9.721,9.721,9.721,9.721,873,ALTI
2021-06-28,9.67,9.69,9.66,9.6857,209099,ALTI
2021-06-29,9.69,9.69,9.66,9.69,7729,ALTI
2021-06-30,9.6701,9.6701,9.66,9.66,5618,ALTI
2021-07-01,9.67,9.69,9.67,9.685,3857,ALTI
2021-07-02,9.675,9.675,9.66,9.67,817,ALTI
2021-07-06,9.7,9.7,9.7,9.7,131,ALTI
2021-07-07,9.7,9.7,9.66,9.66,5047,ALTI
2021-07-12,9.7,9.7,9.7,9.7,1032,ALTI
2021-07-13,9.685,9.705,9.66,9.7,4137,ALTI
2021-07-14,9.71,9.71,9.685,9.685,153395,ALTI
2021-07-15,9.69,9.69,9.69,9.69,202,ALTI
2021-07-16,9.71,9.71,9.66,9.66,1942,ALTI
2021-07-20,9.66,9.685,9.65,9.65,5103,ALTI
2021-07-22,9.69,9.705,9.65,9.66,229545,ALTI
2021-07-23,9.68,9.71,9.68,9.7,594862,ALTI
2021-07-26,9.68,9.68,9.68,9.68,392,ALTI
2021-07-27,9.86,9.95,9.795,9.95,8376,ALTI
2021-07-30,9.67,9.68,9.64,9.68,21905,ALTI
2021-08-02,9.64,9.69,9.64,9.68,4024,ALTI
2021-08-04,9.64,9.67,9.62,9.63,92930,ALTI
2021-08-05,9.63,9.65,9.6,9.61,31984,ALTI
2021-08-06,9.62,9.65,9.62,9.63,7691,ALTI
2021-08-09,9.63,9.65,9.63,9.635,6405,ALTI
2021-08-11,9.6599,9.6599,9.635,9.65,897,ALTI
2021-08-12,9.66,9.66,9.63,9.65,2272,ALTI
2021-08-13,9.63,9.64,9.61,9.63,15135,ALTI
2021-08-17,9.62,9.65,9.62,9.64,1906,ALTI
2021-08-18,9.62,9.62,9.62,9.62,154,ALTI
2021-08-20,9.62,9.62,9.5988,9.6,51014,ALTI
2021-08-23,9.62,9.62,9.59,9.6,46698,ALTI
2021-08-24,9.59,9.62,9.59,9.62,45680,ALTI
2021-08-25,9.6,9.62,9.6,9.61,14868,ALTI
2021-08-26,9.61,9.62,9.61,9.61,152925,ALTI
2021-08-27,9.61,9.64,9.61,9.64,194926,ALTI
2021-08-30,9.6102,9.64,9.6102,9.64,1208,ALTI
2021-09-01,9.63,9.63,9.63,9.63,737,ALTI
2021-09-02,9.6166,9.69,9.6166,9.69,12535,ALTI
2021-09-03,9.6455,9.6455,9.6438,9.6438,493,ALTI
2021-09-09,9.6558,9.69,9.6308,9.69,455,ALTI
2021-09-10,9.6571,9.69,9.6207,9.69,1939,ALTI
2021-09-13,9.6848,9.74,9.6598,9.72,14693,ALTI
2021-09-14,9.685,9.73,9.685,9.73,20030,ALTI
2021-09-15,9.7,9.74,9.69,9.74,24120,ALTI
2021-09-16,9.7,9.74,9.6895,9.74,53118,ALTI
2021-09-17,9.74,9.75,9.72,9.75,19489,ALTI
2021-09-20,9.85,9.89,9.85,9.855,4823762,ALTI
2021-09-21,9.89,9.89,9.85,9.87,281831,ALTI
2021-09-22,9.9,9.9,9.86,9.8727,218164,ALTI
2021-09-23,9.86,9.88,9.86,9.88,2209,ALTI
2021-09-24,9.88,9.88,9.86,9.87,8838,ALTI
2021-09-27,9.88,9.88,9.85,9.86,278949,ALTI
2021-09-28,9.86,9.9,9.86,9.87,1024700,ALTI
2021-09-29,9.86,9.89,9.86,9.89,59931,ALTI
2021-09-30,9.88,9.88,9.83,9.85,195297,ALTI
2021-10-01,9.86,9.88,9.83,9.86,404622,ALTI
2021-10-04,9.87,9.88,9.85,9.85,195816,ALTI
2021-10-05,9.88,9.88,9.85,9.85,30749,ALTI
2021-10-06,9.86,9.87,9.85,9.85,59508,ALTI
2021-10-07,9.88,9.88,9.8501,9.865,4272,ALTI
2021-10-08,9.88,9.88,9.88,9.88,100,ALTI
2021-10-11,9.88,9.88,9.88,9.88,122,ALTI
2021-10-12,9.88,9.9,9.85,9.85,200116,ALTI
2021-10-13,9.88,9.91,9.87,9.9,252778,ALTI
2021-10-14,9.92,9.92,9.89,9.92,47634,ALTI
2021-10-15,9.92,9.95,9.89,9.94,106847,ALTI
2021-10-19,9.8885,9.92,9.87,9.87,331171,ALTI
2021-10-20,9.871,9.9,9.8648,9.89,410004,ALTI
2021-10-21,9.88,9.9,9.87,9.88,281583,ALTI
2021-10-22,9.89,9.93,9.86,9.9,1973202,ALTI
2021-10-25,9.9,9.94,9.89,9.93,155778,ALTI
2021-10-26,9.92,9.98,9.89,9.92,227907,ALTI
2021-10-27,9.95,9.97,9.91,9.95,3805,ALTI
2021-10-28,9.91,9.97,9.9,9.93,33795,ALTI
2021-10-29,9.95,9.95,9.93,9.93,5836,ALTI
2021-11-01,9.95,9.95,9.9,9.94,73573,ALTI
2021-11-02,9.96,9.96,9.9,9.91,4364,ALTI
2021-11-03,9.92,9.94,9.92,9.93,3357,ALTI
