Date,Open,High,Low,Close,Volume,ticker
2023-08-04,0.91,1.02,0.91,1.02,24602,ALUR-WS
2023-08-07,1.02,1.04,0.94,0.978,634396,ALUR-WS
2023-08-08,1.05,1.09,0.98,1.0,228976,ALUR-WS
2023-08-09,1.15,1.15,0.95,1.08,4679,ALUR-WS
2023-08-10,0.985,1.06,0.95,1.02,6282,ALUR-WS
2023-08-11,0.9,1.08,0.88,0.98,108238,ALUR-WS
2023-08-14,0.95,0.97,0.8999,0.91,56342,ALUR-WS
2023-08-15,0.9,1.03,0.85,0.85,349125,ALUR-WS
2023-08-16,0.815,0.82,0.8,0.8,4565,ALUR-WS
2023-08-17,0.8,0.8,0.8,0.8,13258,ALUR-WS
2023-08-18,0.764,0.82,0.764,0.8,13045,ALUR-WS
2023-08-21,0.8,0.800101,0.74,0.75,89251,ALUR-WS
2023-08-22,0.7,0.8,0.7,0.72,3022,ALUR-WS
2023-08-23,0.7,0.8,0.7,0.72,7059,ALUR-WS
2023-08-24,0.6,0.735,0.6,0.7,37261,ALUR-WS
2023-08-25,0.69,0.69,0.69,0.69,763,ALUR-WS
2023-08-28,0.629,0.769,0.6,0.67,158508,ALUR-WS
2023-08-29,0.6666,0.7133,0.66,0.68,45667,ALUR-WS
2023-08-30,0.6,0.73,0.6,0.62,53215,ALUR-WS
2023-08-31,0.57,0.64,0.560101,0.62,80513,ALUR-WS
2023-09-01,0.575,0.663,0.575,0.643,10943,ALUR-WS
2023-09-05,0.6416,0.76,0.6416,0.69,129711,ALUR-WS
2023-09-06,0.8199,0.8199,0.7499,0.792,14627,ALUR-WS
2023-09-07,0.72,0.7914,0.6999,0.7914,1897,ALUR-WS
2023-09-08,0.82,0.82,0.82,0.82,253,ALUR-WS
2023-09-11,0.6527,0.6527,0.6527,0.6527,389,ALUR-WS
2023-09-12,0.72,0.75,0.7199,0.7199,1095,ALUR-WS
2023-09-13,0.75,0.8199,0.725,0.75,88956,ALUR-WS
2023-09-14,0.68,0.81,0.6601,0.77,2696,ALUR-WS
2023-09-15,0.7171,0.7171,0.71,0.71,374,ALUR-WS
2023-09-18,0.72,0.99,0.72,0.99,57840,ALUR-WS
2023-09-19,1.05,1.09,0.8067,0.93,6639,ALUR-WS
2023-09-20,0.8399,0.93,0.775,0.93,4274,ALUR-WS
2023-09-21,0.75,0.99,0.75,0.99,20987,ALUR-WS
2023-09-22,0.99,1.0,0.7,0.87,12890,ALUR-WS
2023-09-25,0.8155,0.9075,0.749,0.85,72065,ALUR-WS
2023-09-26,0.78,0.84,0.78,0.78,7551,ALUR-WS
2023-09-27,0.785,0.785,0.785,0.785,400,ALUR-WS
2023-09-28,0.79,0.8353,0.745,0.8353,3808,ALUR-WS
2023-09-29,0.7,0.9504,0.7,0.91,1813,ALUR-WS
2023-10-02,0.82,0.9075,0.720101,0.82,16279,ALUR-WS
2023-10-03,0.7445,0.8145,0.7418,0.81,650,ALUR-WS
2023-10-04,0.91,0.91,0.707,0.836,3104,ALUR-WS
2023-10-05,0.9,0.9,0.85,0.85,771,ALUR-WS
2023-10-06,0.9,0.9,0.9,0.9,1627,ALUR-WS
2023-10-09,0.9,0.9,0.9,0.9,258,ALUR-WS
2023-10-10,0.700101,0.9,0.700101,0.9,640,ALUR-WS
2023-10-11,0.891,0.9,0.700401,0.8,157845,ALUR-WS
2023-10-12,0.8,0.8,0.7,0.7696,18329,ALUR-WS
2023-10-13,0.769,0.769,0.7673,0.7673,747,ALUR-WS
2023-10-16,0.7001,0.8,0.7001,0.8,8150,ALUR-WS
2023-10-17,0.7171,0.8,0.7076,0.8,10684,ALUR-WS
2023-10-18,0.750001,0.8,0.750001,0.8,551,ALUR-WS
2023-10-19,0.71,0.8,0.71,0.8,450,ALUR-WS
2023-10-20,0.71,0.8,0.71,0.8,263,ALUR-WS
2023-10-23,0.7,0.8,0.7,0.8,3581,ALUR-WS
2023-10-24,0.71,0.84,0.7052,0.84,767,ALUR-WS
2023-10-25,0.7201,0.84,0.7,0.8298,12002,ALUR-WS
2023-10-27,0.7,0.825,0.6931,0.825,1925,ALUR-WS
2023-10-30,0.701249,0.8248,0.701249,0.8248,1093,ALUR-WS
2023-10-31,0.84,0.85,0.84,0.85,2295,ALUR-WS
2023-11-01,0.8197,0.85,0.8197,0.85,1144,ALUR-WS
2023-11-02,0.6225,0.85,0.6085,0.8,13223,ALUR-WS
2023-11-03,0.6125,0.84,0.6125,0.83,1966,ALUR-WS
2023-11-06,0.8,0.8375,0.7,0.8,1060,ALUR-WS
2023-11-07,0.7002,0.8,0.7,0.8,5918,ALUR-WS
2023-11-08,0.69875,0.7975,0.69875,0.7975,449,ALUR-WS
2023-11-09,0.72,0.7862,0.6201,0.7,13281,ALUR-WS
2023-11-10,0.6301,0.77,0.6301,0.7,4127,ALUR-WS
2023-11-13,0.64,0.78,0.64,0.7475,1696,ALUR-WS
2023-11-14,0.67,0.74,0.67,0.73,1168,ALUR-WS
2023-11-15,0.6501,0.7,0.5988,0.7,10417,ALUR-WS
2023-11-16,0.635551,0.7,0.6111,0.7,987,ALUR-WS
2023-11-17,0.6,0.7,0.58625,0.69,2561,ALUR-WS
2023-11-20,0.52,0.6598,0.5125,0.649,19152,ALUR-WS
2023-11-21,0.61,0.63,0.61,0.63,629,ALUR-WS
2023-11-22,0.3361,0.63,0.3361,0.6,10109,ALUR-WS
2023-11-24,0.47,0.59,0.47,0.59,576,ALUR-WS
2023-11-27,0.59,0.6,0.5763,0.5899,39505,ALUR-WS
2023-11-29,0.53,0.65,0.53,0.65,1023,ALUR-WS
2023-11-30,0.57,0.7,0.56,0.65,5321,ALUR-WS
2023-12-01,0.65,0.65,0.65,0.65,560,ALUR-WS
2023-12-04,0.65,0.65,0.580001,0.6422,4744,ALUR-WS
2023-12-05,0.55,0.6,0.5051,0.5399,8425,ALUR-WS
2023-12-07,0.455,0.5225,0.455,0.5,161522,ALUR-WS
2023-12-08,0.45,0.5,0.3825,0.4,39080,ALUR-WS
2023-12-11,0.3525,0.45,0.3525,0.445,7006,ALUR-WS
2023-12-12,0.51,0.51,0.4,0.44,1459,ALUR-WS
2023-12-13,0.3024,0.45,0.3024,0.4054,5401,ALUR-WS
2023-12-14,0.35,0.40625,0.3175,0.35,10148,ALUR-WS
2023-12-15,0.362775,0.37,0.3625,0.37,904,ALUR-WS
2023-12-18,0.35,0.3855,0.343,0.38,1506,ALUR-WS
2023-12-19,0.38,0.3835,0.3799,0.3799,4912,ALUR-WS
2023-12-20,0.37,0.3725,0.3392,0.3725,19768,ALUR-WS
2023-12-21,0.3232,0.37,0.26,0.37,18591,ALUR-WS
2023-12-22,0.27,0.35,0.2348,0.35,8234,ALUR-WS
2023-12-26,0.3,0.34,0.26,0.299899,18050,ALUR-WS
2023-12-27,0.3378,0.36,0.3,0.33,20536,ALUR-WS
2023-12-28,0.2825,0.42,0.2825,0.41,2669,ALUR-WS
2023-12-29,0.4,0.5075,0.2925,0.45,7725,ALUR-WS
2024-01-02,0.4,0.44,0.3001,0.4125,6585,ALUR-WS
2024-01-03,0.3268,0.3945,0.322,0.355,3367,ALUR-WS
2024-01-04,0.302,0.355,0.29,0.355,3660,ALUR-WS
2024-01-05,0.3478,0.348,0.3478,0.348,834,ALUR-WS
2024-01-08,0.35,0.44,0.35,0.35,3753,ALUR-WS
2024-01-09,0.35,0.359,0.35,0.359,942,ALUR-WS
2024-01-10,0.35,0.35,0.3114,0.3114,1260,ALUR-WS
2024-01-11,0.3114,0.3383,0.2782,0.3383,2189,ALUR-WS
2024-01-12,0.291301,0.338,0.291301,0.338,1764,ALUR-WS
2024-01-16,0.35,0.35,0.35,0.35,2028,ALUR-WS
2024-01-17,0.35,0.4,0.35,0.4,766,ALUR-WS
2024-01-18,0.35,0.4,0.35,0.3975,1138,ALUR-WS
2024-01-22,0.35,0.3625,0.205,0.34,9718,ALUR-WS
2024-01-23,0.4,0.4,0.28,0.34,1613,ALUR-WS
