Date,Open,High,Low,Close,Volume,ticker
2022-06-17,1.01,1.02,0.6846,0.9,61920,ALVOW
2022-06-21,0.9,0.93,0.87,0.87,7604,ALVOW
2022-06-22,0.8701,0.8701,0.87,0.8701,5441,ALVOW
2022-06-23,0.9505,0.9505,0.87,0.87,11046,ALVOW
2022-06-24,1.055,1.08,1.01,1.01,2605,ALVOW
2022-06-27,1.05,1.05,0.91,0.91,592,ALVOW
2022-06-28,1.02,1.03,0.91,0.91,57200,ALVOW
2022-06-29,0.87,0.87,0.87,0.87,231,ALVOW
2022-06-30,0.87,0.87,0.84,0.84,6999,ALVOW
2022-07-01,0.8287,0.8287,0.8287,0.8287,778,ALVOW
2022-07-05,0.85,0.88,0.8271,0.8287,40700,ALVOW
2022-07-06,0.85,0.85,0.3602,0.74,8502,ALVOW
2022-07-07,0.75,0.8899,0.65,0.8899,17113,ALVOW
2022-07-11,0.935,0.935,0.7899,0.7899,388,ALVOW
2022-07-12,0.7,0.7,0.7,0.7,501,ALVOW
2022-07-13,0.7,0.7,0.7,0.7,1290,ALVOW
2022-07-14,0.7,0.7,0.6501,0.6693,12865,ALVOW
2022-07-15,0.7005,0.7005,0.67,0.67263,3800,ALVOW
2022-07-18,0.66,0.66,0.63,0.63,1100,ALVOW
2022-07-19,0.75,0.75,0.75,0.75,1000,ALVOW
2022-07-20,0.8,0.8,0.675,0.675,2782,ALVOW
2022-07-22,0.68,0.71,0.671501,0.71,1525,ALVOW
2022-07-25,0.6505,0.71,0.6306,0.6307,6992,ALVOW
2022-07-26,0.895,0.895,0.71,0.800001,3197,ALVOW
2022-07-28,0.85,0.85,0.8,0.8,542,ALVOW
2022-07-29,0.8,0.83,0.7383,0.7383,4560,ALVOW
2022-08-01,0.7301,0.743,0.7,0.743,5571,ALVOW
2022-08-04,0.63,0.63,0.63,0.63,1564,ALVOW
2022-08-05,0.71,0.72,0.71,0.72,9697,ALVOW
2022-08-11,0.71,0.75,0.71,0.75,3719,ALVOW
2022-08-15,0.8,0.8001,0.75,0.75,6175,ALVOW
2022-08-16,0.78,0.8995,0.78,0.8995,2814,ALVOW
2022-08-17,0.75,0.75,0.7301,0.7301,380,ALVOW
2022-08-18,0.75,0.76,0.75,0.7525,8240,ALVOW
2022-08-19,0.75,0.750501,0.75,0.75,2252,ALVOW
2022-08-22,0.75,0.77,0.6335,0.75,87628,ALVOW
2022-08-25,0.75,0.8199,0.7301,0.8199,17101,ALVOW
2022-08-26,0.75,0.750001,0.75,0.75,12191,ALVOW
2022-08-29,0.75,0.75,0.75,0.75,1300,ALVOW
