Date,Open,High,Low,Close,Volume,ticker
2021-06-15,4350.0,5032.5,1650.0,2025.0,34180.94001709,ALZN
2021-06-16,1918.5,1918.5,1482.0,1552.5,8280.3400041402,ALZN
2021-06-17,1656.0,1795.45,1471.5,1513.5,3531.333335099,ALZN
2021-06-18,1498.5,1570.5,1291.5,1354.5,2627.8333346473,ALZN
2021-06-21,1378.5,1378.5,1126.5,1218.0,2680.8866680071,ALZN
2021-06-22,1218.0,1327.5,1059.0,1260.0,7041.1466701872,ALZN
2021-06-23,1350.0,1422.0,1257.0,1341.0,10199.366671766,ALZN
2021-06-24,1260.0,1354.5,1207.5,1239.0,3001.9666681676,ALZN
2021-06-25,1255.5,1408.5,1239.0,1290.0,7430.3933370485,ALZN
2021-06-28,1357.5,1821.0,1311.0,1440.0,35958.666684646,ALZN
2021-06-29,1408.5,1704.0,1363.5,1659.0,39378.666686356,ALZN
2021-06-30,1600.5,1819.5,1290.0,1311.0,90104.920045052,ALZN
2021-07-01,1380.76,1387.5,1129.5,1152.0,18291.753342479,ALZN
2021-07-02,1080.0,1170.0,1021.5,1092.0,7438.6733370527,ALZN
2021-07-06,1110.0,1119.0,1036.5,1045.5,5625.7266694795,ALZN
2021-07-07,1044.0,1065.0,843.195,975.0,11251.633338959,ALZN
2021-07-08,909.0,967.5,886.5,942.0,6381.2133365239,ALZN
2021-07-09,931.5,1010.98,912.36,919.5,8220.8400041104,ALZN
2021-07-12,937.5,961.5,867.0,916.5,2902.060001451,ALZN
2021-07-13,906.0,999.0,900.0,930.0,9063.5333378651,ALZN
2021-07-14,930.0,1073.43,870.0,961.5,17605.76667547,ALZN
2021-07-15,967.5,1075.5,915.0,1047.0,25952.580012976,ALZN
2021-07-16,994.5,1030.48,919.5,925.5,16001.226674667,ALZN
2021-07-19,895.5,895.5,727.5,790.5,13260.793339964,ALZN
2021-07-20,787.5,819.0,760.5,787.5,6625.8000033129,ALZN
2021-07-21,786.0,858.0,780.0,829.5,10414.840005207,ALZN
2021-07-22,894.0,997.5,834.0,861.0,30274.746681804,ALZN
2021-07-23,1221.0,1242.0,844.5,859.5,187902.60009395,ALZN
2021-07-26,792.0,793.5,730.5,736.5,14992.95334083,ALZN
2021-07-27,720.0,726.0,644.985,663.0,10172.67333842,ALZN
2021-07-28,663.0,1011.0,649.5,783.0,73134.1933699,ALZN
2021-07-29,762.0,785.67,690.0,699.0,16114.933341391,ALZN
2021-07-30,690.0,729.0,660.0,663.75,7635.333337151,ALZN
2021-08-02,684.0,726.0,667.5,670.5,9388.746671361,ALZN
2021-08-03,681.9,682.395,640.5,645.0,6068.7000030344,ALZN
2021-08-04,667.5,681.0,631.5,652.5,7324.2466703288,ALZN
2021-08-05,643.5,651.0,627.15,633.0,3830.9400019155,ALZN
2021-08-06,634.5,640.5,591.0,624.0,5577.2400027886,ALZN
2021-08-09,621.0,628.5,603.0,606.0,2889.7533347782,ALZN
2021-08-10,615.0,649.5,591.0,610.5,7162.4066702479,ALZN
2021-08-11,621.0,625.5,602.4,610.5,2999.1933348329,ALZN
2021-08-12,613.5,621.0,564.0,574.5,4295.0400021475,ALZN
2021-08-13,571.5,574.89,516.0,522.0,5219.8733359433,ALZN
2021-08-16,538.5,541.5,517.515,525.0,2480.06000124,ALZN
2021-08-17,511.5,518.985,483.0,495.0,5375.5533360211,ALZN
2021-08-18,504.0,535.5,487.5,495.0,3001.3000015007,ALZN
2021-08-19,487.5,522.0,484.5,501.0,5160.8933359138,ALZN
2021-08-20,492.0,520.5,480.0,486.0,6177.5266697554,ALZN
2021-08-23,487.5,507.0,483.0,493.5,4430.0533355484,ALZN
2021-08-24,499.5,508.5,486.0,493.5,5179.0600025895,ALZN
2021-08-25,497.655,497.655,444.0,453.0,15258.853340963,ALZN
2021-08-26,454.5,464.61,442.5,451.5,3782.5733352246,ALZN
2021-08-27,451.5,457.5,424.5,433.5,6314.2266698238,ALZN
2021-08-30,438.0,499.5,427.5,462.0,20799.133343733,ALZN
2021-08-31,459.0,481.5,454.485,459.0,9694.7000048474,ALZN
2021-09-01,462.0,478.5,439.5,475.5,8885.8333377763,ALZN
