Date,Open,High,Low,Close,Volume,ticker
2013-05-03,20.19,20.65,20.19,20.4,596922,AMBC
2013-05-06,20.05,21.75,19.01,21.44,1854895,AMBC
2013-05-07,21.5,22.5,21.5,22.38,2932432,AMBC
2013-05-08,22.36,24.75,22.36,24.45,3460948,AMBC
2013-05-09,24.75,25.78,23.01,24.25,2308583,AMBC
2013-05-10,24.04,24.78,23.269,23.89,820531,AMBC
2013-05-13,23.57,23.94,22.8,23.04,791607,AMBC
2013-05-14,22.82,23.2,22.32,22.84,672220,AMBC
2013-05-15,22.8,23.0,22.4,22.75,1212741,AMBC
2013-05-16,23.5,23.85,22.93,23.67,2347821,AMBC
2013-05-17,24.5,26.15,24.27,26.03,2243619,AMBC
2013-05-20,26.51,27.25,26.23,27.16,1452142,AMBC
2013-05-21,27.02,27.2,26.21,26.77,537408,AMBC
2013-05-22,26.8,26.9,25.51,25.93,431807,AMBC
2013-05-23,25.06,25.64,24.65,25.34,1036769,AMBC
2013-05-24,25.65,25.65,24.5,24.75,599657,AMBC
2013-05-28,24.87,25.245,24.8,25.04,312381,AMBC
2013-05-29,24.44,25.09,24.44,24.94,327517,AMBC
2013-05-30,24.56,25.38,24.56,25.25,633534,AMBC
2013-05-31,25.05,25.32,24.7,25.2,161368,AMBC
2013-06-03,24.86,25.81,24.5,25.58,1577135,AMBC
2013-06-04,25.18,25.71,25.07,25.57,1017986,AMBC
2013-06-05,25.21,25.98,25.07,25.45,753285,AMBC
2013-06-06,25.26,25.97,25.13,25.69,879225,AMBC
2013-06-07,25.38,25.88,25.38,25.75,191221,AMBC
2013-06-10,25.71,26.31,25.43,26.07,576472,AMBC
2013-06-11,26.25,26.34,25.26,25.49,473947,AMBC
2013-06-12,24.77,26.0,24.77,24.96,425413,AMBC
2013-06-13,25.08,25.79,24.79,25.1,536827,AMBC
2013-06-14,24.92,24.94,24.323,24.44,253565,AMBC
2013-06-17,24.88,25.195,24.742,24.84,564789,AMBC
2013-06-18,24.72,25.0,24.62,24.84,579251,AMBC
2013-06-19,24.64,25.0,24.64,24.95,580689,AMBC
2013-06-20,24.53,24.84,24.16,24.39,1047745,AMBC
2013-06-21,24.34,24.57,23.46,23.63,2935191,AMBC
2013-06-24,23.22,23.6,21.21,22.62,2261168,AMBC
2013-06-25,22.67,22.99,22.57,22.86,538964,AMBC
2013-06-26,23.27,23.32,22.68,22.7,525004,AMBC
2013-06-27,23.0,23.56,22.68,23.4,479525,AMBC
2013-06-28,23.35,24.02,23.3,23.83,6908934,AMBC
2013-07-01,23.63,24.25,23.53,23.88,368969,AMBC
2013-07-02,23.79,23.87,22.41,23.24,347862,AMBC
2013-07-03,23.06,23.278,22.47,22.91,361983,AMBC
2013-07-05,23.66,23.66,22.23,22.4,309693,AMBC
2013-07-08,22.53,23.6,22.48,23.54,320520,AMBC
2013-07-09,23.38,23.58,23.01,23.26,311792,AMBC
2013-07-10,23.18,23.45,22.91,23.09,295028,AMBC
2013-07-11,23.32,23.35,23.005,23.31,471913,AMBC
2013-07-12,23.34,24.0,23.28,23.89,361654,AMBC
2013-07-15,24.0,24.0,23.56,23.99,328722,AMBC
2013-07-16,23.95,24.64,23.95,24.6,453116,AMBC
2013-07-17,24.72,25.42,24.43,24.96,762522,AMBC
2013-07-18,25.0,25.54,25.0,25.33,434001,AMBC
2013-07-19,25.15,25.25,24.65,24.98,332011,AMBC
2013-07-22,24.68,25.25,24.68,24.98,314814,AMBC
2013-07-23,25.13,25.39,24.8,24.9,340817,AMBC
2013-07-24,24.92,25.21,24.89,24.97,328601,AMBC
2013-07-25,25.0,25.21,24.81,24.99,198986,AMBC
2013-07-26,24.75,25.3,24.75,25.02,163184,AMBC
2013-07-29,24.83,25.3,24.44,24.49,142420,AMBC
2013-07-30,24.65,25.01,24.14,24.38,158720,AMBC
2013-07-31,24.37,25.34,24.14,25.04,641888,AMBC
2013-08-01,25.2,25.65,25.2,25.43,474605,AMBC
2013-08-02,25.68,25.7,24.81,24.85,320045,AMBC
2013-08-05,24.8,25.17,24.7,24.93,240818,AMBC
2013-08-06,24.95,24.95,24.27,24.65,263721,AMBC
2013-08-07,24.6,25.25,24.22,25.15,273833,AMBC
2013-08-08,25.34,25.36,24.78,25.0,165296,AMBC
2013-08-09,24.88,25.21,24.52,24.72,167720,AMBC
2013-08-12,24.62,24.68,23.99,24.24,322913,AMBC
2013-08-13,24.18,24.39,24.05,24.2,185448,AMBC
2013-08-14,24.13,25.13,24.13,24.54,302138,AMBC
2013-08-15,24.62,24.62,23.76,23.86,272449,AMBC
2013-08-16,23.7,23.97,23.6,23.61,217354,AMBC
2013-08-19,23.51,23.85,23.32,23.41,151739,AMBC
2013-08-20,23.49,23.86,23.02,23.4,185385,AMBC
2013-08-21,23.25,23.75,22.665,23.06,240771,AMBC
2013-08-22,23.19,23.74,23.01,23.41,105002,AMBC
2013-08-23,23.95,24.0,22.91,22.99,142657,AMBC
2013-08-26,23.16,23.77,23.12,23.14,84018,AMBC
2013-08-27,22.74,23.33,22.73,22.83,223252,AMBC
2013-08-28,22.83,22.9,22.59,22.82,96414,AMBC
2013-08-29,22.79,23.4,22.361,22.47,177048,AMBC
2013-08-30,22.4,22.58,22.06,22.16,164953,AMBC
2013-09-03,22.4,23.14,22.29,22.36,165644,AMBC
2013-09-04,22.24,22.29,21.78,21.9,1006491,AMBC
2013-09-05,21.86,21.88,21.37,21.39,484719,AMBC
2013-09-06,21.75,21.76,21.25,21.54,332084,AMBC
2013-09-09,21.55,21.58,20.81,20.89,1240372,AMBC
2013-09-10,21.0,21.02,19.6,19.82,1845936,AMBC
2013-09-11,19.67,19.93,17.64,18.82,3021643,AMBC
2013-09-12,19.11,19.47,18.9,19.37,1639523,AMBC
2013-09-13,19.47,20.16,19.37,20.02,1142746,AMBC
2013-09-16,20.24,20.255,19.911,20.01,507553,AMBC
2013-09-17,19.99,20.07,19.8,20.04,343799,AMBC
2013-09-18,19.98,20.2,19.72,20.08,633531,AMBC
2013-09-19,20.07,20.39,19.58,19.71,536977,AMBC
2013-09-20,19.73,19.91,19.56,19.81,753555,AMBC
2013-09-23,19.8,19.94,19.5,19.56,425587,AMBC
2013-09-24,19.64,19.9,19.31,19.56,407400,AMBC
