Date,Open,High,Low,Close,Volume,ticker
2019-07-18,25.45,27.55,24.56,27.04,10450760,AMK
2019-07-19,26.79,28.1,26.18,27.25,1336086,AMK
2019-07-22,27.07,27.58,26.01,26.6,426870,AMK
2019-07-23,26.6,26.9,25.8,26.05,366271,AMK
2019-07-24,25.84,27.0,25.84,26.25,773308,AMK
2019-07-25,26.27,26.69,25.75,26.53,329587,AMK
2019-07-26,26.52,27.93,26.45,27.9,98462,AMK
2019-07-29,27.95,28.48,27.68,28.14,286108,AMK
2019-07-30,27.88,28.61,27.8203,28.5,152496,AMK
2019-07-31,28.51,28.51,28.28,28.29,66255,AMK
2019-08-01,28.52,28.61,28.22,28.3,115887,AMK
2019-08-02,28.05,28.6,27.23,28.5,86731,AMK
2019-08-05,28.02,28.02,26.76,27.08,73930,AMK
2019-08-06,27.05,27.77,27.02,27.59,55873,AMK
2019-08-07,27.24,27.24,26.63,26.76,91179,AMK
2019-08-08,26.74,27.03,26.3,26.68,48185,AMK
2019-08-09,26.59,26.9,26.21,26.33,119431,AMK
2019-08-12,25.66,25.75,24.68,24.77,337908,AMK
2019-08-13,24.83,25.05,24.5776,24.75,252976,AMK
2019-08-14,24.61,24.61,23.31,23.4,266447,AMK
2019-08-15,23.43,23.89,22.87,23.31,202287,AMK
2019-08-16,23.4,24.58,23.01,24.37,321859,AMK
2019-08-19,24.69,25.24,23.55,25.08,173607,AMK
2019-08-20,24.99,26.335,24.6501,25.99,88919,AMK
2019-08-21,25.99,27.1,25.99,26.95,87377,AMK
2019-08-22,27.0,27.18,26.64,27.0,95485,AMK
2019-08-23,26.87,26.9,26.1,26.55,64968,AMK
2019-08-26,26.57,27.0,26.57,27.0,72852,AMK
2019-08-27,26.98,27.68,25.31,26.64,122316,AMK
2019-08-28,26.48,26.88,25.64,26.38,117891,AMK
2019-08-29,26.77,27.49,26.38,27.16,228554,AMK
2019-08-30,27.44,28.87,27.11,28.2,173248,AMK
2019-09-03,28.27,28.7,27.41,28.38,208245,AMK
2019-09-04,28.5,29.03,27.885,28.8,315254,AMK
2019-09-05,29.1,29.37,27.6,27.98,354300,AMK
2019-09-06,28.0,28.15,26.68,27.0,255889,AMK
2019-09-09,27.05,27.47,26.33,26.75,208556,AMK
2019-09-10,26.76,26.81,26.06,26.25,131860,AMK
2019-09-11,26.35,26.5,25.98,26.37,137302,AMK
2019-09-12,26.38,28.08,26.33,27.49,125062,AMK
2019-09-13,27.65,27.925,27.25,27.54,147412,AMK
2019-09-16,27.52,28.205,27.11,27.21,221416,AMK
2019-09-17,27.21,27.35,26.29,26.41,200879,AMK
2019-09-18,26.43,27.74,26.03,27.41,209930,AMK
2019-09-19,27.54,27.7,27.18,27.55,177480,AMK
2019-09-20,27.43,27.96,27.055,27.81,1872565,AMK
2019-09-23,27.66,27.98,27.39,27.39,132361,AMK
2019-09-24,27.51,27.81,26.41,26.65,202965,AMK
2019-09-25,26.65,28.0,26.34,27.95,165867,AMK
2019-09-26,27.93,27.94,26.56,27.13,258703,AMK
2019-09-27,27.15,27.29,25.64,25.94,290608,AMK
2019-09-30,26.03,26.46,25.06,26.05,291331,AMK
2019-10-01,26.77,26.77,24.74,24.78,280810,AMK
2019-10-02,24.74,24.74,23.86,24.5,399638,AMK
2019-10-03,24.5,24.5,23.63,23.83,233705,AMK
2019-10-04,23.88,24.18,23.65,24.04,209974,AMK
2019-10-07,24.04,24.46,23.725,24.31,108342,AMK
2019-10-08,23.77,24.0,23.52,23.73,217991,AMK
2019-10-09,24.1,25.3,23.88,24.64,139967,AMK
2019-10-10,24.595,25.78,24.36,25.57,260459,AMK
2019-10-11,25.89,26.1,25.1313,25.66,138362,AMK
2019-10-14,25.52,25.85,24.96,25.63,106247,AMK
2019-10-15,25.84,26.46,25.46,25.69,147798,AMK
2019-10-16,25.7,26.09,25.21,25.83,181878,AMK
2019-10-17,25.96,26.425,25.61,26.07,129918,AMK
2019-10-18,25.94,27.42,25.6667,27.16,156782,AMK
2019-10-21,27.44,28.13,26.85,27.55,127182,AMK
2019-10-22,27.29,27.7,26.95,27.04,61678,AMK
2019-10-23,26.93,27.23,26.42,26.93,167976,AMK
2019-10-24,27.05,27.7,26.61,26.79,91535,AMK
2019-10-25,26.86,27.5,26.51,26.97,59661,AMK
2019-10-28,27.36,27.88,26.77,27.07,118190,AMK
2019-10-29,27.0,27.48,26.79,27.12,147542,AMK
2019-10-30,27.15,28.1699,27.06,27.63,307309,AMK
2019-10-31,27.49,27.54,27.02,27.44,70852,AMK
2019-11-01,27.64,28.78,27.27,28.01,80003,AMK
2019-11-04,28.25,28.82,27.79,28.09,79062,AMK
2019-11-05,28.07,28.22,26.73,27.04,159178,AMK
2019-11-06,27.03,27.03,25.49,25.5,180454,AMK
2019-11-07,25.7,25.8,25.15,25.38,174828,AMK
2019-11-08,25.26,25.52,25.02,25.06,112120,AMK
2019-11-11,24.93,25.69,24.68,24.99,166279,AMK
2019-11-12,25.1,25.15,24.61,24.64,157969,AMK
2019-11-13,24.53,25.16,24.31,24.45,331943,AMK
2019-11-14,24.47,24.72,23.7,24.16,239257,AMK
2019-11-15,24.36,24.74,23.855,24.12,275897,AMK
2019-11-18,24.24,24.91,23.64,24.82,244392,AMK
2019-11-19,24.81,25.09,24.0,24.45,193696,AMK
