Date,Open,High,Low,Close,Volume,ticker
2022-01-07,21.0,21.0,17.45,18.07,2160106,AMLX
2022-01-10,18.45,18.45,16.0,16.72,701998,AMLX
2022-01-11,16.5,21.37,16.5,20.08,749400,AMLX
2022-01-12,19.01,22.0,18.21,20.26,472094,AMLX
2022-01-13,20.78,23.16,19.84,21.01,638497,AMLX
2022-01-14,21.37,21.97,20.17,20.61,301587,AMLX
2022-01-18,20.58,21.24,18.705,19.35,402350,AMLX
2022-01-19,19.4,22.22,19.4,21.28,285288,AMLX
2022-01-20,20.5,21.41,20.14,20.29,197766,AMLX
2022-01-21,20.12,21.465,17.01,18.52,200160,AMLX
2022-01-24,18.0,20.1,17.52,19.11,291545,AMLX
2022-01-25,19.56,19.89,17.96,18.84,189400,AMLX
2022-01-26,18.84,19.99,18.01,19.66,129683,AMLX
2022-01-27,19.88,20.4,18.3665,18.94,223505,AMLX
2022-01-28,19.19,20.83,18.81,20.0,266883,AMLX
2022-01-31,20.96,24.5,20.14,23.18,332660,AMLX
2022-02-01,23.2,23.85,22.28,23.36,357891,AMLX
2022-02-02,23.98,23.98,21.01,22.41,236139,AMLX
2022-02-03,22.04,23.345,21.56,22.74,180362,AMLX
2022-02-04,22.97,23.94,22.4,22.52,142831,AMLX
2022-02-07,22.88,23.6127,19.52,19.82,530274,AMLX
2022-02-08,19.64,21.445,19.34,19.61,326578,AMLX
2022-02-09,19.6,21.54,19.41,20.59,222236,AMLX
2022-02-10,20.79,22.02,19.64,20.0,157990,AMLX
2022-02-11,20.0,21.62,18.83,19.25,326149,AMLX
2022-02-14,19.89,21.05,19.4,20.17,168938,AMLX
2022-02-15,20.58,22.05,20.16,20.5,255260,AMLX
2022-02-16,20.32,22.74,20.32,21.82,246190,AMLX
2022-02-17,21.8,23.25,21.03,23.03,135987,AMLX
2022-02-18,23.41,26.71,23.0,26.49,616300,AMLX
2022-02-22,26.49,31.0,26.49,29.98,1135414,AMLX
2022-02-23,28.92,30.499,27.1009,28.95,402138,AMLX
2022-02-24,27.52,30.16,27.0945,30.06,416512,AMLX
2022-02-25,30.28,31.99,29.8,30.98,506845,AMLX
2022-02-28,31.18,33.41,30.76,32.9,495918,AMLX
2022-03-01,32.97,32.97,27.55,28.04,711480,AMLX
2022-03-02,28.25,30.24,27.06,29.54,534977,AMLX
2022-03-03,29.47,30.58,24.515,25.99,588416,AMLX
2022-03-04,25.99,27.57,25.51,27.39,234398,AMLX
2022-03-07,27.66,28.605,25.0,26.45,397240,AMLX
2022-03-08,26.57,28.12,25.08,27.0,369156,AMLX
2022-03-09,27.68,28.83,26.71,27.82,477794,AMLX
2022-03-10,27.46,28.77,26.845,27.81,289000,AMLX
2022-03-11,27.51,28.38,25.17,26.01,233178,AMLX
2022-03-14,25.84,27.435,24.435,24.85,274884,AMLX
2022-03-15,24.48,24.8,22.64,23.24,441270,AMLX
2022-03-16,23.47,24.92,22.1,22.93,539876,AMLX
2022-03-17,23.75,23.75,22.16,22.88,633693,AMLX
2022-03-18,22.69,23.75,22.62,22.75,2667904,AMLX
2022-03-21,22.81,23.84,21.2704,22.22,871114,AMLX
2022-03-22,22.1,22.8999,20.1,20.47,701743,AMLX
2022-03-23,20.44,20.99,20.0216,20.38,290310,AMLX
2022-03-24,20.54,21.81,19.13,21.71,877120,AMLX
2022-03-25,22.79,26.95,21.71,25.0,1908947,AMLX
2022-03-28,24.11,25.68,10.49,16.01,15203623,AMLX
2022-03-29,16.36,16.36,14.28,14.93,2765312,AMLX
2022-03-31,11.68,13.89,11.115,12.85,3968751,AMLX
2022-04-01,12.02,13.15,11.76,12.88,710276,AMLX
2022-04-04,12.8,14.07,12.33,13.9,685397,AMLX
2022-04-05,13.82,14.09,12.85,13.23,471892,AMLX
2022-04-06,13.29,13.95,13.18,13.76,461291,AMLX
2022-04-07,13.82,14.31,13.36,14.21,365429,AMLX
2022-04-08,14.35,14.39,13.4,13.65,540979,AMLX
2022-04-11,13.71,13.73,12.52,12.58,585550,AMLX
2022-04-12,12.52,12.79,11.69,11.81,352747,AMLX
2022-04-13,11.79,12.28,11.66,12.01,300382,AMLX
2022-04-14,11.92,12.21,11.71,11.81,163075,AMLX
2022-04-18,11.68,11.68,10.56,10.57,316156,AMLX
2022-04-19,10.53,10.89,10.31,10.8,184512,AMLX
2022-04-20,10.66,10.97,10.5017,10.89,208749,AMLX
2022-04-21,10.97,11.09,9.84,9.93,470790,AMLX
2022-04-22,9.66,10.1,9.52,9.97,487262,AMLX
2022-04-25,10.0,10.62,9.96,10.51,225737,AMLX
2022-04-26,10.47,10.56,10.03,10.13,131384,AMLX
2022-04-27,10.23,10.54,9.26,9.57,444629,AMLX
2022-04-28,9.91,9.91,8.81,9.5,352724,AMLX
2022-04-29,9.32,9.56,8.89,9.0,170011,AMLX
2022-05-02,8.94,9.22,8.57,9.13,248173,AMLX
2022-05-03,9.09,9.94,9.0,9.79,138109,AMLX
2022-05-04,9.71,10.21,9.28,10.12,122542,AMLX
2022-05-05,10.04,10.15,9.17,9.28,290537,AMLX
2022-05-06,9.17,9.4423,7.64,7.65,501022,AMLX
2022-05-09,7.59,7.9472,7.0,7.08,360031,AMLX
2022-05-10,7.15,7.71,6.82,7.71,375685,AMLX
2022-05-11,7.66,7.72,6.79,6.85,267146,AMLX
2022-05-12,6.8,7.59,6.51,7.48,206851,AMLX
2022-05-13,7.53,8.75,7.3,8.45,205607,AMLX
2022-05-16,8.38,8.595,8.13,8.33,89412,AMLX
2022-05-17,8.38,8.87,7.9888,8.78,116349,AMLX
2022-05-18,8.58,8.99,8.57,8.74,220180,AMLX
2022-05-19,8.73,9.12,8.565,9.02,216147,AMLX
2022-05-20,9.14,9.17,8.28,8.7,295080,AMLX
2022-05-23,8.84,8.84,8.22,8.42,159781,AMLX
2022-05-24,8.36,8.5,8.1375,8.45,142905,AMLX
2022-05-25,8.54,8.85,8.43,8.57,297358,AMLX
2022-05-26,8.52,8.52,7.83,7.84,134696,AMLX
2022-05-27,7.92,8.85,7.645,8.78,120796,AMLX
2022-05-31,8.9,9.49,8.62,8.89,133471,AMLX
2022-06-01,8.99,9.0,8.41,8.55,129304,AMLX
2022-06-02,8.56,9.82,8.35,9.77,162727,AMLX
2022-06-03,13.3,13.94,11.42,12.35,21153079,AMLX
2022-06-06,12.02,12.4,11.5,12.17,792910,AMLX
2022-06-07,11.96,12.52,11.83,12.01,277085,AMLX
2022-06-08,11.91,14.68,11.89,14.65,861173,AMLX
2022-06-09,14.36,14.67,13.18,13.56,477931,AMLX
2022-06-10,12.66,13.92,12.39,13.53,389697,AMLX
2022-06-13,13.09,15.14,12.93,13.0,1222456,AMLX
2022-06-14,13.5,16.4199,12.7101,16.19,1400082,AMLX
2022-06-15,16.055,16.34,14.9012,15.78,978810,AMLX
2022-06-16,15.53,17.34,15.19,16.71,851454,AMLX
2022-06-17,16.75,18.19,16.75,17.83,780695,AMLX
2022-06-21,17.99,18.35,15.9604,18.11,739079,AMLX
2022-06-22,17.09,18.61,16.2953,17.55,508539,AMLX
2022-06-23,17.68,20.74,16.97,19.8,956650,AMLX
2022-06-24,20.03,20.2999,17.85,18.71,954215,AMLX
2022-06-27,18.83,20.44,18.42,19.93,468799,AMLX
2022-06-28,19.55,20.14,19.06,19.68,334207,AMLX
2022-06-29,19.39,19.7827,17.68,18.18,504166,AMLX
2022-06-30,17.83,19.67,17.82,19.26,458743,AMLX
2022-07-01,18.85,20.35,18.7401,19.47,509866,AMLX
2022-07-05,22.63,23.17,19.1,19.5,2033368,AMLX
2022-07-06,20.14,22.78,18.44,20.59,1669616,AMLX
2022-07-07,20.64,22.5,19.74,22.0,1712216,AMLX
2022-07-08,21.44,23.42,20.44,22.21,1074222,AMLX
2022-07-11,22.05,22.43,20.77,21.87,583180,AMLX
2022-07-12,21.68,22.1,20.42,20.97,431152,AMLX
2022-07-13,20.41,21.16,20.0304,20.18,394242,AMLX
2022-07-14,20.0,21.13,19.68,20.29,665637,AMLX
2022-07-15,20.38,20.99,20.07,20.5,425186,AMLX
2022-07-18,20.51,22.29,20.18,20.49,577435,AMLX
2022-07-19,20.05,21.99,19.54,20.86,494664,AMLX
