Date,Open,High,Low,Close,Volume,ticker
2021-09-28,50.0,54.9,50.0,54.8,11534515,AMPL
2021-09-29,53.25,54.75,51.7,54.01,2927599,AMPL
2021-09-30,53.32,54.43,52.2637,54.34,1830915,AMPL
2021-10-01,54.0,54.74,50.37,54.51,1900949,AMPL
2021-10-04,53.83,55.0,52.04,54.0,3777812,AMPL
2021-10-05,53.54,53.97,51.6,52.25,859307,AMPL
2021-10-06,51.21,51.45,49.5352,50.17,937057,AMPL
2021-10-07,50.18,52.2,50.18,51.95,233086,AMPL
2021-10-08,52.51,52.82,49.59,49.69,194004,AMPL
2021-10-11,50.0,50.72,48.861,49.12,364406,AMPL
2021-10-12,49.26,50.4548,49.13,50.0,389389,AMPL
2021-10-13,50.0,53.68,49.58,53.6,520004,AMPL
2021-10-14,53.6,54.97,53.08,54.45,682235,AMPL
2021-10-15,54.75,56.13,54.045,56.02,790964,AMPL
2021-10-18,55.12,64.93,55.12,63.52,1931975,AMPL
2021-10-19,63.39,65.0,60.6,63.79,694812,AMPL
2021-10-20,64.24,65.6174,62.92,64.84,491163,AMPL
2021-10-21,64.45,69.46,64.1,66.69,539066,AMPL
2021-10-22,65.51,70.52,65.329,67.41,567469,AMPL
2021-10-25,67.25,72.12,67.0001,68.95,902547,AMPL
2021-10-26,69.41,73.61,68.52,71.17,585345,AMPL
2021-10-27,69.05,71.18,66.77,70.52,1048407,AMPL
2021-10-28,70.5,73.21,68.0,73.07,590736,AMPL
2021-10-29,72.34,74.8,72.32,74.29,727248,AMPL
2021-11-01,76.3,78.03,73.6601,77.91,897234,AMPL
2021-11-02,77.91,83.9,76.61,78.72,1202207,AMPL
2021-11-03,79.08,84.48,79.08,80.8,942228,AMPL
2021-11-04,81.13,87.98,80.6,82.19,1269372,AMPL
2021-11-05,83.0,84.99,80.1401,83.68,661273,AMPL
2021-11-08,85.0,86.11,77.9,80.27,1082801,AMPL
2021-11-09,80.27,85.13,77.36,84.8,763274,AMPL
2021-11-10,79.62,83.2779,74.3,74.72,1436523,AMPL
2021-11-11,78.41,78.86,74.59,75.57,457418,AMPL
2021-11-12,72.96,75.394,72.04,73.86,1549760,AMPL
2021-11-15,72.08,73.63,67.07,72.69,2045709,AMPL
2021-11-16,72.13,74.19,69.69,72.61,1213975,AMPL
2021-11-17,71.59,73.3489,70.38,71.1,674466,AMPL
2021-11-18,69.88,71.34,68.13,68.47,493092,AMPL
2021-11-19,68.92,69.99,67.88,68.4,532580,AMPL
2021-11-22,69.15,69.5,61.55,67.17,1346135,AMPL
2021-11-23,66.39,71.1,65.12,68.27,795723,AMPL
2021-11-24,67.88,68.3799,66.01,67.54,910637,AMPL
2021-11-26,66.0,66.83,64.7,66.07,212179,AMPL
2021-11-29,69.5,72.17,67.1301,71.75,1034040,AMPL
2021-11-30,69.37,71.48,64.94,65.0,1483375,AMPL
2021-12-01,68.0,68.94,61.51,61.89,988199,AMPL
2021-12-02,61.94,64.04,60.13,63.09,737497,AMPL
2021-12-03,63.3,65.05,55.5868,58.93,1044147,AMPL
2021-12-06,60.81,61.01,55.875,56.79,1043168,AMPL
2021-12-07,58.01,63.77,57.98,60.35,941670,AMPL
2021-12-08,61.07,62.49,57.83,61.44,580763,AMPL
2021-12-09,61.03,62.12,56.105,56.65,650256,AMPL
2021-12-10,57.72,58.325,54.69,55.58,767218,AMPL
2021-12-13,55.58,55.58,50.2,52.71,1131469,AMPL
2021-12-14,50.86,51.48,48.35,50.94,1480476,AMPL
2021-12-15,50.16,51.36,47.7,51.22,1155114,AMPL
2021-12-16,51.64,53.13,49.71,50.42,1575582,AMPL
2021-12-17,49.52,51.99,48.4,51.13,2409306,AMPL
2021-12-20,50.21,51.78,49.09,51.41,490478,AMPL
2021-12-21,52.0,54.24,51.41,54.08,587628,AMPL
2021-12-22,53.96,55.03,52.93,54.71,818911,AMPL
2021-12-23,54.96,57.42,53.71,57.12,568085,AMPL
2021-12-27,57.76,60.49,57.6,58.15,627676,AMPL
2021-12-28,57.87,58.34,55.23,55.55,812720,AMPL
2021-12-29,56.0,56.1316,53.55,54.33,518332,AMPL
2021-12-30,54.32,56.53,52.82,54.67,829443,AMPL
2021-12-31,54.67,54.8083,52.55,52.94,879247,AMPL
2022-01-03,53.0,53.73,50.13,52.9,1032066,AMPL
2022-01-04,52.9,53.225,49.1,50.41,634255,AMPL
2022-01-05,49.69,50.8,45.385,45.83,535629,AMPL
2022-01-06,45.33,45.76,42.99,44.35,835290,AMPL
2022-01-07,44.45,46.0,41.68,43.09,520308,AMPL
2022-01-10,41.99,44.76,40.26,44.42,1110917,AMPL
2022-01-11,44.69,47.74,44.16,47.07,541271,AMPL
2022-01-12,48.0,49.66,45.8486,46.69,736111,AMPL
2022-01-13,46.78,46.78,44.63,45.02,301662,AMPL
2022-01-14,44.5,45.18,42.03,43.49,1233032,AMPL
2022-01-18,42.14,42.645,39.395,40.05,1702320,AMPL
2022-01-19,39.97,41.17,38.6693,39.14,1410769,AMPL
2022-01-20,40.61,41.0,38.53,38.57,1629922,AMPL
2022-01-21,38.36,39.36,36.95,37.17,1630093,AMPL
2022-01-24,35.55,36.65,31.61,36.23,2511408,AMPL
2022-01-25,35.23,35.82,31.93,33.69,1399420,AMPL
2022-01-26,35.48,36.49,34.13,34.39,677503,AMPL
2022-01-27,34.91,36.07,33.27,33.49,1298929,AMPL
2022-01-28,33.58,35.5,32.67,35.46,1326858,AMPL
2022-01-31,35.09,39.76,34.815,39.31,1566411,AMPL
2022-02-01,40.8,41.22,38.6588,40.91,1284190,AMPL
2022-02-02,41.08,41.41,38.48,39.25,758819,AMPL
2022-02-03,37.79,37.79,32.51,33.22,1640693,AMPL
2022-02-04,33.06,36.74,32.78,36.48,1440446,AMPL
2022-02-07,36.7,39.265,36.48,37.92,909635,AMPL
2022-02-08,37.45,41.6193,37.45,41.49,858080,AMPL
2022-02-09,42.19,44.22,42.19,43.88,763766,AMPL
2022-02-10,42.44,46.7,42.0,42.91,951557,AMPL
2022-02-11,42.94,45.33,42.39,43.51,1393158,AMPL
2022-02-14,43.67,45.18,41.62,42.58,896856,AMPL
2022-02-15,44.96,44.96,41.77,44.2,599557,AMPL
2022-02-16,43.75,43.81,40.5,41.61,1777669,AMPL
2022-02-17,26.0,26.18,16.66,17.1,20105317,AMPL
2022-02-18,16.685,20.69,16.6025,20.66,15290678,AMPL
2022-02-22,19.34,21.3499,19.21,20.67,4630365,AMPL
2022-02-23,20.79,21.19,19.16,19.32,2432554,AMPL
2022-02-24,18.24,21.83,17.95,21.63,2527846,AMPL
