Date,Open,High,Low,Close,Volume,ticker
2016-10-25,19.161,19.369,17.079,17.079,219058,AMPY
2016-10-26,17.287,17.495,16.869,16.903,92141,AMPY
2016-10-27,17.303,17.495,16.037,16.246,230673,AMPY
2016-10-28,16.596,16.596,16.087,16.12,17514,AMPY
2016-10-31,16.246,16.453,15.62,15.62,51988,AMPY
2016-11-01,15.926,16.037,15.871,15.871,3644,AMPY
2016-11-02,15.912,15.912,15.829,15.829,23772,AMPY
2016-11-03,16.085,16.085,15.912,15.912,6723,AMPY
2016-11-04,15.961,16.753,15.953,15.953,30219,AMPY
2016-11-07,16.35,16.35,15.953,16.037,38123,AMPY
2016-11-08,16.037,16.037,15.754,15.754,12962,AMPY
2016-11-09,15.829,16.621,15.037,16.287,24212,AMPY
2016-11-10,15.829,16.072,15.829,16.072,6222,AMPY
2016-11-11,15.829,15.829,15.829,15.829,120,AMPY
2016-11-14,15.512,15.645,15.005,15.245,12889,AMPY
2016-11-15,15.512,15.721,14.987,15.154,82311,AMPY
2016-11-16,14.596,15.129,14.171,14.984,33213,AMPY
2016-11-17,14.947,15.079,14.671,14.671,45193,AMPY
2016-11-18,14.971,15.121,14.37,15.121,59628,AMPY
2016-11-21,15.162,15.662,15.162,15.662,2762,AMPY
2016-11-22,15.018,16.587,15.018,16.037,78505,AMPY
2016-11-23,16.298,17.079,15.871,16.787,29216,AMPY
2016-11-25,16.962,16.962,16.962,16.962,240,AMPY
2016-11-28,17.112,17.904,16.609,16.862,15899,AMPY
2016-11-29,16.746,16.746,16.287,16.646,1638,AMPY
2016-11-30,17.062,17.904,16.787,16.787,250343,AMPY
2016-12-01,16.919,17.912,16.662,16.869,97800,AMPY
2016-12-02,16.878,17.719,16.878,17.445,58816,AMPY
2016-12-05,17.495,17.844,17.162,17.487,56812,AMPY
2016-12-06,17.578,17.662,17.249,17.47,133858,AMPY
2016-12-07,17.495,17.678,16.662,17.454,40040,AMPY
2016-12-08,17.104,17.312,16.662,17.079,74843,AMPY
2016-12-09,17.153,17.703,17.079,17.495,39070,AMPY
2016-12-12,17.929,18.078,16.783,17.245,143586,AMPY
2016-12-13,17.487,17.487,16.637,16.903,62918,AMPY
2016-12-14,16.545,17.495,16.545,16.953,26502,AMPY
2016-12-15,16.869,17.37,16.12,16.453,596387,AMPY
2016-12-16,16.453,16.912,15.771,15.771,307891,AMPY
2016-12-19,15.887,16.303,15.704,16.162,34315,AMPY
2016-12-20,16.445,16.662,16.12,16.554,9409,AMPY
2016-12-21,16.421,16.621,16.421,16.554,6051,AMPY
2016-12-22,16.662,17.462,16.612,16.662,8139,AMPY
2016-12-23,16.945,16.995,16.82,16.995,1346,AMPY
2016-12-27,16.903,16.903,16.903,16.903,371,AMPY
2016-12-28,16.828,17.262,16.246,17.037,4067,AMPY
2016-12-29,16.869,17.92,16.869,17.512,16542,AMPY
2016-12-30,17.42,17.495,16.746,17.278,39276,AMPY
2017-01-03,17.012,17.694,16.746,17.495,9332,AMPY
2017-01-04,17.37,17.495,17.245,17.487,6552,AMPY
2017-01-05,17.495,17.703,17.294,17.703,6943,AMPY
2017-01-06,17.854,17.854,17.287,17.653,16897,AMPY
2017-01-09,17.603,18.203,17.079,17.612,30031,AMPY
2017-01-10,17.537,17.703,17.079,17.495,141283,AMPY
2017-01-11,17.17,17.778,17.17,17.778,14957,AMPY
2017-01-12,17.862,17.862,17.212,17.744,4984,AMPY
2017-01-13,17.495,17.758,17.495,17.744,18353,AMPY
2017-01-17,17.637,17.82,17.112,17.82,7544,AMPY
