Date,Open,High,Low,Close,Volume,ticker
2005-02-25,30.0,31.2,30.0,30.4,3020,AMRN
2005-02-28,30.1,30.4,21.0,26.8,58241,AMRN
2005-03-01,26.8,27.1,25.0,25.9,12339,AMRN
2005-03-02,25.1,26.8,25.1,25.5,5699,AMRN
2005-03-03,25.6,25.77,25.2,25.5,8235,AMRN
2005-03-04,26.0,27.02,25.5,25.5,2617,AMRN
2005-03-07,25.6,25.7,24.7,24.7,8339,AMRN
2005-03-08,24.7,25.8,24.7,25.8,3533,AMRN
2005-03-09,24.1,25.36,24.1,24.2,1704,AMRN
2005-03-10,24.1,25.0,23.0,23.9,3289,AMRN
2005-03-11,23.6,23.8,21.0,23.2,11517,AMRN
2005-03-14,23.2,23.3,22.0,23.2,3163,AMRN
2005-03-15,23.0,26.72,23.0,26.0,10697,AMRN
2005-03-16,26.5,29.2,26.5,27.4,8350,AMRN
2005-03-17,28.0,28.0,26.6,27.6,4276,AMRN
2005-03-18,27.9,27.9,24.9,25.0,2326,AMRN
2005-03-21,25.9,26.0,24.5,24.9,6740,AMRN
2005-03-22,29.9,29.9,24.8,24.8,3967,AMRN
2005-03-23,23.3,25.0,23.3,24.9,2900,AMRN
2005-03-24,23.0,25.0,23.0,24.3,3916,AMRN
2005-03-28,25.5,25.5,23.1,24.3,500,AMRN
2005-03-29,24.0,24.0,23.2,23.5,1843,AMRN
2005-03-30,24.0,24.0,23.3,23.8,1084,AMRN
2005-03-31,23.8,23.8,21.2,21.4,9393,AMRN
2005-04-01,21.2,22.0,20.5,21.0,4089,AMRN
2005-04-04,20.5,21.0,20.21,21.0,3287,AMRN
2005-04-05,21.1,22.03,21.0,22.0,1015,AMRN
2005-04-06,22.0,23.9,22.0,22.5,3782,AMRN
2005-04-07,23.8,23.8,23.1,23.6,1720,AMRN
2005-04-08,23.8,23.8,23.2,23.6,420,AMRN
2005-04-11,23.1,23.6,23.0,23.1,3058,AMRN
2005-04-12,23.0,23.0,22.0,22.8,2152,AMRN
2005-04-13,21.5,24.0,21.5,22.3,2949,AMRN
2005-04-14,25.2,25.2,21.0,21.29,3849,AMRN
2005-04-15,21.1,22.0,21.0,21.5,1210,AMRN
2005-04-18,21.0,23.0,17.5,20.5,4483,AMRN
2005-04-19,18.9,20.0,18.0,19.0,2252,AMRN
2005-04-20,20.0,20.64,18.8,19.6,2342,AMRN
2005-04-21,19.6,19.61,15.4,16.3,18287,AMRN
2005-04-22,16.5,17.0,14.8,16.9,10180,AMRN
2005-04-25,16.7,20.01,16.7,20.0,6767,AMRN
2005-04-26,19.0,20.2,18.4,19.7,5854,AMRN
2005-04-27,18.5,19.2,18.5,18.6,1730,AMRN
2005-04-28,18.5,19.2,16.1,16.1,9214,AMRN
2005-04-29,16.1,19.4,15.5,19.3,5005,AMRN
2005-05-02,17.5,18.5,17.1,17.1,4532,AMRN
2005-05-03,17.4,19.0,17.4,18.3,4058,AMRN
2005-05-04,19.0,19.0,17.8,17.8,1969,AMRN
2005-05-05,17.6,19.9,17.6,19.18,910,AMRN
2005-05-06,17.6,18.4,16.2,17.0,7517,AMRN
2005-05-09,20.0,20.0,17.0,18.4,5332,AMRN
2005-05-10,19.6,19.6,17.0,17.8,3360,AMRN
2005-05-11,18.9,19.0,16.5,17.1,4888,AMRN
2005-05-12,18.0,18.0,16.3,16.9,8634,AMRN
2005-05-13,17.1,17.1,15.0,16.1,12874,AMRN
2005-05-16,16.1,17.2,15.5,15.6,17795,AMRN
2005-05-17,15.8,15.8,14.4,14.88,12306,AMRN
2005-05-18,14.9,15.0,14.7,15.0,3782,AMRN
2005-05-19,15.7,17.3,15.5,16.3,7282,AMRN
2005-05-20,14.5,14.8,13.5,14.1,38460,AMRN
2005-05-23,16.0,16.0,14.0,14.4,37017,AMRN
2005-05-24,15.5,15.5,13.9,13.9,17886,AMRN
2005-05-25,14.1,14.5,13.5,13.7,13671,AMRN
2005-05-26,14.3,14.4,13.8,14.1,22000,AMRN
2005-05-27,14.0,14.0,13.2,13.2,4363,AMRN
2005-05-31,13.9,14.0,13.2,13.4,7030,AMRN
2005-06-01,13.6,14.2,13.3,13.8,116419,AMRN
2005-06-02,14.0,14.9,13.6,14.0,19723,AMRN
2005-06-03,14.2,14.2,13.5,13.8,15763,AMRN
2005-06-06,13.5,14.0,13.2,13.3,13155,AMRN
2005-06-07,13.7,14.2,13.3,13.6,5411,AMRN
2005-06-08,13.3,13.7,13.2,13.4,2436,AMRN
2005-06-09,13.2,14.0,13.0,13.0,11730,AMRN
2005-06-10,13.3,13.4,12.8,13.0,4015,AMRN
2005-06-13,12.8,12.9,11.92,12.4,6260,AMRN
2005-06-14,12.2,12.7,12.2,12.2,1959,AMRN
2005-06-15,12.4,12.9,12.4,12.51,1726,AMRN
2005-06-16,12.7,14.0,12.2,14.0,5402,AMRN
2005-06-17,15.0,15.0,13.7,13.7,6114,AMRN
2005-06-20,13.2,14.11,13.2,13.99,2780,AMRN
2005-06-21,14.5,14.5,13.2,13.2,2707,AMRN
2005-06-22,13.1,14.0,13.1,13.8,4035,AMRN
2005-06-23,14.0,14.0,13.5,13.7,2185,AMRN
2005-06-24,13.1,13.8,10.3,10.6,43469,AMRN
2005-06-27,11.8,11.8,10.8,10.9,8215,AMRN
2005-06-28,10.9,11.5,10.9,11.5,3552,AMRN
2005-06-29,11.9,11.9,11.1,11.76,15072,AMRN
2005-06-30,12.0,12.4,11.6,11.89,5278,AMRN
2005-07-01,12.5,13.2,11.84,13.2,5002,AMRN
2005-07-05,13.2,13.5,12.5,13.5,5000,AMRN
2005-07-06,14.0,14.0,12.7,13.2,6200,AMRN
2005-07-07,13.2,13.8,13.2,13.7,5340,AMRN
2005-07-08,13.8,13.8,12.7,13.3,3296,AMRN
2005-07-11,13.8,14.2,13.6,13.76,5720,AMRN
2005-07-12,13.4,13.9,13.4,13.7,1177,AMRN
2005-07-13,13.7,13.8,13.54,13.7,19599,AMRN
2005-07-14,13.54,13.8,13.54,13.8,1676,AMRN
2005-07-15,12.8,14.1,12.8,14.0,1330,AMRN
2005-07-18,12.5,15.2,12.5,15.1,6904,AMRN
2005-07-19,15.3,17.3,15.3,15.5,18381,AMRN
2005-07-20,17.1,17.7,15.4,15.7,18714,AMRN
2005-07-21,16.0,18.0,15.4,16.7,15800,AMRN
2005-07-22,17.0,17.0,14.99,15.4,12129,AMRN
2005-07-25,15.4,15.6,14.9,15.2,9205,AMRN
2005-07-26,14.9,15.4,14.5,15.06,1498,AMRN
2005-07-27,15.6,15.9,14.86,15.4,5056,AMRN
2005-07-28,14.9,15.5,14.2,14.5,9034,AMRN
2005-07-29,14.5,15.5,14.4,15.01,2971,AMRN
2005-08-01,15.6,15.6,14.5,14.5,5361,AMRN
2005-08-02,14.7,15.4,14.7,15.2,4557,AMRN
2005-08-03,15.4,15.4,14.0,15.1,5803,AMRN
2005-08-04,15.0,15.2,15.0,15.0,3386,AMRN
2005-08-05,15.2,15.4,14.2,15.4,5025,AMRN
2005-08-08,14.4,15.4,14.4,15.4,1370,AMRN
2005-08-09,14.6,15.7,14.6,15.0,4171,AMRN
2005-08-10,15.5,15.9,14.3,14.3,2971,AMRN
2005-08-11,14.3,14.5,14.3,14.3,1159,AMRN
2005-08-12,14.4,15.0,14.4,14.7,2520,AMRN
2005-08-15,15.5,15.5,13.9,14.5,1083,AMRN
2005-08-16,14.54,14.8,13.9,14.7,726,AMRN
2005-08-17,13.8,14.48,13.4,14.0,744,AMRN
2005-08-18,13.0,14.0,12.8,13.7,1010,AMRN
2005-08-19,13.7,14.1,13.7,14.1,1929,AMRN
2005-08-22,13.6,14.2,12.8,14.0,4659,AMRN
2005-08-23,14.0,14.73,13.8,14.1,260,AMRN
2005-08-24,13.1,15.0,13.1,15.0,1923,AMRN
2005-08-25,15.0,15.0,14.1,14.5,3255,AMRN
2005-08-26,13.5,14.6,13.5,13.8,1523,AMRN
2005-08-29,15.0,15.0,13.78,14.1,3717,AMRN
2005-08-30,14.5,14.8,14.3,14.62,485,AMRN
2005-08-31,14.2,14.8,14.2,14.8,585,AMRN
2005-09-01,14.3,15.0,14.3,14.4,2373,AMRN
2005-09-02,14.3,15.0,14.1,14.5,5173,AMRN
2005-09-06,15.7,15.7,13.0,14.5,1750,AMRN
2005-09-07,14.9,15.0,14.9,14.99,1290,AMRN
2005-09-08,15.0,15.0,13.8,14.8,1942,AMRN
2005-09-09,14.4,14.4,14.0,14.2,3038,AMRN
2005-09-12,15.0,16.0,14.6,15.1,14379,AMRN
2005-09-13,16.0,16.0,14.1,14.2,5686,AMRN
2005-09-14,14.2,14.7,14.2,14.7,912,AMRN
2005-09-15,14.7,14.7,14.2,14.2,1370,AMRN
2005-09-16,14.0,14.5,13.7,14.3,2227,AMRN
2005-09-19,15.0,15.0,14.5,14.5,3726,AMRN
2005-09-20,14.7,14.9,14.5,14.9,2743,AMRN
2005-09-21,14.9,15.0,14.2,14.6,1523,AMRN
2005-09-22,14.9,15.2,14.3,14.3,1633,AMRN
2005-09-23,14.91,15.0,14.3,14.4,1602,AMRN
2005-09-26,15.0,15.0,14.7,15.0,660,AMRN
2005-09-27,15.0,15.0,14.3,14.8,2350,AMRN
2005-09-28,15.0,15.0,14.28,14.3,1710,AMRN
2005-09-29,14.3,14.8,13.5,14.6,3650,AMRN
2005-09-30,15.0,15.5,14.7,14.8,15105,AMRN
2005-10-03,15.1,15.1,14.0,14.2,5017,AMRN
2005-10-04,15.2,15.2,14.0,14.0,1147,AMRN
2005-10-05,14.4,14.5,14.11,14.4,2582,AMRN
2005-10-06,14.4,14.4,14.1,14.1,1509,AMRN
2005-10-07,14.0,14.0,13.8,13.8,2280,AMRN
2005-10-10,13.7,13.8,13.1,13.3,1067,AMRN
2005-10-11,13.1,14.61,13.1,14.48,3274,AMRN
2005-10-12,14.0,14.8,13.0,13.2,4944,AMRN
2005-10-13,15.0,15.0,12.9,13.6,1169,AMRN
2005-10-14,14.2,14.5,14.0,14.4,852,AMRN
2005-10-17,14.2,14.4,13.3,14.0,1630,AMRN
2005-10-18,13.2,14.0,13.2,14.0,1110,AMRN
2005-10-19,13.2,14.3,13.2,13.5,4159,AMRN
2005-10-20,13.77,13.8,13.39,13.8,154,AMRN
2005-10-21,14.0,14.0,13.0,13.5,2030,AMRN
2005-10-24,12.8,14.0,12.8,13.0,1270,AMRN
2005-10-25,13.6,13.89,13.2,13.5,1031,AMRN
2005-10-26,13.0,14.0,12.5,12.6,4718,AMRN
2005-10-27,12.8,13.9,12.34,13.8,2877,AMRN
2005-10-28,13.6,13.6,12.6,12.8,1450,AMRN
2005-10-31,13.2,13.44,13.2,13.2,922,AMRN
2005-11-01,12.6,13.15,11.1,12.3,3414,AMRN
2005-11-02,12.3,12.94,11.5,12.3,2315,AMRN
2005-11-03,11.6,13.9,11.6,12.5,2400,AMRN
2005-11-04,12.0,13.7,11.4,11.7,10192,AMRN
2005-11-07,11.7,12.0,11.2,11.3,4293,AMRN
2005-11-08,11.9,12.32,11.6,12.0,3712,AMRN
2005-11-09,14.0,14.0,11.2,11.5,9962,AMRN
2005-11-10,12.3,12.3,11.0,11.5,3578,AMRN
2005-11-11,11.5,12.2,11.5,12.0,3449,AMRN
2005-11-14,12.3,12.3,10.7,11.4,12203,AMRN
2005-11-15,11.0,11.0,10.8,11.0,1984,AMRN
2005-11-16,12.0,12.5,11.3,11.8,9103,AMRN
2005-11-17,11.8,12.4,11.7,12.0,3785,AMRN
2005-11-18,12.1,12.4,11.5,11.8,2566,AMRN
2005-11-21,11.9,12.4,11.4,11.5,4974,AMRN
2005-11-22,12.2,12.6,11.4,12.6,8280,AMRN
2005-11-23,12.8,13.0,11.6,12.6,2741,AMRN
2005-11-25,13.0,13.0,12.18,12.5,2210,AMRN
2005-11-28,12.1,12.9,11.6,11.8,4790,AMRN
2005-11-29,11.7,11.9,11.4,11.5,3942,AMRN
2005-11-30,11.4,11.6,11.4,11.4,6476,AMRN
2005-12-01,11.4,12.3,11.4,11.6,2939,AMRN
2005-12-02,12.4,12.4,11.4,11.9,3780,AMRN
2005-12-05,12.3,12.4,11.6,11.8,3815,AMRN
2005-12-06,11.5,11.9,11.5,11.9,2552,AMRN
2005-12-07,12.0,12.0,11.6,12.0,1355,AMRN
2005-12-08,11.8,12.0,11.6,12.0,1015,AMRN
2005-12-09,12.0,12.0,11.6,11.8,3895,AMRN
2005-12-12,12.0,12.4,11.8,11.98,1402,AMRN
2005-12-13,11.8,12.0,11.6,11.6,3610,AMRN
2005-12-14,11.6,12.3,11.6,11.7,1449,AMRN
2005-12-15,11.7,11.9,11.5,11.5,2367,AMRN
2005-12-16,12.4,12.4,11.6,11.7,7850,AMRN
2005-12-19,11.9,12.0,10.3,10.7,41434,AMRN
2005-12-20,11.6,12.0,11.6,12.0,17004,AMRN
2005-12-21,11.9,12.2,11.9,11.9,6167,AMRN
2005-12-22,12.0,12.0,10.8,11.0,16268,AMRN
2005-12-23,10.9,12.0,10.7,11.5,16003,AMRN
2005-12-27,12.0,12.0,11.0,11.2,3260,AMRN
2005-12-28,11.2,12.0,11.18,11.8,8183,AMRN
2005-12-29,12.0,12.3,12.0,12.0,8395,AMRN
2005-12-30,12.2,12.2,12.0,12.0,4740,AMRN
2006-01-03,12.4,14.9,12.1,13.5,17963,AMRN
2006-01-04,14.0,14.0,12.7,13.0,18757,AMRN
2006-01-05,12.8,13.3,12.5,12.7,20008,AMRN
2006-01-06,13.0,13.0,12.63,13.0,17446,AMRN
2006-01-09,13.0,13.1,12.6,12.94,14164,AMRN
2006-01-10,13.9,14.2,13.1,13.51,31582,AMRN
2006-01-11,14.9,16.5,14.0,15.3,63601,AMRN
2006-01-12,15.9,19.5,14.9,18.3,178959,AMRN
2006-01-13,20.0,20.8,19.0,19.5,101085,AMRN
2006-01-17,20.5,30.1,19.9,29.6,328094,AMRN
2006-01-18,29.5,29.5,24.0,25.2,123246,AMRN
2006-01-19,25.0,25.5,22.6,23.5,52762,AMRN
2006-01-20,25.5,25.5,21.5,25.5,61090,AMRN
2006-01-23,25.2,29.3,24.94,27.6,41565,AMRN
2006-01-24,29.0,30.0,25.0,27.8,49499,AMRN
2006-01-25,29.5,29.5,27.0,28.0,48853,AMRN
2006-01-26,28.5,28.5,26.7,27.2,27491,AMRN
2006-01-27,28.0,28.5,26.7,27.6,21610,AMRN
2006-01-30,28.1,34.5,27.7,32.3,87854,AMRN
2006-01-31,32.3,36.4,31.5,34.3,76349,AMRN
2006-02-01,34.4,36.2,32.5,34.4,76892,AMRN
2006-02-02,33.4,35.3,33.4,34.6,36463,AMRN
2006-02-03,35.0,35.5,33.1,33.2,67526,AMRN
2006-02-06,34.0,35.0,34.0,34.1,33465,AMRN
2006-02-07,34.7,36.0,34.2,34.8,56896,AMRN
2006-02-08,36.0,37.0,34.7,36.6,63498,AMRN
2006-02-09,39.2,39.2,36.5,37.4,43190,AMRN
2006-02-10,38.4,38.5,35.6,36.5,27904,AMRN
2006-02-13,36.7,36.7,31.0,34.1,31427,AMRN
2006-02-14,33.8,34.1,30.5,31.0,23341,AMRN
2006-02-15,30.6,30.6,28.5,29.6,53733,AMRN
2006-02-16,30.1,30.9,29.4,30.9,33559,AMRN
2006-02-17,31.4,31.4,29.6,31.0,19176,AMRN
2006-02-21,32.0,33.4,31.5,33.3,26895,AMRN
2006-02-22,34.6,34.7,32.5,33.4,43827,AMRN
2006-02-23,33.2,36.0,32.3,34.6,21500,AMRN
2006-02-24,35.0,35.2,33.7,34.6,17856,AMRN
2006-02-27,34.2,34.2,32.1,32.6,14224,AMRN
2006-02-28,32.2,32.6,30.4,31.6,9975,AMRN
2006-03-01,31.6,32.8,30.3,32.6,19085,AMRN
2006-03-02,35.0,35.0,32.9,34.0,6685,AMRN
2006-03-03,35.0,35.7,33.5,35.5,17203,AMRN
2006-03-06,36.0,36.6,34.6,36.0,21483,AMRN
2006-03-07,36.5,36.5,32.5,35.0,26970,AMRN
2006-03-08,35.0,35.0,32.5,32.7,18628,AMRN
2006-03-09,33.5,33.5,31.5,32.4,18912,AMRN
2006-03-10,32.1,34.5,31.9,32.5,6722,AMRN
2006-03-13,34.5,34.5,32.1,32.4,5608,AMRN
2006-03-14,32.4,33.8,31.1,32.2,7951,AMRN
2006-03-15,34.4,34.5,32.7,33.0,7924,AMRN
2006-03-16,34.5,34.5,32.5,33.5,7114,AMRN
2006-03-17,33.5,33.5,32.6,32.6,5048,AMRN
2006-03-20,32.4,33.4,32.4,33.0,7413,AMRN
2006-03-21,32.8,33.5,32.0,32.9,8497,AMRN
2006-03-22,32.4,34.1,32.4,34.1,20179,AMRN
2006-03-23,34.6,36.0,33.5,34.0,26928,AMRN
2006-03-24,33.7,36.2,32.64,36.0,58845,AMRN
2006-03-27,36.0,36.0,33.5,33.7,13337,AMRN
2006-03-28,34.6,34.6,33.0,33.7,6834,AMRN
2006-03-29,35.3,35.3,33.0,33.4,23769,AMRN
