Date,Open,High,Low,Close,Volume,ticker
2022-09-08,25.7,26.0497,25.38,26.0497,2039,AMZU
2022-09-09,26.7,27.24,26.67,27.1519,2428,AMZU
2022-09-12,27.47,28.08,27.47,28.0512,9936,AMZU
2022-09-13,26.75,26.75,25.0999,25.16,15168,AMZU
2022-09-14,25.35,25.6287,25.06,25.6287,6399,AMZU
2022-09-15,25.35,26.15,24.7617,24.9754,16165,AMZU
2022-09-16,23.8,24.1479,23.35,24.1479,8096,AMZU
2022-09-19,23.68,24.37,23.68,24.37,8692,AMZU
2022-09-20,24.1,24.21,23.49,23.6801,3760,AMZU
2022-09-21,23.64,24.04,22.61,22.61,30896,AMZU
2022-09-22,22.25,22.49,22.12,22.3319,7975,AMZU
2022-09-23,21.81,21.81,20.81,21.32,14505,AMZU
2022-09-26,21.16,22.2213,21.16,21.6572,8993,AMZU
2022-09-27,22.25,22.498,21.12,21.4174,19993,AMZU
2022-09-28,21.5,22.5712,21.5,22.4778,13834,AMZU
2022-09-29,21.75,21.75,21.05,21.5649,7530,AMZU
2022-09-30,21.32,22.0201,20.985,21.05,7359,AMZU
2022-10-03,21.29,21.96,20.96,21.7762,11966,AMZU
2022-10-04,22.98,23.8,22.9417,23.2377,103489,AMZU
2022-10-05,22.5,23.37,22.47,23.1578,29937,AMZU
2022-10-06,23.3,23.31,22.83,22.98,37185,AMZU
2022-10-07,22.01,22.01,21.29,21.4186,14675,AMZU
2022-10-10,21.52,21.7984,21.07,21.09,7691,AMZU
2022-10-11,20.541,21.43,20.28,20.67,8489,AMZU
2022-10-12,20.67,21.0756,20.67,20.91,31105,AMZU
2022-10-13,19.61,21.0,18.88,20.76,37962,AMZU
2022-10-14,21.45,21.45,19.2194,19.25,16761,AMZU
2022-10-17,20.23,21.18,20.23,21.08,21576,AMZU
2022-10-18,22.67,22.67,21.391,21.745,28179,AMZU
2022-10-19,21.25,21.83,21.16,21.4314,22129,AMZU
2022-10-20,21.09,22.23,21.05,21.48,34555,AMZU
2022-10-21,21.37,22.67,21.37,22.6028,18002,AMZU
2022-10-24,22.9,22.9,22.02,22.76,10222,AMZU
2022-10-25,22.88,23.121,22.63,22.9372,52304,AMZU
2022-10-26,21.65,22.445,21.34,21.5061,27945,AMZU
2022-10-27,21.0,21.099,19.95,20.28,128543,AMZU
2022-10-28,16.73,18.25,16.62,18.16,217932,AMZU
2022-10-31,18.22,18.48,17.48,17.88,36249,AMZU
2022-11-01,18.33,18.4,16.239,16.4,109301,AMZU
2022-11-02,16.52,16.6,15.2,15.2,75788,AMZU
2022-11-03,15.29,15.5201,14.4799,14.53,147074,AMZU
2022-11-04,15.06,15.25,14.25,14.9,87066,AMZU
2022-11-07,15.13,15.15,14.449,14.8048,56218,AMZU
2022-11-08,14.86,15.0732,14.261,14.55,56932,AMZU
2022-11-09,14.54,14.54,13.69,13.74,100268,AMZU
2022-11-10,15.36,16.6,15.06,16.2249,259517,AMZU
2022-11-11,16.6,17.359,16.257,17.2528,123471,AMZU
2022-11-14,16.71,17.07,16.409,16.7,93256,AMZU
2022-11-15,17.75,18.0,16.4,16.7756,141605,AMZU
2022-11-16,16.23,16.62,15.93,16.35,75916,AMZU
2022-11-17,15.88,16.231,15.56,15.76,57244,AMZU
2022-11-18,15.9,15.9,15.2,15.5487,50511,AMZU
2022-11-21,15.47,15.7601,14.68,15.1463,83969,AMZU
2022-11-22,15.22,15.35,14.75,15.34,162020,AMZU
2022-11-23,15.36,15.65,15.26,15.53,96559,AMZU
2022-11-25,15.48,15.5601,15.3,15.3807,27030,AMZU
2022-11-28,15.43,16.0,15.39,15.5091,128943,AMZU
2022-11-29,15.51,15.58,14.9,15.12,81412,AMZU
2022-11-30,15.11,16.11,14.9,16.06,156755,AMZU
2022-12-01,16.22,16.2617,15.76,15.866,97081,AMZU
2022-12-02,15.6,15.8,15.44,15.45,49513,AMZU
2022-12-05,15.22,15.46,14.7,14.75,133937,AMZU
2022-12-06,14.63,14.69,13.9804,14.08,68787,AMZU
2022-12-07,14.08,14.43,13.881,14.0986,81490,AMZU
2022-12-08,14.23,14.66,14.0,14.5477,283894,AMZU
2022-12-09,14.16,14.445,14.16,14.245,150034,AMZU
2022-12-12,14.32,14.6,13.99,14.5748,153144,AMZU
2022-12-13,15.69,15.91,14.62,15.04,96023,AMZU
2022-12-14,15.2,15.25,14.5,14.8437,111658,AMZU
2022-12-15,14.45,14.45,13.8555,14.03,181550,AMZU
2022-12-16,14.11,14.26,13.69,13.9343,276853,AMZU
2022-12-19,13.87,13.87,13.14,13.225,57419,AMZU
2022-12-20,13.23,13.51,13.07,13.25,232581,AMZU
2022-12-21,13.46,13.67,13.2399,13.57,185871,AMZU
2022-12-22,13.3,13.3,12.53,12.9,220857,AMZU
2022-12-23,12.76,13.3,12.7,13.2004,101367,AMZU
2022-12-27,13.2,13.2,12.6907,12.72,55987,AMZU
2022-12-28,12.66,12.7788,12.4,12.4,108963,AMZU
2022-12-29,12.68,13.0329,12.61,12.9532,249198,AMZU
2022-12-30,12.65,12.91,12.5601,12.8975,532082,AMZU
2023-01-03,13.25,13.55,12.972,13.3236,196260,AMZU
2023-01-04,13.5,13.55,12.75,13.14,316417,AMZU
2023-01-05,13.14,13.15,12.67,12.68,265419,AMZU
2023-01-06,12.65,13.415,12.3199,13.3373,444914,AMZU
2023-01-09,13.71,14.1346,13.6,13.66,213727,AMZU
2023-01-10,13.67,14.27,13.64,14.25,324822,AMZU
2023-01-11,14.48,15.503,14.48,15.49,232336,AMZU
2023-01-12,15.93,15.96,15.08,15.5008,240075,AMZU
2023-01-13,15.22,16.2499,15.22,16.21,157009,AMZU
2023-01-17,16.38,16.38,15.63,15.71,146723,AMZU
