Date,Open,High,Low,Close,Volume,ticker
1992-03-03,5.46,5.58,5.46,5.46,6700,AN
1992-03-04,5.58,5.58,5.46,5.58,3100,AN
1992-03-05,5.46,5.58,5.35,5.46,12800,AN
1992-03-06,5.52,5.52,5.35,5.52,3900,AN
1992-03-09,5.35,5.52,5.35,5.52,1100,AN
1992-03-10,5.35,5.52,5.29,5.29,24200,AN
1992-03-11,5.41,5.41,5.29,5.29,3900,AN
1992-03-12,5.41,5.41,5.18,5.35,17200,AN
1992-03-13,5.41,5.41,5.07,5.07,187600,AN
1992-03-16,5.07,5.29,4.96,5.18,96700,AN
1992-03-17,4.96,5.18,4.96,5.18,9000,AN
1992-03-18,4.96,5.12,4.84,4.96,131800,AN
1992-03-19,4.96,5.12,4.84,5.12,22200,AN
1992-03-20,5.12,5.12,4.84,4.96,38600,AN
1992-03-23,4.84,5.07,4.84,4.84,29900,AN
1992-03-24,4.84,5.07,4.84,4.84,8000,AN
1992-03-25,4.84,5.07,4.84,5.07,14600,AN
1992-03-26,4.84,5.01,4.84,4.84,72200,AN
1992-03-27,4.84,4.96,4.67,4.73,50400,AN
1992-03-30,4.62,4.79,4.51,4.56,14500,AN
1992-03-31,4.62,4.62,4.51,4.62,11300,AN
1992-04-01,4.62,4.62,4.45,4.45,15600,AN
1992-04-02,4.45,4.51,4.28,4.45,15700,AN
1992-04-03,4.45,4.51,4.28,4.28,165400,AN
1992-04-06,4.39,4.51,4.28,4.34,35100,AN
1992-04-07,4.28,4.39,4.17,4.39,93300,AN
1992-04-08,4.17,4.28,4.0,4.0,37800,AN
1992-04-09,4.22,4.28,4.0,4.28,19500,AN
1992-04-10,4.28,4.51,4.11,4.45,39700,AN
1992-04-13,4.45,4.51,4.34,4.39,43200,AN
1992-04-14,4.45,4.45,4.34,4.39,8200,AN
1992-04-15,4.34,4.39,4.34,4.34,17000,AN
1992-04-16,4.34,4.45,4.17,4.17,53100,AN
1992-04-20,4.28,4.28,4.17,4.17,3200,AN
1992-04-21,4.05,4.17,3.83,4.11,22000,AN
1992-04-22,3.83,4.11,3.83,4.11,13600,AN
1992-04-23,3.83,4.05,3.83,4.05,7200,AN
1992-04-24,4.0,4.05,3.89,4.05,19900,AN
1992-04-27,3.94,3.94,3.83,3.83,25000,AN
1992-04-28,3.72,3.94,3.72,3.89,14200,AN
1992-04-29,3.83,3.89,3.72,3.89,45400,AN
1992-04-30,3.89,3.89,3.72,3.89,8100,AN
1992-05-01,3.72,3.89,3.72,3.89,7500,AN
1992-05-04,3.89,3.89,3.72,3.83,24200,AN
1992-05-05,3.72,3.89,3.72,3.89,6800,AN
1992-05-06,3.89,4.0,3.77,3.83,11800,AN
1992-05-07,4.0,4.17,3.89,3.94,17500,AN
1992-05-08,4.11,4.22,4.0,4.22,7100,AN
1992-05-11,4.22,4.34,4.17,4.34,48300,AN
1992-05-12,4.28,4.34,4.22,4.28,6700,AN
1992-05-13,4.17,4.17,4.0,4.0,27400,AN
1992-05-14,4.0,4.0,3.83,3.83,8400,AN
1992-05-15,3.77,4.05,3.77,4.0,8800,AN
1992-05-18,4.05,4.05,4.0,4.0,500,AN
1992-05-19,3.89,4.0,3.72,3.83,86700,AN
1992-05-20,3.83,3.83,3.72,3.83,27900,AN
1992-05-21,3.72,3.83,3.72,3.83,400,AN
1992-05-22,3.77,3.83,3.72,3.83,26500,AN
1992-05-26,3.83,3.94,3.72,3.94,36400,AN
1992-05-27,3.89,3.89,3.77,3.83,15000,AN
1992-05-28,3.83,3.83,3.72,3.72,27500,AN
1992-05-29,3.72,3.83,3.6,3.66,25400,AN
1992-06-01,3.83,3.83,3.6,3.6,6400,AN
1992-06-02,3.6,3.72,3.6,3.66,17400,AN
1992-06-03,3.72,3.83,3.66,3.83,139600,AN
1992-06-04,3.72,3.83,3.6,3.83,37000,AN
1992-06-05,3.6,3.83,3.6,3.83,13800,AN
1992-06-08,3.6,3.83,3.6,3.66,53000,AN
1992-06-09,3.6,3.77,3.6,3.77,1300,AN
1992-06-10,3.55,3.83,3.55,3.83,169000,AN
1992-06-11,3.66,3.83,3.6,3.83,12400,AN
1992-06-12,3.83,3.83,3.6,3.83,6100,AN
1992-06-15,3.6,3.72,3.38,3.38,49700,AN
1992-06-16,3.32,3.38,3.15,3.38,20800,AN
1992-06-17,3.15,3.15,2.93,2.98,44400,AN
1992-06-18,2.93,3.1,2.93,2.98,4900,AN
1992-06-19,3.15,3.21,2.98,3.04,12400,AN
1992-06-22,3.21,3.21,3.04,3.1,23300,AN
1992-06-23,3.1,3.27,3.1,3.27,21600,AN
1992-06-24,3.27,3.27,3.1,3.27,5300,AN
1992-06-25,3.27,3.27,3.15,3.21,15100,AN
1992-06-26,3.1,3.21,3.1,3.21,1500,AN
1992-06-29,3.15,3.32,3.15,3.32,1400,AN
1992-06-30,3.21,3.38,3.21,3.27,7200,AN
1992-07-01,3.44,3.44,3.32,3.32,2100,AN
1992-07-02,3.27,3.44,3.27,3.44,2300,AN
1992-07-06,3.27,3.49,3.27,3.44,26100,AN
1992-07-07,3.44,3.44,3.32,3.32,1500,AN
1992-07-08,3.21,3.38,3.21,3.38,5200,AN
1992-07-09,3.27,3.38,3.21,3.38,38300,AN
1992-07-13,3.27,3.6,3.27,3.6,11400,AN
1992-07-14,3.6,3.83,3.55,3.83,34000,AN
1992-07-15,3.72,4.05,3.72,4.05,21900,AN
1992-07-16,3.83,4.05,3.83,4.05,5000,AN
1992-07-17,3.83,3.94,3.83,3.83,7300,AN
1992-07-20,3.72,4.0,3.72,4.0,1400,AN
1992-07-21,3.72,4.0,3.72,4.0,1200,AN
1992-07-22,3.72,4.0,3.72,3.94,4300,AN
1992-07-23,4.05,4.05,3.77,3.89,1300,AN
1992-07-24,4.05,4.05,3.83,3.83,5200,AN
1992-07-27,3.77,3.83,3.77,3.83,9800,AN
1992-07-28,3.83,3.83,3.77,3.83,10800,AN
1992-07-29,3.83,3.83,3.72,3.83,2400,AN
1992-07-30,3.77,3.83,3.77,3.83,800,AN
1992-07-31,3.72,3.77,3.72,3.77,4000,AN
1992-08-03,3.94,3.94,3.94,3.94,300,AN
1992-08-04,3.94,4.05,3.83,4.0,15900,AN
1992-08-05,3.83,3.94,3.72,3.94,19200,AN
1992-08-06,3.72,3.89,3.72,3.89,5100,AN
1992-08-07,3.72,3.89,3.72,3.89,32900,AN
1992-08-10,3.83,3.89,3.77,3.89,30700,AN
1992-08-11,3.83,3.83,3.77,3.83,7500,AN
1992-08-12,3.77,3.83,3.72,3.83,14300,AN
1992-08-13,3.72,3.83,3.72,3.83,25000,AN
1992-08-14,3.83,3.83,3.72,3.83,20600,AN
1992-08-17,3.89,3.89,3.72,3.89,17100,AN
1992-08-18,3.72,3.83,3.6,3.72,28400,AN
1992-08-19,3.6,3.72,3.6,3.72,4700,AN
1992-08-20,3.6,3.6,3.27,3.49,22800,AN
1992-08-21,3.38,3.38,3.38,3.38,3200,AN
1992-08-24,3.27,3.38,3.21,3.38,7000,AN
1992-08-25,3.38,3.38,3.15,3.32,22600,AN
1992-08-26,3.32,3.32,3.1,3.32,1500,AN
1992-08-27,3.1,3.27,3.1,3.27,30300,AN
1992-08-28,3.21,3.27,3.1,3.27,11400,AN
1992-08-31,3.27,3.27,3.1,3.21,40800,AN
1992-09-01,3.21,3.21,3.1,3.21,16900,AN
1992-09-02,3.15,3.21,3.15,3.21,21300,AN
1992-09-03,3.15,3.21,3.04,3.15,23300,AN
1992-09-04,2.98,3.1,2.98,3.1,2700,AN
1992-09-08,2.93,3.1,2.93,3.1,3800,AN
1992-09-09,2.93,3.04,2.93,3.04,36500,AN
1992-09-10,3.04,3.04,2.93,2.98,62500,AN
1992-09-11,2.93,2.98,2.93,2.98,71800,AN
1992-09-14,2.93,3.1,2.93,3.04,14600,AN
1992-09-15,2.93,2.98,2.87,2.87,16400,AN
1992-09-16,2.93,2.98,2.87,2.98,36300,AN
1992-09-17,2.87,2.98,2.87,2.98,8100,AN
1992-09-18,2.93,2.98,2.87,2.87,2800,AN
1992-09-21,2.87,2.93,2.82,2.93,16700,AN
1992-09-22,2.98,2.98,2.82,2.82,43400,AN
1992-09-23,2.98,2.98,2.82,2.82,67500,AN
1992-09-24,2.82,2.93,2.82,2.93,2200,AN
1992-09-25,2.93,2.93,2.82,2.93,11300,AN
1992-09-28,2.93,2.93,2.76,2.76,10900,AN
1992-09-29,2.76,2.82,2.7,2.76,105500,AN
1992-09-30,2.82,2.87,2.82,2.87,2100,AN
1992-10-01,2.76,2.87,2.76,2.87,2200,AN
1992-10-02,2.82,2.82,2.76,2.76,3200,AN
1992-10-05,2.76,2.87,2.76,2.87,5400,AN
1992-10-06,2.76,2.82,2.76,2.82,4800,AN
1992-10-07,2.76,2.82,2.7,2.82,2100,AN
1992-10-08,2.7,2.76,2.59,2.59,16900,AN
1992-10-09,2.53,2.7,2.48,2.53,3100,AN
1992-10-12,2.48,2.59,2.31,2.31,27500,AN
1992-10-13,2.31,2.37,2.2,2.2,20400,AN
1992-10-14,2.2,2.31,2.2,2.25,18900,AN
1992-10-15,2.2,2.31,2.14,2.14,44300,AN
1992-10-16,2.03,2.2,2.03,2.2,40800,AN
1992-10-19,2.2,2.2,2.03,2.03,4100,AN
1992-10-20,2.2,2.2,2.03,2.2,1900,AN
1992-10-21,2.03,2.48,2.03,2.48,42000,AN
1992-10-22,2.48,2.59,2.37,2.59,29400,AN
1992-10-23,2.48,2.59,2.48,2.59,4900,AN
1992-10-26,2.59,2.7,2.53,2.7,16300,AN
1992-10-27,2.7,2.76,2.48,2.7,33000,AN
1992-10-28,2.76,2.76,2.59,2.65,78200,AN
1992-10-29,2.59,2.76,2.59,2.76,6600,AN
1992-10-30,2.76,2.76,2.59,2.65,18500,AN
1992-11-02,2.53,2.76,2.53,2.76,5100,AN
1992-11-03,2.76,2.76,2.53,2.59,7300,AN
1992-11-04,2.65,2.7,2.53,2.7,58300,AN
1992-11-05,2.53,2.7,2.53,2.59,12200,AN
1992-11-06,2.7,2.7,2.53,2.59,25900,AN
1992-11-09,2.53,2.59,2.53,2.53,7400,AN
1992-11-10,2.53,2.53,2.31,2.31,19100,AN
1992-11-11,2.31,2.48,2.31,2.37,6300,AN
1992-11-12,2.53,2.53,2.48,2.48,2200,AN
1992-11-13,2.53,2.59,2.37,2.53,27900,AN
1992-11-16,2.53,2.53,2.42,2.42,12700,AN
1992-11-17,2.31,2.53,2.31,2.53,700,AN
1992-11-18,2.31,2.31,2.31,2.31,4800,AN
1992-11-19,2.53,2.53,2.37,2.42,11800,AN
1992-11-20,2.48,2.48,2.25,2.42,7800,AN
1992-11-23,2.25,2.42,2.25,2.42,700,AN
1992-11-24,2.25,2.25,2.25,2.25,200,AN
1992-11-25,2.37,2.37,2.25,2.31,20000,AN
1992-11-27,2.37,2.42,2.37,2.42,13100,AN
1992-11-30,2.48,2.48,2.48,2.48,100,AN
1992-12-01,2.48,2.48,2.25,2.31,24800,AN
1992-12-02,2.25,2.37,2.25,2.31,10000,AN
1992-12-03,2.25,2.31,2.08,2.25,17500,AN
1992-12-04,2.03,2.31,2.03,2.08,3000,AN
1992-12-07,2.31,2.31,2.08,2.08,9500,AN
1992-12-08,2.25,2.31,2.14,2.31,13000,AN
1992-12-09,2.08,2.25,2.08,2.08,12300,AN
1992-12-10,2.03,2.2,2.03,2.03,6300,AN
1992-12-11,2.2,2.2,2.03,2.14,14600,AN
1992-12-14,2.03,2.2,2.03,2.2,88700,AN
1992-12-15,2.2,2.25,2.08,2.08,11000,AN
1992-12-16,2.08,2.25,2.08,2.25,5800,AN
1992-12-17,2.08,2.25,2.08,2.25,38300,AN
1992-12-18,2.25,2.65,2.25,2.65,41500,AN
1992-12-21,2.48,2.65,2.42,2.42,72500,AN
