Date,Open,High,Low,Close,Volume,ticker
2021-05-07,7.38,7.48,6.72,7.1,1314779,ANEB
2021-05-10,7.0,7.2,7.0,7.05,242354,ANEB
2021-05-11,7.0,7.1,7.0,7.08,146514,ANEB
2021-05-12,7.0,7.09,6.97,7.0,47822,ANEB
2021-05-13,7.0073,7.0299,7.0,7.0,12831,ANEB
2021-05-14,6.31,7.08,6.31,7.03,65170,ANEB
2021-05-17,7.02,7.099,7.0,7.02,45009,ANEB
2021-05-18,7.0101,7.1499,7.0,7.0,7644,ANEB
2021-05-19,7.15,7.15,7.0,7.1,18577,ANEB
2021-05-20,7.0501,7.65,7.05,7.58,37631,ANEB
2021-05-21,7.6,9.33,7.47,8.95,85355,ANEB
2021-05-24,8.91,9.0,7.68,8.0,79823,ANEB
2021-05-25,8.2,8.7889,8.01,8.03,11840,ANEB
2021-05-26,8.1,8.1516,7.8901,8.0,22394,ANEB
2021-05-27,8.0,8.1,7.99,8.0,9482,ANEB
2021-05-28,8.445,8.49,7.91,8.2,13099,ANEB
2021-06-01,8.2,8.3,7.76,7.76,9146,ANEB
2021-06-02,7.75,8.0,7.46,7.4835,8764,ANEB
2021-06-03,7.51,7.84,7.48,7.5,3011,ANEB
2021-06-04,7.45,7.51,7.29,7.35,34789,ANEB
2021-06-07,7.35,7.675,7.17,7.62,35892,ANEB
2021-06-08,7.6,7.6,7.22,7.22,9711,ANEB
2021-06-09,7.06,7.3,7.06,7.225,7114,ANEB
2021-06-10,7.35,8.09,7.12,8.04,45105,ANEB
2021-06-11,7.88,8.25,7.5087,8.25,12007,ANEB
2021-06-14,8.1,8.475,7.59,8.2,16421,ANEB
2021-06-15,8.03,8.6988,7.55,7.63,27537,ANEB
2021-06-16,8.0,8.165,7.54,7.63,16963,ANEB
2021-06-17,7.77,8.085,7.51,7.58,23302,ANEB
2021-06-18,7.7,8.49,6.55,7.3,90437,ANEB
2021-06-21,7.32,7.7,6.65,7.3,66437,ANEB
2021-06-22,7.31,7.63,6.685,6.95,7013,ANEB
2021-06-23,7.03,7.56,6.87,6.93,2407,ANEB
2021-06-24,7.0425,7.45,7.0425,7.05,2540,ANEB
2021-06-25,7.14,7.19,7.09,7.19,10307,ANEB
2021-06-28,7.11,7.3,6.95,6.95,3963,ANEB
2021-06-29,6.96,6.97,6.58,6.58,10164,ANEB
2021-06-30,6.79,7.0808,6.79,6.82,1800,ANEB
2021-07-01,6.7621,7.0,6.75,6.86,5191,ANEB
2021-07-02,6.91,6.91,6.57,6.57,4935,ANEB
2021-07-06,6.9,6.9,6.6532,6.7,5348,ANEB
2021-07-07,6.905,7.56,6.61,7.18,23243,ANEB
2021-07-08,6.75,7.5198,6.75,7.05,7846,ANEB
2021-07-09,7.2,7.55,7.11,7.3983,5585,ANEB
2021-07-12,7.5,7.77,7.2001,7.77,14162,ANEB
2021-07-13,7.77,7.77,7.31,7.67,11815,ANEB
2021-07-14,7.5662,7.5662,7.02,7.02,4054,ANEB
2021-07-15,7.0,7.115,7.0,7.01,2138,ANEB
2021-07-16,6.9,7.0,6.77,6.85,4352,ANEB
2021-07-19,6.6027,6.61,6.6,6.61,1490,ANEB
2021-07-20,6.6001,7.75,6.6001,7.1,3240,ANEB
2021-07-21,7.44,7.44,7.44,7.44,407,ANEB
2021-07-23,7.02,7.04,7.01,7.01,1576,ANEB
2021-07-26,6.87,7.0,6.87,7.0,3324,ANEB
2021-07-28,7.1248,7.1248,7.1248,7.1248,324,ANEB
2021-07-29,7.31,7.31,7.11,7.12,1204,ANEB
2021-07-30,7.2584,7.2584,7.2584,7.2584,1336,ANEB
2021-08-02,7.4299,7.4899,7.395,7.46,924,ANEB
2021-08-03,7.35,7.37,6.6,7.0,6037,ANEB
2021-08-04,7.0,7.0001,6.8117,6.8823,1765,ANEB
2021-08-05,7.085,7.44,6.91,7.44,1246,ANEB
2021-08-09,7.3,7.3,7.3,7.3,264,ANEB
2021-08-10,7.125,7.44,7.0,7.25,13716,ANEB
2021-08-12,7.02,7.42,6.9,7.32,13658,ANEB
2021-08-13,7.19,7.19,6.92,6.9782,2810,ANEB
2021-08-16,7.0,7.0,7.0,7.0,304,ANEB
2021-08-17,7.0,7.0,7.0,7.0,138,ANEB
2021-08-18,6.9001,6.95,6.9,6.9055,1820,ANEB
2021-08-19,6.9027,6.94,6.9,6.94,874,ANEB
2021-08-20,7.0,7.068,6.9,7.068,448,ANEB
2021-08-23,6.92,6.92,6.84,6.84,4540,ANEB
2021-08-24,6.84,6.84,6.6,6.6,876,ANEB
2021-08-26,6.75,6.75,6.655,6.655,877,ANEB
2021-08-27,6.88,7.06,6.88,6.9,1012,ANEB
2021-08-30,6.95,6.99,6.95,6.99,961,ANEB
2021-08-31,6.75,6.75,6.75,6.75,600,ANEB
2021-09-01,6.9,6.9,6.9,6.9,430,ANEB
2021-09-03,6.8225,6.8225,6.5,6.75,8869,ANEB
2021-09-07,6.64,7.0177,6.64,7.0,1838,ANEB
2021-09-08,6.9,7.2,6.72,7.2,4345,ANEB
2021-09-09,6.8101,7.035,6.8101,7.035,710,ANEB
2021-09-10,6.83,7.07,6.83,6.8973,11650,ANEB
2021-09-13,6.92,7.04,6.92,7.02,4130,ANEB
2021-09-14,6.9,7.0999,6.6,7.025,3438,ANEB
2021-09-15,6.73,6.925,6.73,6.925,1167,ANEB
2021-09-16,6.8089,6.8089,6.79,6.79,331,ANEB
2021-09-17,6.77,7.1,6.77,7.1,2074,ANEB
2021-09-20,6.91,7.04,6.73,6.76,7058,ANEB
2021-09-21,6.91,7.18,6.88,7.08,3944,ANEB
2021-09-22,7.145,7.2999,6.9399,7.0,29975,ANEB
2021-09-23,7.0,7.0,7.0,7.0,1578,ANEB
2021-09-24,7.01,7.0138,6.85,6.85,6311,ANEB
2021-09-27,6.9415,7.0804,6.78,7.0687,4910,ANEB
2021-09-28,7.0,7.0,6.6001,6.8447,5939,ANEB
2021-09-29,6.7201,6.9017,6.7201,6.8,3881,ANEB
