Date,Open,High,Low,Close,Volume,ticker
2014-06-06,3.453,3.75,3.4375,3.4375,116081376,ANET
2014-06-09,3.5155,3.5625,3.4375,3.45,11453376,ANET
2014-06-10,3.453,3.75,3.453,3.75,15787200,ANET
2014-06-11,3.75,3.96875,3.66625,3.96875,10580032,ANET
2014-06-12,3.978,4.2395,3.942,4.125,11776768,ANET
2014-06-13,4.2795,4.5,4.1875,4.34875,17053152,ANET
2014-06-16,4.45125,4.46875,4.227,4.46875,6673680,ANET
2014-06-17,4.493,4.5395,4.3125,4.357,4475472,ANET
2014-06-18,4.3795,4.4375,4.2425,4.31,3340352,ANET
2014-06-19,4.252,4.3005,4.032,4.1045,10448320,ANET
2014-06-20,4.0655,4.28125,4.03125,4.072,4704432,ANET
2014-06-23,4.06375,4.218,4.06375,4.107,1864288,ANET
2014-06-24,4.147,4.172,3.992,4.0175,3084464,ANET
2014-06-25,3.988,4.085,3.875,4.0305,2978784,ANET
2014-06-26,4.0505,4.0505,3.90625,3.988,1553824,ANET
2014-06-27,3.9945,3.9945,3.8905,3.9095,3915840,ANET
2014-06-30,3.8795,4.075,3.8795,3.8995,3711488,ANET
2014-07-01,4.1855,4.802,4.13125,4.75,26561584,ANET
2014-07-02,4.9145,5.033,4.575,4.7095,18024000,ANET
2014-07-03,4.7775,4.852,4.63125,4.7755,3902144,ANET
2014-07-07,4.6975,4.8305,4.502,4.5105,5065584,ANET
2014-07-08,4.4955,4.503,3.94625,4.3395,18859184,ANET
2014-07-09,4.33125,4.55625,4.1255,4.49375,5951328,ANET
2014-07-10,4.22,4.38375,4.195,4.23375,4749520,ANET
2014-07-11,4.3,4.40625,4.272,4.352,3067696,ANET
2014-07-14,4.4625,4.5,4.283,4.3095,2095392,ANET
2014-07-15,4.3405,4.41,4.125,4.168,3617488,ANET
2014-07-16,4.192,4.25,3.9755,4.033,3962880,ANET
2014-07-17,3.993,4.10125,3.9445,3.985,2083536,ANET
2014-07-18,4.002,4.05625,3.9595,4.0,1979344,ANET
2014-07-21,4.008,4.04575,3.938,3.952,2299232,ANET
2014-07-22,3.985,4.185,3.96625,4.0945,3774176,ANET
2014-07-23,4.118,4.1675,4.025,4.05125,2366656,ANET
2014-07-24,4.0695,4.135,3.9855,4.0155,2922320,ANET
2014-07-25,4.0095,4.04875,3.907,3.9775,1849024,ANET
2014-07-28,4.0325,4.03375,3.9395,3.963,1145536,ANET
2014-07-29,3.9745,4.003,3.947,3.9905,1702208,ANET
2014-07-30,4.03,4.24375,3.998,4.237,9728960,ANET
2014-07-31,4.14625,4.1875,4.0695,4.1325,4123424,ANET
2014-08-01,4.11375,4.21875,4.078,4.1005,3098832,ANET
2014-08-04,4.1245,4.34375,4.105,4.327,4089424,ANET
2014-08-05,4.302,4.5625,4.25125,4.5055,6438096,ANET
2014-08-06,4.46125,4.53125,4.3455,4.42625,3610144,ANET
2014-08-07,4.4855,4.54125,4.44875,4.51375,6641744,ANET
2014-08-08,4.953,4.9925,4.46875,4.502,22833136,ANET
