Date,Open,High,Low,Close,Volume,ticker
2022-02-07,0.7,1.34,0.6584,1.0,5517593,ANGHW
2022-02-08,1.0,1.0393,0.5543,0.6301,1427396,ANGHW
2022-02-09,0.7113,0.73015,0.6001,0.6233,775587,ANGHW
2022-02-10,0.6501,0.9,0.6501,0.7,1123721,ANGHW
2022-02-11,0.8,0.8,0.62,0.7197,583450,ANGHW
2022-02-14,0.66,0.7324,0.6323,0.649949,149825,ANGHW
2022-02-15,0.64,0.649899,0.6001,0.600201,254327,ANGHW
2022-02-16,0.6299,0.6499,0.5536,0.621,118569,ANGHW
2022-02-17,0.5702,1.4,0.53,0.95,6546732,ANGHW
2022-02-18,0.91,0.93,0.68,0.8,1065081,ANGHW
2022-02-22,0.8,0.8105,0.64075,0.7,216017,ANGHW
2022-02-23,0.72,0.77,0.6502,0.67,348539,ANGHW
2022-02-24,0.6,0.6455,0.55,0.6212,221362,ANGHW
2022-02-25,0.6201,0.8542,0.5811,0.77,535955,ANGHW
2022-02-28,0.77,0.82,0.7,0.77,121914,ANGHW
2022-03-01,0.81,0.8601,0.75,0.8601,225940,ANGHW
2022-03-02,0.95,0.97,0.828723,0.8899,423432,ANGHW
2022-03-03,0.9366,0.989,0.8415,0.9619,520370,ANGHW
2022-03-04,1.01,1.04,0.8083,0.8836,182113,ANGHW
2022-03-07,0.85,0.85,0.65,0.6794,527482,ANGHW
2022-03-08,0.69,0.77,0.64,0.7238,131490,ANGHW
2022-03-09,0.711,0.777599,0.6574,0.7045,50340,ANGHW
2022-03-10,0.7299,0.73,0.6275,0.63,68192,ANGHW
2022-03-11,0.621,0.75,0.621,0.63,168101,ANGHW
2022-03-14,0.63,0.7099,0.61,0.6175,47010,ANGHW
2022-03-15,0.5295,0.644899,0.5295,0.589101,91741,ANGHW
2022-03-16,0.59,0.62,0.59,0.591,25974,ANGHW
2022-03-17,0.5931,0.643,0.59,0.5932,16535,ANGHW
2022-03-18,0.64,0.6817,0.622,0.6461,44395,ANGHW
2022-03-21,0.6301,0.6912,0.601,0.6151,13912,ANGHW
2022-03-22,0.65,0.65,0.6107,0.6253,15500,ANGHW
2022-03-23,0.6014,0.6789,0.6014,0.6284,8472,ANGHW
2022-03-24,0.6206,0.6442,0.6206,0.6442,7444,ANGHW
2022-03-25,0.658506,0.658506,0.5561,0.6,32227,ANGHW
2022-03-28,0.61,0.6101,0.6,0.6001,163320,ANGHW
2022-03-29,0.639899,0.639899,0.6,0.61,45159,ANGHW
2022-03-30,0.6,0.61,0.6,0.608,106305,ANGHW
2022-03-31,0.61,0.68,0.5708,0.5947,55214,ANGHW
2022-04-01,0.600101,0.6799,0.5515,0.5606,20023,ANGHW
2022-04-04,0.567,0.6,0.55,0.55,73305,ANGHW
2022-04-05,0.57,0.8666,0.55,0.7006,990366,ANGHW
2022-04-06,0.6799,0.7281,0.6338,0.634,47077,ANGHW
2022-04-07,0.6501,0.6599,0.56,0.6328,168183,ANGHW
2022-04-08,0.6328,0.6539,0.5628,0.5938,27441,ANGHW
2022-04-11,0.694399,0.694399,0.5801,0.59,84602,ANGHW
2022-04-12,0.62,0.62,0.5246,0.5251,56266,ANGHW
2022-04-13,0.569,0.569,0.5401,0.5594,13891,ANGHW
2022-04-14,0.568799,0.568799,0.5186,0.52,16512,ANGHW
2022-04-18,0.52,0.6499,0.52,0.6005,57516,ANGHW
2022-04-19,0.563901,0.6002,0.5638,0.5781,18741,ANGHW
2022-04-20,0.5802,0.5802,0.5802,0.5802,3001,ANGHW
2022-04-21,0.5801,0.5802,0.5105,0.5248,85953,ANGHW
2022-04-22,0.5151,0.5529,0.5151,0.53,33879,ANGHW
2022-04-25,0.52,0.5649,0.52,0.5288,15999,ANGHW
2022-04-26,0.5467,0.5467,0.52,0.53,36367,ANGHW
2022-04-27,0.5041,0.5205,0.4502,0.4715,44607,ANGHW
2022-04-28,0.497501,0.499,0.475,0.475,11345,ANGHW
2022-04-29,0.5198,0.5199,0.475,0.4751,28503,ANGHW
2022-05-02,0.475,0.499799,0.475,0.499799,300,ANGHW
2022-05-03,0.4998,0.5,0.475,0.475,10729,ANGHW
2022-05-04,0.475,0.475,0.475,0.475,6904,ANGHW
2022-05-05,0.47,0.494951,0.411,0.476579,7202,ANGHW
2022-05-06,0.4286,0.4286,0.4,0.4,1215,ANGHW
2022-05-09,0.396,0.4151,0.3491,0.3491,31079,ANGHW
2022-05-10,0.35,0.3601,0.35,0.35,4637,ANGHW
2022-05-11,0.36,0.36,0.2801,0.2891,7582,ANGHW
2022-05-12,0.368799,0.368799,0.318,0.3201,4761,ANGHW
2022-05-13,0.369,0.3802,0.3689,0.38,1601,ANGHW
2022-05-17,0.385,0.4139,0.3036,0.3476,47498,ANGHW
2022-05-18,0.3189,0.45957,0.3188,0.3344,22872,ANGHW
2022-05-19,0.3301,0.3302,0.3,0.3089,39138,ANGHW
2022-05-20,0.4941,0.4941,0.3382,0.381149,9881,ANGHW
2022-05-23,0.3401,0.37,0.3401,0.37,5006,ANGHW
2022-05-24,0.345,0.345,0.325,0.325,9445,ANGHW
2022-05-25,0.326,0.326,0.325,0.3251,916,ANGHW
2022-05-26,0.325,0.3452,0.325,0.3452,449,ANGHW
2022-05-27,0.3589,0.395,0.3589,0.395,2705,ANGHW
2022-06-01,0.3999,0.3999,0.37,0.37,1007,ANGHW
2022-06-03,0.37,0.37,0.3301,0.3301,819,ANGHW
2022-06-06,0.3999,0.3999,0.3999,0.3999,294,ANGHW
2022-06-08,0.3949,0.396,0.3798,0.3898,1886,ANGHW
2022-06-09,0.3755,0.3755,0.3755,0.3755,137,ANGHW
2022-06-10,0.396,0.396,0.396,0.396,550,ANGHW
2022-06-13,0.351301,0.3709,0.325,0.325,2440,ANGHW
2022-06-15,0.3478,0.3478,0.33,0.33,900,ANGHW
2022-06-16,0.34,0.3808,0.32,0.32,21314,ANGHW
2022-06-17,0.31,0.3478,0.31,0.3102,7774,ANGHW
2022-06-21,0.31,0.3958,0.31,0.3958,6080,ANGHW
2022-06-22,0.3489,0.4609,0.3489,0.43,4784,ANGHW
2022-06-23,0.32,0.43,0.315,0.43,8837,ANGHW
2022-06-24,0.3627,0.4607,0.33,0.4,3497,ANGHW
2022-06-27,0.35,0.368,0.32,0.3201,10067,ANGHW
2022-06-28,0.32,0.33,0.32,0.33,8750,ANGHW
2022-06-29,0.330101,0.330599,0.26,0.2742,45700,ANGHW
2022-06-30,0.251,0.2701,0.251,0.2612,18126,ANGHW
2022-07-01,0.265,0.265,0.261,0.261,1018,ANGHW
2022-07-05,0.261,0.261,0.261,0.261,2708,ANGHW
2022-07-06,0.27,0.270101,0.27,0.27,7248,ANGHW
2022-07-07,0.26,0.28,0.26,0.28,4721,ANGHW
2022-07-08,0.27,0.27,0.264999,0.265,4441,ANGHW
2022-07-11,0.264999,0.27,0.26,0.26,3219,ANGHW
2022-07-12,0.2433,0.2433,0.2017,0.2019,3946,ANGHW
2022-07-13,0.269799,0.2699,0.268973,0.268973,1409,ANGHW
2022-07-14,0.1956,0.203,0.17775,0.203,27623,ANGHW
2022-07-15,0.21,0.21,0.181,0.19,10748,ANGHW
2022-07-18,0.1802,0.19,0.175,0.19,3620,ANGHW
2022-07-19,0.215,0.289599,0.1902,0.1935,43082,ANGHW
2022-07-21,0.229899,0.229899,0.229899,0.229899,116,ANGHW
2022-07-22,0.228,0.2281,0.19,0.19,26624,ANGHW
2022-07-25,0.19,0.1901,0.19,0.1901,251,ANGHW
2022-07-26,0.195,0.195,0.195,0.195,7024,ANGHW
2022-07-27,0.227,0.2466,0.2,0.218023,26786,ANGHW
2022-07-28,0.2,0.2,0.2,0.2,10720,ANGHW
2022-07-29,0.26745,0.2994,0.1951,0.1951,1096,ANGHW
2022-08-01,0.2033,0.2033,0.195,0.195,8938,ANGHW
2022-08-02,0.2083,0.2084,0.1906,0.2084,16888,ANGHW
2022-08-03,0.190101,0.2399,0.19,0.239799,6522,ANGHW
2022-08-05,0.1911,0.205,0.1911,0.205,2337,ANGHW
2022-08-09,0.2578,0.257801,0.2102,0.2102,10970,ANGHW
2022-08-10,0.1941,0.2399,0.1628,0.1628,17132,ANGHW
2022-08-11,0.2599,0.2599,0.2003,0.2004,18658,ANGHW
2022-08-12,0.1871,0.2034,0.187,0.188,14347,ANGHW
2022-08-15,0.1951,0.2,0.195,0.1999,24124,ANGHW
2022-08-16,0.1975,0.1975,0.1975,0.1975,280,ANGHW
2022-08-17,0.299899,0.299899,0.1873,0.2099,4163,ANGHW
2022-08-18,0.19855,0.2124,0.1872,0.2124,2060,ANGHW
2022-08-19,0.187901,0.2299,0.187901,0.2299,7291,ANGHW
2022-08-24,0.187,0.277599,0.187,0.277599,1981,ANGHW
2022-08-25,0.2099,0.2099,0.1871,0.1871,451,ANGHW
2022-08-26,0.187,0.1871,0.155,0.1578,27148,ANGHW
2022-08-30,0.16,0.1747,0.16,0.1669,1700,ANGHW
2022-09-07,0.1924,0.199699,0.1501,0.1995,4060,ANGHW
2022-09-08,0.2,0.2,0.1501,0.1995,13419,ANGHW
2022-09-09,0.1201,0.2126,0.1201,0.16121,3400,ANGHW
2022-09-12,0.12,0.2049,0.12,0.2045,1559,ANGHW
2022-09-13,0.209799,0.2099,0.209799,0.2099,4808,ANGHW
2022-09-16,0.22,0.2299,0.1319,0.1538,14748,ANGHW
2022-09-19,0.1201,0.1599,0.1201,0.15,13018,ANGHW
2022-09-20,0.149999,0.149999,0.12,0.1201,1401,ANGHW
2022-09-21,0.120201,0.14,0.1201,0.1201,18266,ANGHW
2022-09-22,0.1204,0.1496,0.1201,0.1496,4510,ANGHW
2022-09-23,0.1206,0.1206,0.1206,0.1206,1002,ANGHW
2022-09-26,0.1206,0.1206,0.12,0.12,4694,ANGHW
2022-09-27,0.120101,0.14,0.12,0.14,7198,ANGHW
2022-09-28,0.1016,0.15,0.1016,0.15,2818,ANGHW
2022-09-29,0.149899,0.167699,0.148753,0.167699,2729,ANGHW
2022-10-04,0.1576,0.1659,0.1509,0.1659,643,ANGHW
2022-10-06,0.1407,0.1407,0.1323,0.1407,624,ANGHW
2022-10-12,0.1037,0.1151,0.1037,0.1064,6998,ANGHW
2022-10-13,0.1135,0.1202,0.1135,0.1135,306,ANGHW
2022-10-17,0.12,0.1476,0.1036,0.103601,9888,ANGHW
2022-10-18,0.13,0.1655,0.13,0.13,4343,ANGHW
2022-10-31,0.12,0.158051,0.1,0.158051,6966,ANGHW
2022-11-01,0.167901,0.167901,0.0755,0.0755,12117,ANGHW
2022-11-02,0.08,0.128,0.0761,0.1275,40095,ANGHW
2022-11-03,0.1203,0.1203,0.0828,0.1,4598,ANGHW
2022-11-07,0.1099,0.1099,0.1099,0.1099,250,ANGHW
2022-11-08,0.1658,0.1658,0.1658,0.1658,351,ANGHW
2022-11-10,0.1489,0.1489,0.1489,0.1489,241,ANGHW
2022-11-11,0.1489,0.18,0.0998,0.0998,17833,ANGHW
2022-11-14,0.101,0.17,0.101,0.1139,23009,ANGHW
2022-11-16,0.117601,0.117601,0.117601,0.117601,625,ANGHW
2022-11-17,0.11,0.153,0.1099,0.1499,4467,ANGHW
2022-11-18,0.15,0.15,0.1027,0.1323,20893,ANGHW
2022-11-21,0.091,0.13,0.091,0.13,13281,ANGHW
