Date,Open,High,Low,Close,Volume,ticker
2005-02-25,22.24,23.2,21.6,21.73,168007,ANGO
2005-02-28,21.6,21.99,21.35,21.6,100315,ANGO
2005-03-01,22.32,22.32,21.65,21.9,102559,ANGO
2005-03-02,22.19,22.5,21.5,22.2,154721,ANGO
2005-03-03,22.24,22.75,21.7,22.19,88873,ANGO
2005-03-04,22.6,22.6,21.11,21.91,216916,ANGO
2005-03-07,21.81,23.5,21.8,23.31,332958,ANGO
2005-03-08,23.49,23.49,21.95,22.82,209770,ANGO
2005-03-09,22.8,23.07,21.75,22.22,81016,ANGO
2005-03-10,21.85,22.31,19.43,20.05,589466,ANGO
2005-03-11,19.8,20.27,17.38,17.79,645950,ANGO
2005-03-14,17.61,19.32,17.6,19.0,301756,ANGO
2005-03-15,19.0,19.29,18.85,19.25,137922,ANGO
2005-03-16,18.92,19.9,18.92,19.62,144495,ANGO
2005-03-17,19.43,20.3,19.43,20.27,88324,ANGO
2005-03-18,20.35,21.0,20.01,20.64,104799,ANGO
2005-03-21,20.64,21.32,19.26,19.96,183231,ANGO
2005-03-22,19.62,19.98,18.19,18.79,161072,ANGO
2005-03-23,18.41,19.49,18.4,19.09,108711,ANGO
2005-03-24,19.13,19.73,18.51,19.05,80358,ANGO
2005-03-28,19.09,20.03,18.67,18.87,178041,ANGO
2005-03-29,19.16,19.44,18.34,18.55,187449,ANGO
2005-03-30,20.0,20.2,17.31,18.0,356352,ANGO
2005-03-31,17.75,18.3,17.75,18.3,64321,ANGO
2005-04-01,18.5,18.81,17.86,18.66,125953,ANGO
2005-04-04,18.19,18.45,18.0,18.27,82650,ANGO
2005-04-05,18.0,18.52,17.1,18.4,126777,ANGO
2005-04-06,18.49,18.49,17.1,18.18,131565,ANGO
2005-04-07,18.09,18.39,17.92,18.39,42138,ANGO
2005-04-08,18.45,18.45,17.71,18.21,31816,ANGO
2005-04-11,18.15,18.19,17.13,18.01,76335,ANGO
