Date,Open,High,Low,Close,Volume,ticker
2020-06-23,24.36,24.55,24.28,24.33,243351,ANG_B
2020-06-24,24.3,24.38,23.75,24.01,223599,ANG_B
2020-06-25,23.9,25.08,23.76,24.32,277959,ANG_B
2020-06-26,24.39,24.39,24.18,24.3,187054,ANG_B
2020-06-29,24.38,24.38,24.17,24.28,418236,ANG_B
2020-06-30,24.35,24.35,23.65,23.67,679380,ANG_B
2020-07-01,23.73,23.95,23.73,23.94,237137,ANG_B
2020-07-02,24.04,24.11,23.92,23.98,79849,ANG_B
2020-07-06,24.18,24.18,23.97,24.02,58466,ANG_B
2020-07-07,23.96,24.07,23.875,23.95,80037,ANG_B
2020-07-08,23.96,24.12,23.92,24.12,34154,ANG_B
2020-07-09,24.1,24.1125,23.72,23.8,54411,ANG_B
2020-07-10,23.85,23.9299,23.7834,23.81,30921,ANG_B
2020-07-13,23.85,23.93,23.55,23.55,33593,ANG_B
2020-07-14,23.55,23.55,23.25,23.53,51906,ANG_B
2020-07-15,23.52,23.83,23.42,23.74,49717,ANG_B
2020-07-16,23.74,23.96,23.69,23.77,58950,ANG_B
2020-07-17,23.79,23.88,23.7,23.75,35215,ANG_B
2020-07-20,23.76,23.93,23.68,23.85,34410,ANG_B
2020-07-21,23.87,24.39,23.85,24.27,245493,ANG_B
2020-07-22,24.36,24.58,24.345,24.58,190274,ANG_B
2020-07-23,24.54,24.73,24.43,24.7,75993,ANG_B
2020-07-24,24.706,24.73,24.6,24.7,172365,ANG_B
2020-07-27,24.65,24.85,24.65,24.85,152355,ANG_B
2020-07-28,24.87,24.97,24.86,24.89,80395,ANG_B
2020-07-29,24.9,25.1,24.89,25.05,509528,ANG_B
2020-07-30,25.01,25.11,24.88,25.11,582434,ANG_B
2020-07-31,25.08,25.1,24.93,24.93,238471,ANG_B
2020-08-03,24.97,25.02,24.91,24.91,53857,ANG_B
2020-08-04,24.95,24.95,24.81,24.9,19429,ANG_B
2020-08-05,24.98,25.05,24.939,24.95,59712,ANG_B
