Date,Open,High,Low,Close,Volume,ticker
2005-02-25,189.72,189.72,185.4,187.92,770,ANIP
2005-02-28,191.16,191.16,181.44,181.8,1595,ANIP
2005-03-01,181.8,181.8,174.96,174.96,2020,ANIP
2005-03-02,177.48,190.08,176.4,178.2,2264,ANIP
2005-03-03,181.08,183.24,176.76,177.84,997,ANIP
2005-03-04,187.2,187.2,178.56,178.56,1703,ANIP
2005-03-07,178.56,178.56,162.0,165.96,6183,ANIP
2005-03-08,168.48,171.0,166.32,169.56,5914,ANIP
2005-03-09,169.2,169.2,165.96,167.04,1067,ANIP
2005-03-10,165.6,167.04,160.92,163.8,2011,ANIP
2005-03-11,162.0,162.0,156.6,158.4,2045,ANIP
2005-03-14,158.04,158.4,151.92,151.92,1736,ANIP
2005-03-15,149.76,157.32,149.4,153.72,2753,ANIP
2005-03-16,153.72,161.64,153.0,153.0,2645,ANIP
2005-03-17,153.0,167.04,153.0,159.12,889,ANIP
2005-03-18,159.48,180.0,159.12,167.04,2939,ANIP
2005-03-21,170.28,172.08,158.4,162.36,825,ANIP
2005-03-22,170.64,170.64,159.84,160.92,989,ANIP
2005-03-23,159.48,160.92,156.24,159.12,358,ANIP
2005-03-24,155.88,159.84,154.44,154.44,1445,ANIP
2005-03-28,157.68,157.68,148.68,148.68,956,ANIP
2005-03-29,148.68,165.24,140.4,141.12,2025,ANIP
2005-03-30,141.12,145.44,138.96,141.48,2950,ANIP
2005-03-31,140.4,154.8,140.4,144.0,3278,ANIP
2005-04-01,147.24,154.08,144.72,146.16,3470,ANIP
2005-04-04,149.4,155.16,147.6,147.96,3708,ANIP
2005-04-05,147.6,152.64,145.44,147.96,2553,ANIP
2005-04-06,155.16,159.12,149.4,151.92,783,ANIP
2005-04-07,153.0,161.64,151.92,151.92,1070,ANIP
2005-04-08,152.28,158.04,152.28,153.72,483,ANIP
2005-04-11,154.8,156.6,150.84,150.84,881,ANIP
2005-04-12,148.68,151.2,146.52,148.68,656,ANIP
2005-04-13,149.4,149.4,145.8,145.8,800,ANIP
2005-04-14,145.8,148.68,142.92,144.72,1489,ANIP
2005-04-15,144.72,145.44,140.4,140.76,731,ANIP
2005-04-18,141.12,142.2,134.28,135.0,4175,ANIP
2005-04-19,135.72,137.88,133.56,137.88,1833,ANIP
2005-04-20,139.68,151.2,135.0,139.68,2272,ANIP
2005-04-21,142.2,145.8,139.32,144.36,797,ANIP
2005-04-22,146.52,153.36,146.52,153.0,2375,ANIP
2005-04-25,155.16,157.68,145.8,146.88,678,ANIP
2005-04-26,147.6,147.6,141.48,142.92,861,ANIP
2005-04-27,141.12,142.92,138.6,140.04,667,ANIP
2005-04-28,139.32,141.48,138.6,140.04,570,ANIP
2005-04-29,141.12,142.2,137.52,140.04,347,ANIP
2005-05-02,138.96,140.04,131.76,135.36,1011,ANIP
2005-05-03,135.72,138.6,133.2,136.08,2678,ANIP
2005-05-04,136.08,139.68,131.76,135.36,397,ANIP
2005-05-05,137.52,138.6,135.36,137.52,275,ANIP
2005-05-06,140.04,140.76,134.28,137.16,458,ANIP
2005-05-09,136.8,137.52,132.84,135.0,1192,ANIP
2005-05-10,133.56,137.52,133.2,135.0,831,ANIP
2005-05-11,136.8,137.88,134.28,137.88,470,ANIP
2005-05-12,141.12,144.0,140.4,140.76,953,ANIP
2005-05-13,142.2,144.0,140.4,140.4,1520,ANIP
2005-05-16,141.84,149.76,141.84,146.16,1122,ANIP
2005-05-17,149.4,150.48,143.28,144.0,1692,ANIP
2005-05-18,144.0,144.0,140.4,140.76,1300,ANIP
2005-05-19,143.28,144.72,138.96,141.84,1703,ANIP
2005-05-20,144.36,147.6,143.28,143.64,1986,ANIP
2005-05-23,146.16,148.68,138.96,141.84,1653,ANIP
2005-05-24,139.68,140.4,133.92,137.16,2061,ANIP
2005-05-25,138.96,141.84,137.52,138.6,247,ANIP
2005-05-26,138.6,139.32,131.76,132.84,2403,ANIP
2005-05-27,133.2,137.16,131.4,132.48,981,ANIP
2005-05-31,134.64,140.04,133.2,133.2,2214,ANIP
2005-06-01,133.2,142.92,133.2,137.16,3645,ANIP
2005-06-02,136.8,141.84,134.64,138.96,1272,ANIP
2005-06-03,141.84,142.2,135.36,137.52,795,ANIP
2005-06-06,141.12,141.48,133.2,134.28,1186,ANIP
2005-06-07,134.64,137.52,129.96,135.0,1895,ANIP
2005-06-08,135.72,138.96,131.4,131.76,1350,ANIP
2005-06-09,133.2,136.08,132.48,133.2,583,ANIP
2005-06-10,133.2,133.92,130.68,131.4,550,ANIP
2005-06-13,132.12,135.36,130.32,130.32,703,ANIP
2005-06-14,130.32,131.04,130.32,131.04,747,ANIP
2005-06-15,129.96,133.92,128.88,128.88,917,ANIP
2005-06-16,128.88,128.88,121.68,127.08,3795,ANIP
2005-06-17,125.28,126.0,122.4,123.12,1617,ANIP
2005-06-20,124.92,124.92,115.92,119.52,2172,ANIP
2005-06-21,114.12,119.88,112.32,113.4,1739,ANIP
2005-06-22,113.4,122.04,113.4,117.0,1278,ANIP
2005-06-23,120.6,121.32,117.0,119.16,1056,ANIP
2005-06-24,122.04,123.12,117.0,118.8,1331,ANIP
2005-06-27,118.8,122.76,117.36,118.8,378,ANIP
2005-06-28,117.72,122.04,117.0,121.32,797,ANIP
2005-06-29,124.92,135.0,122.04,128.16,2789,ANIP
2005-06-30,132.48,135.0,127.8,134.64,1833,ANIP
2005-07-01,136.8,147.24,136.8,141.12,3622,ANIP
2005-07-05,144.0,144.0,134.28,137.88,1717,ANIP
2005-07-06,149.4,150.48,140.04,142.56,9167,ANIP
2005-07-07,139.32,162.0,139.32,151.92,3586,ANIP
2005-07-08,151.92,153.36,147.6,147.6,1992,ANIP
2005-07-11,149.4,159.84,149.4,151.92,1906,ANIP
2005-07-12,155.16,158.04,149.4,156.6,1133,ANIP
2005-07-13,156.96,159.12,137.52,140.4,11264,ANIP
2005-07-14,139.68,139.68,127.8,137.88,3617,ANIP
2005-07-15,137.88,140.76,134.64,138.6,589,ANIP
2005-07-18,138.6,138.96,134.28,134.28,1361,ANIP
2005-07-19,134.28,137.88,129.6,137.88,1608,ANIP
2005-07-20,137.88,138.96,129.96,136.44,1858,ANIP
2005-07-21,138.96,143.64,136.8,141.48,1164,ANIP
2005-07-22,142.56,143.64,139.32,141.48,556,ANIP
2005-07-25,140.76,144.0,138.24,141.84,508,ANIP
2005-07-26,139.68,140.76,135.72,140.4,831,ANIP
2005-07-27,140.4,147.6,137.52,144.0,1658,ANIP
2005-07-28,145.8,145.8,141.48,145.44,872,ANIP
2005-07-29,147.24,149.4,145.44,145.44,875,ANIP
2005-08-01,148.68,149.04,146.52,149.04,1047,ANIP
2005-08-02,150.48,151.2,148.32,148.32,1228,ANIP
2005-08-03,146.88,151.56,146.16,150.48,472,ANIP
2005-08-04,150.48,153.0,150.48,152.64,1247,ANIP
2005-08-05,155.52,155.52,144.0,151.2,858,ANIP
2005-08-08,148.32,150.84,144.36,149.76,639,ANIP
2005-08-09,148.32,150.48,144.0,145.44,647,ANIP
2005-08-10,147.24,147.24,144.36,144.36,645,ANIP
2005-08-11,146.88,146.88,144.36,146.16,514,ANIP
2005-08-12,145.08,146.16,142.56,144.0,622,ANIP
2005-08-15,146.16,146.16,138.6,140.76,589,ANIP
2005-08-16,138.96,140.4,137.16,138.96,611,ANIP
2005-08-17,137.88,141.48,136.8,138.96,517,ANIP
2005-08-18,140.04,145.44,137.88,142.92,489,ANIP
2005-08-19,140.4,140.4,137.52,140.04,300,ANIP
2005-08-22,142.56,144.72,139.32,142.56,725,ANIP
2005-08-23,143.64,143.64,140.76,143.64,292,ANIP
2005-08-24,142.2,143.64,137.88,143.64,425,ANIP
2005-08-25,143.28,143.28,140.76,141.12,320,ANIP
2005-08-26,143.28,144.0,138.24,139.32,375,ANIP
2005-08-29,138.96,146.52,135.72,142.92,1303,ANIP
2005-08-30,144.36,144.36,136.8,141.48,428,ANIP
2005-08-31,140.04,144.72,139.68,140.76,514,ANIP
2005-09-01,139.32,143.28,138.24,141.12,525,ANIP
2005-09-02,126.72,136.8,126.72,135.0,1272,ANIP
2005-09-06,128.16,133.56,128.16,131.4,553,ANIP
2005-09-07,129.6,132.48,123.12,127.44,922,ANIP
2005-09-08,124.92,128.52,123.84,127.8,900,ANIP
2005-09-09,126.0,133.2,126.0,132.12,692,ANIP
2005-09-12,133.92,140.4,132.84,134.64,1114,ANIP
2005-09-13,134.64,134.64,132.48,133.2,336,ANIP
2005-09-14,155.52,155.52,140.4,142.2,2114,ANIP
2005-09-15,144.0,144.0,128.16,140.4,1083,ANIP
2005-09-16,138.6,139.32,133.56,136.44,425,ANIP
2005-09-19,132.84,135.0,131.4,131.76,325,ANIP
2005-09-20,131.76,136.44,129.96,132.12,511,ANIP
2005-09-21,129.6,129.6,125.28,127.44,900,ANIP
2005-09-22,126.0,126.0,119.52,122.4,1900,ANIP
2005-09-23,122.4,124.2,118.08,120.6,1064,ANIP
2005-09-26,124.2,124.2,120.96,122.76,1422,ANIP
2005-09-27,122.4,125.28,117.0,118.08,933,ANIP
2005-09-28,117.0,119.16,111.6,113.4,2264,ANIP
2005-09-29,118.8,126.0,115.56,119.88,8264,ANIP
2005-09-30,121.32,121.32,117.0,120.6,1595,ANIP
2005-10-03,120.6,121.32,118.8,120.6,917,ANIP
2005-10-04,120.6,120.6,118.44,118.44,464,ANIP
2005-10-05,117.36,118.44,115.2,115.2,520,ANIP
2005-10-06,100.8,124.2,100.8,115.92,2500,ANIP
2005-10-07,122.04,122.04,113.04,114.48,1361,ANIP
2005-10-10,116.64,117.36,113.04,113.04,653,ANIP
2005-10-11,112.68,117.36,112.32,113.4,256,ANIP
2005-10-12,115.2,115.2,108.36,109.08,1333,ANIP
2005-10-13,108.0,108.0,98.64,101.16,1856,ANIP
2005-10-14,100.8,107.64,97.92,101.16,1028,ANIP
2005-10-17,102.6,112.32,101.16,109.08,2383,ANIP
2005-10-18,110.52,111.24,107.64,109.08,408,ANIP
2005-10-19,103.68,108.72,102.96,107.64,1192,ANIP
2005-10-20,106.56,107.64,105.84,105.84,772,ANIP
2005-10-21,107.64,108.72,103.68,105.48,478,ANIP
2005-10-24,106.92,109.08,104.4,107.28,845,ANIP
2005-10-25,110.52,111.6,104.4,108.0,633,ANIP
2005-10-26,111.6,118.08,111.24,115.92,3756,ANIP
2005-10-27,117.72,118.08,106.2,106.92,1475,ANIP
2005-10-28,109.08,110.16,108.36,108.72,475,ANIP
2005-10-31,101.52,111.24,101.52,109.8,1447,ANIP
2005-11-01,109.8,109.8,103.32,106.2,2050,ANIP
2005-11-02,108.0,112.68,106.2,110.52,2178,ANIP
2005-11-03,111.6,118.8,110.88,117.0,3317,ANIP
2005-11-04,118.8,120.24,117.36,120.24,670,ANIP
2005-11-07,120.6,129.6,119.88,127.44,6239,ANIP
2005-11-08,129.6,134.64,126.36,129.96,3517,ANIP
2005-11-09,132.48,135.0,127.8,134.64,2050,ANIP
2005-11-10,135.0,141.48,127.8,141.12,2108,ANIP
2005-11-11,144.0,162.0,144.0,154.44,9131,ANIP
2005-11-14,154.8,168.84,154.8,162.72,8867,ANIP
2005-11-15,165.6,167.4,144.72,153.72,6858,ANIP
2005-11-16,154.08,161.28,154.08,160.92,1197,ANIP
2005-11-17,161.64,165.24,160.2,164.88,3245,ANIP
2005-11-18,163.8,165.24,157.68,159.84,1756,ANIP
2005-11-21,158.4,160.2,151.2,151.92,3317,ANIP
2005-11-22,154.44,163.8,149.4,160.92,4150,ANIP
2005-11-23,160.92,162.0,158.04,162.0,1064,ANIP
2005-11-25,162.0,165.24,160.56,160.92,972,ANIP
2005-11-28,163.08,163.44,151.92,154.8,1953,ANIP
2005-11-29,153.0,158.4,149.4,157.32,1086,ANIP
2005-11-30,154.8,160.92,154.8,160.56,945,ANIP
2005-12-01,160.56,161.64,153.0,155.52,1839,ANIP
2005-12-02,157.68,158.04,152.28,153.0,495,ANIP
2005-12-05,153.0,155.52,153.0,154.08,1620,ANIP
2005-12-06,153.36,154.08,153.0,153.36,800,ANIP
2005-12-07,156.6,156.6,145.8,153.0,1747,ANIP
2005-12-08,154.8,154.8,140.76,143.64,1833,ANIP
2005-12-09,137.52,143.28,129.6,140.4,4817,ANIP
2005-12-12,141.84,141.84,126.0,134.64,2356,ANIP
2005-12-13,134.28,142.56,134.28,142.2,1733,ANIP
2005-12-14,143.28,144.72,140.4,140.76,1306,ANIP
2005-12-15,141.12,144.0,138.6,141.12,1281,ANIP
2005-12-16,133.2,140.4,133.2,136.8,2025,ANIP
2005-12-19,135.0,141.84,134.64,135.0,1656,ANIP
2005-12-20,135.0,138.6,132.84,135.36,1622,ANIP
2005-12-21,133.2,138.24,130.68,133.92,2908,ANIP
2005-12-22,126.36,133.2,122.4,133.2,5445,ANIP
2005-12-23,129.6,136.44,127.8,135.0,1770,ANIP
2005-12-27,133.2,135.0,128.52,134.64,2728,ANIP
2005-12-28,133.2,138.24,131.76,138.24,2070,ANIP
2005-12-29,135.0,138.24,129.6,130.32,2633,ANIP
2005-12-30,125.28,131.4,124.56,131.4,4445,ANIP
2006-01-03,126.72,126.72,124.2,126.36,2633,ANIP
2006-01-04,127.44,127.8,122.4,126.36,2006,ANIP
2006-01-05,129.6,133.2,126.36,131.4,2308,ANIP
2006-01-06,131.4,132.48,126.72,127.08,1033,ANIP
2006-01-09,126.36,143.64,126.36,140.76,7517,ANIP
2006-01-10,142.92,153.0,141.12,147.6,3670,ANIP
2006-01-11,147.6,154.44,146.88,150.12,3681,ANIP
2006-01-12,150.12,154.8,147.24,153.36,3842,ANIP
2006-01-13,156.24,156.6,152.28,156.6,1431,ANIP
2006-01-17,155.16,160.2,147.96,154.08,2122,ANIP
2006-01-18,151.2,153.72,147.96,152.64,1283,ANIP
2006-01-19,151.2,159.84,150.48,158.4,2045,ANIP
2006-01-20,147.6,156.6,147.6,154.8,5439,ANIP
2006-01-23,154.08,154.08,147.6,149.4,1167,ANIP
2006-01-24,147.6,152.64,147.24,148.68,1595,ANIP
2006-01-25,146.16,152.64,145.8,151.2,1883,ANIP
2006-01-26,149.4,151.2,145.8,151.2,1203,ANIP
2006-01-27,149.76,151.2,147.6,151.2,845,ANIP
2006-01-30,148.32,163.8,148.32,162.0,3675,ANIP
2006-01-31,160.2,172.8,158.04,168.84,3250,ANIP
2006-02-01,167.4,168.84,163.44,168.84,3397,ANIP
2006-02-02,167.4,167.4,151.2,160.2,570,ANIP
2006-02-03,162.0,165.24,153.0,156.24,772,ANIP
2006-02-06,153.0,164.16,153.0,160.92,911,ANIP
2006-02-07,163.8,164.16,153.0,156.24,978,ANIP
2006-02-08,151.92,154.8,151.92,153.36,1033,ANIP
2006-02-09,154.8,154.8,152.28,153.0,336,ANIP
2006-02-10,151.56,154.08,151.56,152.28,831,ANIP
2006-02-13,152.28,154.08,151.2,152.28,470,ANIP
2006-02-14,148.68,150.48,143.64,144.0,4397,ANIP
2006-02-15,147.6,147.6,144.0,146.88,756,ANIP
2006-02-16,147.6,161.64,144.36,154.08,7895,ANIP
2006-02-17,154.8,154.8,148.32,150.48,964,ANIP
2006-02-21,154.08,154.44,148.68,150.48,1714,ANIP
2006-02-22,144.0,149.76,142.92,145.08,2022,ANIP
2006-02-23,144.0,144.0,129.96,135.0,4320,ANIP
2006-02-24,135.0,136.44,129.6,132.84,1300,ANIP
2006-02-27,132.48,140.4,132.48,136.8,3472,ANIP
2006-02-28,137.16,147.6,136.8,147.6,5172,ANIP
2006-03-01,144.36,162.0,144.0,149.4,3431,ANIP
2006-03-02,148.32,149.4,146.52,147.96,395,ANIP
2006-03-03,149.4,149.76,147.96,149.4,525,ANIP
2006-03-06,149.4,151.2,149.4,150.12,1692,ANIP
2006-03-07,149.4,150.84,147.6,150.12,725,ANIP
2006-03-08,149.4,150.84,146.16,146.88,1028,ANIP
2006-03-09,145.8,151.2,144.0,144.0,1556,ANIP
2006-03-10,144.0,145.8,136.8,145.8,1011,ANIP
2006-03-13,144.0,147.6,136.8,142.2,1781,ANIP
2006-03-14,142.56,142.56,138.6,139.32,353,ANIP
2006-03-15,138.6,144.0,137.52,137.88,1172,ANIP
2006-03-16,137.88,141.84,136.8,141.48,778,ANIP
2006-03-17,140.76,142.2,135.0,138.6,858,ANIP
2006-03-20,131.4,140.4,131.4,138.24,1342,ANIP
2006-03-21,137.52,138.24,135.0,136.44,333,ANIP
2006-03-22,138.24,145.44,135.36,138.96,1653,ANIP
2006-03-23,142.2,142.2,136.8,136.8,661,ANIP
2006-03-24,136.8,140.76,136.8,138.6,539,ANIP
2006-03-27,138.24,142.2,135.0,137.88,789,ANIP
2006-03-28,138.24,138.24,133.92,135.0,497,ANIP
2006-03-29,134.28,145.8,134.28,144.0,1606,ANIP
2006-03-30,147.24,156.6,146.88,156.6,3120,ANIP
2006-03-31,157.68,158.76,144.36,158.4,4689,ANIP
2006-04-03,156.6,157.68,150.48,152.64,870,ANIP
2006-04-04,153.36,153.36,145.8,147.24,4122,ANIP
2006-04-05,149.4,154.8,144.36,149.76,1661,ANIP
2006-04-06,151.2,153.0,147.6,153.0,1542,ANIP
2006-04-07,151.92,157.68,147.6,154.44,1989,ANIP
2006-04-10,157.68,158.04,149.4,150.84,1378,ANIP
2006-04-11,151.2,152.64,144.72,148.68,1267,ANIP
2006-04-12,148.32,150.84,145.08,149.04,833,ANIP
2006-04-13,148.68,150.84,145.08,145.8,997,ANIP
2006-04-17,144.0,151.2,144.0,149.4,808,ANIP
2006-04-18,150.48,151.2,145.8,147.6,1164,ANIP
2006-04-19,149.4,161.28,148.32,149.4,2878,ANIP
2006-04-20,153.0,158.4,150.48,151.2,5020,ANIP
2006-04-21,149.4,154.8,147.96,147.96,1053,ANIP
2006-04-24,151.2,157.68,149.4,154.08,3139,ANIP
2006-04-25,156.6,156.6,147.6,149.04,1575,ANIP
2006-04-26,151.2,153.0,147.6,147.6,2314,ANIP
2006-04-27,146.88,155.52,142.92,149.76,1225,ANIP
2006-04-28,149.4,149.76,145.8,148.32,150,ANIP
2006-05-01,147.6,149.4,142.2,147.6,781,ANIP
2006-05-02,147.6,150.84,146.16,148.68,395,ANIP
2006-05-03,149.4,153.36,147.6,153.36,631,ANIP
2006-05-04,152.28,154.8,149.76,150.84,1567,ANIP
2006-05-05,149.4,155.16,144.72,149.4,1206,ANIP
2006-05-08,151.2,158.4,149.4,149.76,3845,ANIP
2006-05-09,156.24,156.24,146.16,149.4,2545,ANIP
2006-05-10,145.8,147.96,141.84,143.64,1786,ANIP
2006-05-11,145.8,145.8,136.8,137.52,900,ANIP
2006-05-12,134.28,134.28,120.6,129.24,3564,ANIP
2006-05-15,127.8,127.8,122.4,126.0,1303,ANIP
2006-05-16,124.2,137.52,118.8,133.92,1870,ANIP
2006-05-17,130.32,130.32,120.6,124.2,1353,ANIP
2006-05-18,126.0,135.36,122.4,132.48,2045,ANIP
2006-05-19,132.48,132.48,117.0,122.04,1756,ANIP
2006-05-22,122.04,122.04,105.12,117.0,3806,ANIP
2006-05-23,113.4,121.32,108.0,112.68,2206,ANIP
2006-05-24,118.08,118.8,106.56,107.28,2295,ANIP
2006-05-25,108.0,108.72,104.76,105.48,1170,ANIP
2006-05-26,105.48,113.4,105.12,106.92,920,ANIP
2006-05-30,108.0,109.08,102.96,106.56,1525,ANIP
2006-05-31,113.4,117.0,106.2,117.0,1597,ANIP
2006-06-01,113.4,113.4,109.08,110.52,722,ANIP
2006-06-02,109.8,112.32,108.72,109.8,2311,ANIP
2006-06-05,111.6,111.6,106.2,106.2,383,ANIP
2006-06-06,106.56,108.72,106.56,108.0,728,ANIP
2006-06-07,108.0,109.44,106.2,106.2,1050,ANIP
2006-06-08,107.28,107.28,99.36,102.6,1283,ANIP
2006-06-09,105.12,105.12,100.8,101.16,275,ANIP
