Date,Open,High,Low,Close,Volume,ticker
2024-12-17,0.1717,0.22,0.135,0.1451,142265,ANNAW
2024-12-18,0.1978,0.1978,0.1001,0.1001,108955,ANNAW
2024-12-19,0.1,0.1399,0.1,0.1075,27208,ANNAW
2024-12-20,0.12,0.1689,0.12,0.1225,19501,ANNAW
2024-12-26,0.1598,0.2416,0.1475,0.2098,81418,ANNAW
2024-12-27,0.198,0.2401,0.1663,0.1663,61751,ANNAW
2024-12-30,0.185,0.2313,0.1662,0.18,158022,ANNAW
2024-12-31,0.193549,0.2199,0.14,0.14,9848,ANNAW
2025-01-02,0.1898,0.1898,0.1451,0.1501,87788,ANNAW
2025-01-03,0.1774,0.235,0.1774,0.2073,193381,ANNAW
2025-01-06,0.19,0.234,0.1325,0.175,193067,ANNAW
2025-01-07,0.18,0.18,0.075,0.125,110243,ANNAW
2025-01-08,0.14,0.14,0.125,0.125,2395,ANNAW
2025-01-10,0.15,0.2274,0.1471,0.18,161783,ANNAW
2025-01-13,0.2,0.207501,0.17,0.19,412179,ANNAW
2025-01-14,0.2,0.2375,0.17,0.17,148075,ANNAW
2025-01-15,0.19,0.205,0.19,0.19,45762,ANNAW
2025-01-16,0.2,0.2,0.17,0.17,1510,ANNAW
2025-01-17,0.16,0.16,0.16,0.16,617,ANNAW
2025-01-21,0.19,0.22,0.19,0.1925,199928,ANNAW
2025-01-22,0.2,0.32,0.2,0.2257,230320,ANNAW
2025-01-23,0.2933,0.305,0.2303,0.2601,316715,ANNAW
2025-01-24,0.3,0.33,0.28,0.285,236797,ANNAW
2025-01-27,0.3399,0.3704,0.28,0.34,53962,ANNAW
2025-01-28,0.31,0.33,0.29,0.33,9120,ANNAW
2025-01-29,0.336,0.336,0.3125,0.3192,3496,ANNAW
2025-01-30,0.2925,0.35,0.2925,0.3,26790,ANNAW
2025-01-31,0.34,0.3499,0.3025,0.3225,139185,ANNAW
2025-02-03,0.319999,0.35,0.26,0.28,37670,ANNAW
2025-02-04,0.29,0.29,0.27,0.27,12322,ANNAW
