Date,Open,High,Low,Close,Volume,ticker
2020-07-24,17.4,19.0,16.59,17.76,4914006,ANNX
2020-07-27,16.8635,17.995,15.33,17.5,581901,ANNX
2020-07-28,17.3,18.23,16.48,17.99,151062,ANNX
2020-07-29,18.04,19.625,17.805,18.76,174743,ANNX
2020-07-30,19.14,19.65,18.23,18.41,119065,ANNX
2020-07-31,18.7,18.948,16.77,18.23,186393,ANNX
2020-08-03,18.05,20.35,18.05,19.85,167232,ANNX
2020-08-04,20.02,20.02,18.94,19.23,97522,ANNX
2020-08-05,19.61,22.3699,19.01,21.83,291834,ANNX
2020-08-06,21.9,21.99,20.5,21.17,136691,ANNX
2020-08-07,21.17,26.9,20.0,21.74,398171,ANNX
2020-08-10,21.24,23.0602,21.24,22.02,154888,ANNX
2020-08-11,22.29,24.67,21.9161,23.94,155777,ANNX
2020-08-12,24.29,29.7099,23.5,28.63,221921,ANNX
2020-08-13,28.86,29.3499,25.65,27.61,214271,ANNX
2020-08-14,27.27,28.425,24.0101,26.17,237293,ANNX
2020-08-17,25.59,27.55,24.02,26.55,102560,ANNX
2020-08-18,26.64,28.99,26.08,26.83,291292,ANNX
2020-08-19,26.83,27.555,24.9,25.86,175661,ANNX
2020-08-20,25.64,26.185,24.54,24.61,86856,ANNX
2020-08-21,24.47,25.65,22.75,24.6,145678,ANNX
2020-08-24,24.33,24.5,23.32,23.86,126496,ANNX
2020-08-25,23.67,24.24,23.36,23.49,120295,ANNX
2020-08-26,23.5,23.9,23.0101,23.12,135106,ANNX
2020-08-27,23.11,24.16,23.11,23.87,77661,ANNX
2020-08-28,23.82,25.54,23.4242,24.27,135929,ANNX
2020-08-31,25.42,25.53,23.3,24.67,106924,ANNX
2020-09-01,24.5,25.665,23.92,24.37,121965,ANNX
2020-09-02,24.57,27.0,24.345,26.39,123759,ANNX
2020-09-03,26.0,26.62,23.97,26.22,136290,ANNX
2020-09-04,26.22,26.39,24.69,25.09,61516,ANNX
2020-09-08,25.12,28.87,25.12,26.06,140053,ANNX
2020-09-09,26.59,28.955,26.0,26.74,218171,ANNX
2020-09-10,25.2735,27.375,24.51,25.51,147706,ANNX
2020-09-11,25.75,26.82,24.75,24.8,139887,ANNX
2020-09-14,25.0,25.64,22.161,23.09,352270,ANNX
2020-09-15,23.02,24.52,23.0001,23.02,191674,ANNX
2020-09-16,23.43,25.36,22.17,22.47,432703,ANNX
2020-09-17,22.26,22.79,21.21,21.29,323320,ANNX
2020-09-18,21.25,24.52,21.25,22.5,2536801,ANNX
2020-09-21,22.07,22.57,21.87,22.02,279112,ANNX
2020-09-22,21.91,22.5,21.71,22.18,300810,ANNX
2020-09-23,22.01,24.9499,22.0,23.0,294307,ANNX
2020-09-24,22.89,23.65,21.89,22.97,151977,ANNX
2020-09-25,22.8,23.9,21.79,23.0,286846,ANNX
2020-09-28,23.1,24.7632,22.38,24.55,106641,ANNX
2020-09-29,24.53,28.49,23.47,28.05,399690,ANNX
2020-09-30,27.8,30.69,25.19,30.23,165761,ANNX
2020-10-01,30.24,31.84,27.89,28.93,140223,ANNX
2020-10-02,28.64,28.91,26.365,26.97,148453,ANNX
2020-10-05,27.21,28.55,26.575,27.75,380288,ANNX
2020-10-06,27.95,29.49,26.03,27.31,231215,ANNX
2020-10-07,27.41,28.0,26.855,27.0,283263,ANNX
2020-10-08,27.27,27.89,26.74,27.33,115316,ANNX
2020-10-09,27.55,28.205,27.28,27.88,81414,ANNX
2020-10-12,28.16,29.71,27.51,29.11,126118,ANNX
2020-10-13,28.81,29.74,28.015,29.4,114596,ANNX
2020-10-14,29.48,30.39,28.05,28.8,169661,ANNX
2020-10-15,28.52,29.85,27.59,29.16,120085,ANNX
2020-10-16,28.81,31.5,28.81,30.32,121063,ANNX
2020-10-19,30.76,30.76,29.755,30.04,76273,ANNX
2020-10-20,30.4,30.91,26.74,27.71,110496,ANNX
2020-10-21,27.58,28.24,26.11,26.23,64844,ANNX
2020-10-22,26.2,26.97,24.36,24.59,215822,ANNX
2020-10-23,24.44,24.85,23.9,24.44,117219,ANNX
2020-10-26,24.25,25.3,23.75,24.97,78506,ANNX
2020-10-27,24.99,25.72,24.28,24.51,83503,ANNX
2020-10-28,24.25,24.46,23.2501,23.78,187861,ANNX
2020-10-29,23.79,23.79,21.215,21.69,138041,ANNX
2020-10-30,21.51,22.58,20.565,20.81,72029,ANNX
2020-11-02,21.27,23.24,20.7,23.01,130324,ANNX
2020-11-03,23.0,23.64,22.625,23.27,127719,ANNX
2020-11-04,23.62,24.45,23.1,23.86,94026,ANNX
2020-11-05,23.9,24.99,23.175,24.08,99887,ANNX
2020-11-06,24.28,24.28,23.02,23.41,66986,ANNX
2020-11-09,24.17,24.37,22.43,22.72,45585,ANNX
2020-11-10,23.33,23.33,21.65,22.67,65942,ANNX
2020-11-11,22.99,23.34,22.52,23.04,61074,ANNX
2020-11-12,22.96,23.5,22.625,22.99,36177,ANNX
2020-11-13,23.41,23.43,22.62,22.86,35622,ANNX
2020-11-16,23.31,23.73,22.07,22.63,47167,ANNX
2020-11-17,22.96,24.29,22.0,23.67,125893,ANNX
2020-11-18,23.4,24.57,23.08,23.73,33765,ANNX
2020-11-19,23.58,25.04,23.58,24.93,40864,ANNX
2020-11-20,24.47,25.445,24.17,24.95,48458,ANNX
2020-11-23,25.5,25.98,24.96,25.01,91181,ANNX
2020-11-24,25.26,25.96,24.58,24.99,85177,ANNX
2020-11-25,25.4,25.485,24.63,24.63,57009,ANNX
2020-11-27,24.92,25.485,24.86,25.13,28224,ANNX
2020-11-30,25.24,25.24,23.76,24.2,208562,ANNX
2020-12-01,24.25,25.83,23.78,24.89,58170,ANNX
2020-12-02,24.97,25.405,24.025,25.03,53608,ANNX
