Date,Open,High,Low,Close,Volume,ticker
2024-02-02,22.0,23.27,20.0,20.7,2386547,ANRO
2024-02-05,21.49,24.0,20.2833,21.8,535427,ANRO
2024-02-06,20.9,21.64,18.55,19.39,929250,ANRO
2024-02-07,19.03,19.74,17.5,18.98,429885,ANRO
2024-02-08,17.86,19.66,17.86,18.98,218754,ANRO
2024-02-09,18.6,19.0,16.26,16.55,171539,ANRO
2024-02-12,17.08,17.4,13.75,13.93,459193,ANRO
2024-02-13,13.85,14.85,13.38,14.25,198797,ANRO
2024-02-14,14.33,15.88,14.01,15.0,244056,ANRO
2024-02-15,15.15,16.32,14.93,15.9,384857,ANRO
2024-02-16,15.61,16.19,15.61,15.86,216599,ANRO
2024-02-20,15.99,15.99,13.55,13.55,309239,ANRO
2024-02-21,13.5,14.28,12.93,13.47,107245,ANRO
2024-02-22,13.41,14.01,12.83,13.0,211157,ANRO
2024-02-23,13.46,14.04,13.001,13.72,155415,ANRO
2024-02-26,14.2,16.485,13.8,15.31,325776,ANRO
2024-02-27,15.98,16.44,13.72,14.36,274508,ANRO
2024-02-28,14.93,16.05,14.595,15.33,223273,ANRO
2024-02-29,14.79,15.67,14.603,15.4,120357,ANRO
2024-03-01,15.45,16.38,14.33,14.88,207353,ANRO
2024-03-04,15.46,16.88,15.0,15.71,194453,ANRO
2024-03-05,15.71,16.45,15.14,16.0,266132,ANRO
2024-03-06,16.2,17.06,14.75,14.81,305698,ANRO
2024-03-07,15.25,15.93,13.99,14.26,143889,ANRO
2024-03-08,14.24,15.05,13.515,13.76,220850,ANRO
2024-03-11,13.87,15.0,13.87,14.55,137369,ANRO
2024-03-12,14.61,15.04,13.93,14.54,126118,ANRO
2024-03-13,14.39,14.7,13.55,14.2,263754,ANRO
2024-03-14,13.94,15.3285,13.85,14.9,285106,ANRO
2024-03-15,14.99,16.0,14.62,15.81,804128,ANRO
2024-03-18,15.86,15.86,13.6,14.16,342335,ANRO
2024-03-19,13.97,15.18,13.97,14.43,448933,ANRO
2024-03-20,14.32,15.67,13.97,15.03,477901,ANRO
2024-03-21,14.68,15.72,14.68,15.15,270938,ANRO
2024-03-22,14.84,16.35,14.84,15.97,349982,ANRO
2024-03-25,16.13,17.76,15.9,16.65,261112,ANRO
2024-03-26,16.86,18.3499,16.86,17.95,243411,ANRO
2024-03-27,18.04,18.31,16.66,16.78,162716,ANRO
2024-03-28,16.62,16.67,15.34,15.35,208815,ANRO
2024-04-01,15.35,15.35,14.18,14.56,276436,ANRO
2024-04-02,15.15,15.2701,13.75,14.11,170528,ANRO
2024-04-03,14.26,14.43,14.05,14.18,142970,ANRO
2024-04-04,14.04,14.79,13.84,14.08,141323,ANRO
2024-04-05,13.92,14.8,13.92,14.52,78159,ANRO
2024-04-08,14.69,15.0322,13.95,14.21,88715,ANRO
2024-04-09,14.27,14.86,14.12,14.73,74237,ANRO
2024-04-10,14.73,15.205,13.9,14.06,117999,ANRO
2024-04-11,14.3,14.3,13.86,14.11,100180,ANRO
2024-04-12,13.89,14.4,13.89,14.27,61354,ANRO
2024-04-15,13.95,14.54,13.5288,14.15,58209,ANRO
2024-04-16,14.46,14.46,13.42,13.57,84141,ANRO
2024-04-17,13.55,13.8,13.24,13.48,155358,ANRO
2024-04-18,13.5,13.625,13.11,13.5,79670,ANRO
2024-04-19,13.49,13.81,12.7798,12.99,231820,ANRO
2024-04-22,12.97,13.7,12.88,13.64,82863,ANRO
2024-04-23,14.2,14.3,13.7001,13.88,85381,ANRO
2024-04-24,13.74,14.35,13.74,14.2,36767,ANRO
2024-04-25,14.06,14.4377,13.76,14.13,44944,ANRO
2024-04-26,13.94,14.18,13.94,14.18,22746,ANRO
2024-04-29,14.36,16.29,14.23,15.56,66236,ANRO
2024-04-30,15.5,15.9421,15.23,15.51,71418,ANRO
2024-05-01,15.38,16.535,14.91,16.1,130016,ANRO
2024-05-02,16.08,16.125,14.4,14.4,79209,ANRO
2024-05-03,14.36,14.64,13.87,14.22,114893,ANRO
2024-05-06,14.2,14.77,13.8,14.3,141055,ANRO
2024-05-07,14.52,15.07,14.32,15.01,82216,ANRO
2024-05-08,14.56,14.895,13.67,13.88,51592,ANRO
2024-05-09,14.06,14.655,13.755,14.6,43621,ANRO
2024-05-10,14.7954,14.83,13.42,13.49,59200,ANRO
2024-05-13,13.68,14.4,13.54,14.09,115326,ANRO
2024-05-14,14.37,14.52,13.63,14.16,47287,ANRO
2024-05-15,14.0,14.7,13.685,13.84,121223,ANRO
2024-05-16,14.02,14.07,12.4,12.82,96322,ANRO
2024-05-17,12.92,13.065,12.17,12.47,89015,ANRO
2024-05-20,12.56,12.81,12.01,12.4,97287,ANRO
2024-05-21,12.26,12.96,12.21,12.69,165140,ANRO
2024-05-22,12.59,12.64,12.28,12.28,153884,ANRO
2024-05-23,12.3,12.55,11.68,11.76,188595,ANRO
2024-05-24,11.99,13.63,11.77,12.92,98307,ANRO
2024-05-28,12.88,13.21,12.035,12.28,136649,ANRO
2024-05-29,12.17,12.58,12.0,12.55,47699,ANRO
2024-05-30,12.71,12.78,11.825,12.0,62993,ANRO
2024-05-31,12.38,12.38,11.92,11.96,63668,ANRO
2024-06-03,12.17,12.31,10.96,11.0,149998,ANRO
2024-06-04,11.0,11.8,10.85,11.31,126977,ANRO
2024-06-05,11.39,11.53,10.9,11.52,145191,ANRO
2024-06-06,11.6,12.02,11.56,11.77,37404,ANRO
2024-06-07,11.6,11.85,11.42,11.81,31306,ANRO
2024-06-10,11.91,12.45,11.71,12.44,80840,ANRO
2024-06-11,12.44,12.615,11.88,12.11,56467,ANRO
2024-06-12,12.41,12.53,12.15,12.22,27111,ANRO
2024-06-13,12.09,12.09,11.66,12.02,120385,ANRO
2024-06-14,12.13,12.13,11.865,12.03,75387,ANRO
2024-06-17,11.94,11.96,10.98,11.05,215460,ANRO
2024-06-18,11.0,11.21,10.95,11.15,106520,ANRO
2024-06-20,11.3,11.3,10.85,11.05,95356,ANRO
2024-06-21,11.49,11.5,10.695,11.0,199045,ANRO
2024-06-24,11.16,11.23,9.98,10.46,145513,ANRO
2024-06-25,10.5,10.7599,9.74,9.84,138455,ANRO
2024-06-26,9.8,10.1,9.4,9.96,91284,ANRO
2024-06-27,10.08,10.88,10.01,10.63,114967,ANRO
2024-06-28,10.61,10.97,10.17,10.69,1286497,ANRO
2024-07-01,10.62,11.46,10.53,11.4,119638,ANRO
2024-07-02,11.34,11.62,11.0,11.1,50495,ANRO
2024-07-03,11.03,11.69,10.935,11.62,55665,ANRO
2024-07-05,11.41,11.7,11.22,11.67,87525,ANRO
2024-07-08,11.95,12.52,11.79,12.05,105309,ANRO
2024-07-09,11.84,13.25,11.84,13.15,110506,ANRO
2024-07-10,13.19,13.47,12.51,12.58,67196,ANRO
2024-07-11,12.82,14.02,12.4007,13.4,148027,ANRO
2024-07-12,13.99,14.7,13.35,13.96,250128,ANRO
2024-07-15,14.01,14.71,13.94,14.5,159725,ANRO
2024-07-16,14.6,15.93,14.28,15.5,319538,ANRO
2024-07-17,15.28,16.5,15.21,16.29,203379,ANRO
2024-07-18,15.96,17.55,15.29,15.37,290251,ANRO
2024-07-19,15.34,15.8334,14.46,14.99,79860,ANRO
2024-07-22,15.0,15.435,14.34,14.86,95652,ANRO
2024-07-23,14.77,15.465,14.77,15.12,64969,ANRO
2024-07-24,14.96,15.65,14.65,14.77,79072,ANRO
2024-07-25,14.77,14.87,14.0,14.49,76830,ANRO
