Date,Open,High,Low,Close,Volume,ticker
2023-11-10,10.06,10.08,10.06,10.065,969529,ANSCU
2023-11-13,10.07,10.08,10.065,10.075,1487229,ANSCU
2023-11-14,10.07,10.08,10.06,10.06,1216400,ANSCU
2023-11-15,10.07,10.09,10.07,10.07,1128131,ANSCU
2023-11-16,10.08,10.08,10.07,10.07,330035,ANSCU
2023-11-17,10.09,10.09,10.07,10.09,259583,ANSCU
2023-11-21,10.08,10.09,10.075,10.09,414068,ANSCU
2023-11-22,10.09,10.09,10.0894,10.0894,109169,ANSCU
2023-11-24,10.06,10.09,10.06,10.09,644,ANSCU
2023-11-27,10.08,10.09,10.08,10.09,30920,ANSCU
2023-11-28,10.09,10.09,10.09,10.09,3405,ANSCU
2023-11-29,10.06,10.1,10.06,10.09,210318,ANSCU
2023-11-30,10.1,10.1,10.09,10.09,21024,ANSCU
2023-12-01,10.1,10.1,10.1,10.1,3033,ANSCU
2023-12-04,10.085,10.1,10.08,10.1,25101,ANSCU
2023-12-05,10.1,10.11,10.1,10.11,253942,ANSCU
2023-12-06,10.1,10.11,10.1,10.11,690805,ANSCU
2023-12-07,10.12,10.13,10.0996,10.13,42079,ANSCU
2023-12-08,10.13,10.14,10.115,10.14,369000,ANSCU
2023-12-13,10.0901,10.14,10.09,10.14,12816,ANSCU
2023-12-14,10.13,10.14,10.13,10.14,46045,ANSCU
2023-12-15,10.1302,10.14,10.13,10.135,442529,ANSCU
2023-12-19,10.13,10.13,10.13,10.13,51000,ANSCU
2023-12-20,10.14,10.1409,10.125,10.14,100213,ANSCU
2023-12-27,10.15,10.15,10.14,10.15,3113,ANSCU
2023-12-29,10.15,10.15,10.15,10.15,1502,ANSCU
2024-01-02,10.15,10.17,10.15,10.17,42458,ANSCU
2024-01-03,10.17,10.17,10.17,10.17,45093,ANSCU
2024-01-04,10.17,10.18,10.17,10.17,33175,ANSCU
2024-01-05,10.18,10.18,10.18,10.18,3499,ANSCU
