Date,Open,High,Low,Close,Volume,ticker
2024-10-02,24.85,24.89,24.83,24.86,128820,AOCT
2024-10-03,24.87,24.87,24.8,24.86,223447,AOCT
2024-10-04,24.84,24.86,24.72,24.86,178712,AOCT
2024-10-07,24.83,24.83,24.69,24.73,513338,AOCT
2024-10-08,24.8,24.8,24.68,24.75,371789,AOCT
2024-10-09,24.84,24.84,24.71,24.79,141490,AOCT
2024-10-10,24.79,24.81,24.71,24.72,68124,AOCT
2024-10-11,24.92,24.92,24.74,24.8445,38321,AOCT
2024-10-14,24.98,24.98,24.82,24.9,27088,AOCT
2024-10-15,24.95,24.95,24.82,24.8452,38636,AOCT
2024-10-16,24.87,24.92,24.8691,24.92,53783,AOCT
2024-10-17,24.91,24.92,24.8431,24.9,41205,AOCT
2024-10-18,24.89,24.9499,24.8,24.875,44273,AOCT
2024-10-21,24.98,24.98,24.81,24.9,45289,AOCT
2024-10-22,24.94,24.94,24.8,24.89,82539,AOCT
2024-10-23,24.81,24.87,24.75,24.785,62506,AOCT
2024-10-24,24.8,24.88,24.78,24.8274,93669,AOCT
2024-10-25,24.84,24.91,24.79,24.79,19142,AOCT
2024-10-28,24.96,24.96,24.79,24.85,20076,AOCT
2024-10-29,24.9,24.9,24.78,24.87,32422,AOCT
2024-10-30,24.91,24.91,24.78,24.81,43886,AOCT
2024-10-31,24.8,24.8,24.69,24.73,48694,AOCT
2024-11-01,24.79,24.82,24.7201,24.74,87942,AOCT
2024-11-04,24.82,24.82,24.66,24.75,69799,AOCT
2024-11-05,24.6,24.788,24.6,24.7,45878,AOCT
2024-11-06,24.92,24.99,24.815,24.8903,40989,AOCT
2024-11-07,24.93,24.95,24.885,24.9124,23647,AOCT
2024-11-08,24.9306,24.94,24.8609,24.92,14831,AOCT
2024-11-11,24.93,24.9799,24.8601,24.895,29607,AOCT
2024-11-12,24.98,24.99,24.85,24.875,50298,AOCT
2024-11-13,24.93,24.94,24.8201,24.83,75353,AOCT
2024-11-14,24.9,24.9299,24.7501,24.88,82258,AOCT
2024-11-15,24.7781,24.8296,24.745,24.7539,18143,AOCT
2024-11-18,24.81,24.83,24.75,24.82,61026,AOCT
2024-11-19,24.81,24.85,24.7915,24.8,36436,AOCT
2024-11-20,24.8,24.85,24.76,24.805,10094,AOCT
2024-11-21,24.84,24.89,24.8167,24.8297,13756,AOCT
2024-11-22,24.86,24.9,24.8339,24.8339,12270,AOCT
2024-11-25,24.9,24.95,24.8158,24.92,21882,AOCT
2024-11-26,24.94,24.98,24.91,24.9493,28599,AOCT
2024-11-27,24.93,24.98,24.87,24.93,13819,AOCT
2024-11-29,25.018,25.04,24.9657,24.9657,7004,AOCT
2024-12-02,25.09,25.11,24.9499,24.9499,98654,AOCT
2024-12-03,25.0001,25.05,24.92,25.01,12359,AOCT
2024-12-04,25.06,25.08,25.01,25.0595,22639,AOCT
2024-12-05,25.06,25.06,24.9388,25.0,6755,AOCT
2024-12-06,25.01,25.06,24.94,24.9843,26240,AOCT
2024-12-09,25.03,25.03,24.9536,24.9548,19563,AOCT
2024-12-10,25.03,25.03,24.9,24.9496,19176,AOCT
2024-12-11,25.0475,25.08,24.99,24.99,21133,AOCT
2024-12-12,24.99,25.0699,24.9815,25.02,12978,AOCT
2024-12-13,25.04,25.09,24.97,24.97,16012,AOCT
2024-12-16,24.96,25.1,24.96,25.07,37355,AOCT
2024-12-17,25.01,25.0571,24.93,24.93,9228,AOCT
2024-12-18,24.97,25.05,24.87,24.89,13899,AOCT
2024-12-19,24.9099,24.91,24.82,24.83,22637,AOCT
2024-12-20,24.85,24.968,24.84,24.94,32895,AOCT
2024-12-23,24.94,24.98,24.8443,24.97,15091,AOCT
2024-12-24,24.98,25.01,24.8801,25.0003,18503,AOCT
2024-12-26,24.99,25.08,24.9,25.03,17998,AOCT
2024-12-27,24.925,24.98,24.86,24.89,7736,AOCT
2024-12-30,24.93,24.96,24.8,24.96,10395,AOCT
2024-12-31,24.9699,24.9699,24.85,24.86,8473,AOCT
2025-01-02,24.8328,24.94,24.76,24.79,9838,AOCT
2025-01-03,24.928,24.93,24.92,24.9252,2894,AOCT
2025-01-06,25.06,25.06,24.93,24.9553,6656,AOCT
2025-01-07,24.91,24.95,24.8606,24.92,9879,AOCT
2025-01-08,24.86,24.948,24.86,24.91,3857,AOCT
2025-01-10,24.76,24.9,24.72,24.76,31980,AOCT
2025-01-13,24.73,24.87,24.73,24.87,8654,AOCT
2025-01-14,24.81,24.9,24.74,24.88,25682,AOCT
2025-01-15,24.915,25.01,24.905,24.98,5196,AOCT
2025-01-16,24.95,25.03,24.9001,24.9397,4019,AOCT
2025-01-17,24.97,25.06,24.9565,25.0056,3356,AOCT
2025-01-21,25.0389,25.1,25.038,25.038,20271,AOCT
2025-01-22,25.0653,25.09,25.0401,25.05,13589,AOCT
2025-01-23,25.09,25.2093,25.0489,25.1434,25106,AOCT
2025-01-24,25.14,25.198,25.05,25.1286,11559,AOCT
2025-01-27,24.9912,25.14,24.9912,25.0793,7356,AOCT
2025-01-28,25.07,25.1899,25.0162,25.127,12935,AOCT
2025-01-29,25.18,25.18,25.04,25.1025,17314,AOCT
2025-01-30,25.125,25.1799,25.05,25.1334,3829,AOCT
2025-01-31,25.165,25.24,25.11,25.1427,22042,AOCT
2025-02-03,25.07,25.14,25.0101,25.1399,7571,AOCT
2025-02-04,25.12,25.16,25.0401,25.1002,8111,AOCT
2025-02-05,25.1,25.16,25.0626,25.13,17830,AOCT
