Date,Open,High,Low,Close,Volume,ticker
2024-08-05,24.7,24.7,24.5792,24.58,12442,AOMN
2024-08-06,24.61,24.75,24.6,24.73,22110,AOMN
2024-08-07,24.74,24.79,24.5,24.58,11123,AOMN
2024-08-08,24.675,24.69,24.56,24.61,3455,AOMN
2024-08-09,24.65,24.65,24.56,24.63,3227,AOMN
2024-08-12,24.64,24.64,24.57,24.57,11323,AOMN
2024-08-13,24.9,24.9,24.5905,24.5942,10480,AOMN
2024-08-14,24.73,24.73,24.0,24.5,26068,AOMN
2024-08-15,24.55,24.698,24.46,24.6,20992,AOMN
2024-08-16,24.59,24.6,24.46,24.46,28523,AOMN
2024-08-19,24.67,24.67,24.47,24.55,32160,AOMN
2024-08-20,24.55,24.6,24.48,24.5,10265,AOMN
2024-08-21,24.56,24.59,24.49,24.4999,20494,AOMN
2024-08-22,24.59,24.75,24.49,24.5,14419,AOMN
2024-08-23,24.6,24.75,24.45,24.5,45425,AOMN
2024-08-26,24.5,24.74,24.5,24.55,20344,AOMN
2024-08-27,24.56,24.637,24.542,24.56,17274,AOMN
2024-08-28,24.562,24.7299,24.56,24.675,16969,AOMN
2024-08-29,24.75,24.75,24.6,24.7,18294,AOMN
2024-08-30,24.75,24.85,24.75,24.85,19099,AOMN
2024-09-03,24.9,25.375,24.875,25.09,21833,AOMN
2024-09-04,25.12,25.36,25.12,25.22,16620,AOMN
2024-09-05,25.36,25.43,25.2,25.36,4280,AOMN
2024-09-06,25.28,25.39,25.25,25.29,5292,AOMN
2024-09-09,25.44,25.47,25.2,25.47,8932,AOMN
2024-09-10,25.3,25.49,25.19,25.49,4929,AOMN
2024-09-11,25.355,25.5,25.355,25.465,2321,AOMN
2024-09-12,25.475,25.625,25.45,25.48,5574,AOMN
2024-09-13,25.4501,25.6522,25.4501,25.5,6029,AOMN
2024-09-16,25.7,25.71,25.4,25.44,2464,AOMN
2024-09-17,25.4,25.6,25.22,25.6,12730,AOMN
2024-09-18,25.67,25.69,25.46,25.46,2349,AOMN
2024-09-19,25.58,25.7,25.47,25.58,4399,AOMN
2024-09-20,25.84,25.89,24.32,25.5,38646,AOMN
2024-09-23,25.575,25.68,25.575,25.68,4476,AOMN
2024-09-24,25.76,25.76,25.76,25.76,556,AOMN
2024-09-25,25.57,25.65,25.56,25.6,3658,AOMN
2024-09-26,25.7,26.02,25.7,25.97,15653,AOMN
2024-09-27,25.92,25.93,25.6,25.7,15647,AOMN
2024-09-30,25.975,26.04,25.85,25.945,4665,AOMN
2024-10-01,25.95,26.0212,25.86,25.86,3329,AOMN
2024-10-02,25.9,26.0,25.9,25.9545,14011,AOMN
2024-10-03,25.98,26.1,25.875,25.96,22380,AOMN
2024-10-04,25.98,25.98,25.8,25.94,5372,AOMN
2024-10-07,25.81,25.94,25.81,25.84,5766,AOMN
2024-10-08,25.81,25.95,25.8,25.875,10822,AOMN
2024-10-09,25.97,25.9799,25.83,25.85,15297,AOMN
2024-10-10,25.85,25.9799,25.831,25.935,9037,AOMN
2024-10-11,25.99,25.99,25.95,25.973,3632,AOMN
2024-10-14,25.96,26.09,25.96,26.09,9379,AOMN
2024-10-15,25.61,25.67,25.4,25.51,16290,AOMN
2024-10-16,25.54,25.54,25.43,25.5,6356,AOMN
2024-10-17,25.585,25.7399,25.4501,25.64,5267,AOMN
