Date,Open,High,Low,Close,Volume,ticker
2010-04-29,18.11,18.44,17.06,17.7,3800227,AOSL
2010-04-30,17.75,17.94,17.25,17.91,490866,AOSL
2010-05-03,18.0,18.2,17.76,17.9,92023,AOSL
2010-05-04,17.99,17.99,17.07,17.33,126142,AOSL
2010-05-05,17.25,17.5,16.52,16.7,89734,AOSL
2010-05-06,16.93,16.98,14.74,15.25,170172,AOSL
2010-05-07,15.25,15.3,14.03,14.5,140930,AOSL
2010-05-10,15.48,15.97,14.55,14.84,93259,AOSL
2010-05-11,14.84,15.3,14.75,15.0,71442,AOSL
2010-05-12,15.0,15.59,15.0,15.41,49134,AOSL
2010-05-13,15.57,15.63,15.1,15.1,33293,AOSL
2010-05-14,15.1,15.2,14.7,14.7,69768,AOSL
2010-05-17,14.64,14.79,13.8,14.11,151123,AOSL
2010-05-18,14.11,14.52,13.91,14.45,293765,AOSL
2010-05-19,14.25,14.85,14.13,14.75,242500,AOSL
2010-05-20,14.58,14.89,14.1,14.26,59462,AOSL
2010-05-21,14.06,15.0,14.01,14.78,131057,AOSL
2010-05-24,14.67,14.8,14.47,14.47,34607,AOSL
2010-05-25,14.12,14.5,13.77,13.85,171699,AOSL
2010-05-26,13.9,14.25,13.85,13.9,241833,AOSL
2010-05-27,14.25,15.1,14.15,15.01,68162,AOSL
2010-05-28,15.0,15.0,14.54,14.89,87196,AOSL
2010-06-01,14.72,15.0,14.72,14.95,34863,AOSL
2010-06-02,15.0,15.42,15.0,15.28,23162,AOSL
2010-06-03,15.23,15.5,15.12,15.35,26244,AOSL
2010-06-04,14.98,15.34,14.51,15.01,83619,AOSL
2010-06-07,15.0,15.52,14.35,14.47,48757,AOSL
2010-06-08,14.53,15.0,14.23,14.41,58091,AOSL
2010-06-09,14.42,14.5,13.95,14.0,42952,AOSL
2010-06-10,14.3,14.49,14.06,14.24,49272,AOSL
2010-06-11,14.26,14.52,14.26,14.38,12677,AOSL
2010-06-14,14.32,14.9,14.32,14.5,102959,AOSL
2010-06-15,14.51,14.68,14.36,14.57,39458,AOSL
2010-06-16,14.5,14.9,14.35,14.71,24604,AOSL
2010-06-17,14.72,15.05,14.71,14.79,13798,AOSL
2010-06-18,14.87,14.98,14.67,14.75,57651,AOSL
2010-06-21,14.86,15.1,14.56,14.78,41757,AOSL
2010-06-22,14.72,15.0,14.7,14.72,76503,AOSL
2010-06-23,14.66,15.04,14.51,14.73,86083,AOSL
2010-06-24,14.63,15.0,14.34,14.46,89456,AOSL
2010-06-25,14.55,14.55,13.75,13.8,781678,AOSL
2010-06-28,13.98,14.2,13.88,14.14,87776,AOSL
2010-06-29,14.03,14.03,13.8,13.91,41971,AOSL
2010-06-30,14.01,14.01,13.78,13.81,49261,AOSL
2010-07-01,13.83,13.85,13.3,13.44,37688,AOSL
2010-07-02,13.51,13.91,13.42,13.56,111295,AOSL
2010-07-06,13.51,13.61,13.39,13.43,68107,AOSL
2010-07-07,13.48,13.56,13.15,13.25,143959,AOSL
2010-07-08,13.32,13.32,12.75,12.78,110299,AOSL
2010-07-09,12.8,12.83,12.41,12.69,89802,AOSL
2010-07-12,12.68,13.31,12.68,13.13,86338,AOSL
2010-07-13,13.23,13.4,13.13,13.39,52085,AOSL
2010-07-14,13.5,13.71,13.25,13.3,51338,AOSL
2010-07-15,13.4,13.4,13.1,13.17,17463,AOSL
2010-07-16,13.08,13.41,13.0,13.06,36042,AOSL
2010-07-19,13.08,13.29,12.99,13.14,63421,AOSL
2010-07-20,13.15,13.3,12.66,12.99,55653,AOSL
2010-07-21,13.0,13.0,12.5,12.53,30432,AOSL
2010-07-22,12.68,12.85,12.53,12.82,57694,AOSL
2010-07-23,12.74,12.83,12.54,12.81,33260,AOSL
2010-07-26,12.85,12.85,12.4,12.47,81757,AOSL
2010-07-27,12.54,12.64,12.45,12.64,23903,AOSL
2010-07-28,12.6,12.6,12.35,12.42,32126,AOSL
2010-07-29,12.51,12.7,12.3,12.35,27320,AOSL
2010-07-30,12.32,12.52,12.32,12.41,25216,AOSL
2010-08-02,12.58,12.7,12.27,12.54,70993,AOSL
2010-08-03,12.52,13.0,12.52,12.75,62830,AOSL
2010-08-04,12.88,13.65,12.85,13.65,176248,AOSL
2010-08-05,13.71,13.72,13.25,13.25,39483,AOSL
2010-08-06,13.13,13.24,13.0,13.03,27633,AOSL
2010-08-09,13.15,13.46,13.15,13.36,90840,AOSL
2010-08-10,13.25,13.35,13.07,13.15,79600,AOSL
2010-08-11,10.52,10.76,9.62,9.94,1249206,AOSL
2010-08-12,9.85,10.4,9.66,10.22,219497,AOSL
2010-08-13,10.25,10.7,10.2,10.45,123305,AOSL
2010-08-16,10.57,10.91,10.45,10.8,73968,AOSL
2010-08-17,11.0,11.0,10.68,10.84,77258,AOSL
2010-08-18,10.9,10.93,10.55,10.92,28844,AOSL
2010-08-19,10.89,11.0,10.25,10.53,89962,AOSL
2010-08-20,10.45,10.98,10.01,10.82,61331,AOSL
2010-08-23,10.67,11.35,10.55,10.69,131957,AOSL
2010-08-24,10.49,10.49,10.06,10.39,47540,AOSL
2010-08-25,10.3,10.5,10.25,10.5,19120,AOSL
2010-08-26,10.64,10.87,10.47,10.58,37902,AOSL
2010-08-27,10.65,11.14,10.63,11.14,33848,AOSL
2010-08-30,11.11,11.29,11.0,11.14,40231,AOSL
2010-08-31,11.19,11.3,11.0,11.13,41904,AOSL
2010-09-01,11.25,11.45,11.11,11.4,41401,AOSL
2010-09-02,11.4,11.4,11.2,11.36,12157,AOSL
2010-09-03,11.47,11.48,11.35,11.45,22707,AOSL
2010-09-07,11.36,11.42,11.03,11.08,31053,AOSL
2010-09-08,11.12,11.33,11.06,11.28,14258,AOSL
2010-09-09,11.41,11.41,11.14,11.22,11461,AOSL
2010-09-10,11.26,11.3,11.1,11.23,60784,AOSL
2010-09-13,11.44,11.98,11.35,11.93,52138,AOSL
2010-09-14,11.88,12.0,11.36,11.54,26661,AOSL
2010-09-15,11.47,11.91,11.32,11.63,13077,AOSL
2010-09-16,11.55,11.78,11.38,11.4,18345,AOSL
2010-09-17,11.55,11.69,11.33,11.67,24156,AOSL
2010-09-20,11.7,11.94,11.7,11.94,30050,AOSL
2010-09-21,11.93,12.0,11.35,11.42,117142,AOSL
2010-09-22,11.33,11.46,11.0,11.31,37452,AOSL
2010-09-23,11.33,11.47,11.28,11.28,67118,AOSL
2010-09-24,11.47,11.75,11.38,11.4,78827,AOSL
2010-09-27,11.69,12.0,11.4,11.6,77618,AOSL
2010-09-28,11.66,11.87,11.51,11.66,68881,AOSL
2010-09-29,11.61,12.11,11.46,11.5,47454,AOSL
2010-09-30,11.57,11.61,11.31,11.36,23110,AOSL
2010-10-01,11.48,11.55,11.26,11.5,41322,AOSL
2010-10-04,11.47,11.49,11.01,11.02,47423,AOSL
2010-10-05,11.48,11.83,11.43,11.48,60136,AOSL
2010-10-06,11.48,11.53,11.27,11.45,31852,AOSL
2010-10-07,11.52,11.57,11.35,11.4,32501,AOSL
2010-10-08,11.35,11.51,11.29,11.38,37721,AOSL
2010-10-11,11.4,11.7,11.25,11.37,28929,AOSL
2010-10-12,11.36,11.98,11.19,11.5,75091,AOSL
2010-10-13,11.5,11.77,11.49,11.67,124902,AOSL
2010-10-14,11.7,11.9,11.6,11.81,82823,AOSL
2010-10-15,11.94,11.94,11.47,11.67,42265,AOSL
2010-10-18,11.6,11.78,11.43,11.59,106068,AOSL
2010-10-19,11.59,11.59,11.23,11.41,48465,AOSL
2010-10-20,11.51,11.78,11.42,11.58,76700,AOSL
2010-10-21,11.7,11.7,11.33,11.35,18035,AOSL
2010-10-22,11.43,11.61,11.15,11.35,30413,AOSL
2010-10-25,11.48,11.56,11.19,11.29,102708,AOSL
2010-10-26,11.18,11.34,11.08,11.23,35095,AOSL
2010-10-27,11.03,11.27,10.8,11.0,95040,AOSL
2010-10-28,10.5,11.52,10.5,11.44,83439,AOSL
2010-10-29,11.33,11.64,10.53,11.21,284490,AOSL
2010-11-01,11.21,11.62,11.08,11.29,140848,AOSL
2010-11-02,11.45,11.5,11.13,11.41,218523,AOSL
2010-11-03,11.44,11.5,11.32,11.41,200102,AOSL
2010-11-04,11.46,11.67,11.42,11.67,95743,AOSL
2010-11-05,11.67,11.68,11.3,11.68,258068,AOSL
2010-11-08,11.66,12.0,11.57,11.95,79796,AOSL
2010-11-09,11.96,12.45,11.96,12.2,94467,AOSL
2010-11-10,12.19,12.39,12.01,12.37,21983,AOSL
2010-11-11,11.99,12.07,11.72,11.91,49821,AOSL
2010-11-12,11.75,11.9,11.7,11.84,38797,AOSL
2010-11-15,11.74,12.27,11.74,12.05,95643,AOSL
2010-11-16,11.67,12.1,11.6,11.79,91669,AOSL
2010-11-17,11.78,12.01,11.61,12.0,69398,AOSL
2010-11-18,12.0,12.16,11.72,12.06,84324,AOSL
2010-11-19,12.0,12.1,11.63,11.85,111558,AOSL
2010-11-22,11.8,11.8,11.42,11.6,117039,AOSL
2010-11-23,11.45,11.58,11.38,11.54,27091,AOSL
2010-11-24,11.49,11.6,11.39,11.6,53597,AOSL
