Date,Open,High,Low,Close,Volume,ticker
2005-02-25,10.453,10.469,10.374,10.374,2650,AP
2005-02-28,10.436,10.602,10.436,10.493,3537,AP
2005-03-01,10.571,10.571,10.35,10.397,4419,AP
2005-03-02,10.397,10.428,10.397,10.397,3537,AP
2005-03-03,10.412,10.453,10.389,10.453,9600,AP
2005-03-04,10.469,10.478,10.397,10.461,10103,AP
2005-03-07,10.461,10.587,10.461,10.571,34350,AP
2005-03-08,10.571,10.58,10.499,10.547,89535,AP
2005-03-09,10.453,10.602,10.453,10.602,10989,AP
2005-03-10,10.652,10.652,10.571,10.587,15787,AP
2005-03-11,10.587,10.628,10.553,10.587,7327,AP
2005-03-14,10.587,10.61,10.587,10.61,3161,AP
2005-03-15,10.547,10.547,10.461,10.524,11368,AP
2005-03-16,10.587,10.587,10.531,10.571,3408,AP
2005-03-17,10.587,10.628,10.531,10.587,4291,AP
2005-03-18,10.531,10.571,10.516,10.516,4419,AP
2005-03-21,10.531,10.61,10.516,10.61,1644,AP
2005-03-22,10.547,10.596,10.547,10.596,1261,AP
2005-03-23,10.54,10.54,10.516,10.516,1518,AP
2005-03-24,10.516,10.674,10.516,10.636,8081,AP
2005-03-28,10.682,10.808,10.652,10.808,8081,AP
2005-03-29,10.816,10.991,10.816,10.943,2523,AP
2005-03-30,10.857,10.928,10.713,10.713,7701,AP
2005-03-31,10.721,10.721,10.698,10.713,1135,AP
2005-04-01,10.713,10.713,10.453,10.453,13891,AP
2005-04-04,10.445,10.445,10.365,10.397,15029,AP
2005-04-05,10.374,10.524,10.374,10.469,16419,AP
2005-04-06,10.469,10.493,10.461,10.469,1896,AP
2005-04-07,10.469,10.507,10.365,10.374,7954,AP
2005-04-08,10.374,10.436,10.374,10.374,23361,AP
2005-04-11,10.374,10.374,10.374,10.374,2901,AP
2005-04-12,10.493,10.493,10.436,10.436,1896,AP
2005-04-13,10.412,10.412,10.293,10.293,6820,AP
2005-04-14,10.293,10.302,10.288,10.293,26522,AP
2005-04-15,10.293,10.293,10.246,10.254,16924,AP
2005-04-18,10.254,10.254,9.906,9.939,46348,AP
2005-04-19,9.897,9.915,9.897,9.897,17051,AP
2005-04-20,9.897,10.0,9.897,10.0,63268,AP
2005-04-21,10.0,10.009,9.978,9.984,13515,AP
2005-04-22,9.984,10.009,9.7,9.7,16040,AP
2005-04-25,9.718,9.756,9.718,9.738,8965,AP
2005-04-26,9.738,9.765,9.732,9.765,20078,AP
2005-04-27,9.732,9.738,9.668,9.732,21723,AP
2005-04-28,9.732,9.732,9.685,9.685,9600,AP
2005-04-29,9.709,9.709,9.661,9.685,1261,AP
2005-05-02,9.502,9.544,9.3035,9.3035,62639,AP
2005-05-03,9.3101,9.3189,9.2587,9.2587,13639,AP
2005-05-04,9.2665,9.3189,9.2665,9.3101,9724,AP
2005-05-05,9.4077,9.676,9.4077,9.582,37129,AP
2005-05-06,9.59,9.59,9.502,9.51,25637,AP
2005-05-09,9.51,9.51,9.2733,9.2957,15658,AP
2005-05-10,9.2957,9.3035,9.2665,9.2733,39022,AP
2005-05-11,9.3532,9.3532,9.1931,9.2253,11368,AP
2005-05-12,9.2665,9.2665,9.155,9.1627,17933,AP
2005-05-13,9.1466,9.1466,8.9087,8.9087,28037,AP
2005-05-16,8.9162,8.9162,8.7031,8.7113,38138,AP
2005-05-17,8.6948,8.7031,8.6145,8.7031,34350,AP
2005-05-18,8.7497,8.884,8.7113,8.861,27277,AP
2005-05-19,8.9087,8.9246,8.7113,8.7113,17806,AP
2005-05-20,8.7113,8.9087,8.687,8.9087,5933,AP
2005-05-23,8.9873,8.9873,8.9405,8.98,3284,AP
2005-05-24,8.9002,8.9405,8.884,8.9405,1012,AP
2005-05-25,8.9405,8.9405,8.9087,8.9405,4042,AP
2005-05-26,8.9087,8.9405,8.9087,8.9332,631,AP
2005-05-27,8.9873,8.9949,8.9481,8.9712,4419,AP
2005-05-31,9.3189,9.3189,9.121,9.1295,23491,AP
2005-06-01,9.2079,9.2665,9.0742,9.1855,14523,AP
2005-06-02,9.2587,9.2665,9.2587,9.2665,5933,AP
2005-06-03,9.2665,9.2665,9.1466,9.1466,3537,AP
2005-06-06,9.2012,9.2012,9.0742,9.0742,3537,AP
2005-06-07,9.1703,9.3366,9.1466,9.2253,19447,AP
2005-06-08,9.2509,9.2587,9.2418,9.2509,3034,AP
2005-06-09,9.3035,9.3836,9.2957,9.3532,8081,AP
2005-06-10,9.3747,9.3836,9.3444,9.3679,6311,AP
2005-06-13,9.3836,9.4216,9.3532,9.3747,7327,AP
2005-06-14,9.3679,9.4787,9.3591,9.3679,10608,AP
2005-06-15,9.4787,9.4787,9.3836,9.4618,15029,AP
2005-06-16,9.4549,9.4549,9.4549,9.4549,5809,AP
2005-06-17,9.4305,9.4618,9.4305,9.4394,1135,AP
2005-06-20,9.3836,9.3836,9.3836,9.3836,251,AP
2005-06-21,9.3836,9.3836,9.3679,9.3747,1896,AP
2005-06-22,9.4305,9.4469,9.4305,9.4394,13136,AP
2005-06-23,9.4787,9.4946,9.4469,9.4469,3914,AP
2005-06-24,9.4469,9.4549,9.3679,9.3836,7070,AP
2005-06-27,9.4469,9.4946,9.4147,9.4618,4419,AP
2005-06-28,9.4147,9.502,9.4147,9.502,8840,AP
2005-06-29,9.502,9.502,9.4216,9.4787,9851,AP
2005-06-30,9.4305,9.502,9.4305,9.502,24753,AP
2005-07-01,9.4394,9.4549,9.4394,9.4549,505,AP
2005-07-05,9.4708,9.4708,9.3836,9.3836,505,AP
2005-07-06,9.4469,9.4708,9.4469,9.4708,505,AP
2005-07-07,9.4708,9.502,9.4708,9.4946,26268,AP
2005-07-08,9.4946,9.51,9.4946,9.502,24375,AP
2005-07-11,9.502,9.502,9.502,9.502,6563,AP
2005-07-12,9.502,9.565,9.502,9.558,20334,AP
2005-07-13,9.4867,9.7,9.4867,9.7,10355,AP
2005-07-14,9.636,9.676,9.606,9.644,4419,AP
2005-07-15,9.582,9.59,9.544,9.565,2274,AP
2005-07-18,9.535,9.582,9.535,9.582,756,AP
2005-07-19,9.558,9.7,9.558,9.7,4042,AP
2005-07-20,9.7,9.969,9.692,9.906,13009,AP
2005-07-21,9.978,10.531,9.978,10.516,19068,AP
2005-07-22,10.531,10.833,10.531,10.833,5685,AP
2005-07-25,10.912,11.084,10.825,10.825,15029,AP
2005-07-26,10.825,10.825,10.761,10.825,5180,AP
2005-07-27,10.842,10.849,10.842,10.849,1518,AP
2005-07-28,10.928,11.046,10.928,11.046,5933,AP
2005-07-29,11.046,11.078,11.046,11.078,4548,AP
2005-08-01,11.084,11.151,11.084,11.093,4419,AP
2005-08-02,11.093,11.188,11.093,11.173,5307,AP
2005-08-03,11.134,11.18,11.134,11.18,1768,AP
2005-08-04,11.197,11.244,11.188,11.188,9347,AP
2005-08-05,11.188,11.188,11.188,11.188,1391,AP
