Date,Open,High,Low,Close,Volume,ticker
2022-01-06,0.74,0.74,0.6399,0.69,33579,APCXW
2022-01-07,0.65001,0.6999,0.65001,0.68,32373,APCXW
2022-01-10,0.6501,0.6501,0.65,0.65,6300,APCXW
2022-01-12,0.66,0.66,0.66,0.66,1000,APCXW
2022-01-13,0.6,0.6,0.55,0.5627,18340,APCXW
2022-01-14,0.54,0.65,0.536,0.65,4933,APCXW
2022-01-18,0.59,0.59,0.59,0.59,500,APCXW
2022-01-19,0.65,0.65,0.5489,0.55,8669,APCXW
2022-01-21,0.52,0.52,0.5,0.5,5500,APCXW
2022-01-24,0.5001,0.5001,0.45,0.45,1675,APCXW
2022-01-25,0.37,0.4,0.35,0.3999,13100,APCXW
2022-01-26,0.4,0.4,0.364,0.364,26000,APCXW
2022-01-27,0.36,0.36,0.36,0.36,5000,APCXW
2022-01-31,0.4,0.5,0.4,0.4,4110,APCXW
2022-02-03,0.325,0.3851,0.325,0.3851,14947,APCXW
2022-02-07,0.45,0.4501,0.385,0.385,5531,APCXW
2022-02-08,0.39,0.39,0.39,0.39,1100,APCXW
2022-02-10,0.265,0.347,0.265,0.347,33402,APCXW
2022-02-11,0.2404,0.338,0.2,0.338,6516,APCXW
2022-02-14,0.2012,0.2806,0.1657,0.25,35578,APCXW
2022-02-15,0.1751,0.23,0.1751,0.224899,12183,APCXW
2022-02-16,0.22,0.296,0.22,0.23,27969,APCXW
2022-02-17,0.2995,0.36,0.2198,0.2276,41652,APCXW
2022-02-18,0.2776,0.3052,0.2038,0.21,28045,APCXW
2022-02-22,0.2493,0.25,0.2,0.2099,7476,APCXW
2022-02-23,0.2102,0.2102,0.18,0.21,19017,APCXW
2022-02-24,0.1896,0.195,0.13,0.195,39429,APCXW
2022-02-25,0.155,0.196,0.15,0.196,3455,APCXW
2022-02-28,0.1998,0.23,0.1998,0.23,4871,APCXW
2022-03-01,0.22,0.25,0.2129,0.2179,7492,APCXW
2022-03-02,0.1811,0.2,0.1803,0.1818,6077,APCXW
2022-03-03,0.2002,0.24,0.2,0.2025,120845,APCXW
2022-03-04,0.1975,0.21,0.1506,0.1995,19732,APCXW
2022-03-07,0.2097,0.2385,0.1508,0.22,36311,APCXW
2022-03-08,0.22,0.22,0.22,0.22,1500,APCXW
2022-03-09,0.239,0.27,0.219856,0.26,65163,APCXW
2022-03-10,0.21,0.269,0.18,0.268,44108,APCXW
2022-03-11,0.2301,0.2422,0.21,0.218,42669,APCXW
2022-03-14,0.2287,0.2287,0.2,0.2,12285,APCXW
2022-03-15,0.19,0.1999,0.17,0.18,37291,APCXW
2022-03-16,0.1843,0.2052,0.173,0.173,27954,APCXW
2022-03-17,0.172,0.18,0.1656,0.18,9110,APCXW
2022-03-18,0.2,0.2196,0.1999,0.219,13840,APCXW
2022-03-21,0.1981,0.201,0.181,0.2008,16575,APCXW
2022-03-22,0.21,0.238501,0.21,0.235,2500,APCXW
2022-03-24,0.232,0.232001,0.21,0.21,12708,APCXW
2022-03-25,0.21,0.21,0.21,0.21,1000,APCXW
2022-03-28,0.210101,0.2338,0.21,0.2251,20840,APCXW
2022-03-29,0.233899,0.233899,0.210001,0.210001,5886,APCXW
2022-03-30,0.2251,0.27,0.225,0.269,34248,APCXW
2022-03-31,0.25,0.2505,0.25,0.25,12026,APCXW
2022-04-01,0.25,0.26,0.25,0.26,200,APCXW
2022-04-04,0.265101,0.2669,0.23,0.265,7086,APCXW
2022-04-05,0.27,0.324,0.27,0.29,122688,APCXW
2022-04-06,0.29,0.3151,0.2813,0.3151,15580,APCXW
2022-04-07,0.32,0.395,0.309499,0.3301,114533,APCXW
2022-04-08,0.3351,0.393,0.335,0.391,85978,APCXW
