Date,Open,High,Low,Close,Volume,ticker
2023-08-17,50.17,50.2,49.64,49.8,294752,APO_A
2023-08-18,49.86,50.78,49.84,50.76,27521,APO_A
2023-08-21,50.71,51.09,50.48,50.8,230001,APO_A
2023-08-22,50.8,52.825,50.8,51.03,225078,APO_A
2023-08-23,51.01,52.47,51.01,51.98,950166,APO_A
2023-08-24,52.22,53.99,51.65,51.72,362100,APO_A
2023-08-25,52.08,52.85,51.66,52.0,265645,APO_A
2023-08-28,52.27,52.5,51.95,52.33,266966,APO_A
2023-08-29,52.41,54.02,52.35,52.87,618305,APO_A
2023-08-30,52.86,53.2922,52.4,53.05,368014,APO_A
2023-08-31,52.92,54.57,52.92,54.39,4425779,APO_A
2023-09-01,54.52,54.58,53.41,53.73,807196,APO_A
2023-09-05,54.0,54.8,53.89,54.8,1256178,APO_A
2023-09-06,54.81,54.81,53.92,54.02,434958,APO_A
2023-09-07,53.57,54.72,53.39,54.0,353620,APO_A
2023-09-08,54.01,54.78,53.936,54.34,238900,APO_A
2023-09-11,54.7,54.83,54.52,54.74,77843,APO_A
2023-09-12,54.85,55.52,54.74,55.45,106200,APO_A
2023-09-13,55.49,55.97,55.49,55.83,231603,APO_A
2023-09-14,56.0,56.0,55.14,55.64,70235,APO_A
2023-09-15,56.18,56.37,55.76,56.22,187266,APO_A
2023-09-18,55.75,56.23,55.64,56.23,259296,APO_A
2023-09-19,56.55,56.55,55.51,55.76,403890,APO_A
2023-09-20,56.03,56.59,55.87,56.08,374767,APO_A
2023-09-21,56.1,56.3,55.3,55.3,215086,APO_A
2023-09-22,55.68,56.04,55.46,55.62,140549,APO_A
2023-09-25,55.5,56.36,55.5,56.25,4091255,APO_A
2023-09-26,55.93,55.93,55.09,55.19,612995,APO_A
2023-09-27,55.69,55.69,54.64,55.15,161017,APO_A
2023-09-28,55.32,55.87,55.05,55.63,148691,APO_A
2023-09-29,55.88,55.88,54.88,55.1,297160,APO_A
2023-10-02,55.0,55.13,54.6402,54.7,240235,APO_A
2023-10-03,54.83,54.84,53.3,53.61,244195,APO_A
2023-10-04,53.9099,54.27,53.755,53.97,312815,APO_A
2023-10-05,54.22,54.5282,53.9988,54.45,229236,APO_A
2023-10-06,54.81,55.49,54.81,55.41,7694,APO_A
2023-10-09,54.37,55.04,54.37,54.39,27678,APO_A
2023-10-10,55.055,55.41,55.0,55.06,169504,APO_A
2023-10-11,55.01,55.47,54.56,54.78,29187,APO_A
2023-10-12,54.45,54.45,53.12,53.35,116959,APO_A
2023-10-13,53.38,53.38,52.74,52.98,40318,APO_A
2023-10-16,52.81,53.46,52.5926,52.83,366056,APO_A
