Date,Open,High,Low,Close,Volume
2024-12-16,25.0,25.0,24.9207,24.9207,6635955
2024-12-17,24.925,24.95,24.85,24.8832,19609
2024-12-18,24.7501,24.7501,24.27,24.2707,64763
2024-12-19,24.333,24.35,24.228,24.228,82063
2024-12-20,24.4787,24.4787,24.2612,24.2612,4346
2024-12-23,24.4,24.519,24.25,24.5179,24615
2024-12-24,24.55,24.6351,24.55,24.6351,1632
2024-12-26,24.6685,24.69,24.64,24.6756,9791
2024-12-27,24.36,24.44,24.3043,24.4382,16778
2024-12-30,24.05,24.2057,24.05,24.2057,504
2024-12-31,24.23,24.23,24.08,24.16,26778
2025-01-02,24.22,24.22,23.9901,24.0599,9758
2025-01-03,24.12,24.32,24.12,24.2611,3245
2025-01-06,24.51,24.69,24.51,24.5119,7135
2025-01-07,24.48,24.51,24.31,24.3529,58812
2025-01-08,24.25,24.36,24.19,24.3352,31704
2025-01-10,24.01,24.115,23.99,24.0354,3994
2025-01-13,23.76,23.9589,23.76,23.9589,10699
2025-01-14,23.95,23.95,23.74,23.9023,5275
2025-01-15,24.21,24.36,24.1815,24.2857,11264
2025-01-16,24.38,24.4,24.3139,24.3139,56806
2025-01-17,24.43,24.48,24.3994,24.3994,2328
2025-01-21,24.585,24.71,24.535,24.6642,4746
2025-01-22,24.95,24.95,24.8848,24.8848,12363
2025-01-23,24.86,25.0134,24.855,25.0134,3580
2025-01-24,25.05,25.05,25.0458,25.0458,124
2025-01-27,24.72,24.8,24.6,24.6999,5153
2025-01-28,24.6799,24.9091,24.655,24.9011,3774
2025-01-29,24.87,24.8999,24.7622,24.859,1822
2025-01-30,24.94,25.21,24.9,25.1259,4464
2025-01-31,25.06,25.06,24.96,24.9666,1113
2025-02-03,24.52,24.8509,24.52,24.85,1451
2025-02-04,24.9,24.966,24.9,24.966,279
2025-02-05,25.0,25.0742,25.0,25.0742,250
2025-02-06,25.1887,25.1887,25.09,25.1388,501
2025-02-07,25.01,25.01,24.9,24.9337,4093
