Date,Open,High,Low,Close,Volume
2023-04-05,3.6,4.0,3.4,3.85,1115000
2023-04-06,3.5,4.1,3.4,3.93,589542
2023-04-10,3.7,3.99,3.65,3.88,167934
2023-04-11,3.73,4.2,3.73,4.1,230021
2023-04-12,4.04,4.28,3.99,4.0,164019
2023-04-13,3.94,4.1999,3.75,4.01,307087
2023-04-14,4.12,4.33,3.9,4.33,174061
2023-04-17,4.4,4.4,4.04,4.09,93913
2023-04-18,4.08,4.1,3.82,3.9,75391
2023-04-19,4.0837,4.0837,3.8001,3.92,51135
2023-04-20,3.8,3.9999,3.6801,3.85,21646
2023-04-21,3.9999,4.79,3.76,4.65,1224548
2023-04-24,5.27,5.4,4.3,4.62,862027
2023-04-25,4.13,4.4599,4.0,4.11,222462
2023-04-26,3.93,4.19,3.87,3.95,154964
2023-04-27,3.9,4.0799,3.65,3.7,138605
2023-04-28,3.71,4.35,3.71,4.1,179479
2023-05-01,4.04,4.13,3.75,3.9,90978
2023-05-02,3.91,4.29,3.32,4.1499,312209
2023-05-03,4.07,4.1026,3.7001,3.9801,90609
2023-05-04,3.81,4.0,3.8,3.91,30567
2023-05-05,3.83,4.0399,3.8,3.8701,46143
2023-05-08,4.08,4.1,3.9,4.081,51674
2023-05-09,4.09,4.24,3.9501,4.0,57484
2023-05-10,4.11,4.8999,4.1,4.3901,196737
2023-05-11,4.77,5.19,4.1101,4.27,598497
2023-05-12,4.23,4.26,3.85,3.94,215832
2023-05-15,4.06,4.14,3.86,4.04,81084
2023-05-16,4.1,4.2,4.0491,4.2,89198
2023-05-17,4.43,4.5122,4.12,4.21,22099
2023-05-18,4.14,4.39,4.1369,4.15,67099
2023-05-19,4.07,4.2,4.05,4.05,21221
2023-05-22,4.25,4.32,3.81,4.1,148623
2023-05-23,4.25,4.3239,3.92,4.0,18443
2023-05-24,4.16,4.167,3.8,3.8,42526
2023-05-25,3.83,4.02,3.8,3.82,27868
2023-05-26,4.0199,4.0199,3.5,3.57,87247
2023-05-30,3.58,3.63,3.33,3.48,37234
2023-05-31,3.41,3.5247,3.07,3.22,62546
2023-06-01,3.22,3.295,3.03,3.11,39087
2023-06-02,3.16,3.49,3.1101,3.38,50295
2023-06-05,3.37,3.8499,3.26,3.66,45934
2023-06-06,3.61,3.73,3.5,3.54,92580
2023-06-07,3.6,3.65,3.05,3.08,72011
2023-06-08,3.17,3.38,3.15,3.26,18810
2023-06-09,3.19,3.36,3.13,3.22,47684
2023-06-12,3.077,3.39,3.05,3.38,42813
2023-06-13,3.4,3.68,3.35,3.54,45812
2023-06-14,3.55,3.6,3.362,3.37,26101
2023-06-15,3.37,3.56,3.37,3.47,19625
2023-06-16,3.45,3.58,3.222,3.39,13773
2023-06-20,3.48,3.5499,3.28,3.28,14665
2023-06-21,3.39,3.39,3.2,3.332,6195
2023-06-22,3.24,3.4,3.1329,3.25,15485
2023-06-23,3.21,3.3699,2.9,3.05,23979
2023-06-26,3.22,3.29,3.14,3.18,12351
2023-06-27,3.26,3.29,3.1,3.115,14064
2023-06-28,3.13,3.37,2.9,2.96,31712
2023-06-29,2.985,3.03,2.75,2.85,18379
2023-06-30,2.85,3.05,2.37,2.71,56326
2023-07-03,3.0999,3.0999,2.65,2.75,7388
2023-07-05,2.7,2.8499,2.63,2.67,31397
2023-07-06,2.72,2.7405,2.5,2.655,14575
2023-07-07,2.66,2.7599,2.63,2.68,19339
2023-07-10,2.61,2.7536,2.44,2.67,31064
2023-07-11,2.63,3.1,2.6201,2.91,51111
2023-07-12,2.88,3.0199,2.77,2.92,21674
2023-07-13,2.91,3.65,2.78,3.26,211626
2023-07-14,4.74,4.8,2.67,3.18,7504096
2023-07-17,2.98,3.21,2.78,3.19,304897
2023-07-18,3.08,3.15,2.81,3.0401,166613
2023-07-19,2.99,3.14,2.9464,3.02,98600
2023-07-20,2.94,3.01,2.8,2.95,98140
2023-07-21,2.86,2.88,2.76,2.84,48833
2023-07-24,2.77,2.8,2.5601,2.625,67881
2023-07-25,2.63,2.71,2.56,2.58,61422
2023-07-26,2.55,2.58,2.25,2.4,108271
2023-07-27,2.47,2.48,2.34,2.35,84451
2023-07-28,2.44,2.63,2.21,2.56,102753
2023-07-31,2.52,2.66,2.5056,2.64,34446
2023-08-01,2.7,2.7,2.52,2.55,19679
2023-08-02,2.495,2.71,2.44,2.6092,33502
2023-08-03,2.48,2.5618,2.45,2.51,19628
2023-08-04,2.5,2.53,2.46,2.46,20022
2023-08-07,2.4582,2.575,2.3754,2.41,13923
2023-08-08,2.4,2.4,2.25,2.27,21615
2023-08-09,2.27,2.28,2.2002,2.2641,21080
2023-08-10,2.2,2.29,2.16,2.24,14390
2023-08-11,2.1959,2.24,2.1691,2.2,19918
2023-08-14,2.11,2.25,2.1,2.21,24681
2023-08-15,2.21,2.2399,2.15,2.17,6612
2023-08-16,2.31,2.31,2.06,2.07,23445
2023-08-17,2.03,2.18,2.0052,2.04,43486
2023-08-18,2.0,2.09,1.93,1.97,22692
2023-08-21,1.91,1.965,1.7236,1.82,39388
2023-08-22,1.8401,1.8401,1.78,1.78,8384
2023-08-23,1.78,1.85,1.78,1.79,8386
2023-08-24,1.7431,1.8799,1.74,1.8,22078
2023-08-25,1.77,2.31,1.74,2.07,87020
2023-08-28,2.12,2.12,1.81,1.92,36509
