Date,Open,High,Low,Close,Volume
2021-10-11,0.8001,0.89,0.75,0.77,62475
2021-10-12,0.769899,0.87,0.76,0.834799,11828
2021-10-13,0.82,0.8701,0.7699,0.865,45253
2021-10-14,0.8102,0.94,0.8085,0.8699,95085
2021-10-15,0.9,0.93,0.8799,0.88,26106
2021-10-18,0.880101,0.9299,0.815,0.914,82559
2021-10-19,0.9,0.924601,0.86,0.924601,13354
2021-10-20,0.9,0.9142,0.8706,0.91,49618
2021-10-21,0.86,0.94,0.86,0.93,48258
2021-10-22,0.871,0.94,0.8309,0.94,18666
2021-10-25,0.89,0.9288,0.85,0.9,5828
2021-10-26,0.909899,0.9996,0.8602,0.94,104740
2021-10-27,0.9599,0.9599,0.900101,0.9176,17914
2021-10-28,0.9,0.950299,0.9,0.95,21280
2021-10-29,0.95,1.03,0.9499,1.015,64678
2021-11-01,1.05,1.05,0.9802,0.9802,36889
2021-11-02,1.1,1.1599,1.0003,1.15,185312
2021-11-03,1.15,1.25,1.13,1.2008,148624
2021-11-04,1.18,1.31,1.14,1.3,103936
2021-11-05,1.3,1.72,1.3,1.72,341243
2021-11-08,1.6,3.45,1.6,2.1,1593977
2021-11-09,1.88,2.25,1.6801,1.8,301125
2021-11-10,1.82,2.17,1.82,1.98,315579
2021-11-11,2.01,2.8,2.01,2.8,540822
2021-11-12,2.96,2.96,2.4,2.6201,159819
2021-11-15,2.84,2.84,2.02,2.24,99867
2021-11-16,2.1,2.21,2.03,2.1101,41619
2021-11-17,2.13,2.19,1.84,1.87,107063
2021-11-18,1.8,1.8399,1.57,1.65,84103
2021-11-19,1.6,1.6298,1.51,1.51,49853
2021-11-22,1.5,1.5601,1.41,1.47,63537
2021-11-23,1.47,1.48,1.3,1.32,41691
2021-11-24,1.27,1.5,1.27,1.39,30229
2021-11-26,1.34,1.3505,1.31,1.31,5102
2021-11-29,1.41,1.86,1.41,1.62,107605
2021-11-30,1.81,1.81,1.57,1.6,38464
2021-12-01,1.76,1.76,1.58,1.63,13112
2021-12-02,1.56,1.62,1.56,1.6,11895
2021-12-03,1.63,1.63,1.43,1.48,15600
2021-12-06,1.46,1.55,1.46,1.49,30097
2021-12-07,1.54,1.76,1.53,1.6597,30311
2021-12-08,1.72,2.04,1.67,1.7,49884
2021-12-09,1.72,1.72,1.61,1.62,12721
2021-12-10,1.58,1.7,1.5603,1.64,15930
2021-12-13,1.66,1.66,1.41,1.47,28493
2021-12-14,1.4601,1.47,1.38,1.41,53921
2021-12-15,1.47,1.51,1.36,1.5,44957
2021-12-16,1.52,1.79,1.51,1.63,164402
2021-12-17,1.438,1.53,1.4,1.49,29635
2021-12-20,1.4,1.435,1.3301,1.37,22829
2021-12-21,1.73,1.73,1.36,1.55,70170
2021-12-22,1.55,1.55,1.44,1.49,65015
2021-12-23,1.49,1.49,1.34,1.48,41853
2021-12-27,1.48,1.48,1.4,1.44,22029
2021-12-28,1.35,1.35,1.17,1.25,26397
2021-12-29,1.2,1.27,1.18,1.2,9200
2021-12-30,1.18,1.1987,1.115,1.19,20508
2021-12-31,1.19,1.25,1.19,1.25,9679
2022-01-03,1.24,1.3,1.24,1.3,7056
2022-01-04,1.23,1.36,1.22,1.32,10092
2022-01-05,1.3,1.3,1.135,1.19,4119
2022-01-06,1.16,1.25,1.16,1.25,7311
2022-01-07,1.2899,1.2899,1.12,1.13,9814
2022-01-10,1.0,1.055,1.0,1.02,9873
2022-01-11,1.03,1.28,1.0,1.2,206132
2022-01-12,1.3,1.3,1.07,1.2,38927
2022-01-13,1.2,1.25,1.1,1.2,58566
2022-01-14,1.03,1.12,1.02,1.12,22935
2022-01-18,1.1,1.11,1.0301,1.0301,54403
2022-01-19,1.13,1.28,1.06,1.28,184691
2022-01-20,1.3,1.47,1.27,1.47,225854
2022-01-21,1.47,1.47,1.13,1.23,52887
2022-01-24,1.09,1.19,0.99,1.18,29495
2022-01-25,1.225,1.33,1.15,1.24,57946
2022-01-26,1.35,1.4,1.21,1.27,62075
2022-01-27,1.28,1.29,1.1093,1.15,33129
2022-01-28,1.13,1.3,1.06,1.11,108327
2022-01-31,1.05,1.32,0.9801,1.02,330436
2022-02-01,1.09,1.16,1.06,1.06,73370
2022-02-02,1.04,1.04,0.9409,0.95,98796
2022-02-03,1.0499,1.05,0.96,0.96,21209
2022-02-04,1.05,1.1,1.01,1.02,16382
2022-02-07,1.08,1.08,0.8736,0.8807,428138
2022-02-08,1.08,1.09,0.8701,0.9,310302
2022-02-09,0.9899,1.25,0.9899,1.21,99239
2022-02-10,1.1999,1.24,1.14,1.1761,105198
2022-02-11,1.17,1.21,1.0301,1.0799,10473
2022-02-14,1.06,1.12,1.05,1.065,15722
2022-02-15,1.09,1.13,1.03,1.05,65746
2022-02-16,1.24,1.24,0.9,1.03,17802
2022-02-17,1.0,1.0,0.8729,0.9299,50362
2022-02-18,0.9185,0.92,0.829101,0.85,6225
2022-02-22,0.85,0.8534,0.805,0.805,33673
2022-02-23,0.85,0.9301,0.7,0.7001,45452
2022-02-24,0.75,0.8475,0.7225,0.78,50340
2022-02-25,0.8201,0.8201,0.8201,0.8201,204
2022-02-28,0.924,0.9364,0.894,0.9364,18982
2022-03-01,1.02,1.04,1.0,1.0099,9008
2022-03-02,1.025,1.04,0.95,0.974,13473
2022-03-03,0.96,1.0,0.918,0.98,28877
2022-03-04,0.88,1.01,0.88,0.9084,46215
2022-03-07,0.89,0.9399,0.85,0.85,23158
2022-03-08,0.84,0.85,0.795,0.83,72041
2022-03-09,0.85,0.9135,0.8205,0.905,7058
2022-03-10,0.869,0.869,0.7415,0.803,40428
2022-03-11,0.8,0.83,0.679,0.69,31551
2022-03-14,0.6301,0.8799,0.6001,0.7588,38267
2022-03-15,0.769899,0.77,0.769899,0.77,616
2022-03-16,0.845,0.9675,0.845,0.9599,119146
2022-03-17,0.8801,0.91,0.8301,0.8618,14831
2022-03-18,0.9512,0.9512,0.85,0.8883,4262
2022-03-21,0.9,0.9,0.8336,0.875001,7307
2022-03-22,0.9628,0.9628,0.8309,0.9014,5812
2022-03-23,0.8987,1.03,0.8987,1.0,17608
2022-03-24,0.9601,0.99,0.9525,0.99,4910
2022-03-25,0.96,0.98,0.93,0.98,7130
2022-03-28,0.8393,0.9638,0.8393,0.955,3527
2022-03-29,0.8953,0.99,0.89,0.99,5326
2022-03-30,1.02,1.02,0.7801,0.9949,5322
2022-03-31,0.9391,1.0,0.9,0.9872,3801
2022-04-01,0.7625,0.9923,0.7625,0.99,12462
2022-04-04,1.04,1.04,0.9565,1.04,2651
2022-04-05,0.9201,1.07,0.9201,1.06,8079
2022-04-06,1.1,1.27,1.07,1.26,59124
2022-04-07,1.18,1.18,1.09,1.14,13597
2022-04-08,1.12,1.17,1.02,1.13,44185
2022-04-11,1.24,1.24,1.13,1.19,21196
2022-04-12,1.24,1.26,1.165,1.18,20096
2022-04-13,1.1788,1.1788,1.15,1.16,12894
2022-04-14,1.2161,1.25,1.165,1.165,3774
2022-04-18,1.15,1.26,1.13,1.2061,3124
2022-04-19,1.1,1.2,1.1,1.16,8523
2022-04-20,1.19,1.19,1.13,1.15,30642
2022-04-21,1.26,1.26,1.21,1.23,3181
2022-04-22,1.21,1.21,1.01,1.05,13658
2022-04-25,1.53,1.53,1.1,1.1799,3928
2022-04-26,1.14,1.14,1.05,1.05,9171
2022-04-27,1.32,1.32,1.02,1.02,16902
2022-04-28,1.0101,1.0101,0.9,0.9201,15658
