Date,Open,High,Low,Close,Volume
2021-09-23,15.01,17.67,14.5,16.75,9429592
2021-09-24,16.9,19.33,16.11,16.6,3827251
2021-09-27,17.3331,17.3343,15.64,17.0,1705913
2021-09-28,16.93,16.93,15.17,15.41,1207025
2021-09-29,16.0669,16.1553,15.25,15.4,472599
2021-09-30,15.58,16.17,15.25,16.0,548414
2021-10-01,16.5,16.915,16.01,16.49,811953
2021-10-04,16.13,16.6,15.66,16.13,467674
2021-10-05,16.13,16.68,15.86,16.27,463670
2021-10-06,16.6809,17.28,16.0,16.32,730509
2021-10-07,16.07,16.5,15.69,16.39,398783
2021-10-08,16.04,16.5,15.3524,15.5,781997
2021-10-11,15.7,15.92,15.39,15.63,542169
2021-10-12,15.59,15.7244,14.945,15.24,370743
2021-10-13,15.2472,15.63,14.965,15.43,269610
2021-10-14,15.8987,15.8987,15.13,15.6,264980
2021-10-15,16.05,17.2,15.55,16.92,862260
2021-10-18,16.9,18.44,16.57,17.23,1160605
2021-10-19,17.55,18.73,17.33,17.83,651981
2021-10-20,17.73,18.28,17.65,18.04,543811
2021-10-21,18.99,20.1699,18.26,18.76,1078183
2021-10-22,18.59,18.7,16.82,17.02,596299
2021-10-25,17.05,18.69,17.05,18.25,749428
2021-10-26,17.36,17.55,16.72,16.79,592150
2021-10-27,16.5,16.58,15.41,15.8,528324
2021-10-28,15.96,16.93,15.82,16.26,589432
2021-10-29,16.43,17.0,16.28,16.85,275273
2021-11-01,17.4141,18.42,17.31,17.82,1061254
2021-11-02,18.1,18.4985,17.25,17.97,859274
2021-11-03,17.05,17.72,17.0,17.33,694224
2021-11-04,17.4,17.82,17.0201,17.31,641131
2021-11-05,16.85,17.59,16.37,17.49,764468
2021-11-08,17.35,18.85,17.23,18.37,1246051
2021-11-09,18.9,20.63,17.99,20.56,1884866
2021-11-10,20.45,20.45,18.6,19.09,933242
2021-11-11,19.0,19.67,18.3,19.52,518956
2021-11-12,18.57,19.2546,18.43,18.96,526048
2021-11-15,19.31,19.4079,17.7644,18.1,630910
2021-11-16,18.7408,20.19,18.5801,19.98,1881620
2021-11-17,19.8,21.0,18.65,19.31,1009242
2021-11-18,19.35,19.35,17.56,17.66,886837
2021-11-19,17.97,19.01,17.7,18.9,529544
2021-11-22,18.6,18.8755,16.9591,17.2,691955
2021-11-23,17.77,17.99,17.0,17.86,396862
2021-11-24,17.85,19.14,17.5048,18.89,707771
2021-11-26,17.95,18.6299,17.8,18.48,229801
2021-11-29,18.52,18.7532,17.4243,17.92,510748
2021-11-30,17.97,18.65,17.81,18.05,387091
2021-12-01,18.46,18.84,17.21,17.32,538945
2021-12-02,17.23,17.4,15.82,16.4,784948
2021-12-03,16.8,16.97,14.93,15.32,589058
2021-12-06,14.19,14.225,12.53,13.52,1367486
2021-12-07,14.91,14.93,14.3,14.51,455320
2021-12-08,14.37,14.72,13.78,14.72,396249
2021-12-09,14.05,14.45,13.15,13.24,448418
2021-12-10,14.13,14.37,13.05,13.19,316741
2021-12-13,13.235,13.235,12.03,12.25,496827
2021-12-14,12.61,13.55,12.17,12.7,360127
2021-12-15,12.7,13.1147,11.95,13.06,348577
2021-12-16,13.0,13.15,12.1,12.39,280741
2021-12-17,12.0,13.46,11.6001,12.97,794038
2021-12-20,11.5,12.0,11.34,11.38,618717
2021-12-21,12.4,12.5,11.73,12.35,329274
2021-12-22,12.4,13.13,12.35,12.92,370432
2021-12-23,12.96,14.12,12.75,13.94,637268
2021-12-27,14.25,14.8,13.95,14.73,324566
2021-12-28,14.04,14.25,13.06,13.33,319095
2021-12-29,13.06,13.26,12.79,12.82,250846
2021-12-30,12.82,13.18,12.6001,12.72,303165
2021-12-31,12.91,12.93,12.03,12.16,266711
2022-01-03,12.2,12.8,12.01,12.7,196444
2022-01-04,12.62,13.14,12.25,12.45,318201
2022-01-05,12.6,12.6,11.3,11.41,375932
2022-01-06,11.35,11.675,10.8,10.92,567265
2022-01-07,11.2,11.6896,10.95,11.21,290793
2022-01-10,10.83,11.4,10.44,11.17,291527
2022-01-11,11.27,12.0399,11.0,11.71,213920
2022-01-12,12.1525,12.5,11.6298,11.9,218211
2022-01-13,11.95,12.0999,11.05,11.1,166116
2022-01-14,10.95,11.25,10.7,10.97,307601
2022-01-18,10.7,11.06,10.64,10.71,228345
2022-01-19,10.83,11.26,10.75,10.86,244669
2022-01-20,10.97,11.65,10.97,11.19,220668
2022-01-21,10.22,10.46,9.6078,9.63,533000
2022-01-24,8.01,9.31,7.9,9.26,628222
2022-01-25,9.18,9.98,9.0,9.63,221998
2022-01-26,10.2,10.65,9.72,9.96,240206
2022-01-27,9.89,9.9,8.87,9.24,146996
2022-01-28,8.89,9.651,8.66,9.36,249657
2022-01-31,9.34,10.22,9.29,10.17,158700
2022-02-01,10.35,10.54,9.9,10.37,108160
2022-02-02,10.37,10.37,9.45,9.5,159866
2022-02-03,9.45,9.99,9.3,9.63,152410
2022-02-04,9.89,10.73,9.65,10.4,203681
2022-02-07,10.72,11.18,10.46,10.68,255784
2022-02-08,10.2,10.99,10.01,10.95,157734
2022-02-09,10.55,11.26,10.55,11.23,233707
2022-02-10,10.82,11.4,10.4455,10.63,269784
2022-02-11,10.65,10.99,9.53,9.53,216872
2022-02-14,9.73,10.03,9.31,9.38,186748
2022-02-15,9.76,10.3899,9.76,10.35,210772
2022-02-16,10.31,10.5,10.03,10.38,161458
2022-02-17,10.18,10.35,9.71,9.94,101760
2022-02-18,9.81,9.9,9.03,9.09,167162
2022-02-22,8.94,9.0984,8.6,8.82,191921
2022-02-23,8.95,9.18,8.3,8.34,129362
2022-02-24,7.54,8.91,7.51,8.87,257385
2022-02-25,9.315,9.3298,8.64,8.67,176734
2022-02-28,8.5,9.5,8.5,9.14,225563
2022-03-01,9.77,10.03,9.03,9.4,227756
2022-03-02,9.6275,9.72,9.29,9.29,162263
2022-03-03,9.39,9.39,8.12,8.21,428514
2022-03-04,8.08,8.52,7.92,8.01,346284
2022-03-07,8.055,8.2093,7.6,7.67,166076
2022-03-08,7.61,8.23,7.44,7.72,188059
2022-03-09,8.23,9.06,8.23,8.9,194872
2022-03-10,8.51,8.67,8.22,8.51,145266
2022-03-11,8.71,8.71,8.13,8.14,58086
2022-03-14,8.1,8.3,7.5901,7.6,101178
2022-03-15,7.72,8.1446,7.25,7.35,202672
2022-03-16,8.01,8.5,7.91,8.33,184833
2022-03-17,8.45,8.77,8.31,8.54,101956
2022-03-18,8.5,9.72,8.21,9.4,339406
2022-03-21,9.2,9.2,8.61,8.92,183315
2022-03-22,9.28,9.51,9.0659,9.26,146340
2022-03-23,9.23,9.44,8.86,9.37,104451
2022-03-24,9.37,10.1,9.25,9.85,188090
2022-03-25,9.98,10.02,9.565,9.92,88659
2022-03-28,10.02,10.75,9.93,10.06,223795
2022-03-29,10.22,10.41,9.9,10.41,100502
2022-03-30,10.25,10.25,9.5746,9.74,197185
2022-03-31,9.87,10.0948,9.62,9.86,117872
2022-04-01,9.83,10.12,9.67,9.93,106082
2022-04-04,10.0,10.1199,9.76,9.92,85970
2022-04-05,10.09,10.09,9.5503,9.84,86986
2022-04-06,9.61,9.65,8.98,9.11,103025
2022-04-07,9.31,9.3584,8.74,9.12,68329
2022-04-08,9.04,9.35,9.0,9.07,64649
2022-04-11,8.9,9.14,8.75,8.8,64792
2022-04-12,8.98,9.15,8.51,8.54,67917
2022-04-13,8.53,9.1,8.53,8.85,116939
2022-04-14,8.95,8.95,8.54,8.66,127048
2022-04-18,8.66,8.69,8.25,8.44,139745
2022-04-19,8.5,9.03,8.5,8.82,167962
2022-04-20,8.91,9.02,8.54,8.63,96840
2022-04-21,8.81,8.93,8.2,8.3,93908
2022-04-22,8.48,8.71,8.31,8.5,94920
2022-04-25,8.2,8.45,7.6,7.88,198918
2022-04-26,7.81,7.81,7.3301,7.36,110544
2022-04-27,7.9,7.9,7.48,7.49,126006
2022-04-28,8.2,8.4587,7.72,8.29,199889
2022-04-29,8.15,8.44,7.76,7.83,86713
2022-05-02,7.7,8.13,7.5001,8.05,80224
2022-05-03,8.01,8.11,7.75,7.96,146281
2022-05-04,7.67,8.36,7.67,8.31,154600
2022-05-05,8.25,8.276,7.46,7.69,76931
2022-05-06,7.6,7.79,7.15,7.54,123063
2022-05-09,6.95,6.95,6.25,6.43,209060
2022-05-10,7.02,7.24,6.43,6.61,134565
2022-05-11,6.3,6.8779,5.77,6.03,253360
2022-05-12,5.66,5.99,5.39,5.64,214234
