Date,Open,High,Low,Close,Volume
2022-02-08,810.0,945.0,573.75,589.5,80316.599919683
2022-02-09,562.5,565.313,461.25,483.75,7535.7599924642
2022-02-10,598.5,859.478,596.25,690.75,267540.43084357
2022-02-11,681.75,681.75,564.75,632.25,9668.2577681095
2022-02-14,596.25,652.5,564.75,632.25,3784.1644406603
2022-02-15,598.5,600.75,528.75,555.75,4080.595551475
2022-02-16,562.5,575.978,477.0,495.0,3089.7466635769
2022-02-17,483.75,508.5,434.25,443.25,2727.2844417172
2022-02-18,434.25,450.0,382.5,388.463,2477.6222197446
2022-02-22,357.75,382.5,342.0,353.25,2055.0933312782
2022-02-23,339.75,366.75,326.25,333.0,1292.5422209297
2022-02-24,288.0,324.0,281.25,315.0,1794.1644426503
2022-02-25,315.0,315.0,290.25,299.25,881.39111022972
2022-02-28,290.25,315.0,279.0,299.25,737.55999926244
2022-03-01,369.0,400.5,319.5,355.5,77726.235477829
2022-03-02,324.0,348.75,315.0,346.5,5766.7244386777
2022-03-03,324.0,344.25,324.0,342.0,2427.2355531283
2022-03-04,333.0,371.25,321.75,353.25,3694.6622185276
2022-03-07,337.5,337.5,292.5,297.0,1782.5999982174
2022-03-08,279.0,288.0,254.25,258.75,1955.0888869338
2022-03-09,319.5,378.0,288.0,360.0,35786.333297547
2022-03-10,333.0,337.388,304.875,308.25,3181.1333301522
2022-03-11,288.0,348.75,281.25,335.25,5152.0177726258
2022-03-14,324.0,339.75,301.5,326.25,1733.706664933
2022-03-15,337.5,337.5,307.125,324.0,857.32444358712
2022-03-16,344.25,571.5,337.5,380.25,129162.03542639
2022-03-17,346.5,375.75,310.5,364.5,8461.5199915385
2022-03-18,339.75,353.25,326.25,326.25,2869.6177749082
2022-03-21,315.0,378.0,315.0,362.25,3417.3777743604
2022-03-22,348.75,375.75,333.0,366.75,3280.293330053
2022-03-23,360.0,373.5,351.0,362.25,1119.0755544365
2022-03-24,360.0,364.478,346.5,346.5,758.5999992414
2022-03-25,348.75,354.915,328.5,342.0,1021.1555545344
2022-03-28,330.75,360.0,328.5,346.5,928.16444351628
2022-03-29,351.0,407.25,342.0,393.75,3547.666663119
2022-03-30,418.5,438.593,373.5,382.5,8868.1777689096
2022-03-31,366.75,436.5,366.75,405.0,7947.3466587193
2022-04-01,405.0,472.5,380.25,463.5,6401.9022158203
2022-04-04,468.0,533.25,463.5,472.5,10029.902212192
2022-04-05,447.75,459.0,418.523,450.0,5453.1155501024
2022-04-06,434.25,506.25,420.75,477.0,7240.5333260928
2022-04-07,477.0,480.375,402.75,427.5,2896.7999971032
2022-04-08,441.0,441.0,402.75,420.75,1205.0044432394
2022-04-11,402.75,405.135,362.25,373.5,3478.9866631877
2022-04-12,366.75,413.955,362.25,398.25,3495.3866631713
2022-04-13,396.0,407.25,378.0,393.75,1087.1555544684
2022-04-14,382.5,398.093,315.0,330.75,2598.0355529575
2022-04-18,310.5,317.25,294.75,299.25,1149.595554406
2022-04-19,299.25,310.478,285.75,299.25,501.8222217204
2022-04-20,308.25,309.015,281.25,297.0,551.30222167092
2022-04-21,299.25,303.615,281.25,290.25,667.89333266544
2022-04-22,285.75,301.5,261.0,272.25,1172.3599988276
2022-04-25,263.7,281.25,254.25,256.5,791.8444436526
2022-04-26,272.25,272.25,247.5,256.5,381.18222184104
2022-04-27,258.75,279.0,252.0,267.75,1712.4799982875
2022-04-28,270.0,288.0,270.0,270.0,866.29777691148
2022-04-29,270.0,281.25,265.5,270.0,460.94666620572
2022-05-02,263.25,296.955,261.0,281.228,2433.0666642336
2022-05-03,285.75,310.5,245.25,283.5,1753.0488871358
2022-05-04,288.0,326.25,267.773,310.5,2376.0266642906
2022-05-05,306.0,319.5,276.75,281.25,645.4222215768
2022-05-06,278.753,299.25,256.5,267.75,674.52888821436
2022-05-09,258.75,263.25,227.25,229.5,1644.6844427998
2022-05-10,220.05,261.0,206.978,220.05,782.19555477336
2022-05-11,204.638,213.66,178.425,179.82,780.37333255296
2022-05-12,174.42,177.75,166.5,168.773,892.87111021824
2022-05-13,171.0,197.978,169.875,187.2,664.21333266912
2022-05-16,186.75,189.0,174.398,182.925,511.81333282152
2022-05-17,167.963,168.75,153.09,154.125,1514.0799984859
2022-05-18,160.38,160.38,139.5,146.25,1198.1599988018
2022-05-19,145.125,155.25,135.068,155.228,788.14222143408
2022-05-20,151.943,161.798,146.25,153.045,289.99555526556
2022-05-23,148.545,162.9,148.5,162.0,258.3999997416
2022-05-24,164.25,164.25,148.5,155.138,454.63111065648
