Date,Open,High,Low,Close,Volume
2024-10-18,55.39,55.39,53.97,54.34,175727
2024-10-21,54.25,54.73,53.78,54.0,1089498
2024-10-22,53.87,53.97,53.54,53.78,445098
2024-10-23,54.0,54.31,53.45,53.69,911140
2024-10-24,53.9364,55.68,53.75,54.59,669081
2024-10-25,54.58,55.35,54.0,54.27,216836
2024-10-28,54.7,54.83,54.4,54.53,287398
2024-10-29,54.27,54.85,54.27,54.6,250164
2024-10-30,54.67,55.69,54.2,54.27,284567
2024-10-31,54.25,54.54,53.4494,53.9,5436922
2024-11-01,53.6,54.49,52.2,52.535,890825
2024-11-04,52.2,52.2811,51.6901,52.05,347636
2024-11-05,52.51,53.17,52.46,53.12,32940
2024-11-06,54.88,55.3962,54.02,54.74,1323185
2024-11-07,54.62,54.62,53.65,53.68,764421
2024-11-08,54.0,54.71,54.0,54.32,50498
2024-11-11,54.59,55.13,54.44,54.52,66665
2024-11-12,54.28,54.38,54.28,54.38,138377
2024-11-13,54.38,54.38,53.55,53.559,400082
2024-11-14,53.6,54.0,53.6,53.865,10282
2024-11-15,53.76,53.85,53.61,53.69,3333
2024-11-18,53.58,54.0,53.35,54.0,355621
2024-11-19,53.99,55.32,53.82,54.24,51431
2024-11-20,53.63,55.23,53.63,54.89,51930
2024-11-21,55.0,55.8,54.56,55.5047,68409
2024-11-22,56.1225,56.1225,55.34,55.71,85014
2024-11-25,55.83,55.97,55.35,55.57,562485
2024-11-26,56.42,56.48,55.59,56.28,43277
2024-11-27,56.41,56.41,55.24,55.56,71641
2024-11-29,55.78,56.45,55.78,56.18,143013
2024-12-02,55.98,55.98,55.3275,55.3275,358450
2024-12-03,55.055,56.79,54.91,55.84,196480
2024-12-04,55.94,56.24,55.59,56.21,13508
2024-12-05,55.71,57.62,55.71,56.24,360763
2024-12-06,56.19,56.56,55.805,56.29,466696
2024-12-09,56.0,56.71,55.73,55.94,266544
2024-12-10,55.82,56.42,55.49,55.63,62857
2024-12-11,56.66,58.155,56.425,57.77,149910
2024-12-12,57.52,58.55,57.36,57.48,1010203
2024-12-13,57.24,57.27,56.62,56.65,10366
2024-12-16,57.56,57.82,56.6,57.27,63691
2024-12-17,56.82,56.9599,55.71,56.4,235408
2024-12-18,56.2325,56.48,54.91,54.91,53068
2024-12-19,54.83,54.87,54.0,54.0,511501
2024-12-20,53.92,56.275,53.68,55.6,101343
2024-12-23,55.66,56.15,55.48,56.01,8293
2024-12-24,56.49,57.5,55.17,56.26,13445
2024-12-26,56.21,57.04,55.56,56.81,312708
2024-12-27,56.59,56.59,55.58,56.05,19911
2024-12-30,55.25,56.35,55.14,56.09,6618
2024-12-31,55.95,56.08,53.74,55.04,240316
2025-01-02,55.69,55.88,55.05,55.88,5520
2025-01-03,55.83,56.7557,55.8,56.3,72165
2025-01-06,57.02,57.25,56.34,56.34,382664
2025-01-07,55.11,56.17,55.06,56.05,125152
2025-01-08,56.31,56.96,55.96,56.96,38145
2025-01-10,55.9,56.43,54.98,55.17,8100
2025-01-13,54.65,55.74,54.65,55.73,15802
2025-01-14,55.7625,57.325,55.735,56.1,126406
2025-01-15,56.95,58.08,56.7,57.35,190702
2025-01-16,58.93,58.97,57.81,58.4,38052
2025-01-17,59.98,59.98,58.65,59.03,279917
2025-01-21,59.7,60.0,59.05,59.8,251338
2025-01-22,60.0,60.0,59.48,59.75,957118
2025-01-23,59.56,60.27,59.56,60.13,15961
2025-01-24,60.27,60.56,59.98,60.55,138378
2025-01-27,60.91,60.91,58.315,58.61,12360
2025-01-28,58.8,59.78,58.49,59.7,27186
2025-01-29,60.1823,60.1823,59.43,59.87,15888
2025-01-30,60.52,61.14,60.52,60.67,321875
2025-01-31,61.01,61.19,60.6792,60.69,6225
2025-02-03,59.7,60.62,59.7,60.59,9143
2025-02-04,60.59,60.59,59.36,59.89,428857
2025-02-05,56.57,59.11,56.57,58.76,328554
2025-02-06,58.67,58.85,58.27,58.6,266175
2025-02-07,59.3,59.4,58.72,58.82,66448
