Date,Open,High,Low,Close,Volume
2012-09-28,17.957,18.058,17.914,18.058,40615
2012-10-01,18.03,18.051,17.957,17.979,96584
2012-10-02,17.979,18.03,17.893,17.972,39467
2012-10-03,18.021,18.021,17.894,17.928,31200
2012-10-04,17.957,18.009,17.928,17.995,44564
2012-10-05,17.995,18.03,17.957,18.009,55105
2012-10-08,18.03,18.124,18.009,18.094,115829
2012-10-09,18.124,18.144,18.067,18.1,62021
2012-10-10,18.067,18.138,18.067,18.094,55502
2012-10-11,18.1,18.131,18.058,18.131,34118
2012-10-12,18.138,18.138,18.03,18.1,57203
2012-10-15,18.1,18.1,18.015,18.1,41592
2012-10-16,18.138,18.138,18.051,18.079,26008
2012-10-17,18.124,18.124,18.067,18.072,36222
2012-10-18,18.116,18.116,18.087,18.1,30914
2012-10-19,18.124,18.317,18.1,18.317,314628
2012-10-22,18.1,18.345,18.1,18.317,64696
2012-10-23,18.281,18.281,18.138,18.209,17510
2012-10-24,18.274,18.274,18.138,18.145,49992
2012-10-25,18.246,18.246,18.1,18.138,21016
2012-10-26,18.108,18.189,18.074,18.074,38484
2012-10-31,18.067,18.169,18.001,18.094,87766
2012-11-01,18.072,18.138,18.072,18.138,50013
2012-11-02,18.138,18.194,18.116,18.123,31736
2012-11-05,18.159,18.174,18.094,18.165,48763
2012-11-06,18.1,18.201,18.094,18.201,39906
2012-11-07,18.209,18.353,18.146,18.281,62269
2012-11-08,18.317,18.353,18.251,18.345,29198
2012-11-09,18.382,18.382,18.109,18.246,13195
2012-11-12,18.246,18.246,18.144,18.246,12480
2012-11-13,18.246,18.246,18.1,18.194,41048
2012-11-14,18.239,18.239,18.001,18.021,84738
2012-11-15,18.209,18.209,17.893,18.037,17048
2012-11-16,17.995,18.223,17.957,18.058,29095
2012-11-19,17.957,18.072,17.957,18.015,60048
2012-11-20,18.108,18.174,17.964,17.972,39984
2012-11-21,18.138,18.138,17.957,18.03,44412
2012-11-23,17.995,18.079,17.957,18.044,32939
2012-11-26,18.209,18.209,17.957,17.995,10498
2012-11-27,18.044,18.138,17.957,18.121,28710
2012-11-28,18.1,18.1,18.001,18.021,18611
2012-11-29,18.044,18.044,17.807,17.807,67810
2012-11-30,17.85,17.95,17.749,17.946,45912
2012-12-03,17.95,17.957,17.784,17.921,20365
2012-12-04,17.857,17.979,17.857,17.957,45190
2012-12-05,18.201,18.201,17.784,17.842,43399
2012-12-06,17.921,18.1,17.879,18.079,74852
2012-12-07,18.079,18.094,17.9,18.051,21255
2012-12-10,18.194,18.201,17.887,18.015,42342
2012-12-11,18.1,18.182,18.022,18.182,37406
