Date,Open,High,Low,Close,Volume
2020-07-22,24.51,24.65,24.51,24.6,47046
2020-07-23,24.65,24.72,24.54,24.55,57256
2020-07-24,24.55,24.64,24.55,24.58,29521
2020-07-27,24.64,24.79,24.64,24.77,123323
2020-07-28,24.78,24.82,24.72,24.78,36120
2020-07-29,24.83,24.92,24.79,24.92,140325
2020-07-30,24.85,24.93,24.8,24.91,252410
2020-07-31,24.82,25.1,24.82,24.86,633792
2020-08-03,24.88,25.0,24.785,24.89,57181
2020-08-04,24.88,24.94,24.88,24.93,22569
2020-08-05,24.95,25.04,24.935,25.03,84859
2020-08-06,25.04,25.19,25.0,25.03,61032
2020-08-07,25.0,25.05,24.95,24.99,35271
2020-08-10,25.04,25.15,25.01,25.09,74035
2020-08-11,25.1,25.12,24.94,24.95,257817
2020-08-12,25.0,25.1375,25.0,25.08,67988
2020-08-13,25.1,25.19,25.04,25.1,146005
2020-08-14,25.11,25.3,25.1015,25.24,132368
2020-08-17,25.4,25.58,25.25,25.34,497781
2020-08-18,25.34,25.3899,25.2,25.29,138362
2020-08-19,25.3,25.44,25.295,25.37,81337
2020-08-20,25.31,25.46,25.29,25.46,75257
2020-08-21,25.45,25.57,25.431,25.56,50458
2020-08-24,25.7,25.8,25.66,25.8,253259
2020-08-25,25.8,25.87,25.73,25.87,85407
2020-08-26,25.87,26.0,25.74,25.84,91883
2020-08-27,25.86,25.86,25.7,25.8,76270
2020-08-28,25.55,25.5794,25.42,25.53,81782
2020-08-31,25.52,25.59,25.42,25.49,116994
2020-09-01,25.57,25.5735,25.36,25.47,74654
2020-09-02,25.45,25.54,25.4,25.53,56058
2020-09-03,25.52,25.52,25.2,25.26,61226
2020-09-04,25.3,25.3665,24.81,25.19,67395
2020-09-08,25.13,25.27,25.0,25.24,79174
2020-09-09,25.28,25.4,25.19,25.37,61023
2020-09-10,25.41,25.47,25.22,25.27,76899
2020-09-11,25.32,25.32,25.16,25.2,39827
2020-09-14,25.27,25.3735,25.2,25.25,55214
2020-09-15,25.37,25.37,25.21,25.24,17555
2020-09-16,25.24,25.336,25.2,25.3,48921
2020-09-17,25.17,25.314,25.08,25.14,87521
2020-09-18,25.17,25.17,24.99,25.09,99188
2020-09-21,24.99,25.0845,24.8,24.96,44947
2020-09-22,24.97,25.07,24.8601,24.99,67194
2020-09-23,25.03,25.11,24.7,24.79,52824
2020-09-24,24.62,24.917,24.52,24.78,56619
2020-09-25,24.63,24.97,24.63,24.93,34629
2020-09-28,25.03,25.205,25.01,25.1257,64909
2020-09-29,25.0836,25.13,24.96,25.07,58037
2020-09-30,25.09,25.14,24.91,24.91,45132
2020-10-01,25.05,25.15,25.01,25.15,69472
2020-10-02,24.97,25.13,24.97,25.05,38212
2020-10-05,25.12,25.28,25.1,25.19,68517
2020-10-06,25.22,25.39,25.12,25.22,89281
2020-10-07,25.22,25.54,25.22,25.51,67283
2020-10-08,25.5,25.68,25.43,25.64,43870
2020-10-09,25.605,25.7,25.52,25.7,25173
2020-10-12,25.61,25.72,25.6,25.72,24909
2020-10-13,25.6632,25.69,25.44,25.69,13994
2020-10-14,25.66,25.66,25.49,25.59,5737
2020-10-15,25.35,25.4935,25.35,25.47,10793
2020-10-16,25.48,25.5899,25.43,25.44,19123
2020-10-19,25.4281,25.43,25.25,25.26,18357
2020-10-20,25.3,25.39,25.3,25.3299,17076
2020-10-21,25.3523,25.49,25.32,25.41,36818
2020-10-22,25.42,25.59,25.32,25.59,43852
2020-10-23,25.6,25.6188,25.47,25.58,28099
2020-10-26,25.46,25.46,25.32,25.39,14783
2020-10-27,25.44,25.44,25.3362,25.37,8088
2020-10-28,25.26,25.26,24.9797,25.01,47812
2020-10-29,25.09,25.183,25.01,25.1,23802
2020-10-30,25.0819,25.13,25.01,25.09,21040
2020-11-02,25.04,25.21,24.95,25.18,45881
2020-11-03,25.07,25.21,25.05,25.18,33027
2020-11-04,25.25,25.51,25.25,25.47,51003
2020-11-05,25.47,25.63,25.25,25.51,58656
2020-11-06,25.4,25.47,25.33,25.42,29979
2020-11-09,25.74,25.84,25.51,25.73,60447
2020-11-10,25.65,25.7499,25.51,25.59,46574
2020-11-11,25.61,25.79,25.52,25.68,64302
2020-11-12,25.67,25.735,25.641,25.68,16785
2020-11-13,25.74,25.85,25.61,25.8099,32303
2020-11-16,25.83,26.19,25.807,26.18,49267
2020-11-17,26.08,26.18,26.01,26.1,13762
2020-11-18,26.116,26.2,26.06,26.08,38559
2020-11-19,26.16,26.27,26.12,26.225,34429
2020-11-20,26.1759,26.1759,26.04,26.0701,24282
2020-11-23,26.1,26.21,26.03,26.0995,21789
2020-11-24,26.13,26.26,26.1101,26.15,13007
2020-11-25,26.13,26.17,26.01,26.12,41740
2020-11-27,25.8,25.84,25.7,25.78,13189
2020-11-30,25.76,25.94,25.76,25.94,34016
2020-12-01,25.97,26.074,25.97,26.0001,12295
2020-12-02,26.01,26.15,26.0,26.07,12943
2020-12-03,26.1,26.1,26.05,26.07,11088
2020-12-04,26.08,26.15,26.05,26.14,10424
2020-12-07,26.08,26.33,26.08,26.25,32973
2020-12-08,26.25,26.35,26.16,26.32,13142
2020-12-09,26.3279,26.442,26.279,26.4,18519
2020-12-10,26.26,26.48,26.07,26.45,43567
2020-12-11,26.21,26.49,26.21,26.47,16796
2020-12-14,26.49,26.5,26.35,26.47,18898
2020-12-15,26.41,26.555,26.41,26.515,35041
2020-12-16,26.56,26.56,26.428,26.56,17881
2020-12-17,26.56,26.64,26.4,26.64,19064
2020-12-18,26.6168,26.75,26.57,26.75,25477
2020-12-21,26.68,26.83,26.571,26.571,26278
2020-12-22,26.57,26.83,26.57,26.69,23698
2020-12-23,26.51,26.88,26.51,26.85,33891
2020-12-24,26.8,26.91,26.71,26.8695,19274
2020-12-28,26.75,26.95,26.75,26.91,14235
2020-12-29,26.82,26.9,26.819,26.9,23668
2020-12-30,26.8,27.19,26.75,27.05,45517
2020-12-31,27.08,27.49,27.0601,27.49,69630
2021-01-04,27.3,27.395,27.1,27.32,22128
2021-01-05,27.26,27.26,26.86,27.0,33085
2021-01-06,27.02,27.02,26.56,26.58,24492
2021-01-07,26.5,26.7699,26.36,26.7699,52604
2021-01-08,26.6,26.77,26.55,26.76,41381
2021-01-11,26.7,26.7,26.535,26.56,34103
2021-01-12,26.5,26.75,26.42,26.66,48280
2021-01-13,26.6,26.97,26.6,26.97,25987
2021-01-14,26.98,26.98,26.77,26.8193,55551
2021-01-15,26.9,26.98,26.724,26.9684,24980
2021-01-19,26.84,27.0,26.75,27.0,35735
2021-01-20,26.9656,26.9926,26.8,26.93,17500
2021-01-21,26.83,26.99,26.83,26.84,9180
2021-01-22,26.83,27.05,26.78,27.04,20844
2021-01-25,27.0,27.0,26.8,26.89,10782
2021-01-26,26.9,26.95,26.82,26.85,16050
2021-01-27,26.82,26.92,26.76,26.76,18992
2021-01-28,26.848,26.848,26.57,26.7,17532
2021-01-29,26.66,26.8892,26.57,26.82,17412
2021-02-01,26.85,26.99,26.7,26.85,11543
2021-02-02,26.8,26.98,26.73,26.92,14029
2021-02-03,26.855,26.9287,26.59,26.7564,121245
2021-02-04,26.6,26.69,26.58,26.6,87946
2021-02-05,26.61,26.7,26.55,26.57,27025
2021-02-08,26.58,26.71,26.57,26.6,16655
2021-02-09,26.69,26.72,26.63,26.63,5458
2021-02-10,26.61,26.68,26.6,26.656,17696
2021-02-11,26.5913,26.66,26.55,26.55,10895
2021-02-12,26.55,26.6198,26.45,26.56,23993
2021-02-16,26.65,26.65,26.4387,26.6,22927
2021-02-17,26.64,26.7,26.547,26.673,15072
2021-02-18,26.44,26.62,26.43,26.53,41176
2021-02-19,26.545,26.67,26.53,26.67,33067
2021-02-22,26.7,26.7,26.6,26.66,56127
2021-02-23,26.61,26.71,26.54,26.71,24130
2021-02-24,26.65,26.74,26.5741,26.69,34160
2021-02-25,26.35,26.35,26.11,26.13,41253
2021-02-26,26.12,26.25,26.12,26.19,81234
2021-03-01,26.13,26.2991,26.13,26.24,35485
2021-03-02,26.246,26.3499,26.2301,26.32,26530
2021-03-03,26.31,26.31,26.198,26.28,16487
2021-03-04,26.315,26.4057,26.18,26.29,25822
2021-03-05,26.23,26.42,26.17,26.4127,12473
2021-03-08,26.45,26.5466,26.41,26.5,14294
2021-03-09,26.5,26.6,26.4637,26.57,10771
2021-03-10,26.54,26.58,26.507,26.58,7570
2021-03-11,26.57,26.62,26.49,26.58,20345
2021-03-12,26.55,26.6,26.55,26.6,7024
2021-03-15,26.62,26.681,26.48,26.62,15759
2021-03-16,26.6,26.73,26.565,26.73,11089
2021-03-17,26.56,26.82,26.56,26.82,20435
2021-03-18,26.6205,26.8,26.6,26.79,13364
2021-03-19,26.79,26.82,26.64,26.8029,6074
2021-03-22,26.9,26.9,26.82,26.86,3416
2021-03-23,26.86,26.95,26.82,26.94,21362
2021-03-24,26.94,26.97,26.8,26.97,12914
2021-03-25,26.8,27.0,26.8,26.94,10625
2021-03-26,26.97,26.97,26.725,26.93,13473
2021-03-29,26.93,26.95,26.82,26.89,5459
2021-03-30,26.88,26.94,26.852,26.94,19244
2021-03-31,26.94,27.13,26.94,27.11,22487
2021-04-01,27.125,27.29,27.1,27.24,10591
2021-04-05,27.24,27.29,27.145,27.27,8867
2021-04-06,27.2227,27.381,27.22,27.3562,10920
2021-04-07,27.29,27.38,27.03,27.03,30267
2021-04-08,27.198,27.299,27.198,27.28,15346
2021-04-09,27.3299,27.3299,27.25,27.3,4729
2021-04-12,27.3,27.3,27.143,27.22,6782
2021-04-13,27.13,27.205,27.1,27.205,18915
2021-04-14,27.28,27.29,27.17,27.29,5631
2021-04-15,27.2,27.38,27.2,27.38,11970
2021-04-16,27.355,27.355,27.25,27.35,11753
2021-04-19,27.3,27.4,27.2232,27.365,6532
2021-04-20,27.47,27.47,27.0631,27.28,22525
2021-04-21,27.4264,27.4628,27.35,27.41,17581
2021-04-22,27.4171,27.43,27.305,27.37,14541
2021-04-23,27.315,27.49,27.2663,27.49,18738
2021-04-26,27.4,27.44,27.26,27.3185,18166
2021-04-27,27.3246,27.41,27.1,27.13,26233
2021-04-28,27.1436,27.27,27.115,27.27,15712
2021-04-29,27.37,27.3799,27.237,27.335,10743
2021-04-30,27.38,27.38,27.09,27.37,18728
2021-05-03,27.37,27.49,27.245,27.3981,13188
2021-05-04,27.4352,27.49,27.329,27.47,16279
2021-05-05,27.4,27.52,27.4,27.52,14080
2021-05-06,27.45,27.45,27.13,27.315,13878
2021-05-07,27.26,27.62,27.26,27.55,17967
2021-05-10,27.55,27.618,27.36,27.5085,13564
2021-05-11,27.43,27.55,27.264,27.55,12156
2021-05-12,27.506,27.53,26.7671,27.1,36311
2021-05-13,26.9,27.58,26.89,27.49,30073
2021-05-14,27.44,27.62,27.37,27.6195,25947
2021-05-17,27.41,27.6672,27.404,27.54,11861
2021-05-18,27.49,27.75,27.49,27.7,12264
2021-05-19,27.57,27.6,27.468,27.6,14520
2021-05-20,27.5901,27.75,27.51,27.75,14379
2021-05-21,27.668,27.84,27.635,27.763,10668
2021-05-24,27.7,27.84,27.7,27.84,9442
2021-05-25,27.75,27.84,27.7031,27.84,13245
2021-05-26,27.76,27.85,27.67,27.8499,18174
