Date,Open,High,Low,Close,Volume
2020-12-24,1.52886,1.52886,1.10577,1.35578,97015.388848469
2020-12-28,1.38559,1.38559,1.20194,1.27885,181026.75323254
2020-12-29,1.18271,1.25001,1.05771,1.25001,332533.41414088
2020-12-30,1.25001,1.4231,1.15386,1.31251,101555.98152374
2020-12-31,1.25963,1.35559,1.20194,1.3077,41638.046023757
2021-01-04,1.44232,1.44232,1.29328,1.34617,191069.92855665
2021-01-05,1.26925,1.34617,1.2404,1.34617,58262.272756274
2021-01-06,1.29808,1.34617,1.26925,1.29808,74568.26280564
2021-01-07,1.34617,1.38472,1.29808,1.31271,146291.11526782
2021-01-08,1.29808,1.37502,1.29808,1.3077,17656.935969012
2021-01-11,1.29808,1.29973,1.25001,1.28848,50660.991981299
2021-01-12,1.28848,1.29328,1.22598,1.26925,23358.156547533
2021-01-13,1.25963,1.2979,1.25963,1.27885,55800.618413084
2021-01-14,1.25001,1.28867,1.25001,1.28867,27509.793276729
2021-01-15,1.29808,1.37502,1.29808,1.37502,120554.50350995
2021-01-19,1.41347,1.41347,1.15386,1.23079,251650.33715195
2021-01-20,1.18752,1.21155,1.14425,1.19231,177751.82736575
2021-01-21,1.15386,1.23079,1.10577,1.23079,46603.994265719
2021-01-22,1.21155,1.25963,1.19251,1.20194,14259.291381266
2021-01-25,1.20194,1.39425,1.20194,1.23079,24845.34104722
2021-01-26,1.21155,1.39425,1.20194,1.26925,41940.682869497
2021-01-27,1.25463,1.39425,1.20194,1.34617,136151.22095177
2021-01-28,1.32693,1.53848,1.32693,1.51925,64998.282549611
2021-01-29,1.53848,1.7981,1.48079,1.53848,125161.65549151
2021-02-01,1.63463,1.68117,1.50001,1.52886,71031.259670369
2021-02-02,1.53848,2.01926,1.53848,1.88463,666176.49671613
2021-02-03,1.92299,1.92309,1.77886,1.80771,155096.70349079
2021-02-04,1.82695,2.02886,1.74041,2.00963,37633.047766208
2021-02-05,2.03848,2.08656,1.96156,1.99041,51577.222431805
2021-02-08,2.00954,2.00963,1.92309,1.93272,14444.409451856
2021-02-09,1.93272,2.16348,1.89905,2.12503,76499.522676911
2021-02-10,2.06733,2.15388,1.92309,2.05771,125164.77545899
2021-02-11,2.06733,2.15388,2.02886,2.09618,15415.759327875
2021-02-12,1.97117,2.01935,1.93272,2.01935,44474.096464768
2021-02-16,1.94232,1.96156,1.80771,1.92309,24857.820917148
2021-02-17,1.92309,1.92309,1.70194,1.81733,91349.52790141
2021-02-18,1.75001,1.7981,1.68271,1.72117,15914.954124972
2021-02-19,1.72117,1.76925,1.68271,1.73079,118575.40413728
2021-02-22,1.87503,1.87503,1.68271,1.75001,40969.332993478
2021-02-23,1.65387,1.80771,1.62502,1.77886,180040.84350827
2021-02-24,2.00963,2.00963,1.64434,1.71156,6633.0508664366
2021-02-25,1.65387,1.67309,1.65387,1.65387,6435.4529259187
2021-02-26,1.63463,1.78849,1.58655,1.74041,25094.938445769
2021-03-01,1.87503,2.0481,1.8005,1.84618,47481.745117283
2021-03-02,2.32695,2.32695,1.82695,1.89435,29378.653798364
2021-03-03,1.82695,1.93272,1.82695,1.88945,73823.630566636
