Date,Open,High,Low,Close,Volume
2023-03-06,25.23,25.235,25.05,25.19,244342
2023-03-07,25.16,25.18,25.1,25.15,170947
2023-03-08,25.13,25.22,25.1,25.21,223906
2023-03-09,25.19,25.32,25.11,25.15,258214
2023-03-10,24.79,25.05,23.75,24.43,293320
2023-03-13,24.0,24.0,18.6,20.15,364621
2023-03-14,21.35,23.62,21.35,23.1,129845
2023-03-15,22.37,22.9261,20.19,21.25,277126
2023-03-16,21.55,22.6199,21.02,21.94,176545
2023-03-17,21.51,22.0,19.73,20.6,369604
2023-03-20,20.64,21.6,20.64,21.29,170213
2023-03-21,21.72,23.0,21.72,22.79,187962
2023-03-22,22.6,23.62,22.6,23.32,514906
2023-03-23,23.15,24.24,22.78,22.925,73184
2023-03-24,22.85,23.17,22.73,22.97,76517
2023-03-27,23.2,23.89,23.0,23.32,111110
2023-03-28,23.9,24.0,22.365,22.58,329062
2023-03-29,22.85,23.31,22.29,22.52,262089
2023-03-30,22.78,23.37,22.6,23.23,123054
2023-03-31,23.42,23.86,23.1673,23.74,1210875
2023-04-03,23.81,23.9299,23.39,23.66,49423
2023-04-04,23.53,23.66,23.1,23.2,93405
2023-04-05,23.2,23.52,23.0,23.49,45104
2023-04-06,23.35,23.62,23.34,23.44,30094
2023-04-10,23.35,23.61,22.89,23.52,62729
2023-04-11,23.45,24.5699,23.15,23.56,56971
2023-04-12,23.94,24.2199,23.65,23.99,53921
2023-04-13,24.05,24.18,23.8,24.18,28027
2023-04-14,24.18,24.45,24.02,24.34,17731
2023-04-17,24.34,24.96,24.2025,24.6,38200
2023-04-18,24.74,24.8,24.36,24.57,30531
2023-04-19,24.57,24.8,24.57,24.71,37462
2023-04-20,24.67,24.9,24.51,24.82,14775
2023-04-21,24.4936,25.135,24.4936,24.86,44173
2023-04-24,24.97,25.0426,24.67,24.79,35330
2023-04-25,24.67,24.88,24.18,24.33,48755
2023-04-26,24.29,24.63,24.29,24.45,19253
2023-04-27,24.54,24.7,24.1984,24.67,17080
2023-04-28,24.61,24.86,24.48,24.76,90477
2023-05-01,24.81,24.9699,24.0,24.3,27186
2023-05-02,24.2,24.2,22.84,23.88,81954
2023-05-03,23.73,24.285,22.85,22.85,39494
2023-05-04,22.59,22.59,18.5673,19.61,123547
2023-05-05,20.27,20.75,19.755,20.17,61315
2023-05-08,20.44,20.44,19.45,19.49,34865
2023-05-09,19.41,19.9799,18.7001,19.82,56334
2023-05-10,20.06,20.4199,19.34,19.7499,31743
2023-05-11,19.07,19.73,18.91,19.54,23807
2023-05-12,19.44,19.74,19.03,19.6,43683
2023-05-15,19.4,19.88,19.31,19.57,77559
2023-05-16,19.55,19.67,19.03,19.09,34447
2023-05-17,19.25,19.8091,19.24,19.47,183650
2023-05-18,19.57,19.81,19.1,19.47,878995
2023-05-19,19.57,19.75,18.11,18.99,60316
2023-05-22,19.02,19.65,18.91,19.43,75608
2023-05-23,19.6799,20.305,19.42,19.61,65559
2023-05-24,19.51,19.8,19.2701,19.49,688015
2023-05-25,19.65,20.02,19.4,19.72,89194
2023-05-26,19.68,19.9,19.55,19.77,68661
2023-05-30,19.88,20.02,19.51,19.65,69457
2023-05-31,19.71,19.98,19.4,19.8,125884
2023-06-01,19.85,20.06,19.66,19.94,119497
2023-06-02,20.05,20.5,19.98,20.27,99294
2023-06-05,20.33,20.4999,20.0,20.1,38169
2023-06-06,20.13,20.47,20.03,20.25,101212
2023-06-07,20.36,20.68,20.04,20.1,73609
2023-06-08,20.09,20.39,19.85,20.09,50556
2023-06-09,20.18,20.25,20.05,20.08,59711
2023-06-12,20.15,20.2,19.7,19.9,77728
2023-06-13,19.93,20.07,19.78,19.91,72888
2023-06-14,20.0,20.15,19.42,19.84,40937
2023-06-15,19.93,20.02,19.75,19.9,70920
2023-06-16,19.9,20.06,19.76,19.85,106035
2023-06-20,19.74,19.981,19.68,19.75,28502
2023-06-21,19.72,19.93,19.66,19.88,99068
2023-06-22,19.85,20.13,19.77,19.9,42805
2023-06-23,19.83,19.93,19.66,19.8999,35581
2023-06-26,19.95,20.35,19.95,20.2,73212
2023-06-27,20.3,20.35,20.08,20.27,116018
2023-06-28,20.13,20.39,20.13,20.2,311442
2023-06-29,20.29,20.29,20.1,20.15,35468
2023-06-30,20.25,20.68,20.25,20.48,633652
