Date,Open,High,Low,Close,Volume
2024-05-17,25.36,25.5,25.2611,25.498,2849
2024-05-20,25.7,25.72,25.655,25.7147,4066
2024-05-21,25.5406,25.67,25.5406,25.66,3190
2024-05-22,25.48,25.48,25.27,25.2784,6540
2024-05-23,25.46,25.46,25.1647,25.1647,3393
2024-05-24,25.26,25.26,25.2352,25.2352,1222
2024-05-28,25.38,25.59,25.37,25.5826,9371
2024-05-29,25.405,25.505,25.405,25.4672,2692
2024-05-30,25.28,25.3899,25.27,25.3028,6137
2024-05-31,25.14,25.29,25.13,25.2717,2741
2024-06-03,25.26,25.27,25.08,25.17,5354
2024-06-04,24.78,24.78,24.7,24.75,3833
2024-06-05,24.8401,25.09,24.8401,25.0472,3094
2024-06-06,25.08,25.17,25.0699,25.0699,4893
2024-06-07,25.22,25.24,25.1466,25.1466,2805
2024-06-10,25.34,25.46,25.285,25.4406,6049
2024-06-11,25.1657,25.22,25.1657,25.22,661
2024-06-12,25.21,25.2327,25.12,25.2327,10270
2024-06-13,25.0,25.0,24.75,24.7959,10058
2024-06-14,24.57,24.63,24.55,24.63,2260
2024-06-17,24.77,24.95,24.77,24.9453,5130
2024-06-18,24.93,24.98,24.8629,24.94,3752
2024-06-20,25.17,25.17,25.07,25.133,8970
2024-06-21,25.08,25.11,25.08,25.0924,2132
2024-06-24,25.25,25.29,25.145,25.145,1415
2024-06-25,25.22,25.22,25.1201,25.1803,1979
2024-06-26,25.22,25.32,25.22,25.3177,2524
2024-06-27,25.38,25.44,25.38,25.44,4344
2024-06-28,25.54,25.5454,25.4927,25.5454,2774
2024-07-01,25.85,25.85,25.73,25.8151,7197
2024-07-02,25.77,25.845,25.76,25.83,8040
2024-07-03,26.04,26.04,25.9571,26.0297,607
2024-07-05,26.0866,26.1029,26.03,26.1029,1501
2024-07-08,26.1499,26.1499,26.03,26.0668,12010
2024-07-09,26.08,26.11,26.0771,26.085,8234
2024-07-10,26.27,26.32,26.23,26.3143,3159
2024-07-11,26.23,26.23,26.02,26.06,6959
2024-07-12,26.195,26.2,26.095,26.095,621
2024-07-15,26.139,26.18,26.11,26.115,3041
2024-07-16,26.18,26.18,26.1013,26.1431,5931
2024-07-17,25.94,25.94,25.7857,25.81,3189
2024-07-18,25.846,25.846,25.69,25.6947,8629
2024-07-19,25.5601,25.57,25.53,25.53,677
2024-07-22,25.53,25.65,25.5,25.65,3574
2024-07-23,25.44,25.46,25.44,25.46,2104
2024-07-24,25.21,25.21,25.02,25.02,2473
2024-07-25,24.75,24.89,24.74,24.8052,1139
2024-07-26,24.94,25.1,24.94,25.0487,3600
2024-07-29,25.0911,25.0911,24.94,25.0027,3580
2024-07-30,25.0811,25.12,25.01,25.0211,1920
2024-07-31,25.18,25.22,25.18,25.2027,4235
2024-08-01,25.01,25.01,24.835,24.835,1278
