Date,Open,High,Low,Close,Volume
2025-01-15,15.42,15.68,14.9129,14.9129,2346
2025-01-16,16.28,16.77,15.899,15.92,31076
2025-01-17,16.4,16.4,15.979,16.15,15359
2025-01-21,16.409,16.57,16.24,16.44,9926
2025-01-22,17.1,17.265,16.59,16.59,15481
2025-01-23,15.47,15.8,15.05,15.71,29388
2025-01-24,15.7,15.7,15.01,15.1,22004
2025-01-27,12.64,13.36,12.64,13.36,71395
2025-01-28,12.91,13.449,12.35,13.1,100610
2025-01-29,14.76,14.76,13.89,14.1625,220523
2025-01-30,15.29,15.44,14.93,15.16,77250
2025-01-31,15.59,15.87,15.171,15.24,43264
2025-02-03,14.37,15.05,14.3404,14.91,37671
2025-02-04,15.17,15.3,14.88,14.91,19586
2025-02-05,14.8,15.35,14.54,15.35,76072
2025-02-06,15.16,15.31,15.06,15.22,28751
2025-02-07,15.16,15.281,14.59,14.74,46192
