Date,Open,High,Low,Close,Volume
2025-01-06,9.96,9.97,9.9591,9.97,463347
2025-01-07,9.97,9.97,9.97,9.97,309
2025-01-08,9.97,9.97,9.97,9.97,120525
2025-01-10,9.98,9.98,9.98,9.98,391
2025-01-14,9.98,9.98,9.97,9.98,102207
2025-01-15,9.98,9.98,9.98,9.98,2403
2025-01-16,9.98,9.98,9.98,9.98,142336
2025-01-23,10.0,10.0,9.99,9.99,2324
2025-01-24,9.985,9.99,9.985,9.99,4051
2025-01-27,9.99,9.99,9.985,9.99,1724
2025-01-28,9.99,9.99,9.98,9.98,55809
2025-01-30,9.99,9.99,9.99,9.99,34109
2025-01-31,9.985,9.99,9.985,9.99,133967
2025-02-04,10.0,10.0,10.0,10.0,6200
2025-02-07,10.0,10.01,9.99,9.99,174921
