Date,Open,High,Low,Close,Volume
2009-08-06,5.6,7.0,5.6,7.0,1758
2009-08-07,10.0,18.0,9.5,16.0,78221
2009-08-10,11.05,13.0,11.05,12.2,282719
2009-08-11,11.16,16.0,11.16,11.91,112023
2009-08-12,11.26,11.99,10.59,10.9,398799
2009-08-13,10.82,11.95,10.66,10.66,166164
2009-08-14,10.75,11.1,10.02,10.1,442278
2009-08-17,10.33,10.35,9.54,10.27,931917
2009-08-18,10.35,12.54,10.27,12.54,791747
2009-08-19,12.24,12.24,11.0,11.68,200524
2009-08-20,11.3,13.09,11.3,12.76,153209
2009-08-21,12.77,14.22,12.55,13.44,214007
2009-08-24,13.6,14.29,13.43,14.04,330553
2009-08-25,14.05,14.84,13.56,14.51,114068
2009-08-26,14.59,14.6,14.0,14.2,189750
2009-08-27,14.6,14.6,14.05,14.33,176319
2009-08-28,14.57,14.57,14.02,14.39,75950
2009-08-31,14.03,14.61,14.03,14.35,101616
2009-09-01,14.0,14.49,13.71,13.89,164010
2009-09-02,13.58,14.0,13.5,13.6,165194
2009-09-03,13.63,13.71,13.53,13.64,82463
2009-09-04,13.54,14.06,13.54,13.62,43722
2009-09-08,13.68,13.68,13.5,13.62,107387
2009-09-09,13.79,13.79,13.28,13.58,243652
2009-09-10,13.31,13.65,13.31,13.57,175270
2009-09-11,13.49,13.75,13.38,13.68,76932
2009-09-14,13.63,13.65,13.55,13.6,105551
2009-09-15,13.54,13.73,13.47,13.66,67302
2009-09-16,13.63,13.75,13.6,13.69,52621
2009-09-17,13.36,13.94,13.3,13.91,52816
2009-09-18,13.83,14.25,13.83,14.0,99227
2009-09-21,13.72,14.12,13.28,14.05,78920
2009-09-22,14.28,14.28,14.04,14.15,68571
2009-09-23,14.05,14.33,14.05,14.22,172885
2009-09-24,13.99,14.49,13.93,14.01,82180
2009-09-25,14.11,14.16,13.64,14.0,41231
2009-09-28,13.73,14.05,13.7,13.9,156012
2009-09-29,14.04,14.43,13.72,14.33,162044
2009-09-30,14.33,14.59,14.3,14.44,182654
2009-10-01,14.52,14.8,14.43,14.63,145136
2009-10-02,14.38,14.73,14.38,14.71,143871
2009-10-05,14.73,14.74,14.48,14.6,64706
2009-10-06,14.53,14.67,14.5,14.55,98978
2009-10-07,14.36,14.62,14.36,14.57,27407
2009-10-08,14.59,14.59,14.46,14.48,60510
2009-10-09,14.49,14.71,14.41,14.71,54520
2009-10-12,14.65,14.68,14.44,14.62,35084
2009-10-13,14.55,14.87,14.49,14.78,30006
2009-10-14,14.93,14.93,14.65,14.9,72986
2009-10-15,15.0,16.1,14.99,15.83,215006
2009-10-16,15.65,16.12,15.52,16.08,127351
2009-10-19,16.25,16.25,15.92,16.13,42378
2009-10-20,16.2,16.49,15.95,16.4,118870
2009-10-21,16.39,16.89,16.39,16.57,63210
2009-10-22,16.44,16.72,16.29,16.61,116646
2009-10-23,16.6,16.69,16.46,16.46,48870
2009-10-26,16.27,16.34,15.93,16.05,30504
2009-10-27,15.97,15.97,14.9,15.1,234483
2009-10-28,15.1,15.18,14.53,14.85,58539
2009-10-29,15.0,15.06,14.6,14.92,92818
2009-10-30,14.79,15.32,14.59,15.25,53472
2009-11-02,15.19,15.44,14.56,14.76,90249
2009-11-03,14.65,14.92,14.43,14.56,87070
2009-11-04,14.41,14.76,14.16,14.41,80936
2009-11-05,14.75,14.92,14.31,14.85,382998
2009-11-06,14.72,15.46,14.5,15.21,147655
2009-11-09,15.34,16.82,15.34,16.7,132113
2009-11-10,16.74,16.95,15.17,16.95,112229
2009-11-11,17.25,17.27,16.77,17.09,346741
2009-11-12,17.07,17.45,17.05,17.15,194778
2009-11-13,17.22,17.31,16.58,17.16,104544
2009-11-16,17.21,17.29,16.31,17.27,125396
2009-11-17,17.3,17.3,17.05,17.26,58949
2009-11-18,17.39,17.39,16.75,16.88,57938
2009-11-19,16.92,17.05,16.56,16.89,82496
2009-11-20,16.88,17.14,16.6,16.6,32748
2009-11-23,16.68,16.82,16.5,16.5,49105
2009-11-24,16.34,16.65,16.34,16.45,33618
2009-11-25,16.5,16.56,16.44,16.45,95129
2009-11-27,16.13,17.15,14.96,16.4,144928
2009-11-30,16.39,16.47,15.92,16.14,164635
2009-12-01,16.17,16.17,15.48,15.7,160845
2009-12-02,15.68,15.78,15.09,15.45,129046
2009-12-03,15.44,16.08,15.38,15.74,102113
2009-12-04,15.85,16.11,15.7,15.78,213795
2009-12-07,15.8,15.94,15.75,15.75,231867
2009-12-08,15.7,16.44,15.7,16.26,131516
2009-12-09,16.33,16.33,16.1,16.22,44840
2009-12-10,16.34,16.69,16.32,16.53,101047
2009-12-11,16.65,16.83,16.45,16.75,114526
2009-12-14,16.85,18.38,16.71,18.28,523014
2009-12-15,18.32,18.32,17.8,18.08,99827
2009-12-16,18.11,18.16,17.71,17.82,68050
2009-12-17,17.8,18.38,17.5,17.89,68290
2009-12-18,18.05,18.29,17.74,18.03,133541
2009-12-21,18.19,18.6,17.8,18.12,125447
2009-12-22,18.42,18.92,18.21,18.91,279693
2009-12-23,19.0,19.44,18.76,18.98,111959
2009-12-24,19.21,19.67,19.0,19.2,40547
2009-12-28,19.5,20.07,19.5,20.0,395129
2009-12-29,20.18,21.25,20.0,21.21,176218
2009-12-30,21.21,21.37,20.72,20.87,167396
2009-12-31,20.99,22.0,20.9,20.99,291302
2010-01-04,21.35,21.95,21.0,21.18,347340
2010-01-05,21.15,21.95,21.15,21.95,669768
2010-01-06,21.85,23.36,21.85,23.24,755716
2010-01-07,23.1,23.48,23.0,23.35,189989
2010-01-08,23.24,23.43,23.17,23.43,79502
2010-01-11,23.65,23.66,23.11,23.51,151392
2010-01-12,23.56,24.41,23.33,23.85,327670
2010-01-13,24.01,24.21,22.8,23.0,379869
2010-01-14,22.9,23.17,22.67,22.87,192184
2010-01-15,22.82,22.84,21.6,22.13,255360
2010-01-19,22.89,23.46,22.5,22.85,455669
2010-01-20,22.83,23.46,22.65,23.4,143597
2010-01-21,23.44,23.58,22.66,22.76,173767
2010-01-22,22.65,22.75,21.75,21.94,226947
2010-01-25,22.1,22.6,21.5,22.01,60194
2010-01-26,21.79,22.44,21.28,21.38,135326
2010-01-27,21.24,21.52,20.91,21.13,268703
2010-01-28,21.3,22.45,21.27,22.32,283678
2010-01-29,22.3,23.25,22.11,22.95,324480
2010-02-01,22.95,23.06,21.87,22.8,250215
2010-02-02,22.8,23.5,22.07,23.27,240963
2010-02-03,23.5,23.5,22.76,23.1,86727
2010-02-04,23.0,23.0,22.13,22.3,138984
2010-02-05,22.53,22.98,22.07,22.55,89803
2010-02-08,22.41,23.38,22.3,22.32,119768
2010-02-09,22.4,22.95,22.11,22.68,110403
2010-02-10,23.19,23.96,23.0,23.54,258677
2010-02-11,23.68,24.95,23.31,24.92,369965
2010-02-12,24.99,26.22,24.27,24.5,738271
2010-02-16,24.5,26.66,24.04,26.63,541928
2010-02-17,26.82,26.82,25.82,26.25,359523
2010-02-18,26.09,26.7,26.09,26.62,247713
2010-02-19,26.43,27.07,26.01,26.55,150431
2010-02-22,26.6,26.95,25.33,25.76,195609
2010-02-23,25.37,26.1,25.08,25.76,163993
2010-02-24,25.71,26.13,25.03,26.05,131651
