Date,Open,High,Low,Close,Volume
2024-02-13,378.0,401.994,282.0,306.54,654.5666679758
2024-02-14,337.2,358.8,308.406,348.0,58.0666667828
2024-02-15,322.2,354.594,322.2,342.3,85.2000001704
2024-02-16,312.0,333.3,259.2,264.6,274.5166672157
2024-02-20,293.4,293.4,97.8,121.8,5587.9833445093
2024-02-21,120.0,120.048,69.0,79.2,19625.016705917
2024-02-22,86.4,86.4,55.884,68.4,13039.333359412
2024-02-23,74.4,209.4,72.0,158.4,94759.400189519
2024-02-26,130.8,161.46,123.6,136.8,10829.383354992
2024-02-27,124.8,130.2,107.4,127.8,4134.9833416033
2024-02-28,124.2,124.2,114.0,118.2,2060.1833374537
2024-02-29,114.0,118.794,108.0,108.0,1671.7500033435
2024-03-01,110.4,113.4,108.6,113.4,771.4333348762
2024-03-04,114.0,115.446,108.6,113.4,825.2500016505
2024-03-05,111.0,116.4,105.6,111.0,669.8500013397
2024-03-06,112.8,113.7,90.0,108.6,2533.1000050662
2024-03-07,107.4,107.4,97.2,101.4,560.6500011213
2024-03-08,102.6,107.4,91.2,92.4,1553.3000031066
2024-03-11,102.0,102.6,96.0,97.8,1087.2000021744
2024-03-12,97.2,97.2,87.6,90.0,1102.3000022046
2024-03-13,93.0,97.8,91.2,93.0,476.1000009522
2024-03-14,95.4,99.0,94.2,96.0,15603.366697873
2024-03-15,108.6,116.994,87.126,92.4,7724.0333487814
2024-03-18,90.0,92.4,80.4,89.4,2675.0500053501
2024-03-19,87.0,91.2,83.406,87.6,565.3666677974
2024-03-20,88.2,101.4,85.2,94.2,897.8000017956
2024-03-21,96.6,100.2,95.724,96.6,1129.000002258
2024-03-22,100.2,108.0,94.632,97.8,1229.4333357922
2024-03-25,99.0,99.0,91.8,93.6,301.7500006035
2024-03-26,93.6,96.0,91.2,96.0,123.2500002465
2024-03-27,97.8,97.8,93.0,95.4,450.8500009017
2024-03-28,97.2,99.0,93.048,96.0,549.3666677654
2024-04-01,97.2,97.2,90.0,90.0,297.6166672619
2024-04-02,87.0,90.3,84.0,90.0,495.0166676567
2024-04-03,90.0,90.0,84.0,85.2,761.6000015232
2024-04-04,78.0,85.8,78.0,85.8,749.0500014981
2024-04-05,88.794,99.0,88.794,94.8,1370.7666694082
2024-04-08,90.6,95.4,87.6,89.4,212.2666670912
2024-04-09,90.6,94.8,89.4,90.006,117.8166669023
2024-04-10,90.6,96.0,90.6,95.4,677.4500013549
2024-04-11,88.2,93.0,84.0,85.5,2412.7666714922
2024-04-12,87.6,88.8,83.7,85.8,1309.7166692861
2024-04-15,86.4,87.0,79.8,85.2,1857.1333370476
2024-04-16,81.9,84.0,76.8,78.0,704.1333347416
2024-04-17,76.8,81.0,73.8,74.4,396.2500007925
2024-04-18,76.8,82.2,76.8,78.0,238.9833338113
2024-04-19,78.3,78.3,75.66,75.714,32.3000000646
2024-04-22,77.826,82.194,53.4,62.4,2501.6333383366
2024-04-23,62.4,66.0,60.006,65.994,568.4166678035
2024-04-24,67.2,67.794,65.4,67.2,70.5666668078
2024-04-25,61.2,64.8,59.4,61.8,1596.000003192
2024-04-26,61.8,64.2,58.8,60.0,265.2333338638
2024-04-29,60.6,61.8,59.85,59.922,800.4500016009
2024-04-30,60.558,61.2,57.522,60.9,1122.1166689109
2024-05-01,63.6,64.8,59.4,59.7,248.6166671639
2024-05-02,60.0,60.0,53.4,54.6,1166.4833356663
2024-05-03,55.122,56.892,54.5226,54.5226,821.0166683087
2024-05-06,56.4,57.0,53.4,54.0,805.2666682772
2024-05-07,54.0,54.0,49.8,51.126,549.5666677658
2024-05-08,51.6601,52.2,47.4,47.55,969.2000019384
2024-05-09,48.6,49.2,47.364,48.0,1308.0500026161
2024-05-10,49.8,51.6,46.938,49.5,1357.5666693818
2024-05-13,51.0,55.734,50.994,54.75,1105.3833355441
2024-05-14,57.6,70.2,56.0994,68.4,2997.3166726613
2024-05-15,72.6,72.6,66.0,66.0,1166.0666689988
2024-05-16,66.0,69.6,66.0,69.6,776.8833348871
2024-05-17,69.0,69.6,66.0,66.0,173.6166670139
2024-05-20,66.0,68.4,66.0,66.6,360.5166673877
2024-05-21,66.69,67.116,66.0,66.0,467.2166676011
2024-05-22,66.6,67.2,66.0,66.6,363.0500007261
2024-05-23,66.126,67.2,65.994,66.42,571.000001142
2024-05-24,67.8,67.8,66.0,67.2,441.4666675496
2024-05-28,67.2,68.4,64.8,68.4,1347.2500026945
2024-05-29,69.6,70.2,65.4,67.2,655.7666679782
2024-05-30,67.8,74.4,66.0,74.4,1781.333336896
2024-05-31,72.6,74.4,71.7,72.3,756.2666681792
2024-06-03,75.0,75.0,69.0,70.8,839.7500016795
2024-06-04,70.8,72.6,68.1,69.6,239.3833338121
2024-06-05,69.6,69.9,66.0,67.8,119.6333335726
2024-06-06,67.824,68.4,66.0,66.0,95.4333335242
2024-06-07,66.318,66.9,61.8,61.8,157.7333336488
2024-06-10,63.0,76.2,60.0,76.194,700.1166680669
2024-06-11,73.806,83.994,64.8,76.968,2684.6333387026
2024-06-12,74.4,76.8,67.2,67.2,1019.9833353733
2024-06-13,70.2,73.8,66.0,71.4,203.3000004066
2024-06-14,72.6,72.6,67.8,67.8,84.2833335019
2024-06-17,70.8,71.4,67.8,67.8,119.000000238
2024-06-18,69.9,70.2,67.2,67.8,124.4833335823
2024-06-20,67.2,69.6,66.6,68.4,122.3166669113
2024-06-21,69.0,69.6,60.6,65.4,1604.9666698766
2024-06-24,66.0,66.0,58.2,59.97,373.3833340801
2024-06-25,63.6,63.6,58.8,62.88,16.9833333673
2024-06-26,62.94,66.0,58.8,60.66,82.000000164
2024-06-27,62.4,62.4,57.6,57.6,379.6000007592
2024-06-28,60.6,63.6,58.8,62.376,288.4000005768
2024-07-01,62.4,64.2,61.2,63.0,319.1833339717
2024-07-02,63.0,63.6,62.4,62.4,152.6166669719
2024-07-03,62.412,62.412,61.2,61.2,147.1833336277
2024-07-05,61.8,62.4,61.2,61.8,83.000000166
2024-07-08,63.6,64.2,60.6,61.8,191.8833337171
2024-07-09,63.0,65.4,60.6,60.6,17.1000000342
2024-07-10,66.0,66.0,58.8,58.8,1071.2500021425
2024-07-11,58.8,61.2,46.692,46.8,2626.2666719192
2024-07-12,49.116,49.116,39.0,42.6,1926.7500038535
2024-07-15,44.844,45.0,42.0,43.2,772.9333348792
2024-07-16,45.36,45.6,42.6,42.6,4320.3666753074
2024-07-17,43.7939,43.8,38.04,38.3912,2138.1500042763
2024-07-18,39.0,39.0,33.072,35.994,1860.6500037213
2024-07-19,35.325,36.75,33.066,34.446,641.6333346166
2024-07-22,35.4,35.994,29.994,29.994,2294.3166712553
2024-07-23,29.094,37.194,29.094,33.3,49300.816765268
2024-07-24,29.292,29.4,24.024,25.194,10237.866687142
2024-07-25,24.438,28.536,24.0,25.2,4402.6500088053
2024-07-26,26.172,28.1459,25.206,28.1459,4825.3500096507
2024-07-29,27.3,28.14,25.782,26.634,2768.0166722027
2024-07-30,26.634,27.0,21.0,21.6,2823.9666723146
2024-07-31,22.02,22.8,19.506,20.04,45013.166756693
2024-08-01,21.6,22.8,16.26,16.914,55003.58344334
2024-08-02,16.752,18.0,15.3,16.194,7148.6833476307
2024-08-05,15.0,17.28,12.666,17.28,9767.2166862011
2024-08-06,16.764,19.206,12.6,13.794,4896.5333431264
2024-08-07,14.4,14.946,14.4,14.424,2774.4333388822
