Date,Open,High,Low,Close,Volume
2020-03-02,24.15,24.5963,23.1,23.7486,24113
2020-03-03,23.79,24.4999,23.5305,23.9,49251
2020-03-04,24.4134,24.5,24.21,24.41,15147
2020-03-05,24.5,24.72,22.82,24.05,65177
2020-03-06,24.05,24.05,23.55,23.71,31193
2020-03-09,22.77,22.77,20.735,20.7527,54025
2020-03-10,21.24,22.4395,20.75,21.2224,38396
2020-03-11,20.86,21.7991,20.53,20.6,28132
2020-03-12,20.4,21.1498,14.07,16.0,80111
2020-03-13,16.5,19.755,16.5,18.3616,42203
2020-03-16,18.2,18.2,15.5,15.77,19816
2020-03-17,15.7,15.7,14.51,15.45,54550
2020-03-18,14.0,14.05,7.0,8.01,98529
2020-03-19,8.56,14.76,8.56,14.5,68728
2020-03-20,15.0,16.15,14.5001,16.15,34546
2020-03-23,15.65,15.65,12.4752,12.6,33835
2020-03-24,13.1,15.59,13.1,15.55,27160
2020-03-25,15.05,17.99,15.05,16.58,20702
2020-03-26,16.25,19.935,16.25,19.935,25791
2020-03-27,20.09,20.46,18.96,20.42,26315
2020-03-30,19.19,20.5,18.9543,20.16,21677
2020-03-31,19.33,19.5882,18.14,18.14,9933
2020-04-01,17.68,17.68,15.0,15.01,20866
2020-04-02,15.0,15.8075,15.0,15.37,7877
2020-04-03,15.1846,15.1846,14.67,14.7461,17909
2020-04-06,15.07,16.014,14.8,15.61,19189
2020-04-07,16.36,17.07,16.0,16.1832,17057
2020-04-08,17.0,18.4,16.87,17.55,20069
2020-04-09,19.13,19.13,17.96,18.425,21636
2020-04-13,18.4,18.52,17.76,18.25,10305
2020-04-14,18.4,19.0925,18.4,18.8,20869
2020-04-15,19.48,19.5,18.68,19.06,9860
2020-04-16,19.26,20.1,19.26,19.9,5094
2020-04-17,20.1,20.35,19.94,20.02,22806
2020-04-20,19.47,20.12,19.47,19.95,16141
2020-04-21,19.95,20.26,19.2919,20.2008,9499
2020-04-22,20.43,20.76,20.3,20.3,5387
