Date,Open,High,Low,Close,Volume
2020-03-02,23.52,23.9,22.34,23.7,53359
2020-03-03,23.7,24.49,23.61,23.7,75275
2020-03-04,24.03,24.6,24.0,24.6,38566
2020-03-05,24.85,24.85,24.68,24.7465,124051
2020-03-06,24.45,24.45,24.01,24.25,36546
2020-03-09,23.48,23.48,20.55,20.65,74316
2020-03-10,21.24,21.86,20.86,21.3299,95410
2020-03-11,21.54,21.7,20.55,20.55,101825
2020-03-12,20.34,20.34,14.0,16.01,181132
2020-03-13,16.4,19.7752,16.4,17.765,86402
2020-03-16,16.7,17.25,15.0,15.7019,67622
2020-03-17,16.2,16.305,14.8,15.05,62524
2020-03-18,14.3,14.995,7.2,9.0,142193
2020-03-19,8.91,15.78,8.88,14.334,94289
2020-03-20,14.81,16.59,14.04,14.22,77500
2020-03-23,14.22,14.91,12.16,12.28,70842
2020-03-24,12.78,14.84,12.4937,14.0,85610
2020-03-25,14.657,17.13,14.6,16.5,43762
2020-03-26,17.0,19.41,17.0,18.85,69023
2020-03-27,18.72,19.79,17.53,19.68,75641
2020-03-30,19.68,20.07,18.7,18.98,59168
2020-03-31,18.79,18.79,17.04,17.19,43943
2020-04-01,16.5,16.5,14.24,14.7,39233
2020-04-02,14.62,15.5,14.52,14.54,24676
2020-04-03,14.54,14.66,14.0,14.41,24891
2020-04-06,14.7,15.44,14.2578,14.38,102044
2020-04-07,15.06,16.25,15.0,15.77,32790
2020-04-08,16.56,17.8494,16.56,17.22,39057
2020-04-09,18.08,18.14,17.39,17.65,80793
2020-04-13,17.86,18.0,16.7,16.75,116959
2020-04-14,17.59,18.66,17.16,18.28,48907
2020-04-15,18.28,18.65,18.28,18.54,33256
2020-04-16,18.91,19.175,18.73,18.99,26485
2020-04-17,19.94,19.97,19.37,19.72,43807
2020-04-20,19.72,19.76,19.39,19.66,34547
2020-04-21,19.86,19.8632,19.25,19.25,43050
2020-04-22,20.21,20.8889,19.95,20.0,32201
2020-04-23,20.74,20.74,20.2,20.7,17093
2020-04-24,20.7,20.81,20.49,20.81,24069
2020-04-27,21.17,21.23,21.08,21.2,17684
2020-04-28,21.2,21.2,20.99,21.1,14495
2020-04-29,21.5,22.0,21.33,21.76,30120
2020-04-30,21.98,22.0,20.97,21.15,44772
2020-05-01,21.53,21.59,20.0602,20.225,15789
2020-05-04,20.63,20.6426,19.915,20.13,32141
2020-05-05,20.54,20.8,20.53,20.65,17115
2020-05-06,20.86,20.86,20.31,20.57,34724
2020-05-07,20.78,20.79,20.58,20.62,12425
2020-05-08,20.83,21.11,20.83,21.09,11435
2020-05-11,21.51,21.6,21.3,21.39,49620
2020-05-12,21.82,21.87,21.71,21.79,36890
2020-05-13,21.68,21.78,20.75,20.9,30585
2020-05-14,20.68,20.68,19.3061,20.0,32353
2020-05-15,19.62,20.84,19.62,20.16,10652
2020-05-18,20.2,21.0,20.1,21.0,14276
2020-05-19,20.63,20.995,20.5,20.85,6663
2020-05-20,20.85,21.0,20.6648,20.88,16716
2020-05-21,20.86,21.0,20.79,20.87,9015
2020-05-22,20.87,20.87,20.63,20.8,2506
