Date,Open,High,Low,Close,Volume
2023-12-12,11.0,11.0,11.0,11.0,208
2023-12-13,10.98,10.98,10.96,10.96,208
2023-12-28,10.95,10.95,10.95,10.95,105
2023-12-29,10.9,10.9,10.9,10.9,107
2024-01-08,11.02,11.19,11.02,11.19,203
2024-01-09,11.0,11.0,11.0,11.0,203
2024-01-10,11.0,11.0,11.0,11.0,127
2024-01-16,11.01,11.01,11.01,11.01,128
2024-01-17,11.02,11.23,11.01,11.23,486
2024-02-01,11.34,11.5001,11.04,11.04,9898
2024-02-02,11.2002,11.2002,11.05,11.06,2588
2024-02-05,11.02,11.02,11.02,11.02,414
2024-02-27,11.28,11.6,11.28,11.39,1313
2024-03-04,11.29,11.72,11.28,11.49,1783
2024-03-05,11.2,11.68,11.06,11.41,939
2024-03-11,11.8,14.2,11.8,12.18,1557
2024-03-12,11.86,11.9,11.56,11.9,510
2024-03-13,11.75,11.75,11.7,11.7,403
2024-03-14,12.3,12.3,11.75,11.75,303
2024-03-15,11.68,11.72,11.68,11.72,307
2024-03-21,11.5,11.7,10.94,11.7,836
2024-03-22,11.7,11.7,11.7,11.7,206
2024-04-10,12.4,12.4,12.4,12.4,204
2024-05-15,11.16,11.16,11.16,11.16,1108
2024-05-20,11.7,11.7,11.6,11.6,311
2024-05-22,11.38,11.5,11.25,11.49,3658
2024-05-30,11.11,11.11,11.11,11.11,3300
2024-06-03,11.01,11.01,11.01,11.01,118
2024-06-21,11.11,11.32,11.11,11.32,1149
2024-07-30,11.3,12.23,11.3,11.32,1300
2024-08-05,11.48,11.72,11.36,11.65,19459
2024-08-06,11.45,11.75,11.42,11.73,2750
2024-08-07,11.45,11.6001,11.31,11.31,7336
2024-08-08,11.58,11.58,11.58,11.58,1874
2024-08-09,11.6,12.0,11.3,11.3,2599
2024-08-12,11.58,11.7,11.58,11.7,3154
2024-08-13,11.43,11.47,11.4,11.4,12337
2024-08-14,11.7,12.1,11.48,11.53,10444
2024-08-16,11.8,12.0,11.32,11.48,8654
2024-08-19,11.9,11.9,11.56,11.56,2354
2024-08-21,11.5,11.8,11.5,11.7,6388
2024-08-22,11.45,11.51,11.45,11.47,13578
2024-08-23,11.93,12.0,11.6,11.8,6184
2024-08-26,12.0,12.19,11.68,11.68,9724
2024-08-27,11.57,11.74,11.5,11.65,6129
2024-08-28,11.95,11.95,11.72,11.72,5487
2024-09-06,11.4,11.4,11.39,11.39,200
2024-09-11,11.8,11.8,11.37,11.37,1000
2024-09-12,11.4,11.4,11.35,11.35,2100
2024-09-16,11.5,11.5,11.5,11.5,101
2024-09-18,11.79,11.8,11.79,11.8,302
2024-09-19,11.52,11.61,11.3998,11.59,5404
2024-09-24,11.4,11.41,11.36,11.41,647
2024-09-26,11.41,11.42,11.41,11.42,1026
2024-09-30,11.35,11.65,11.35,11.55,1902
2024-10-02,11.57,11.58,11.55,11.58,818
2024-10-03,11.57,11.57,11.57,11.57,150
2024-10-16,11.35,11.35,11.35,11.35,101
2024-10-21,11.54,11.58,11.54,11.58,395
2024-10-28,12.05,12.05,12.05,12.05,389
2024-11-19,11.81,11.81,11.81,11.81,118
2024-11-21,11.81,11.81,11.81,11.81,103
2024-11-26,11.5,11.5,11.5,11.5,300
