Date,Open,High,Low,Close,Volume
2022-02-04,9.97,9.97,9.97,9.97,121
2022-02-09,9.97,9.97,9.76,9.76,1173
2022-02-11,9.76,9.76,9.76,9.76,105
2022-02-17,9.76,9.76,9.76,9.76,149
2022-02-22,9.92,9.92,9.76,9.76,302
2022-02-25,9.76,9.76,9.76,9.76,1167
2022-02-28,9.78,9.78,9.76,9.76,2009
2022-03-03,9.75,9.75,9.75,9.75,505
2022-03-09,9.76,9.76,9.75,9.75,6059
2022-03-16,9.76,9.78,9.75,9.78,28761
2022-03-21,9.7,9.7,9.7,9.7,105
2022-03-25,9.82,9.82,9.76,9.79,518711
2022-03-28,9.84,9.84,9.78,9.78,1358
2022-03-29,9.78,9.78,9.78,9.78,61002
2022-03-30,9.785,9.785,9.77,9.78,49816
2022-04-01,9.78,9.79,9.77,9.79,185993
2022-04-04,9.83,9.83,9.78,9.8,123223
2022-04-05,9.83,9.83,9.77,9.77,31048
2022-04-06,9.78,9.83,9.78,9.83,153174
2022-04-07,9.79,9.79,9.79,9.79,100
2022-04-08,9.8,9.8,9.79,9.79,500
2022-04-11,9.79,9.83,9.79,9.83,432
2022-04-12,9.85,9.85,9.8,9.8,10622
2022-04-13,9.8,9.8,9.8,9.8,15077
2022-04-14,9.8,9.8,9.8,9.8,608611
2022-04-18,9.82,9.82,9.8,9.82,6342
2022-04-19,9.8,9.82,9.8,9.82,10138
2022-04-20,9.82,9.82,9.81,9.82,296303
2022-04-28,9.88,9.88,9.88,9.88,111
2022-05-02,9.835,9.835,9.835,9.835,1705
2022-05-10,9.84,9.84,9.84,9.84,202
2022-05-11,9.79,9.79,9.79,9.79,796
2022-05-16,9.8166,9.8166,9.8166,9.8166,557
2022-05-20,9.7916,9.7916,9.7916,9.7916,1200
2022-05-31,9.76,9.9,9.76,9.77,126135
2022-06-01,9.7992,9.7992,9.7992,9.7992,545
2022-06-03,9.81,9.81,9.78,9.78,518
2022-06-07,9.78,9.79,9.78,9.79,208
2022-06-08,9.83,9.83,9.79,9.79,506
2022-06-10,9.8,9.8,9.79,9.79,204
2022-06-13,9.79,9.81,9.79,9.81,4742
2022-06-16,9.79,9.79,9.79,9.79,607
2022-06-17,9.81,9.81,9.79,9.79,1015
2022-06-21,9.78,9.78,9.78,9.78,900000
2022-06-22,9.79,9.79,9.79,9.79,100
2022-06-24,9.9,9.9,9.85,9.85,255
2022-06-28,9.81,9.81,9.81,9.81,100
2022-06-30,9.8,9.85,9.8,9.8,850
2022-07-05,9.825,9.825,9.825,9.825,286979
2022-07-13,9.83,9.83,9.83,9.83,2118
2022-07-14,9.83,9.83,9.83,9.83,12919
2022-07-15,9.83,9.83,9.83,9.83,76711
2022-07-18,9.83,9.83,9.83,9.83,25009
2022-07-19,9.83,9.83,9.83,9.83,25137
2022-07-20,9.82,9.82,9.82,9.82,875
2022-07-21,9.82,9.82,9.82,9.82,10915
2022-07-22,9.83,9.84,9.83,9.83,1925199
2022-07-25,9.85,9.85,9.85,9.85,167962
2022-07-26,9.84,9.84,9.84,9.84,100
2022-07-27,9.86,9.88,9.83,9.83,2580
2022-07-29,9.83,9.83,9.83,9.83,110
2022-08-01,9.83,9.83,9.83,9.83,100
2022-08-03,9.93,9.93,9.86,9.865,62420
2022-08-04,9.875,9.89,9.87,9.89,46559
2022-08-05,9.89,9.89,9.89,9.89,18531
2022-08-08,9.9,9.9,9.89,9.89,147906
2022-08-09,9.88,9.89,9.88,9.89,5163
2022-08-10,9.88,9.895,9.88,9.895,152347
2022-08-11,9.89,9.8999,9.88,9.89,1129
2022-08-12,9.89,9.9,9.89,9.9,89059
2022-08-15,9.9,9.9,9.895,9.895,10356
2022-08-16,9.91,9.91,9.91,9.91,107
2022-08-17,9.88,9.89,9.87,9.88,536703
2022-08-18,9.87,9.87,9.87,9.87,278
2022-08-19,9.85,9.85,9.85,9.85,100
2022-08-23,9.88,9.88,9.88,9.88,122
2022-08-24,9.875,9.875,9.86,9.86,206905
2022-08-25,9.86,9.86,9.86,9.86,960
2022-08-26,9.86,9.86,9.86,9.86,2064
2022-08-29,9.86,9.86,9.86,9.86,8197
2022-08-30,9.85,9.85,9.85,9.85,466
2022-09-01,9.86,9.86,9.86,9.86,100
2022-09-02,9.86,9.86,9.85,9.85,39816
2022-09-07,9.86,9.86,9.86,9.86,182
2022-09-09,9.85,9.85,9.85,9.85,1475
2022-09-12,9.85,9.85,9.85,9.85,8600
2022-09-13,9.85,9.86,9.85,9.86,200
2022-09-16,9.85,9.855,9.845,9.855,19410
2022-09-19,9.85,9.87,9.84,9.84,54279
2022-09-20,9.86,9.87,9.85,9.855,12467
2022-09-22,9.87,9.88,9.87,9.88,779711
2022-09-23,9.87,9.87,9.86,9.86,7736
2022-09-26,9.87,9.88,9.87,9.88,266102
2022-09-27,9.88,9.89,9.88,9.88,195292
2022-09-28,9.87,9.87,9.87,9.87,135992
2022-10-03,9.89,9.89,9.88,9.88,9832
2022-10-04,9.87,9.87,9.87,9.87,100
2022-10-06,9.89,9.89,9.85,9.85,5489
2022-10-07,9.87,9.87,9.87,9.87,150
2022-10-10,9.86,9.86,9.86,9.86,205
2022-10-11,9.85,9.85,9.85,9.85,1370
2022-10-12,9.87,9.91,9.87,9.91,29122
2022-10-13,9.89,9.91,9.89,9.89,12685
2022-10-14,9.89,9.9,9.88,9.9,115005
2022-10-17,9.89,9.91,9.89,9.91,292939
2022-10-18,9.95,9.95,9.915,9.92,8759
2022-10-19,9.91,9.93,9.9,9.925,101563
2022-10-21,9.93,9.94,9.9291,9.94,68402
2022-10-24,9.95,9.95,9.95,9.95,101
2022-10-25,9.95,9.96,9.95,9.95,33431
2022-10-26,9.96,9.96,9.94,9.94,7471
2022-10-28,9.96,9.96,9.94,9.955,68138
2022-10-31,9.95,9.9502,9.94,9.95,373609
2022-11-01,9.96,9.97,9.951,9.965,76527
2022-11-02,9.97,9.98,9.97,9.98,10672
2022-11-03,9.9799,9.98,9.975,9.98,853
2022-11-04,9.97,9.98,9.97,9.975,53686
2022-11-07,9.97,9.99,9.97,9.97,5094
2022-11-08,9.97,9.975,9.96,9.97,552408
2022-11-09,9.96,9.96,9.96,9.96,170
2022-11-10,9.9601,9.9601,9.9601,9.9601,150
2022-11-11,9.955,9.955,9.945,9.945,35591
2022-11-14,9.94,9.94,9.94,9.94,275
2022-11-15,9.96,9.97,9.955,9.97,22552
2022-11-16,9.96,9.98,9.96,9.97,11853
2022-11-17,10.0201,10.05,9.98,9.98,919558
2022-11-18,9.99,10.0,9.98,9.985,3760
2022-11-21,9.99,10.01,9.985,10.01,453918
2022-11-22,10.03,10.03,9.99,10.0,202607
2022-11-23,10.0,10.0013,10.0,10.0,150277
2022-11-25,9.99,10.01,9.99,10.01,47258
2022-11-28,10.02,10.04,10.02,10.03,176147
2022-11-29,10.025,10.025,10.025,10.025,173
2022-12-02,10.03,10.05,10.03,10.04,1050450
2022-12-05,10.05,10.05,10.045,10.05,24347
2022-12-06,10.04,10.06,10.04,10.05,447699
2022-12-07,10.05,10.06,10.05,10.06,451147
2022-12-08,10.06,10.06,10.06,10.06,100
2022-12-09,10.05,10.06,10.05,10.06,112660
2022-12-12,10.04,10.06,10.04,10.05,5265
2022-12-13,10.0,10.05,10.0,10.05,919
2022-12-14,10.0,10.04,9.99,10.03,39902
2022-12-19,10.06,10.16,10.06,10.16,21321
2022-12-20,10.04,10.04,9.9,9.945,7683
2022-12-21,9.94,10.01,9.94,10.01,1729
2022-12-22,9.99,10.0,9.99,9.99,80934
2022-12-23,9.99,10.0,9.99,9.99,174062
2022-12-27,9.99,10.03,9.99,10.03,110900
2022-12-28,10.04,10.05,10.04,10.05,50183
2022-12-29,10.05,10.06,10.05,10.06,10485
2023-01-03,10.06,10.06,10.06,10.06,1356
2023-01-04,10.07,10.07,10.07,10.07,10201
2023-01-05,10.07,10.09,10.07,10.09,214723
2023-01-06,10.09,10.09,10.09,10.09,847
2023-01-09,10.08,10.1,10.08,10.1,1991
2023-01-10,10.09,10.11,10.09,10.11,77479
2023-01-13,10.11,10.11,10.1,10.1,1938
2023-01-18,10.115,10.12,10.11,10.12,54903
2023-01-20,10.15,10.15,10.15,10.15,510
2023-01-23,10.12,10.12,10.12,10.12,384
2023-01-24,10.13,10.14,10.11,10.11,35495
2023-01-25,10.14,10.14,10.14,10.14,1638
2023-01-26,10.14,10.14,10.13,10.13,2724
2023-01-27,10.13,10.15,10.13,10.14,76715
2023-01-30,10.14,10.1501,10.14,10.145,32203
2023-01-31,10.18,10.18,10.15,10.15,1442
2023-02-01,10.15,10.15,10.15,10.15,2475
2023-02-02,10.15,10.16,10.15,10.16,5954
2023-02-03,10.1581,10.19,10.15,10.19,2704
2023-02-06,10.17,10.17,10.15,10.15,2143
2023-02-07,10.15,10.15,10.15,10.15,19029
2023-02-08,10.1501,10.17,10.1501,10.17,1004124
2023-02-09,10.15,10.15,10.15,10.15,100
2023-02-10,10.16,10.16,10.16,10.16,387
2023-02-13,10.16,10.16,10.16,10.16,129
2023-02-14,10.175,10.175,10.16,10.175,8123
2023-02-15,10.18,10.2,10.18,10.2,15517
2023-02-16,10.18,10.18,10.18,10.18,16672
2023-02-17,10.18,10.18,10.175,10.18,184868
2023-02-21,10.18,10.19,10.18,10.19,36588
2023-02-22,10.185,10.185,10.1827,10.1827,868
2023-02-23,10.18,10.21,10.18,10.21,3071
2023-02-24,10.185,10.195,10.185,10.19,9255
2023-02-27,10.19,10.19,10.19,10.19,100
2023-02-28,10.19,10.19,10.19,10.19,35174
2023-03-01,10.19,10.19,10.19,10.19,119
2023-03-02,10.19,10.195,10.19,10.195,168034
2023-03-06,10.2,10.205,10.195,10.205,14770
2023-03-07,10.23,10.23,10.2,10.2,495918
2023-03-08,10.205,10.21,10.205,10.21,27628
2023-03-09,10.2206,10.2206,10.21,10.21,255
2023-03-10,10.24,10.24,10.2201,10.2201,1157
2023-03-13,10.21,10.21,10.21,10.21,110
2023-03-14,10.21,10.225,10.21,10.21,634171
