Date,Open,High,Low,Close,Volume
2020-09-18,19.95,20.4194,16.7,17.11,3213034
2020-09-21,16.36,18.38,16.16,16.81,348429
2020-09-22,17.16,17.16,16.25,16.65,126093
2020-09-23,17.0,17.0,16.0,16.3,256474
2020-09-24,16.49,16.49,15.79,16.02,207855
2020-09-25,16.01,16.42,16.0,16.25,268978
2020-09-28,16.42,16.64,16.3,16.62,115426
2020-09-29,16.34,16.54,15.99,16.11,190420
2020-09-30,16.22,19.8,16.11,18.46,226934
2020-10-01,18.25,18.45,16.705,16.97,223200
2020-10-02,16.73,17.0,16.27,16.48,269112
2020-10-05,16.49,17.18,16.075,16.93,136356
2020-10-06,17.15,17.15,16.375,16.95,71225
2020-10-07,16.99,17.555,16.8001,17.0,41623
2020-10-08,17.17,17.75,16.61,17.0,113505
2020-10-09,17.0,17.21,16.66,16.81,80980
2020-10-12,16.9,17.74,16.9,17.09,229801
2020-10-13,18.0,19.25,16.9,18.44,1137058
2020-10-14,18.5,18.97,17.675,17.93,187461
2020-10-15,17.9,19.26,17.53,18.22,176053
2020-10-16,18.56,18.99,18.005,18.31,158119
2020-10-19,19.5,21.54,19.25,20.86,1457039
2020-10-20,21.21,21.8,20.05,21.08,353435
2020-10-21,21.07,22.14,20.51,20.98,281038
2020-10-22,20.89,21.1,19.1,20.1,226788
2020-10-23,20.0,20.04,19.28,19.34,73163
2020-10-26,19.04,19.0425,18.17,18.53,247167
2020-10-27,18.5,19.07,17.72,18.76,259074
2020-10-28,18.37,18.85,17.27,17.94,168887
2020-10-29,17.93,19.5,17.035,18.88,503156
2020-10-30,18.89,19.46,18.06,18.06,151802
2020-11-02,18.18,18.7499,17.8,18.2,103180
2020-11-03,18.61,20.2,18.3001,19.89,275529
2020-11-04,19.99,29.7099,19.99,24.69,1678843
2020-11-05,25.12,25.4,21.65,22.73,489977
2020-11-06,22.9,23.338,22.02,22.22,423207
2020-11-09,23.11,23.8,20.375,22.25,414037
2020-11-10,22.2,22.75,21.8,22.25,117388
2020-11-11,22.62,23.0899,20.52,22.33,325190
2020-11-12,22.08,24.6549,21.73,23.46,290908
2020-11-13,23.24,27.49,23.24,26.5,265014
2020-11-16,26.75,26.75,24.54,24.6,219813
2020-11-17,24.8,26.505,24.5,25.95,214724
2020-11-18,26.0,26.2196,24.2501,24.51,192218
2020-11-19,24.6,24.86,23.28,23.51,108850
2020-11-20,23.47,24.1098,22.43,23.42,122450
2020-11-23,23.5,23.8199,22.53,23.27,123992
2020-11-24,23.5,23.7,22.9001,23.3,98871
2020-11-25,23.46,23.46,22.79,22.9,52301
2020-11-27,23.25,25.32,23.25,24.01,98839
2020-11-30,24.84,24.98,22.49,24.9,211517
2020-12-01,25.08,25.31,23.33,23.79,144582
2020-12-02,23.72,24.4,22.85,23.87,115845
2020-12-03,23.73,25.46,23.17,24.38,180145
2020-12-04,24.35,25.875,24.01,25.36,148384
2020-12-07,25.52,26.52,25.52,26.0,195896
2020-12-08,26.5,26.75,26.12,26.3,188000
2020-12-09,26.88,27.0,25.0,26.09,114837
2020-12-10,25.92,28.44,25.1753,28.43,219581
2020-12-11,28.51,30.74,26.89,29.41,306411
2020-12-14,29.85,31.84,29.1076,30.12,219748
2020-12-15,30.41,30.49,27.35,28.12,330763
2020-12-16,27.44,29.5,27.16,28.65,269256
2020-12-17,28.93,30.74,28.3,30.3,311703
2020-12-18,30.82,32.9,29.75,30.94,2194874
2020-12-21,30.87,32.2,29.68,31.21,387697
2020-12-22,31.29,34.205,31.27,33.81,293993
2020-12-23,33.69,34.65,32.25,34.3,312624
2020-12-24,33.87,34.3837,31.21,31.53,127434
2020-12-28,31.81,32.9524,31.03,31.94,145371
2020-12-29,32.23,32.68,30.22,30.91,214802
2020-12-30,30.57,32.65,30.0,32.65,158376
2020-12-31,32.28,34.79,32.28,34.25,129947
2021-01-04,34.25,34.25,29.53,29.77,255022
2021-01-05,29.85,30.49,27.05,27.94,294532
2021-01-06,27.94,28.65,27.2,27.45,131365
2021-01-07,27.64,28.1543,27.09,27.79,181205
2021-01-08,27.8,28.1499,26.69,27.07,150702
2021-01-11,27.48,27.83,26.27,26.82,230728
2021-01-12,26.9,27.95,25.83,27.81,194702
2021-01-13,27.85,28.17,27.2,27.99,121980
2021-01-14,28.0,28.4999,26.46,26.79,126684
2021-01-15,26.78,27.25,24.764,26.55,257471
2021-01-19,26.0,26.33,25.0,25.89,168849
2021-01-20,26.17,26.17,24.27,24.32,126076
2021-01-21,22.83,23.2,20.0,20.27,3037701
2021-01-22,20.16,21.45,19.99,20.06,1102946
2021-01-25,20.24,22.14,20.06,22.04,834198
2021-01-26,21.91,22.73,20.41,20.67,501267
2021-01-27,20.81,20.81,18.8016,20.07,639477
2021-01-28,21.58,22.65,20.82,21.21,705755
2021-01-29,21.15,21.5699,20.2,21.32,436111
2021-02-01,21.89,22.2,20.9,21.62,302833
2021-02-02,21.94,22.39,20.51,21.72,319405
2021-02-03,21.55,21.98,20.78,21.54,260337
2021-02-04,23.61,24.18,21.915,22.19,1032118
2021-02-05,22.47,23.14,21.51,22.96,580164
2021-02-08,23.36,25.57,23.17,25.0,692580
2021-02-09,25.79,25.7964,23.65,24.78,454281
2021-02-10,25.18,25.4999,22.7,22.99,381402
2021-02-11,24.11,24.27,21.95,22.42,386947
2021-02-12,22.38,22.4059,21.15,21.7,390746
2021-02-16,21.94,22.08,20.22,20.73,491490
2021-02-17,20.7,21.26,20.01,21.2,376457
2021-02-18,21.13,22.08,20.325,21.15,269596
2021-02-19,21.2,22.41,20.915,21.52,252394
2021-02-22,21.38,24.67,21.11,23.69,716573
2021-02-23,22.5,23.21,22.005,22.26,387276
2021-02-24,22.87,23.14,21.51,22.32,588747
2021-02-25,22.22,22.29,20.78,20.89,421853
2021-02-26,20.97,22.17,19.36,22.06,537643
2021-03-01,22.06,22.5,21.05,21.4,362008
2021-03-02,21.4,21.4,20.09,20.85,328447
2021-03-03,21.405,21.405,20.2,20.6,535277
2021-03-04,20.64,20.79,18.86,19.29,739230
2021-03-05,19.94,20.23,17.08,19.18,538515
2021-03-08,19.2,19.83,18.64,19.14,217178
2021-03-09,19.63,20.41,19.34,20.22,231541
2021-03-10,20.37,21.66,20.21,20.37,259252
2021-03-11,20.56,22.14,20.455,21.86,221415
2021-03-12,21.5,21.95,20.74,21.56,271917
2021-03-15,21.155,21.74,20.71,20.93,145466
2021-03-16,20.96,21.74,20.5901,20.84,176286
2021-03-17,20.64,21.195,20.4,20.66,302666
2021-03-18,20.38,20.915,19.5,20.1,247790
2021-03-19,19.89,20.67,19.16,19.17,660023
2021-03-22,19.65,19.88,18.8,19.01,219658
2021-03-23,19.225,19.58,18.43,18.52,263483
2021-03-24,18.68,19.0,17.38,17.76,284376
2021-03-25,17.58,18.08,16.95,17.96,261373
2021-03-26,18.15,19.0,17.405,18.09,272127
2021-03-29,18.1,18.41,16.8738,17.37,251535
2021-03-30,17.3,17.4,16.33,16.9,305751
2021-03-31,17.17,18.54,16.81,18.4,407543
2021-04-01,18.38,19.0,17.97,18.39,318416
2021-04-05,18.5,19.49,18.5,18.9,244584
2021-04-06,18.87,19.0,18.595,18.8,180089
2021-04-07,18.82,19.12,18.56,18.78,149396
2021-04-08,18.96,19.0312,18.58,18.65,133139
2021-04-09,18.6,19.32,18.44,19.08,183532
2021-04-12,18.95,18.95,16.7798,16.8,321156
