Date,Open,High,Low,Close,Volume
2020-10-05,501.0,501.0,494.5,494.5,58.12
2020-10-06,500.0,503.0,494.5,502.0,110.92
2020-10-07,495.5,496.0,495.0,495.0,121.82
2020-10-08,494.0,495.0,494.0,495.0,25.04
2020-10-09,494.0,495.0,493.0,493.0,62.74
2020-10-12,494.5,495.0,492.5,495.0,406.72
2020-10-13,497.5,497.5,491.0,492.5,6861.58
2020-10-14,493.0,494.0,489.5,493.5,1899.12
2020-10-15,491.75,493.5,491.0,493.5,250.14
2020-10-16,492.0,492.5,489.5,492.5,1084.76
2020-10-19,494.5,495.0,491.0,495.0,177.28
2020-10-20,495.0,495.0,491.5,495.0,130.56
2020-10-21,494.5,494.5,490.5,492.5,16.36
2020-10-22,491.0,492.5,491.0,492.5,166.02
2020-10-23,490.0,490.0,486.0,489.5,99.7
2020-10-26,484.5,490.0,482.5,485.0,74.26
2020-10-27,489.5,489.5,485.0,486.5,12275.2
2020-10-28,485.5,486.5,484.0,485.0,143.54
2020-10-29,483.0,486.985,483.0,484.5,1432.96
2020-10-30,486.5,486.5,483.5,485.0,76.46
2020-11-02,485.5,488.5,485.0,485.0,191.16
2020-11-03,486.5,486.5,486.5,486.5,2789.04
2020-11-04,487.0,490.5,486.5,486.505,16.04
2020-11-05,486.5,486.5,486.5,486.5,4.0
2020-11-06,486.5,486.5,486.5,486.5,5.84
2020-11-09,497.0,497.0,488.5,494.5,616.84
2020-11-10,491.785,496.5,491.785,496.5,63.2
2020-11-11,492.5,495.0,490.5,495.0,311.24
2020-11-12,495.5,496.0,494.0,495.5,435.06
2020-11-13,497.0,497.0,489.0,490.0,2494.88
2020-11-16,497.0,497.0,493.0,495.0,145.0
2020-11-17,495.5,495.5,492.15,492.5,843.78
2020-11-18,497.0,497.0,493.0,497.0,379.7
2020-11-19,494.0,499.0,494.0,497.5,3922.22
2020-11-20,501.0,501.0,493.5,498.0,7433.32
2020-11-23,501.0,504.21,495.5,502.0,5117.44
2020-11-24,502.0,505.25,500.0,503.0,6424.5
2020-11-25,507.5,509.0,502.0,507.5,2168.6
2020-11-27,512.5,515.5,507.75,515.0,477.38
2020-11-30,515.0,517.5,510.0,512.5,2518.8
2020-12-01,511.0,512.5,509.75,511.5,2861.48
2020-12-02,510.0,513.5,510.0,510.5,1845.46
2020-12-03,512.5,512.75,509.5,512.0,2709.76
2020-12-04,515.0,515.0,510.65,513.5,7107.44
2020-12-07,515.0,515.0,510.5,511.0,2786.94
2020-12-08,512.5,513.25,510.0,511.5,5766.84
2020-12-09,515.0,515.0,512.25,513.5,1784.84
2020-12-10,510.5,515.0,510.5,515.0,3464.9
2020-12-11,530.0,530.0,512.5,526.0,4257.06
2020-12-14,520.0,524.5,515.5,519.0,4558.88
2020-12-15,519.0,520.5,512.5,512.5,9082.44
2020-12-16,512.5,518.75,512.5,517.5,1971.94
2020-12-17,517.5,522.5,514.5,522.0,5058.48
2020-12-18,519.5,527.5,519.5,527.5,2491.7
2020-12-21,527.5,528.5,522.0,527.5,3708.4
2020-12-22,532.5,548.5,530.5,535.5,12510.56
2020-12-23,548.5,548.5,529.365,535.0,11819.28
2020-12-24,550.0,556.0,531.0,540.0,10795.1
2020-12-28,552.0,555.0,543.5,547.0,17136.62
2020-12-29,552.0,552.5,534.455,535.0,10679.86
2020-12-30,532.0,550.0,530.5,542.0,10118.78
2020-12-31,535.0,540.0,527.5,536.5,4207.1
2021-01-04,547.0,548.0,534.205,536.25,8506.98
2021-01-05,545.5,547.0,535.95,543.0,7058.14
2021-01-06,536.0,546.5,536.0,540.0,6589.0
2021-01-07,538.0,543.84,537.5,540.5,6131.34
2021-01-08,540.0,547.5,540.0,546.5,4918.28
2021-01-11,551.5,556.2,544.0,552.5,14336.1
2021-01-12,552.5,565.0,547.0,561.0,8514.9
2021-01-13,572.0,584.0,561.0,572.5,15451.26
2021-01-14,580.0,580.0,567.5,570.5,10944.16
2021-01-15,570.5,572.0,560.0,565.0,16599.96
2021-01-19,565.0,606.0,560.5,583.5,29030.22
2021-01-20,600.5,612.0,582.0,595.0,22211.42
2021-01-21,591.0,600.0,584.5,594.5,11971.36
2021-01-22,600.0,609.0,590.505,595.5,16537.74
2021-01-25,598.5,621.0,594.0,603.5,18219.18
2021-01-26,605.0,610.0,573.5,581.5,15828.92
2021-01-27,572.5,575.0,533.25,556.5,19887.48
2021-01-28,550.0,569.0,544.0,544.0,21254.54
2021-01-29,544.0,567.0,536.5,565.0,13636.48
2021-02-01,572.5,585.5,553.5,584.5,9854.2
2021-02-02,589.5,596.5,572.0,589.0,8689.04
2021-02-03,587.5,602.0,584.0,601.5,7040.66
2021-02-04,600.0,615.0,594.0,604.0,5817.68
2021-02-05,602.5,604.5,590.0,593.5,10048.88
2021-02-08,604.0,611.5,594.0,603.0,14937.5
2021-02-09,601.0,622.0,600.0,615.5,9515.52
2021-02-10,610.0,629.0,588.0,616.5,10843.6
2021-02-11,602.5,652.5,597.25,644.0,24103.48
