Date,Open,High,Low,Close,Volume
2024-12-12,5.85,6.3424,5.4001,5.929,6388
2024-12-13,5.8898,5.8898,5.38,5.87,3340
2024-12-16,5.5111,5.755,4.95,5.4,8514
2024-12-17,4.9401,5.3499,4.9401,5.3299,1169
2024-12-18,4.8143,5.32,4.8143,5.32,793
2024-12-20,5.09,5.1199,4.26,5.1199,13018
2024-12-23,4.96,4.96,4.53,4.64,2103
2024-12-24,4.2374,4.8,4.18,4.8,2882
2024-12-26,4.45,4.88,4.01,4.88,6003
2024-12-27,4.88,4.88,4.21,4.5,2664
2024-12-30,4.42,4.7,4.1,4.635,8438
2024-12-31,4.88,4.88,4.8736,4.88,740
2025-01-02,4.52,7.97,4.2,5.94,124822
2025-01-03,6.2,7.44,4.8001,5.59,103285
2025-01-06,5.01,7.3,4.875,6.55,79296
2025-01-07,6.59,6.59,5.64,5.85,10858
2025-01-08,6.15,6.15,5.55,6.03,7104
2025-01-10,5.82,5.88,4.53,5.475,74176
2025-01-13,5.97,5.98,4.42,4.55,98917
2025-01-14,4.85,5.29,4.54,4.672,25785
2025-01-15,4.85,5.14,4.4,4.5,38647
2025-01-16,4.63,5.4,4.63,5.1,23835
2025-01-17,5.25,5.65,4.7,5.65,34548
2025-01-21,5.85,5.85,5.11,5.57,25441
2025-01-22,5.7,6.25,5.35,5.74,34849
2025-01-23,5.84,5.84,5.225,5.67,3246
2025-01-24,5.475,5.475,4.3006,4.31,85941
2025-01-27,4.53,4.53,4.0139,4.37,22916
2025-01-28,4.06,5.05,4.06,4.26,34715
2025-01-29,4.088,4.4214,4.088,4.194,5225
2025-01-30,4.2,4.4034,4.0,4.145,5702
2025-01-31,4.27,4.43,4.062,4.33,19193
2025-02-03,4.2,4.2232,4.0,4.21,7385
2025-02-04,4.1,4.25,3.45,3.53,23846
2025-02-05,3.6188,3.727,3.17,3.43,3439
2025-02-06,3.338,3.48,3.2275,3.345,3488
2025-02-07,3.04,3.24,3.0,3.0,8381
