Date,Open,High,Low,Close,Volume
2024-06-20,25.5132,25.5132,25.5132,25.5132,1
2024-06-21,25.5145,25.5145,25.5145,25.5145,1
2024-06-24,25.5159,25.5159,25.5159,25.5159,1
2024-06-25,25.5365,25.5365,25.5365,25.5365,3
2024-06-26,25.48,25.5206,25.48,25.5206,1000
2024-06-27,25.5398,25.5398,25.5398,25.5398,1
2024-06-28,25.5397,25.5397,25.5397,25.5397,1
2024-07-01,25.5604,25.5604,25.5604,25.5604,1
2024-07-02,25.5839,25.5839,25.5839,25.5839,2
2024-07-03,25.605,25.605,25.605,25.605,23
2024-07-05,25.633,25.633,25.633,25.633,2
2024-07-08,25.6446,25.6446,25.6446,25.6446,1
2024-07-09,25.645,25.645,25.645,25.645,1
2024-07-10,25.665,25.665,25.665,25.665,1
2024-07-11,25.6607,25.6607,25.6607,25.6607,1
2024-07-12,25.6849,25.6849,25.6849,25.6849,1
2024-07-15,25.685,25.685,25.685,25.685,1
2024-07-16,25.695,25.695,25.695,25.695,1
2024-07-17,25.685,25.685,25.685,25.685,1
2024-07-18,25.6743,25.6743,25.6743,25.6743,1
2024-07-19,25.665,25.665,25.665,25.665,1
2024-07-22,25.7101,25.7101,25.7101,25.7101,1
2024-07-23,25.715,25.715,25.715,25.715,1
2024-07-24,25.6156,25.6156,25.6156,25.6156,1
2024-07-25,25.5941,25.5941,25.5941,25.5941,1
2024-07-26,25.6746,25.6746,25.6746,25.6746,1
2024-07-29,25.7161,25.7161,25.7161,25.7161,1
2024-07-30,25.7168,25.7168,25.7168,25.7168,1
2024-07-31,25.7843,25.7843,25.755,25.755,5875
2024-08-01,25.82,25.82,25.46,25.5257,4214
2024-08-02,25.46,25.46,25.18,25.2561,6595
2024-08-05,24.84,24.84,24.7253,24.7253,719
2024-08-06,24.99,25.099,24.9549,24.9549,5182
2024-08-07,25.24,25.24,24.88,24.88,585
2024-08-08,25.177,25.177,25.177,25.177,55
2024-08-09,25.27,25.2757,25.2615,25.2757,1700
2024-08-12,25.33,25.33,25.2848,25.2848,2938
2024-08-13,25.5602,25.5602,25.5602,25.5602,55
2024-08-14,25.6435,25.6435,25.6435,25.6435,55
2024-08-15,25.91,25.91,25.8484,25.8631,1117
2024-08-16,25.9144,25.9144,25.9144,25.9144,55
2024-08-19,26.0537,26.0537,26.0537,26.0537,55
2024-08-20,26.0398,26.0398,26.0398,26.0398,55
2024-08-21,26.0993,26.0993,26.0993,26.0993,55
2024-08-22,26.06,26.09,25.9633,25.9633,6511
2024-08-23,26.11,26.1525,26.1,26.1525,435
2024-08-26,26.2,26.2,26.1083,26.1083,531
2024-08-27,26.14,26.185,26.14,26.146,6019
2024-08-28,26.02,26.0782,26.02,26.0782,200
2024-08-29,26.16,26.16,26.09,26.1,700
2024-08-30,26.13,26.21,26.13,26.2007,2339
2024-09-03,25.9,25.9,25.8705,25.8705,313
2024-09-04,25.91,25.91,25.8662,25.8662,575
2024-09-05,25.83,25.83,25.7952,25.7952,2919
2024-09-06,25.5,25.6,25.5,25.5381,200
2024-09-09,25.718,25.718,25.718,25.718,11
2024-09-10,25.785,25.8072,25.785,25.8072,115
2024-09-11,25.9748,25.9748,25.9748,25.9748,15
2024-09-12,26.0853,26.0853,26.0853,26.0853,60
2024-09-13,26.22,26.22,26.1955,26.1955,100
2024-09-16,26.2098,26.2098,26.2098,26.2098,60
2024-09-17,26.23,26.23,26.2221,26.2221,195
2024-09-18,26.1939,26.1939,26.1939,26.1939,60
2024-09-19,26.4484,26.4484,26.4484,26.4484,60
2024-09-20,26.4286,26.4286,26.4286,26.4286,60
2024-09-23,26.4731,26.4731,26.4731,26.4731,60
2024-09-24,26.5164,26.5164,26.5164,26.5164,60
2024-09-25,26.53,26.53,26.5202,26.5202,200
2024-09-26,26.5498,26.5498,26.5498,26.5498,60
2024-09-27,26.5354,26.5354,26.5354,26.5354,60
2024-09-30,26.524,26.5983,26.524,26.5983,472
2024-10-01,26.4623,26.4623,26.4623,26.4623,60
2024-10-02,26.4658,26.4658,26.4658,26.4658,60
2024-10-03,26.4201,26.4201,26.4201,26.4201,1
2024-10-04,26.5597,26.5597,26.5597,26.5597,1
2024-10-07,26.4053,26.4053,26.4053,26.4053,1
2024-10-08,26.5698,26.5698,26.5698,26.5698,1
2024-10-09,26.6642,26.6642,26.6642,26.6642,1
2024-10-10,26.6333,26.6333,26.6333,26.6333,1
2024-10-11,26.7187,26.7187,26.7187,26.7187,1
2024-10-14,26.8316,26.8316,26.8316,26.8316,1
2024-10-15,26.7246,26.7246,26.7246,26.7246,1
2024-10-16,26.7948,26.7948,26.7948,26.7948,1
2024-10-17,26.8054,26.8054,26.8054,26.8054,1
2024-10-18,26.8711,26.8711,26.8711,26.8711,1
2024-10-21,26.8389,26.8389,26.8389,26.8389,1
2024-10-22,26.8622,26.8622,26.8622,26.8622,1
2024-10-23,26.7235,26.7235,26.7235,26.7235,1
2024-10-24,26.7676,26.7676,26.7676,26.7676,1
2024-10-25,26.7456,26.7456,26.7456,26.7456,1
2024-10-28,26.8105,26.8105,26.8105,26.8105,1
2024-10-29,26.8424,26.8424,26.8424,26.8424,1
2024-10-30,26.7942,26.7942,26.7942,26.7942,1
2024-10-31,26.5478,26.5478,26.5478,26.5478,1
2024-11-04,26.5407,26.5407,26.5407,26.5407,1
2024-11-05,26.722,26.722,26.722,26.722,1
2024-11-06,26.94,27.0843,26.94,27.0843,1473
2024-11-07,27.1508,27.1508,27.14,27.1508,1399
2024-11-08,27.16,27.1786,27.16,27.1786,195
2024-11-13,27.12,27.12,27.11,27.11,1500
2024-12-18,27.42,27.42,27.072,27.072,100
2024-12-19,27.1,27.1,27.03,27.03,100
2024-12-20,27.23,27.23,27.1377,27.1377,100
2024-12-27,27.29,27.3202,27.29,27.3202,100
2025-01-03,27.23,27.2788,27.23,27.2788,400
2025-01-06,27.32,27.3507,27.32,27.3507,200
2025-01-07,27.25,27.25,27.16,27.1999,400
2025-01-08,27.216,27.216,27.216,27.216,286
2025-01-10,27.03,27.04,26.95,26.9989,598
2025-01-13,26.87,26.9984,26.87,26.9984,145
2025-01-16,27.36,27.38,27.3188,27.3188,2466
2025-01-24,27.6942,27.6942,27.6816,27.6816,412
2025-01-27,27.47,27.5111,27.47,27.5111,129
2025-01-28,27.59,27.6541,27.59,27.6541,227
