Date,Open,High,Low,Close,Volume
2009-04-20,0.5,0.5,0.5,0.5,6.0
2009-04-23,0.25,0.25,0.25,0.25,1953.24
2009-04-24,0.75,0.75,0.75,0.75,194.0
2009-04-30,3.75,3.75,3.75,3.75,269.6
2009-05-07,22.5,22.5,22.5,22.5,246.52
2009-05-08,23.75,23.75,22.5,22.5,280.28
2009-05-11,25.0,28.75,25.0,28.5,1497.8
2009-05-12,31.25,32.5,30.5,31.25,6018.36
2009-05-13,32.5,32.5,31.5,32.5,323.28
2009-05-14,37.5,37.5,31.25,31.25,560.0
2009-05-15,32.5,32.5,27.5,30.0,2652.08
2009-05-18,32.5,32.5,30.25,30.75,5546.8
2009-05-19,31.25,32.5,31.0,31.25,6178.56
2009-05-20,37.5,43.75,37.5,43.75,680.0
2009-05-21,35.0,50.0,35.0,50.0,12026.0
2009-05-22,50.0,55.0,50.0,55.0,1534.0
2009-05-26,50.0,50.0,50.0,50.0,9.2
2009-05-28,61.25,62.0,61.25,62.0,400.0
2009-05-29,56.25,56.25,56.25,56.25,220.0
2009-06-01,57.5,57.5,55.0,55.0,1738.4
2009-06-02,50.0,53.75,50.0,51.25,10418.6
2009-06-03,57.5,57.5,50.25,50.25,3357.6
2009-06-04,50.75,52.0,50.0,50.0,2756.48
2009-06-05,50.25,52.5,49.75,50.0,2849.2
2009-06-08,52.5,52.5,48.75,48.75,573.84
2009-06-09,50.0,51.25,48.5,51.25,11568.48
2009-06-10,51.25,72.5,50.5,52.5,17734.72
2009-06-11,68.75,68.75,57.5,57.5,492.08
2009-06-12,57.25,58.75,57.25,58.75,6378.92
2009-06-15,59.0,59.75,59.0,59.5,1693.16
2009-06-16,59.5,59.5,59.5,59.5,10.0
2009-06-17,62.5,62.5,59.0,59.0,530.88
2009-06-18,72.25,72.25,65.0,65.0,24.0
2009-06-23,63.75,63.75,63.75,63.75,40.0
2009-06-24,63.75,71.25,60.0,71.25,50.16
2009-06-25,69.75,71.25,69.75,71.25,20.0
2009-06-26,60.0,60.0,60.0,60.0,1010.0
2009-06-30,61.25,61.25,61.25,61.25,8.2
2009-07-01,65.0,65.0,65.0,65.0,40.0
2009-07-08,62.5,63.75,61.25,61.25,418.32
2009-07-09,60.0,60.0,60.0,60.0,57.28
2009-07-13,68.75,68.75,68.75,68.75,40.0
2009-07-17,68.75,72.0,68.75,70.0,209.88
2009-07-23,70.0,70.0,70.0,70.0,80.0
2009-07-24,70.0,70.0,70.0,70.0,30.0
2009-07-27,58.75,70.0,58.75,70.0,453.6
2009-07-29,58.75,62.5,58.75,60.0,264.6
2009-07-30,71.25,71.25,62.5,70.0,2932.56
2009-07-31,72.25,81.25,65.75,75.0,1113.64
2009-08-03,87.5,87.5,76.25,77.5,201.6
2009-08-04,86.25,87.5,86.25,86.25,200.0
2009-08-05,88.75,103.75,88.75,103.75,1077.4
2009-08-06,100.0,100.0,100.0,100.0,909.0
2009-08-07,97.5,97.5,97.5,97.5,4.0
2009-08-10,100.0,100.0,97.5,97.5,540.0
2009-08-11,93.75,97.5,93.75,97.5,38.52
2009-08-13,95.0,95.0,87.5,87.5,393.6
2009-08-14,80.0,87.5,78.75,78.75,206.32
2009-08-17,79.0,80.25,79.0,80.25,12.08
2009-08-18,88.5,88.5,88.5,88.5,40.0
2009-08-20,99.75,99.75,99.75,99.75,60.0
2009-08-25,83.75,83.75,82.25,82.25,80.0
2009-08-26,82.0,97.5,82.0,97.5,336.0
2009-08-28,93.75,97.0,93.75,97.0,392.0
2009-08-31,97.5,102.5,97.5,101.25,932.44
2009-09-01,100.0,100.0,96.5,100.0,354.44
2009-09-02,99.75,99.75,90.0,90.0,134.4
2009-09-03,97.5,97.5,97.5,97.5,100.0
2009-09-04,98.5,98.5,98.5,98.5,220.0
2009-09-08,97.5,102.5,90.0,101.25,344.0
2009-09-09,93.75,100.0,92.5,100.0,699.12
2009-09-10,100.0,100.5,97.5,100.5,2228.0
2009-09-11,101.25,104.25,100.0,103.75,4094.88
2009-09-14,106.25,113.75,106.25,113.75,1502.24
2009-09-15,118.75,118.75,115.0,118.75,1256.0
2009-09-16,118.75,121.25,118.75,118.75,909.76
2009-09-18,106.25,123.0,106.25,123.0,35.6
2009-09-21,115.75,124.75,115.75,123.75,90.0
2009-09-22,120.0,125.0,115.0,125.0,426.0
2009-09-24,117.5,124.25,117.5,124.25,92.64
2009-09-28,109.25,120.0,109.25,120.0,12.24
2009-09-29,124.75,135.0,123.75,132.5,1114.64
2009-09-30,135.0,160.0,135.0,156.25,4302.8
2009-10-01,165.0,165.0,150.0,163.75,402.0
2009-10-02,162.5,166.25,156.25,166.25,204.0
2009-10-05,162.5,162.5,162.5,162.5,362.4
2009-10-06,167.5,168.25,163.75,167.5,519.2
2009-10-07,160.0,163.75,151.25,162.5,226.0
2009-10-08,162.5,162.5,148.75,150.0,1139.6
2009-10-09,162.5,162.5,162.5,162.5,4.0
2009-10-13,147.5,168.75,147.5,168.75,57.28
2009-10-14,168.75,168.75,150.5,150.5,146.16
