Date,Open,High,Low,Close,Volume
2022-05-04,6.5,29.0,4.15,4.37,8084200
2022-05-05,5.19,5.81,3.49,3.72,14225500
2022-05-06,3.41,3.46,2.88,2.96,2200800
2022-05-09,2.7,3.73,2.5,2.79,9728557
2022-05-10,2.77,3.0953,2.3,2.35,2149868
2022-05-11,2.16,2.47,1.88,1.95,1673388
2022-05-12,1.84,1.95,1.75,1.7886,871796
2022-05-13,1.81,2.04,1.72,1.815,1028960
2022-05-16,1.76,1.92,1.76,1.9,1084
2022-05-17,1.97,1.97,1.75,1.76,494876
2022-05-18,1.72,1.895,1.67,1.71,421331
2022-05-19,1.67,2.4,1.67,2.07,4875556
2022-05-20,1.96,2.0201,1.8,1.84,526158
2022-05-23,1.84,1.92,1.79,1.8299,319285
2022-05-24,1.75,1.92,1.69,1.76,586375
2022-05-25,1.74,1.88,1.62,1.7,371475
2022-05-26,1.68,1.75,1.6101,1.68,309697
2022-05-27,1.67,1.74,1.65,1.69,376943
2022-05-31,1.66,1.75,1.66,1.72,278699
2022-06-01,1.7016,1.81,1.66,1.67,349252
2022-06-02,1.66,1.78,1.66,1.74,262841
2022-06-03,1.7,1.7296,1.68,1.7,103173
2022-06-06,1.71,1.73,1.62,1.67,144713
2022-06-07,1.65,1.73,1.6399,1.71,121291
2022-06-08,1.71,2.07,1.65,1.99,1042470
2022-06-09,2.0,2.0399,1.75,1.75,300591
2022-06-10,1.74,1.99,1.71,1.94,763842
2022-06-13,1.92,1.9495,1.7103,1.73,421397
2022-06-14,1.7013,1.8,1.7,1.7498,152236
2022-06-15,1.78,2.4,1.73,2.23,6999172
2022-06-16,2.28,2.55,2.12,2.3,1628219
2022-06-17,2.38,2.38,2.1701,2.28,318946
2022-06-21,2.24,2.3899,2.2,2.27,237292
2022-06-22,2.24,2.45,2.185,2.26,410839
2022-06-23,2.3,2.3499,2.15,2.2,275866
2022-06-24,2.21,2.25,2.15,2.2106,109562
2022-06-27,2.16,2.2499,2.12,2.14,147293
2022-06-28,2.06,2.23,1.96,2.05,198125
