Date,Open,High,Low,Close,Volume
2024-03-22,50.4699,50.4699,50.4183,50.4183,318
2024-03-25,50.43,50.43,50.4,50.4,40199
2024-03-26,50.305,50.36,50.1834,50.1834,1106
2024-03-27,50.39,50.39,50.3594,50.3594,493
2024-03-28,50.47,50.48,50.31,50.414,26250
2024-04-01,50.42,50.47,50.293,50.47,10996
2024-04-02,50.29,50.4397,50.29,50.4397,211
2024-04-03,50.23,50.66,50.23,50.5897,12981
2024-04-04,51.0757,51.66,50.3821,50.48,6018
2024-04-05,50.6,50.78,50.5999,50.6835,3912
2024-04-08,51.06,51.0781,50.9812,50.9812,1699
2024-04-09,51.25,51.25,51.08,51.2392,1648
2024-04-10,50.62,50.62,50.42,50.5158,1441
2024-04-11,50.49,50.89,50.49,50.793,1116
2024-04-12,50.12,50.12,49.7939,49.7939,769
2024-04-15,49.8,49.8,49.335,49.335,1530
2024-04-16,48.683,48.84,48.683,48.7316,1793
2024-04-17,48.98,48.98,48.7984,48.7984,235
2024-04-18,48.77,48.7732,48.77,48.7732,173
2024-04-19,48.51,48.6498,48.49,48.49,1465
2024-04-22,48.77,49.18,48.77,48.99,894
2024-04-23,49.41,49.41,49.41,49.41,18
2024-04-24,49.39,49.43,49.39,49.4296,15661
2024-04-25,49.02,49.6706,49.02,49.6706,510
2024-04-26,50.01,50.1419,50.01,50.1419,161
2024-04-29,50.66,50.66,50.55,50.6109,437
2024-04-30,50.35,50.35,50.0496,50.0496,200
2024-05-01,50.025,50.025,50.0144,50.0144,154
2024-05-02,50.82,50.82,50.7386,50.7386,103
2024-05-03,51.27,51.27,51.2017,51.2017,175
2024-05-06,51.3093,51.3093,51.235,51.2606,2581
2024-05-07,51.09,51.09,50.8947,50.8947,1080
2024-05-08,50.69,51.07,50.69,51.0471,3220
2024-05-09,50.8,50.8,50.793,50.793,412
2024-05-10,51.06,51.07,50.9567,50.9567,846
2024-05-13,51.0213,51.0213,51.0213,51.0213,92
2024-05-14,51.5564,51.5564,51.5564,51.5564,15
2024-05-15,51.91,52.1555,51.91,52.1555,572
2024-05-16,52.11,52.11,51.9529,51.9529,295
2024-05-17,52.17,52.1721,52.1,52.1721,843
2024-05-20,52.26,52.26,52.2,52.2083,801
2024-05-21,52.2,52.2,52.1386,52.1386,709
2024-05-22,51.95,51.95,51.78,51.9319,2286
2024-05-23,52.04,52.05,51.7,51.76,4285
2024-05-24,52.1,52.1,52.1,52.1,47
2024-05-28,52.22,52.22,51.94,52.05,3339
2024-05-29,51.25,51.3,51.16,51.2156,22596
2024-05-30,51.02,51.18,50.98,51.06,2799
2024-05-31,50.6,50.92,50.6,50.92,743
2024-06-03,51.6999,51.7,51.42,51.5182,2365
2024-06-04,49.8899,50.0498,49.87,50.0498,878
2024-06-05,50.8601,51.06,50.8601,51.06,1565
2024-06-06,51.4398,51.4398,51.3899,51.415,2446
2024-06-07,51.39,51.39,51.0855,51.0855,3497
2024-06-10,51.1668,51.4396,51.1668,51.42,2840
2024-06-11,51.11,51.24,51.065,51.24,2433
2024-06-12,52.05,52.06,51.8545,51.8545,7012
2024-06-13,51.71,51.7475,51.615,51.7475,1240
2024-06-14,51.61,51.9,51.61,51.8348,799
2024-06-17,51.9936,52.2192,51.89,52.2192,1198
2024-06-18,52.85,52.86,52.7,52.7299,1437
2024-06-20,52.81,52.81,52.53,52.5476,3847
2024-06-21,52.53,52.54,52.476,52.476,4764
2024-06-24,52.38,52.38,52.1485,52.1485,3711
2024-06-25,52.05,52.0911,51.985,52.0911,2127
2024-06-26,51.9099,51.95,51.87,51.9346,2910
2024-06-27,52.24,52.24,52.07,52.1759,1342
2024-06-28,52.642,52.642,52.32,52.4084,3435
2024-07-01,52.61,52.61,52.41,52.445,4841
2024-07-02,52.35,52.4906,52.2402,52.4906,199581
2024-07-03,53.1961,53.2335,53.1961,53.2335,555
2024-07-05,53.69,53.7367,53.6089,53.7367,3038
2024-07-08,53.75,53.77,53.69,53.765,2885
2024-07-09,53.73,53.86,53.6899,53.8099,12885
2024-07-10,54.07,54.25,54.07,54.245,7609
2024-07-11,54.76,54.76,54.315,54.34,1674
2024-07-12,54.24,54.56,54.24,54.4,1201
2024-07-15,54.28,54.31,54.119,54.16,2861
2024-07-16,54.1925,54.42,54.1925,54.42,3816
2024-07-17,53.78,53.9,53.645,53.65,4236
2024-07-18,53.49,53.49,52.9799,53.0,1844
2024-07-19,52.605,52.605,52.37,52.37,522
2024-07-22,52.55,52.73,52.5276,52.73,2005
2024-07-23,52.45,52.51,52.415,52.415,8028
2024-07-24,52.04,52.0501,51.84,51.845,1172
2024-07-25,52.02,52.02,51.7288,51.7288,4405
2024-07-26,52.265,52.45,52.265,52.3471,4116
2024-07-29,52.2,52.2,52.03,52.1305,1153
2024-07-30,52.1108,52.135,51.88,52.003,4138
2024-07-31,52.88,53.18,52.88,53.075,1875
2024-08-01,52.93,52.93,52.06,52.2522,1884
2024-08-02,51.19,51.19,51.0299,51.12,1481
2024-08-05,48.55,49.42,48.55,49.11,14143
2024-08-06,49.29,49.77,49.28,49.4684,14435
2024-08-07,50.78,50.78,49.98,50.03,19092
2024-08-08,50.57,51.11,50.57,51.095,7168
2024-08-09,51.31,51.529,51.31,51.5028,2717
2024-08-12,51.69,51.9,51.67,51.7203,9295
2024-08-13,52.1524,52.3,52.1355,52.29,2523
2024-08-14,52.33,52.35,52.17,52.34,4879
2024-08-15,52.51,52.89,52.51,52.8191,3689
2024-08-16,53.04,53.3295,53.04,53.3,2849
2024-08-19,53.84,53.9887,53.84,53.9887,705
2024-08-20,53.99,53.99,53.77,53.8564,2245
2024-08-21,53.89,54.04,53.8,53.9519,12244
2024-08-22,53.54,53.54,53.0892,53.0892,3090
2024-08-23,54.1,54.22,54.03,54.1478,11805
2024-08-26,54.02,54.02,53.83,53.8753,2532
2024-08-27,53.93,54.049,53.835,53.95,10444
2024-08-28,53.64,53.6651,53.62,53.62,578
2024-08-29,53.79,53.869,53.58,53.58,2631
2024-08-30,53.69,53.69,53.51,53.6839,3308
2024-09-03,52.86,52.86,52.4532,52.5057,6713
2024-09-04,52.875,52.88,52.57,52.6438,7622
2024-09-05,52.8014,52.8014,52.57,52.6958,5277
2024-09-06,52.3061,52.3061,51.62,51.6978,5578
2024-09-09,52.34,52.43,52.26,52.34,1380
2024-09-10,51.8623,52.0735,51.84,52.0735,1454
2024-09-11,51.91,52.4271,51.8432,52.4271,3092
2024-09-12,52.95,52.95,52.91,52.9486,388
2024-09-13,53.31,53.43,53.31,53.3557,1561
2024-09-16,53.5456,53.5456,53.5456,53.5456,195
2024-09-17,53.53,53.53,53.33,53.4165,1895
2024-09-18,53.46,53.76,53.2926,53.2926,1943
2024-09-19,54.04,54.0817,54.04,54.0817,732
2024-09-20,53.78,53.9,53.7608,53.81,3345
2024-09-23,54.17,54.25,54.1699,54.1868,539826
2024-09-24,54.77,55.1,54.77,55.03,3160
2024-09-25,54.85,54.86,54.5984,54.5984,1015
2024-09-26,55.54,55.72,55.53,55.58,4287
2024-09-27,55.49,55.54,55.16,55.17,6268
2024-09-30,54.51,54.51,54.0732,54.11,4380
2024-10-01,53.78,54.05,53.76,54.0127,2780
2024-10-02,54.0441,54.0441,53.89,53.89,8787
2024-10-03,53.51,53.6,53.47,53.6,7811
2024-10-04,53.3701,53.56,53.33,53.54,6036
2024-10-07,53.48,53.48,53.14,53.14,3387
2024-10-08,53.56,53.68,53.5599,53.68,10256
2024-10-09,53.65,53.68,53.5815,53.6221,5919
2024-10-10,53.53,53.6331,53.5299,53.6331,2626
2024-10-11,53.77,53.8968,53.76,53.8968,2509
2024-10-14,53.97,54.11,53.97,54.0572,2374
2024-10-15,53.8845,53.8845,53.46,53.4852,3044
2024-10-16,53.83,53.95,53.83,53.9131,2938
2024-10-17,54.2401,54.32,54.11,54.11,6516
2024-10-18,54.18,54.25,54.071,54.0991,5958
2024-10-21,53.97,53.97,53.7349,53.8024,36257
2024-10-22,53.36,53.51,53.33,53.4606,6126
2024-10-23,53.21,53.21,52.9943,53.1625,8248
2024-10-24,53.13,53.1682,53.08,53.1682,2825
2024-10-25,53.17,53.2,52.92,52.92,5308
2024-10-28,53.05,53.05,52.92,52.96,13777
2024-10-29,52.82,52.9599,52.82,52.8308,1924
2024-10-30,52.74,52.74,52.5958,52.5958,6346
2024-10-31,52.1201,52.39,52.1201,52.3787,5521
2024-11-01,52.72,52.72,52.4301,52.4301,2668
2024-11-04,52.6896,52.72,52.4936,52.4936,12950
2024-11-05,52.92,53.04,52.92,53.0057,2555
2024-11-06,52.31,52.85,52.31,52.7573,6273
2024-11-07,53.29,53.4544,53.25,53.4544,5298
2024-11-08,52.8013,52.805,52.34,52.53,10392
2024-11-11,51.9657,52.03,51.93,51.9901,9396
2024-11-12,51.4,51.4,51.135,51.22,2911
2024-11-13,51.16,51.16,50.7342,50.74,6159
2024-11-14,50.92,50.92,50.62,50.6381,12385
2024-11-15,50.66,50.66,50.48,50.5833,7824
2024-11-18,50.77,51.04,50.77,51.0115,5186
2024-11-19,51.03,51.34,51.02,51.2838,7728
2024-11-20,51.0,51.1346,50.91,51.1346,8531
2024-11-21,51.1196,51.3,51.05,51.2122,12223
2024-11-22,51.51,51.6485,51.48,51.6485,4542
2024-11-25,51.84,51.93,51.8,51.8342,24842
2024-11-26,51.65,51.6567,51.56,51.6567,7384
2024-11-27,51.52,51.52,51.19,51.3296,9268
2024-11-29,50.9895,51.47,50.9895,51.33,9147
2024-12-02,51.4,51.665,51.4,51.58,7417
2024-12-03,51.32,51.8557,51.3,51.8557,8741
2024-12-04,52.0692,52.29,52.06,52.1826,16449
2024-12-05,52.4,52.53,52.4,52.4643,3142
2024-12-06,52.28,52.28,52.0987,52.2115,5926
2024-12-09,52.2216,52.29,52.0717,52.0717,4824
2024-12-10,52.16,52.16,51.8469,51.9,4159
2024-12-11,52.22,52.44,52.15,52.3631,4394
2024-12-12,52.01,52.05,51.78,51.78,4823
2024-12-13,52.18,52.18,52.0681,52.17,4032
2024-12-16,51.955,52.09,51.8998,51.8998,2775
2024-12-17,50.92,51.17,50.92,51.07,6151
2024-12-18,51.1486,51.175,49.69,49.69,7315
2024-12-19,50.25,50.25,50.0134,50.0134,6029
2024-12-20,49.73,50.3286,49.73,50.1581,12159
2024-12-23,50.094,50.36,50.02,50.31,8315
2024-12-24,50.3101,50.4182,50.2988,50.3819,2199
2024-12-26,50.27,50.2754,50.17,50.2353,9121
2024-12-27,50.0,50.025,49.865,49.96,5489
2024-12-30,49.55,49.6999,49.53,49.68,5126
2024-12-31,49.69,49.75,49.49,49.5448,4963
2025-01-02,49.9141,50.1,49.8,49.97,4979
2025-01-03,50.2192,50.355,50.2192,50.3479,7750
2025-01-06,50.72,50.9,50.7,50.7,7057
2025-01-07,50.7599,50.86,50.55,50.55,7315
2025-01-08,50.24,50.24,50.11,50.1793,11839
2025-01-10,49.43,49.43,49.19,49.2885,20147
2025-01-13,48.35,48.65,48.35,48.62,6024
2025-01-14,48.9957,49.0699,48.86,49.06,11367
2025-01-15,49.5,49.71,49.5,49.71,9751
2025-01-16,49.79,49.91,49.64,49.64,14966
2025-01-17,50.03,50.032,49.8301,49.85,41712
2025-01-21,50.154,50.534,50.154,50.5063,2720
2025-01-22,50.72,50.73,50.62,50.6455,2190
2025-01-23,50.59,50.8,50.528,50.7723,3627
2025-01-24,50.7201,50.91,50.68,50.68,8444
2025-01-27,49.21,49.4,49.06,49.2034,12931
2025-01-28,48.9776,49.4626,48.9776,49.4626,11010
2025-01-29,49.66,49.76,49.4785,49.66,15476
2025-01-30,50.1243,50.29,50.0699,50.165,7755
2025-01-31,50.2,50.47,49.83,49.83,7601
2025-02-03,48.919,49.55,48.919,49.3731,11266
2025-02-04,49.93,50.0372,49.9156,49.9925,5129
2025-02-05,50.16,50.35,50.1201,50.2268,12221
2025-02-06,50.19,50.3699,50.19,50.3429,6125
2025-02-07,50.45,50.47,49.88,49.88,7132
