Date,Open,High,Low,Close,Volume
2018-10-31,16.05,17.0,14.75,14.98,3031030
2018-11-01,14.9,14.9,13.07,14.5,445694
2018-11-02,14.95,15.88,14.67,15.07,641093
2018-11-05,15.15,15.75,14.75,14.75,265967
2018-11-06,14.85,15.35,14.75,14.9,272314
2018-11-07,15.0,15.75,14.8525,15.63,869740
2018-11-08,15.51,15.51,14.8,15.0,177939
2018-11-09,15.03,15.14,14.55,14.84,315322
2018-11-12,14.85,15.22,14.85,15.01,79069
2018-11-13,15.15,15.59,14.52,15.5,167833
2018-11-14,15.56,15.58,14.98,15.14,81844
2018-11-15,15.2,15.485,14.59,15.15,278976
2018-11-16,15.1,15.5,14.93,15.05,135706
2018-11-19,15.05,15.25,14.8029,15.2,46498
2018-11-20,15.15,15.15,13.5,14.0,81347
2018-11-21,14.22,14.85,14.1,14.73,19090
2018-11-23,14.87,14.92,14.13,14.92,16500
2018-11-26,15.24,15.39,14.35,14.99,186537
2018-11-27,15.14,15.25,14.51,14.82,44680
2018-11-28,14.77,14.77,13.95,14.09,113359
2018-11-29,14.13,14.2432,13.11,13.4,199649
2018-11-30,13.38,13.724,11.95,13.2,143071
2018-12-03,13.23,14.08,13.1,14.01,247572
2018-12-04,13.87,14.52,13.24,14.34,200456
2018-12-06,14.26,14.99,13.9437,14.8,218607
2018-12-07,14.81,15.75,13.67,15.17,140445
2018-12-10,15.33,16.6457,15.23,16.1,155015
2018-12-11,15.99,16.89,15.44,15.48,145677
2018-12-12,15.29,16.88,15.29,16.43,160035
2018-12-13,16.52,16.6,15.56,15.96,67783
2018-12-14,15.99,16.75,15.8,16.3,88977
2018-12-17,16.09,16.09,15.125,15.46,105751
2018-12-18,15.54,16.49,15.13,15.55,133230
2018-12-19,15.76,16.17,14.7,14.99,130701
2018-12-20,14.81,15.08,13.66,14.15,196813
2018-12-21,14.24,15.78,13.5,13.89,944441
2018-12-24,14.03,14.03,13.425,13.71,20296
2018-12-26,13.8,14.8,13.52,14.27,96678
2018-12-27,14.15,15.15,13.869,15.15,77603
2018-12-28,15.08,15.28,14.44,14.56,29158
2018-12-31,14.69,15.25,14.31,15.11,46841
2019-01-02,15.0,15.13,13.9,14.16,152481
2019-01-03,14.02,15.3956,13.1,13.52,64124
2019-01-04,13.73,14.97,13.6739,14.73,65316
2019-01-07,14.76,15.14,14.18,14.34,118117
2019-01-08,14.4,14.4,13.25,13.32,114684
2019-01-09,13.28,14.735,13.0,14.49,63776
2019-01-10,14.38,15.05,13.97,14.69,214011
2019-01-11,14.59,14.59,14.0,14.35,182732
2019-01-14,14.24,15.05,14.11,14.95,41693
2019-01-15,14.97,15.1,14.635,14.99,123836
2019-01-16,14.99,15.035,14.74,14.95,67308
2019-01-17,14.955,15.2251,14.955,15.06,24445
2019-01-18,15.14,15.35,14.79,15.18,108138
2019-01-22,15.16,15.32,14.68,14.85,18904
2019-01-23,14.94,15.02,14.5426,14.72,31782
2019-01-24,15.03,15.2,14.585,14.84,37591
2019-01-25,14.85,15.44,14.85,14.99,27062
2019-01-28,14.95,15.2,14.27,14.35,28543
2019-01-29,14.4,15.015,14.01,14.27,45667
2019-01-30,14.36,14.6666,14.0,14.19,31011
2019-01-31,14.4,14.77,14.14,14.6,38082
2019-02-01,14.63,14.89,14.05,14.81,60351
2019-02-04,15.0,15.745,14.66,15.18,106843
2019-02-05,15.0,15.15,14.52,14.65,26372
2019-02-06,14.62,15.1,14.11,14.91,37376
2019-02-07,14.76,15.14,14.57,14.8,15185
2019-02-08,14.69,15.675,14.69,14.9,32733
2019-02-11,14.97,14.97,14.3475,14.56,18971
2019-02-12,14.62,15.75,14.62,15.72,54881
2019-02-13,15.75,15.89,15.38,15.7,46723
2019-02-14,15.93,16.42,15.43,15.65,88864
2019-02-15,15.89,16.5,15.89,16.44,33260
2019-02-19,16.5,18.152,16.47,18.0,336072
2019-02-20,18.18,21.8095,18.18,21.13,358549
2019-02-21,20.99,22.6592,20.8022,22.5,314357
2019-02-22,22.89,22.89,21.18,21.5,152121
2019-02-25,22.24,22.24,21.01,21.45,70394
2019-02-26,21.57,21.91,20.2004,21.34,76121
2019-02-27,21.28,21.64,20.54,20.85,60359
2019-02-28,21.01,21.585,20.5576,21.26,46704
2019-03-01,21.82,22.45,21.56,21.75,143208
2019-03-04,22.16,24.41,20.805,21.44,74193
2019-03-05,21.5,22.405,20.14,20.75,78129
2019-03-06,20.75,22.225,19.75,19.91,327128
2019-03-07,20.0,21.28,19.881,20.47,73134
2019-03-08,20.27,20.98,20.27,20.53,24384
2019-03-11,20.63,21.985,20.58,21.42,73927
2019-03-12,21.49,21.615,20.12,20.62,79386
2019-03-13,20.72,22.09,20.65,22.0,55990
2019-03-14,22.04,22.57,21.31,21.5,43653
2019-03-15,21.59,23.885,21.31,22.6,188237
2019-03-18,22.9,23.17,21.71,21.84,57802
2019-03-19,21.95,22.95,21.515,22.28,89844
2019-03-20,22.24,23.9379,21.875,23.54,105432
2019-03-21,23.64,24.93,23.52,24.35,110807
2019-03-22,24.4,24.4604,22.61,23.24,86026
2019-03-25,23.26,23.6,22.65,22.99,95551
2019-03-26,23.41,24.5,23.21,23.81,65402
2019-03-27,23.76,23.875,22.78,22.94,67449
2019-03-28,23.29,24.03,23.13,23.71,49956
2019-03-29,24.08,24.408,23.0,23.95,111182
2019-04-01,24.0,24.145,23.11,23.33,93799
2019-04-02,23.31,24.185,23.18,23.63,51938
2019-04-03,23.97,24.0,23.03,23.16,83712
2019-04-04,23.62,23.62,21.37,21.6,132557
2019-04-05,21.67,22.2084,21.25,21.52,80216
2019-04-08,21.52,23.07,20.97,21.04,63588
2019-04-09,22.535,22.5399,21.0,21.67,104646
2019-04-10,21.8,22.1,20.51,21.96,90129
2019-04-11,21.93,21.93,20.62,20.87,174056
2019-04-12,20.99,20.99,20.55,20.8,83456
2019-04-15,20.77,20.77,20.05,20.09,35246
2019-04-16,20.2,20.85,19.22,19.4,85012
2019-04-17,19.56,19.854,18.08,18.54,130375
2019-04-18,18.51,19.4,18.4292,18.99,50685
2019-04-22,19.14,19.89,18.66,19.23,159125
2019-04-23,19.31,20.2,19.2,19.81,140743
2019-04-24,19.66,20.38,19.66,19.965,84035
2019-04-25,20.08,20.57,19.95,20.29,39036
2019-04-26,20.31,23.21,20.07,21.81,114750
2019-04-29,21.84,23.72,20.44,21.01,98831
2019-04-30,21.0,21.0,20.07,20.2,84300
2019-05-01,20.3,23.36,20.3,21.43,127218
2019-05-02,21.43,22.9799,21.0,21.86,175477
2019-05-03,22.04,23.16,21.9605,22.49,118650
2019-05-06,22.42,23.625,22.42,23.2,93582
2019-05-07,23.23,23.655,23.22,23.6,130532
2019-05-08,23.58,24.28,23.58,24.25,342980
2019-05-09,24.5,29.84,24.5,28.97,614369
2019-05-10,29.59,30.4,29.0,29.95,419193
2019-05-13,29.03,30.05,28.9,29.7,226355
2019-05-14,29.88,32.9,29.525,31.44,389775
2019-05-15,31.15,32.16,30.02,31.73,276989
2019-05-16,31.95,32.4,29.9,30.15,176948
2019-05-17,29.99,30.51,29.23,30.24,190559
2019-05-20,30.0,31.5613,30.0,30.98,150388
2019-05-21,31.16,32.275,30.31,31.28,96247
2019-05-22,31.28,32.11,30.66,31.07,144586
2019-05-23,30.74,30.74,29.5,30.27,160899
2019-05-24,30.45,32.34,30.02,31.6,193418
2019-05-28,31.67,34.12,31.67,33.6,362356
2019-05-29,33.22,33.73,31.83,32.66,175357
2019-05-30,32.94,33.0,31.73,32.92,102508
2019-05-31,32.86,33.34,31.68,32.86,98481
2019-06-03,33.42,33.54,32.335,32.97,153490
2019-06-04,33.38,33.5893,32.26,33.14,155838
2019-06-05,33.38,33.57,31.15,31.42,178335
2019-06-06,31.04,31.66,30.42,31.17,173473
2019-06-07,31.38,32.435,30.76,31.55,222486
2019-06-10,32.37,33.68,31.99,32.4,408073
2019-06-11,32.53,32.625,31.48,31.74,227187
2019-06-12,31.88,32.3025,31.5,31.8,197451
2019-06-13,32.3,34.865,32.0,34.21,293816
2019-06-14,34.17,35.28,34.13,34.6,211157
2019-06-17,35.03,36.93,34.71,35.93,235123
2019-06-18,36.47,37.77,35.1,35.37,226491
2019-06-19,34.89,36.16,34.67,36.02,182007
2019-06-20,36.7,38.78,36.14,36.97,280078
2019-06-21,36.97,37.98,36.38,37.9,277982
2019-06-24,37.9,38.17,36.425,37.04,197934
2019-06-25,37.43,37.59,36.68,37.21,133483
2019-06-26,37.29,38.23,36.5,36.84,147030
2019-06-27,36.87,37.5,36.61,37.15,162176
2019-06-28,37.47,41.34,37.47,40.97,1476437
2019-07-01,42.28,43.1859,40.16,42.41,424950
2019-07-02,43.0,43.37,39.53,40.8,316487
2019-07-03,40.83,41.2999,40.49,41.0,120070
2019-07-05,41.28,43.06,40.25,40.8,114408
2019-07-08,41.32,41.32,39.57,40.02,238229
2019-07-09,39.89,40.29,39.83,40.11,435020
2019-07-10,40.01,40.82,39.11,40.03,319471
2019-07-11,40.08,40.69,39.29,40.09,212838
2019-07-12,40.06,40.65,39.57,40.19,252615
2019-07-15,40.57,41.3699,39.6,40.16,308329
2019-07-16,40.26,40.265,35.0,38.52,343491
2019-07-17,38.65,39.04,37.79,38.41,139606
2019-07-18,38.21,39.235,37.69,38.51,252704
2019-07-19,38.43,39.2047,37.29,37.73,120911
2019-07-22,37.91,38.37,37.32,37.88,228806
2019-07-23,37.88,38.28,37.421,37.99,162747
2019-07-24,38.07,39.0399,37.305,37.99,241416
2019-07-25,37.81,38.1121,36.62,37.29,149852
2019-07-26,37.54,37.895,36.83,37.73,134094
2019-07-29,37.68,38.28,37.5,37.72,169612
2019-07-30,37.69,37.87,37.41,37.66,220299
2019-07-31,37.7,37.775,36.6,36.7,160831
2019-08-01,36.74,38.065,36.0,37.37,270181
2019-08-02,37.31,37.66,35.69,36.11,193176
2019-08-05,35.97,35.97,32.48,33.77,407574
2019-08-06,30.82,33.59,30.05,30.82,581051
2019-08-07,31.6,35.08,31.3673,34.0,421645
2019-08-08,34.3,35.62,32.75,33.07,998425
2019-08-09,32.82,34.0,32.5,33.77,162771
2019-08-12,33.61,33.89,32.53,32.94,117448
2019-08-13,33.0,35.35,32.67,35.15,131746
2019-08-14,34.66,34.66,32.57,33.34,177585
2019-08-15,33.41,34.44,32.67,33.5,123737
2019-08-16,33.67,34.44,33.36,34.15,87884
2019-08-19,34.51,35.0,34.22,34.43,59104
2019-08-20,34.7,35.25,34.18,34.31,79559
2019-08-21,34.82,35.19,34.19,34.92,86575
2019-08-22,34.86,35.0,33.54,34.1,95706
2019-08-23,33.63,34.54,32.83,33.14,114834
2019-08-26,33.35,34.41,32.96,34.29,204145
2019-08-27,34.42,34.5345,32.52,33.3,122861
2019-08-28,33.05,34.0,32.88,33.36,103235
2019-08-29,33.63,34.5,33.46,34.46,136773
2019-08-30,34.37,34.5,32.515,33.27,97218
2019-09-03,33.99,33.99,32.76,33.31,149566
2019-09-04,33.5,33.75,32.59,33.12,191340
2019-09-05,33.18,35.5,33.18,35.48,391589
2019-09-06,35.59,36.05,34.87,35.71,149157
2019-09-09,36.37,37.66,33.025,33.24,652768
2019-09-10,33.66,33.88,30.55,30.64,442533
2019-09-11,30.7,32.15,29.651,31.83,426909
2019-09-12,31.91,32.465,30.95,31.5,199023
2019-09-13,31.67,31.905,30.87,31.02,109618
2019-09-16,30.91,30.99,29.62,30.27,157129
2019-09-17,30.68,33.06,29.795,31.94,238408
2019-09-18,31.9,32.46,30.72,31.42,170986
2019-09-19,31.43,32.12,29.71,29.8,243522
2019-09-20,29.97,31.62,29.81,31.17,242372
2019-09-23,31.17,31.17,29.75,30.9,145819
2019-09-24,31.1,31.13,29.79,30.06,179801
2019-09-25,30.02,30.76,28.77,28.89,221956
2019-09-26,28.8,29.28,26.68,27.29,259465
2019-09-27,27.3,27.94,25.92,27.74,373093
2019-09-30,27.71,28.1,26.15,26.92,501582
2019-10-01,26.7,27.02,25.25,25.61,341464
2019-10-02,25.44,26.72,24.76,25.34,401317
2019-10-03,25.45,26.94,24.5,26.53,307433
2019-10-04,26.81,27.17,24.79,25.53,357723
2019-10-07,25.07,25.26,22.78,23.515,645582
2019-10-08,23.24,23.9,21.39,21.68,542401
2019-10-09,21.73,21.97,20.51,21.01,402045
2019-10-10,20.98,21.34,19.69,21.05,382568
2019-10-11,21.2,21.47,19.9375,20.07,314238
2019-10-14,19.91,20.61,19.01,20.205,431856
2019-10-15,20.53,21.87,20.09,20.71,439775
2019-10-16,20.68,20.72,19.49,20.33,221146
2019-10-17,20.4,21.17,19.71,20.48,195926
2019-10-18,20.27,20.93,20.09,20.44,137100
2019-10-21,21.03,21.98,20.13,20.81,226320
2019-10-22,20.81,20.9,19.51,19.57,258164
2019-10-23,19.45,20.35,19.0101,19.76,200790
2019-10-24,19.93,21.24,19.82,20.77,200123
2019-10-25,20.77,21.1,19.84,20.68,294498
2019-10-28,20.86,22.84,20.7,22.1,408086
2019-10-29,22.13,24.09,21.8792,23.45,505925
2019-10-30,23.16,23.78,22.3638,23.5,334813
2019-10-31,23.95,24.73,23.76,24.72,407760
2019-11-01,25.58,25.98,24.6601,25.1,520984
2019-11-04,25.36,25.625,24.04,24.37,515754
2019-11-05,24.5,24.5,22.39,23.38,561161
2019-11-06,23.0,23.38,22.71,23.17,225431
2019-11-07,22.88,23.75,21.1,21.36,405384
2019-11-08,21.24,22.49,21.01,22.42,236830
2019-11-11,22.22,24.17,21.83,23.94,289411
2019-11-12,24.0,25.81,23.73,24.96,472085
2019-11-13,24.96,25.67,24.38,25.49,522256
2019-11-14,29.5,30.329,28.2,28.96,2149294
2019-11-15,29.0,29.547,26.63,26.75,1219713
2019-11-18,26.58,27.15,23.3401,23.43,786596
2019-11-19,23.45,23.75,22.49,22.99,297043
2019-11-20,23.22,23.385,21.3,21.87,2330027
2019-11-21,21.75,22.25,21.25,22.12,1208735
2019-11-22,21.89,22.25,20.9,22.12,1041918
2019-11-25,22.32,23.64,21.7,23.22,984519
2019-11-26,23.22,24.34,23.16,24.08,1171833
2019-11-27,24.15,24.78,23.86,24.71,305813
2019-11-29,24.58,24.95,24.12,24.39,345052
2019-12-02,24.24,24.24,23.05,23.23,362293
2019-12-03,22.92,23.73,21.91,23.6,408508
2019-12-04,23.71,24.21,22.86,24.06,434083
2019-12-05,23.85,25.28,23.81,25.06,579908
2019-12-06,25.33,25.62,24.95,25.53,1567075
2019-12-09,25.63,25.9,23.67,24.25,1327277
2019-12-10,25.68,25.86,24.62,25.19,772274
2019-12-11,25.0,25.92,24.81,25.26,394374
2019-12-12,25.66,26.05,24.97,25.82,740200
2019-12-13,26.33,26.39,25.05,25.51,430716
2019-12-16,25.5,26.06,24.95,25.85,625545
2019-12-17,25.67,26.08,24.61,25.31,732559
2019-12-18,25.5,26.47,25.11,26.39,779920
2019-12-19,26.48,26.94,25.5,26.89,728559
2019-12-20,27.0,27.5089,26.11,26.31,1121213
2019-12-23,26.46,27.03,25.79,26.92,419779
2019-12-24,26.77,27.3,26.18,27.07,455650
2019-12-26,27.14,27.27,26.65,26.98,388771
2019-12-27,27.44,27.44,26.26,26.77,431254
2019-12-30,26.94,27.24,26.02,27.13,395823
2019-12-31,27.04,27.979,26.58,27.71,476690
2020-01-02,27.79,27.79,26.85,27.52,595684
2020-01-03,26.91,27.57,26.18,27.01,880536
2020-01-06,27.0,27.56,26.42,27.46,390061
2020-01-07,27.32,27.32,26.16,26.95,372311
2020-01-08,27.31,27.59,26.59,26.94,600971
2020-01-09,31.01,33.9365,30.51,32.555,4375200
2020-01-10,31.61,32.5611,31.61,32.38,972054
2020-01-13,31.98,32.75,29.0142,30.385,1751185
2020-01-14,30.3,31.71,30.23,30.92,882811
2020-01-15,31.0,31.02,29.85,30.44,466934
2020-01-16,30.8,31.63,30.58,31.5,890669
2020-01-17,31.5,31.85,31.16,31.5,605160
2020-01-21,31.5,32.16,31.32,31.84,387333
2020-01-22,31.97,32.3,31.18,31.52,360123
2020-01-23,31.16,31.75,30.9319,31.04,754626
2020-01-24,31.09,31.35,29.39,30.59,488624
2020-01-27,29.87,31.02,29.77,30.25,327904
2020-01-28,30.24,31.14,29.5929,30.77,374804
2020-01-29,31.03,31.14,30.2,30.35,354364
2020-01-30,29.95,30.69,29.4,29.81,323767
2020-01-31,29.64,29.905,28.31,29.03,526445
2020-02-03,29.19,29.65,28.77,29.4,277451
2020-02-04,30.12,30.85,28.87,29.78,317663
2020-02-05,30.25,30.25,28.58,29.05,518000
2020-02-06,29.21,30.67,28.44,30.06,509024
2020-02-07,30.0,30.56,29.71,30.21,256901
2020-02-10,30.21,31.01,30.15,30.95,502725
2020-02-11,31.15,31.9,31.13,31.55,376926
2020-02-12,31.61,33.43,31.61,33.35,647071
2020-02-13,33.19,34.0,32.109,33.74,423739
2020-02-14,33.92,34.535,33.29,34.29,320685
2020-02-18,33.7822,34.77,33.7822,34.55,394560
2020-02-19,34.76,35.93,34.64,35.01,732020
2020-02-20,35.01,36.16,34.5807,35.96,721851
2020-02-21,35.96,36.54,35.5,36.09,1143171
2020-02-24,34.84,36.17,34.23,35.41,1049710
2020-02-25,35.71,36.38,34.8,35.94,1126261
